CODIGO DISTRITO;NOMBRE DISTRITO;SECCIÓN;SEXO;TOTAL
5;IBAIONDO                 ;20;MUJERES;394
5;IBAIONDO                 ;21;HOMBRES;808
5;IBAIONDO                 ;21;MUJERES;751
5;IBAIONDO                 ;22;HOMBRES;717
5;IBAIONDO                 ;22;MUJERES;650
5;IBAIONDO                 ;24;HOMBRES;942
5;IBAIONDO                 ;24;MUJERES;1007
5;IBAIONDO                 ;25;HOMBRES;971
5;IBAIONDO                 ;25;MUJERES;1070
5;IBAIONDO                 ;26;HOMBRES;769
5;IBAIONDO                 ;26;MUJERES;594
5;IBAIONDO                 ;28;HOMBRES;506
5;IBAIONDO                 ;28;MUJERES;604
5;IBAIONDO                 ;29;HOMBRES;781
5;IBAIONDO                 ;29;MUJERES;782
5;IBAIONDO                 ;30;HOMBRES;1141
5;IBAIONDO                 ;30;MUJERES;1072
5;IBAIONDO                 ;31;HOMBRES;615
5;IBAIONDO                 ;31;MUJERES;633
5;IBAIONDO                 ;32;HOMBRES;1034
5;IBAIONDO                 ;32;MUJERES;1115
5;IBAIONDO                 ;34;HOMBRES;557
5;IBAIONDO                 ;34;MUJERES;659
5;IBAIONDO                 ;35;HOMBRES;987
5;IBAIONDO                 ;35;MUJERES;1049
5;IBAIONDO                 ;36;HOMBRES;1107
5;IBAIONDO                 ;36;MUJERES;1134
5;IBAIONDO                 ;37;HOMBRES;618
5;IBAIONDO                 ;37;MUJERES;628
5;IBAIONDO                 ;38;HOMBRES;605
5;IBAIONDO                 ;38;MUJERES;663
5;IBAIONDO                 ;39;HOMBRES;368
5;IBAIONDO                 ;39;MUJERES;431
5;IBAIONDO                 ;40;HOMBRES;1064
5;IBAIONDO                 ;40;MUJERES;1089
5;IBAIONDO                 ;41;HOMBRES;673
5;IBAIONDO                 ;41;MUJERES;735
5;IBAIONDO                 ;42;HOMBRES;672
5;IBAIONDO                 ;42;MUJERES;650
5;IBAIONDO                 ;43;HOMBRES;1073
5;IBAIONDO                 ;43;MUJERES;990
5;IBAIONDO                 ;44;HOMBRES;598
5;IBAIONDO                 ;44;MUJERES;533
5;IBAIONDO                 ;45;HOMBRES;505
5;IBAIONDO                 ;45;MUJERES;472
5;IBAIONDO                 ;46;HOMBRES;567
5;IBAIONDO                 ;46;MUJERES;597
6;ABANDO                   ;01;HOMBRES;772
6;ABANDO                   ;01;MUJERES;856
6;ABANDO                   ;02;HOMBRES;994
6;ABANDO                   ;02;MUJERES;1112
6;ABANDO                   ;03;HOMBRES;534
6;ABANDO                   ;03;MUJERES;669
6;ABANDO                   ;04;HOMBRES;396
6;ABANDO                   ;04;MUJERES;517
6;ABANDO                   ;05;HOMBRES;473
6;ABANDO                   ;05;MUJERES;543
6;ABANDO                   ;06;HOMBRES;341
6;ABANDO                   ;06;MUJERES;465
6;ABANDO                   ;07;HOMBRES;599
6;ABANDO                   ;07;MUJERES;777
6;ABANDO                   ;08;HOMBRES;334
6;ABANDO                   ;08;MUJERES;422
6;ABANDO                   ;09;HOMBRES;641
6;ABANDO                   ;09;MUJERES;877
6;ABANDO                   ;10;HOMBRES;818
6;ABANDO                   ;10;MUJERES;832
6;ABANDO                   ;11;HOMBRES;379
6;ABANDO                   ;11;MUJERES;485
6;ABANDO                   ;12;HOMBRES;395
6;ABANDO                   ;12;MUJERES;483
6;ABANDO                   ;13;HOMBRES;916
6;ABANDO                   ;13;MUJERES;1091
6;ABANDO                   ;15;HOMBRES;694
6;ABANDO                   ;15;MUJERES;875
6;ABANDO                   ;16;HOMBRES;501
6;ABANDO                   ;16;MUJERES;603
6;ABANDO                   ;17;HOMBRES;694
6;ABANDO                   ;17;MUJERES;897
6;ABANDO                   ;18;HOMBRES;323
6;ABANDO                   ;18;MUJERES;397
6;ABANDO                   ;19;HOMBRES;315
6;ABANDO                   ;19;MUJERES;348
6;ABANDO                   ;20;HOMBRES;541
6;ABANDO                   ;20;MUJERES;712
6;ABANDO                   ;21;HOMBRES;542
6;ABANDO                   ;21;MUJERES;703
6;ABANDO                   ;22;HOMBRES;410
6;ABANDO                   ;22;MUJERES;485
6;ABANDO                   ;23;HOMBRES;335
6;ABANDO                   ;23;MUJERES;430
6;ABANDO                   ;24;HOMBRES;394
6;ABANDO                   ;24;MUJERES;463
6;ABANDO                   ;25;HOMBRES;446
6;ABANDO                   ;25;MUJERES;628
6;ABANDO                   ;26;HOMBRES;541
6;ABANDO                   ;26;MUJERES;677
6;ABANDO                   ;27;HOMBRES;310
6;ABANDO                   ;27;MUJERES;352
6;ABANDO                   ;28;HOMBRES;422
6;ABANDO                   ;28;MUJERES;489
6;ABANDO                   ;29;HOMBRES;580
6;ABANDO                   ;29;MUJERES;704
6;ABANDO                   ;30;HOMBRES;825
6;ABANDO                   ;30;MUJERES;893
6;ABANDO                   ;31;HOMBRES;480
6;ABANDO                   ;31;MUJERES;527
6;ABANDO                   ;32;HOMBRES;316
6;ABANDO                   ;32;MUJERES;358
6;ABANDO                   ;33;HOMBRES;435
6;ABANDO                   ;33;MUJERES;541
6;ABANDO                   ;34;HOMBRES;383
6;ABANDO                   ;34;MUJERES;478
6;ABANDO                   ;35;HOMBRES;554
6;ABANDO                   ;35;MUJERES;721
6;ABANDO                   ;36;HOMBRES;487
6;ABANDO                   ;36;MUJERES;611
6;ABANDO                   ;37;HOMBRES;467
6;ABANDO                   ;37;MUJERES;573
6;ABANDO                   ;38;HOMBRES;443
6;ABANDO                   ;38;MUJERES;525
6;ABANDO                   ;39;HOMBRES;597
6;ABANDO                   ;39;MUJERES;776
6;ABANDO                   ;41;HOMBRES;714
6;ABANDO                   ;41;MUJERES;965
6;ABANDO                   ;42;HOMBRES;534
6;ABANDO                   ;42;MUJERES;668
6;ABANDO                   ;43;HOMBRES;470
6;ABANDO                   ;43;MUJERES;570
6;ABANDO                   ;44;HOMBRES;441
6;ABANDO                   ;44;MUJERES;559
6;ABANDO                   ;45;HOMBRES;454
6;ABANDO                   ;45;MUJERES;683
6;ABANDO                   ;46;HOMBRES;675
6;ABANDO                   ;46;MUJERES;899
7;ERREKALDE                ;01;HOMBRES;430
7;ERREKALDE                ;01;MUJERES;549
7;ERREKALDE                ;02;HOMBRES;326
7;ERREKALDE                ;02;MUJERES;413
7;ERREKALDE                ;03;HOMBRES;519
7;ERREKALDE                ;03;MUJERES;687
7;ERREKALDE                ;04;HOMBRES;403
7;ERREKALDE                ;04;MUJERES;481
7;ERREKALDE                ;05;HOMBRES;419
7;ERREKALDE                ;05;MUJERES;519
7;ERREKALDE                ;06;HOMBRES;684
7;ERREKALDE                ;06;MUJERES;834
