Codigo parada;Parada;Zona;Correspondencias
5918;Askatasuna / Parkea (1);Juan de Garay-General Salazar;E1,E3
5919;Mina San Luis;Bolueta-Santa Ana;G7
6101;Alda Recalde 11;Al. Recalde-Puente La Salve;13,27,38,48
6102;Alda Recalde 12;Al. Recalde-Puente La Salve;13,27,38,48
6103;Alda Recalde 31;Al. Recalde-Pl. Moyua;13,27,38,48
6104;Alda San Mamés 8;General Concha-Al. San Mames;76
6106;Autonomía 4;Autonomia-Pl. Zabalburu;58,85
6107;Deustuko Zubia / Zubiarte;Henao-Pl. Museo;01,10,13,18
6108;Elcano (9);Elcano- Hotel Carlton;76
6109;Elcano 2;Elcano-Pl. San Jose;01,10,13,18
6110;Elcano 3;Elcano-Pl. San Jose;01,A7,10,13
6111;Gral. Concha 2 / P.Eguillor;Pl. Eguillor;18
6112;Gral. Concha 26;Pl. Eguillor;18,76
6113;Gran Vía 7;Gran Via-Corte Ingles;01,A5,10,28,56,62,72,77
6114;Gran Vía 36;Gran Via-Metro Moyua;01,A7,10,28,56,72,77
6115;Gran Vía 37;Gran Via-Metro Moyua;01,10,28,56,62,72,77
6116;Gran Vía 40;Gran Via-G. Civil;27,28,38,48,56,72,77
6117;Gran Vía 8;Gran Via-Corte Ingles;28,A7,56,72,77
6118;Hurtado Amézaga 1 / Geltokia-Estación;Hurtado de Amezaga-Estacion Abando;71,E1,E2,E3,75,85
6119;Hurtado Amézaga 2 / (Geltokia-Estación);Hurtado de Amezaga-Estacion Abando;30,58,71,75,85
6120;Hurtado Amézaga 15;Hurtado de Amezaga-Quinta Parroquia;30,E1,E2,71,75,85
6121;Hurtado Amézaga 50;Hurtado de Amezaga-Lutxana;30,E1,E2,E3,71
6122;Ibáñez de Bilbao 14;Jardines de Albia;62,A5
6123;Juan de Garay 7;Juan de Garay-General Salazar;30,71,75,76
6124;Mazarredo 3;Al. Mazarredo-Ledesma;62,A5
6125;Museo 1 / Henao;Henao-Pl. Museo;01,A7,10,13,18
6126;Plaza Biribila / Gran Vía;Pl. Biribila-La Granja;03,A2,30,40
6128;Urquijo 14 / Institutoa;Al. Urquijo-Correos;62
6129;Ayala(2);Gran Via-Metro Moyua;40,A1
6130;Gran Vía 2;;01,A1,10,40
6201;Alda San Mamés (33);Al. San Mames-Iparraguirre;76
6202;Autonomía 22;Autonomia-Estacion Autobuses;18,58,85
6203;Autonomía 50;Autonomia-Escuelas;18,38,48,58,85,88
6204;Deustuko Zubia;;01,A7,10,13,18
6205;Gran Vía 41;Gran Via-G. Civil;27,38,48
6206;Gran Vía 43;Gran Via-Edif. Sota;28,A3,56,62,72,76,77
6207;Gran Vía 60/Salazar;Gran Via-Insalud;56,A3
6208;Gran Vía 63;Gran Via-Insalud;28,A3,56,62
6209;Gregorio la Revilla 1;Gregorio de la Revilla-Pl. Campuzano;27,38,48,72,76,77
6210;Gregorio la Revilla 17;Gregorio de la Revilla-Part.Indautxu;27,38,48,72,76,77
6211;Gregorio la Revilla 2;Gregorio de la Revilla-Pl. Campuzano;27,28,38,48,72,77
6212;Gregorio la Revilla 22;Gregorio de la Revilla-Part.Indautxu;27,28,38,48,72,77
6213;Gregorio la Revilla 35;Gregorio de la Revilla-Perez Galdos;27,38,48,72,77,88
6214;Gregorio la Revilla 36;Gregorio de la Revilla-Perez Galdos;27,38,48,72,77,88
6215;Iparraguirre (42) / Bizkaia pl.;Iparraguirre-Pl. Bizkaia;18
6216;Iparraguirre 29;Al. San Mames-Iparraguirre;18
6217;Jesusen Bihotza 1;Pl. Sgdo. Corazon de Jesus;28,A328RF,56,62
6219;Moyúa 4;Pl. Moyua;01,A3,10,13,18
6221;Urquijo 68;Al. Urquijo-Cruz Roja;28,62,88
6222;Urquijo 94;Al. Urquijo-Sabino Arana;28,62
6223;Urrutia 1;Gregorio de la Revilla-Part.Indautxu;88
6224;Gran Vía 74 / Basterra;;A3
6226;Urquijo / Bizkaia pl.;;62
6228;María Díaz de Haro (57);;88
6229;Iparraguirre 63;;18
6230;Gran Via 90;Pl. Sgdo. Corazon de Jesus;56
7101;Ametzola;Gordoniz-Pl. Guardia Civil;A8
7102;Autonomía 1;Pl. Zabalburu-Simago;58,30,85
7103;Autonomía 13;Autonomia-Estacion Autobuses;58,85
7104;Autonomía 43;Autonomia-Escuelas;18,38,48,58,85,88
7106;Gordoniz 22;Gordoniz-Pl. Guardia Civil;27,72,77
7107;Gordoniz 39;Gordoniz-Pl. Guardia Civil;27,72,77
7108;Pedro Martínez Artola 2;Martinez Artola-Pl. Zabalburu;75,76
7201;Bergara (12);Torre Urizar;57,75
7203;Irala (19);Irala-Av.Kirikiño;75,76
7204;Irala (53) / Eskurtze;Irala-Eskurtze;57,75,76
7205;Irala 28;Irala-Final;57,75,76
7206;Juan de Garay / Giña Estrata;Torre Urizar;71
7207;Juan de Garay / Gob.Militarra;Juan de Garay-Gobierno Militar;71
7208;Monasterio 5;Particular Monasterio;75
7209;Rotonda Eskurtze;Torre Urizar;57,75,76
7210;Urizar 24 / Gob.Militarra;Juan de Garay-Gobierno Militar;75
7211;Eskurtze (10) / Rotonda Eskurtze;Gordoniz-Recaldeberri;57
7301;Artazugoikoa;Bº Artazu;76
7302;Benito Alberdi (6);Gordoniz-Pl. Recalde;57
7303;Camilo Villabaso (27);Cº Villabaso;27
7304;Ciudadela 1;Ciudadela-Iglesia;72,A8
7305;Ciudadela 2A;Ciudadela-Iglesia;72,A8,77
7306;Errekalde-Larraskitu 1;Ciudadela-Ambulatorio;72,A8,76,77
7307;Errekalde-Larraskitu 23;Ciudadela-Larraskitu;72,A8,76,77
7308;Gordoniz (54) / Pza Errekalde;Gordoniz-Pl. Recalde;27,76,77
7309;Gordoniz (90);Gordoniz-Pl. Belategi;27,76,77
7310;Gordoniz 36;Gordoniz-Jaen;27,A8,57,72,77
7311;Gordoniz 49A;Gordoniz-Jaen;27,A8,57,72,77
7312;Gordoniz 54 / (Pza Errekalde);Gordoniz-Pl. Recalde;76,72,77
7313;Gordoniz 90;Gordoniz-Recaldeberri;76,72,77
7314;Goya 7;Gordoniz-Pl. Recalde;27,57
7315;Jaén (9);Jaen;57
7316;Jaén 7;Jaen;57
7317;Xalbador / (Alhóndiga);Xalbador-Rekalde;76
7318;Xalbador / Alhóndiga;Xalbador-Rekalde;76
7319;Xalbador / F.Baldezate;Xalbador-Rekalde;76
7320;Artazugoikoa / Eskola;;76
7321;Gordoniz 90;Gordoniz-Recaldeberri;76
7322;Karitateko Alaben (3);Xalbador-Rekalde;72
7323;Karitateko Alaben 3;Xalbador-Rekalde;72
7401;Artazubekoa;Bº Artazu;A8
7402;Artazubekoa (10);;A8
7403;Artazubekoa 27;;A8
7404;Errekalde-Larraskitu (36);Ctra. Larraskitu-Parque;72,A8,76,77
7405;Errekalde-Larraskitu / (Iberdrola);Cº Larraskitu-Iberdrola;76,A8
7406;Errekalde-Larraskitu / (Kiroldegia);Ctra. Larraskitu-Polideportivo;72,A8,76
7407;Errekalde-Larraskitu / Iberdrola;Cº Larraskitu-Iberdrola;76,A8
7408;Errekalde-Larraskitu / Kiroldegia;Polideportivo de Recalde;72,A8,76,77
7409;Errekalde-Larraskitu 14;Ciudadela-Larraskitu;72,A8,76,77
7410;Errekalde-Larraskitu 2;Ciudadela-Ambulatorio;72,A8,76,77
7411;Errekalde-Larraskitu 36;Ctra. Larraskitu-Parque;72,A8,76,77
7412;Larraskitubidea / Estrada Beiti;;A8
7413;Larraskitubidea 88;;A8
7414;Larraskitubidea 98;Ctra. Larraskitu-Polideportivo;A8
7415;San Adrián 48;;A8
7416;Karitateko Alaben 48;Cº Larraskitu-Iberdrola;72
7417;Karitateko Alaben (46);Cº Larraskitu-Iberdrola;72
7418;Larraskitubidea (81);Cº Larraskitu-Iberdrola;A8
7501;Altube 12;;27
7502;Betolatza 41;Betolaza;27
7503;Betolatza 51;Uretamendi-Betolaza;27
7504;Circunvalación 12;Betolaza-Circunvalacion;27
7506;Uretamendi / Plaza;Pl. Uretamendi;27
7507;Circunvalación 1;Betolaza-Circunvalacion;27
7508;Circunvalación 1;Betolaza-Circunvalacion;27
7509;Circunvalación 12;Betolaza-Circunvalacion;27
7510;Uretamendi / Plaza;Pl. Uretamendi;27
7511;Armotxabidea;Gordoniz-Pl. Recalde;27
7601;Iturrigorribidea (45);Cº Iturrigorri;77,72
