Aplicació pressupost;Descripció;Pressupost Inicial;Modificacions;Pressupost final;Obligacions reconegudes;Pagaments;Pendent pagaments;Estat execució
257/3410B/12001;Salaris del Grup A2;38.719,56;0,00;38.719,56;36.851,38;36.851,38;0,00;1.868,18
257/3410B/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;8.414,04;8.414,04;0,00;-35,46
257/3410B/12006;Triennis;9.386,71;0,00;9.386,71;8.014,53;8.014,53;0,00;1.372,18
257/3410B/12100;Complement de destí;21.107,76;0,00;21.107,76;19.856,01;19.856,01;0,00;1.251,75
257/3410B/12101;Complement  específic;39.822,24;0,00;39.822,24;37.787,94;37.787,94;0,00;2.034,30
257/3410B/12103;Altres complements;22.404,18;0,00;22.404,18;23.748,08;23.748,08;0,00;-1.343,90
257/3410B/15000;Productivitat;738,70;0,00;738,70;301,26;301,26;0,00;437,44
257/3410B/15300;Complement de dedicació especial;0,00;10,00;10,00;289,20;289,20;0,00;-279,20
257/3410B/16000;Seguretat social;35.349,77;0,00;35.349,77;33.933,85;33.933,85;0,00;1.415,92
257/3410B/22199;Compra d'altres materials;2.700,00;0,00;2.700,00;7.362,60;784,29;6.578,31;-4.662,60
257/3410B/22300;Transports;10,00;0,00;10,00;0,00;0,00;0,00;10,00
257/3410B/22400;Primes d’assegurances;6.935,00;-5.806,70;1.128,30;32,80;32,80;0,00;1.095,50
257/3410B/22699;Despeses especials de funcionament;1.500,00;0,00;1.500,00;0,00;0,00;0,00;1.500,00
257/3410B/22799;Treballs realitzats per altres empreses i prof.;195.918,00;-1.599,70;194.318,30;191.905,96;163.070,16;28.835,80;2.412,34
