PRESSUPOST 2016 - DESPESA;;;;;

Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Descripció;Pressupost Inicial
201;9231A;20302;201/9231A/20302;Lloguers de maquinària, instal·lacions Departaments;847,00
201;9232A;12000;201/9232A/12000;Salaris del Grup A1;14.824,22
201;9232A;12001;201/9232A/12001;Salaris del Grup A2;13.035,60
201;9232A;12003;201/9232A/12003;Salaris del Grup C1;39.935,28
201;9232A;12004;201/9232A/12004;Salaris del Grup C2;57.423,78
201;9232A;12006;201/9232A/12006;Triennis;27.939,30
201;9232A;12100;201/9232A/12100;Complement de destí;66.345,02
201;9232A;12101;201/9232A/12101;Complement  específic;119.867,16
201;9232A;12103;201/9232A/12103;Altres complements;6.549,44
201;9232A;15000;201/9232A/15000;Productivitat;2.185,96
201;9232A;15200;201/9232A/15200;Altres incentius;12.785,70
201;9232A;16000;201/9232A/16000;Seguretat social;94.603,63
201;9232A;22604;201/9232A/22604;Jurídics, contenciosos;350,00
201;9233A;12000;201/9233A/12000;Salaris del Grup A1;14.824,22
201;9233A;12001;201/9233A/12001;Salaris del Grup A2;13.035,60
201;9233A;12003;201/9233A/12003;Salaris del Grup C1;29.951,46
201;9233A;12005;201/9233A/12005;Salaris del Grup E;7.755,44
201;9233A;12006;201/9233A/12006;Triennis;17.392,89
201;9233A;12100;201/9233A/12100;Complement de destí;35.124,46
201;9233A;12101;201/9233A/12101;Complement  específic;67.871,44
201;9233A;12103;201/9233A/12103;Altres complements;8.438,54
201;9233A;15000;201/9233A/15000;Productivitat;3.835,86
201;9233A;15200;201/9233A/15200;Altres incentius;6.000,00
201;9233A;16000;201/9233A/16000;Seguretat social;48.896,89
201;9233A;20302;201/9233A/20302;Lloguers de maquinària, instal·lacions Departaments;2.400,00
201;9233A;21302;201/9233A/21302;Manteniment d'instal·lacions i maquinària Departaments;1.320,00
201;9233A;22104;201/9233A/22104;Vestuari;1.000,00
201;9233A;22199;201/9233A/22199;Altres subministraments;2.000,00
201;9234A;12000;201/9234A/12000;Salaris del Grup A1;14.824,22
201;9234A;12003;201/9234A/12003;Salaris del Grup C1;29.951,46
201;9234A;12006;201/9234A/12006;Triennis;8.221,82
201;9234A;12100;201/9234A/12100;Complement de destí;23.720,90
201;9234A;12101;201/9234A/12101;Complement  específic;46.120,06
201;9234A;12103;201/9234A/12103;Altres complements;10.316,02
201;9234A;15200;201/9234A/15200;Altres incentius;4.000,00
201;9234A;16000;201/9234A/16000;Seguretat social;33.102,75
201;9242A;22699;201/9242A/22699;Altres despeses diverses;50,00
201;9242A;22705;201/9242A/22705;Processos electorals;50,00
202;0111A;31000;202/0111A/31000;Interessos;10,00
202;9320B;41000;202/9320B/41000;A Organismes Autònoms de l'Entitat Local;1.653.151,00
202;9340A;12000;202/9340A/12000;Salaris del Grup A1;40.766,61
202;9340A;12003;202/9340A/12003;Salaris del Grup C1;24.959,55
202;9340A;12004;202/9340A/12004;Salaris del Grup C2;16.924,92
202;9340A;12006;202/9340A/12006;Triennis;17.225,44
202;9340A;12100;202/9340A/12100;Complement de destí;49.430,54
202;9340A;12101;202/9340A/12101;Complement  específic;81.270,04
202;9340A;12103;202/9340A/12103;Altres complements;3.959,35
202;9340A;15200;202/9340A/15200;Altres incentius;6.000,00
202;9340A;16000;202/9340A/16000;Seguretat social;59.636,61
202;9340A;20302;202/9340A/20302;Lloguers de maquinària, instal·lacions Departaments;1.122,00
202;9340A;21302;202/9340A/21302;Manteniment d'instal·lacions i maquinària Departaments;10,00
202;9340A;22400;202/9340A/22400;Primes d’assegurances;170,00
202;9340A;22699;202/9340A/22699;Altres despeses diverses;30,00
202;9340A;22708;202/9340A/22708;Serveis de recaptació a favor de l’entitat;12.000,00
202;9340A;31100;202/9340A/31100;Desp. formalització, mod. i canc. Prestècs;10,00
202;9340A;35200;202/9340A/35200;Interessos de demora;400.000,00
202;9340A;35900;202/9340A/35900;Altres despeses financeres;40.000,00
202;9340A;82090;202/9340A/82090;Concessió préstecs a c/t a altres subsectors;10,00
202;9340A;82190;202/9340A/82190;Concessió préstecs a ll/t a altres subsectors;10,00
203;9204A;12000;203/9204A/12000;Salaris del Grup A1;14.824,22
203;9204A;12003;203/9204A/12003;Salaris del Grup C1;9.983,82
203;9204A;12006;203/9204A/12006;Triennis;7.507,32
203;9204A;12100;203/9204A/12100;Complement de destí;16.400,30
203;9204A;12101;203/9204A/12101;Complement  específic;32.002,46
203;9204A;12103;203/9204A/12103;Altres complements;8.159,20
203;9204A;15200;203/9204A/15200;Altres incentius;2.000,00
203;9204A;16000;203/9204A/16000;Seguretat social;18.809,30
203;9204A;21200;203/9204A/21200;Manteniment d’edificis i altres construccions;98,89
203;9204A;21300;203/9204A/21300;Manteniment de maquinària, instal·lacions i utillatge;842,42
203;9204A;22104;203/9204A/22104;Vestuari;4.476,00
203;9204A;22201;203/9204A/22201;Comunicacions postals;1.000,00
203;9204A;22701;203/9204A/22701;Seguretat i vigilància;60.300,00
203;9204B;12001;203/9204B/12001;Salaris del Grup A2;13.035,60
203;9204B;12004;203/9204B/12004;Salaris del Grup C2;16.924,92
203;9204B;12005;203/9204B/12005;Salaris del Grup E;45.516,98
203;9204B;12006;203/9204B/12006;Triennis;13.089,33
203;9204B;12100;203/9204B/12100;Complement de destí;36.905,54
203;9204B;12101;203/9204B/12101;Complement  específic;80.437,65
203;9204B;12103;203/9204B/12103;Altres complements;13.413,48
203;9204B;15000;203/9204B/15000;Productivitat;2.044,56
203;9204B;15200;203/9204B/15200;Altres incentius;8.785,70
203;9204B;16000;203/9204B/16000;Seguretat social;64.561,62
203;9204B;22110;203/9204B/22110;Materials de neteja;18.850,00
203;9204B;2270001;203/9204B/2270001;Contractes de neteja;11.640,51
203;9204C;12004;203/9204C/12004;Salaris del Grup C2;8.462,46
203;9204C;12005;203/9204C/12005;Salaris del Grup E;100.820,72
203;9204C;12006;203/9204C/12006;Triennis;13.580,78
203;9204C;12100;203/9204C/12100;Complement de destí;50.215,62
203;9204C;12101;203/9204C/12101;Complement  específic;113.975,68
203;9204C;12103;203/9204C/12103;Altres complements;2.991,46
203;9204C;15000;203/9204C/15000;Productivitat;899,50
203;9204C;15200;203/9204C/15200;Altres incentius;14.000,00
203;9204C;16000;203/9204C/16000;Seguretat social;81.784,73
203;9204D;12003;203/9204D/12003;Salaris del Grup C1;9.983,82
203;9204D;12004;203/9204D/12004;Salaris del Grup C2;16.924,92
203;9204D;12006;203/9204D/12006;Triennis;5.188,30
203;9204D;12100;203/9204D/12100;Complement de destí;15.160,18
203;9204D;12101;203/9204D/12101;Complement  específic;25.338,18
203;9204D;12103;203/9204D/12103;Altres complements;18,12
203;9204D;15200;203/9204D/15200;Altres incentius;3.000,00
203;9204D;16000;203/9204D/16000;Seguretat social;19.774,34
203;9204D;22000;203/9204D/22000;Material d’oficina;9.557,00
203;9204D;22199;203/9204D/22199;Equipaments d'oficina;2.300,00
203;9204D;62501;203/9204D/62501;Equips d'oficina;13.073,45
203;9204D;62502;203/9204D/62502;Mobiliari;10.870,97
203;9204E;12001;203/9204E/12001;Salaris del Grup A2;13.035,60
203;9204E;12004;203/9204E/12004;Salaris del Grup C2;33.849,84
203;9204E;12005;203/9204E/12005;Salaris del Grup E;7.755,44
203;9204E;12006;203/9204E/12006;Triennis;9.632,99
203;9204E;12100;203/9204E/12100;Complement de destí;27.463,52
203;9204E;12101;203/9204E/12101;Complement  específic;50.015,42
203;9204E;12103;203/9204E/12103;Altres complements;15,12
203;9204E;15200;203/9204E/15200;Altres incentius;5.000,00
203;9204E;16000;203/9204E/16000;Seguretat social;41.562,85
203;9204E;20302;203/9204E/20302;Lloguers de maquinària i instal·lacions ;17.550,00
203;9204E;21302;203/9204E/21302;Manteniment d'instal·lacions i maquinària;39.350,00
203;9204E;22000;203/9204E/22000;Material d’impressions;27.000,00
203;9204E;22602;203/9204E/22602;Publicitat;5.000,00
203;9204E;22799;203/9204E/22799;Encàrrec d'impressions;5.860,00
203;9260B;22002;203/9260B/22002;Material d'ordinador;15.860,00
203;9331B;63200;203/9331B/63200;Inversió de reposició en edifici;19.268,29
204;0111A;31000;204/0111A/31000;Interessos;2.242.130,00
204;0111A;91300;204/0111A/91300;Amortització de préstecs a ll/t d'ens de fora del s. públic;18.786.500,00
204;9290A;50000;204/9290A/50000;Fons de Contigència d'exec. pressup. Art.31 Llei Org. 2/2012;200.000,00
204;9310A;12000;204/9310A/12000;Salaris del Grup A1;29.648,44
204;9310A;12001;204/9310A/12001;Salaris del Grup A2;26.071,20
204;9310A;12004;204/9310A/12004;Salaris del Grup C2;8.462,46
204;9310A;12006;204/9310A/12006;Triennis;16.071,02
204;9310A;12100;204/9310A/12100;Complement de destí;38.302,04
204;9310A;12101;204/9310A/12101;Complement  específic;70.466,62
204;9310A;12103;204/9310A/12103;Altres complements;15.543,14
204;9310A;15200;204/9310A/15200;Altres incentius;5.000,00
204;9310A;16000;204/9310A/16000;Seguretat social;45.739,97
204;9310A;22699;204/9310A/22699;Altres despeses diverses;100,00
204;9310A;22706;204/9310A/22706;Estudis i treballs tècnics;32.193,07
204;9340B;35900;204/9340B/35900;Altres despeses financeres;100.000,00
204;9341A;31100;204/9341A/31100;Desp. formalització, mod. i canc. Prestècs;50.000,00
204;9430A;46500;204/9430A/46500;A Comarques;35.000,00
205;2210A;13001;205/2210A/13001;Hores extraordinàries;10.000,00
205;2210A;14400;205/2210A/14400;Substitucions i suport;328.697,92
205;2210A;15100;205/2210A/15100;Gratificacions;236.290,71
205;2210A;15200;205/2210A/15200;Altres incentius;150.000,00
205;2210A;15201;205/2210A/15201;Altres incentius al rendiment;80.000,00
205;2210A;16202;205/2210A/16202;Transport de personal;60,00
205;2210A;16204;205/2210A/16204;Acció social;50.000,00
205;2210A;16209;205/2210A/16209;Altres despeses socials;23.000,00
205;2210A;83000;205/2210A/83000;Concessió de préstecs fora del sector públic a curt termini;10,00
205;2210A;83100;205/2210A/83100;Concessió de préstecs fora del sector públic a llarg termini;10,00
205;9205A;12000;205/9205A/12000;Salaris del Grup A1;22.236,33
205;9205A;12001;205/9205A/12001;Salaris del Grup A2;13.035,60
205;9205A;12006;205/9205A/12006;Triennis;8.342,36
205;9205A;12100;205/9205A/12100;Complement de destí;22.885,10
205;9205A;12101;205/9205A/12101;Complement  específic;38.754,38
205;9205A;12103;205/9205A/12103;Altres complements;1.438.300,77
205;9205A;15200;205/9205A/15200;Altres incentius;2.000,00
205;9205A;16000;205/9205A/16000;Seguretat social;24.914,77
205;9205B;12001;205/9205B/12001;Salaris del Grup A2;26.071,20
205;9205B;12003;205/9205B/12003;Salaris del Grup C1;64.894,83
205;9205B;12004;205/9205B/12004;Salaris del Grup C2;33.849,84
205;9205B;12006;205/9205B/12006;Triennis;19.346,45
205;9205B;12100;205/9205B/12100;Complement de destí;66.487,96
205;9205B;12101;205/9205B/12101;Complement  específic;120.937,88
205;9205B;12103;205/9205B/12103;Altres complements;8.214,72
205;9205B;15200;205/9205B/15200;Altres incentius;12.000,00
205;9205B;16000;205/9205B/16000;Seguretat social;95.433,47
205;9205B;22799;205/9205B/22799;Altres treballs realitzats per altres empreses i prof.;78.790,00
205;9205C;12003;205/9205C/12003;Salaris del Grup C1;19.967,64
205;9205C;12004;205/9205C/12004;Salaris del Grup C2;15.232,43
205;9205C;12006;205/9205C/12006;Triennis;9.571,66
205;9205C;12100;205/9205C/12100;Complement de destí;19.182,24
205;9205C;12101;205/9205C/12101;Complement  específic;33.210,24
205;9205C;12103;205/9205C/12103;Altres complements;1.424,88
205;9205C;15200;205/9205C/15200;Altres incentius;3.800,00
205;9205C;16000;205/9205C/16000;Seguretat social;26.107,82
205;9205C;20200;205/9205C/20200;Lloguers d’edificis i altres construccions;16.400,00
205;9205C;20202;205/9205C/20202;Lloguers aules formació del personal;2.000,00
205;9205C;22101;205/9205C/22101;Aigua;146,87
205;9205C;22102;205/9205C/22102;Gas;7.210,94
205;9205C;22799;205/9205C/22799;Formació del personal;26.000,00
205;9205D;12000;205/9205D/12000;Salaris del Grup A1;14.824,22
205;9205D;12003;205/9205D/12003;Salaris del Grup C1;17.828,17
