PRESSUPOST 2016 - DESPESA;;;;;

Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Aplicació pressupost;Descripció;Pressupost Inicial
420;1522A;63200;420/1522A/63200;Inversió de reposició en edifici;325.000,00
420;1523A;12000;420/1523A/12000;Salaris del Grup A1;22.236,33
420;1523A;12001;420/1523A/12001;Salaris del Grup A2;88.642,13
420;1523A;12006;420/1523A/12006;Triennis;13.700,30
420;1523A;12100;420/1523A/12100;Complement de destí;49.862,82
420;1523A;12101;420/1523A/12101;Complement  específic;82.070,24
420;1523A;12103;420/1523A/12103;Altres complements;19.623,82
420;1523A;15000;420/1523A/15000;Productivitat;3.815,98
420;1523A;15200;420/1523A/15200;Altres incentius;7.800,00
420;1523A;16000;420/1523A/16000;Seguretat social;82.815,12
420;1523A;22699;420/1523A/22699;Suport comunitats veïnatge i mediació;125.000,00
420;1523A;22706;420/1523A/22706;Estudi mediació i cessió d'habitatges;60.000,00
420;1523A;44900;420/1523A/44900;Altres subv. a ens públics i societats mercantils locals;10,00
420;1523A;60000;420/1523A/60000;Compra de sòl i edificis;125.000,00
420;1523A;63200;420/1523A/63200;Inversió de reposició en edifici;24.000,00
420;9342A;35900;420/9342A/35900;Altres despeses financeres;99.350,00
430;9200C;12000;430/9200C/12000;Salaris del Grup A1;59.296,88
430;9200C;12003;430/9200C/12003;Salaris del Grup C1;37.938,47
430;9200C;12004;430/9200C/12004;Salaris del Grup C2;84.322,49
430;9200C;12006;430/9200C/12006;Triennis;33.818,35
430;9200C;12100;430/9200C/12100;Complement de destí;98.447,13
430;9200C;12101;430/9200C/12101;Complement  específic;183.478,68
430;9200C;12103;430/9200C/12103;Altres complements;19.799,42
430;9200C;13000;430/9200C/13000;Retribucions bàsiques;21.665,66
430;9200C;13002;430/9200C/13002;Altres remuneracions;35.426,44
430;9200C;15000;430/9200C/15000;Productivitat;2.191,28
430;9200C;15200;430/9200C/15200;Altres incentius;18.514,30
430;9200C;16000;430/9200C/16000;Seguretat social;147.411,62
430;9200C;22000;430/9200C/22000;Material d'oficina no inventariable;10,00
430;9200C;22001;430/9200C/22001;Premsa, revistes, llibres i altres publicacions;250,00
430;9200C;22201;430/9200C/22201;Comunicacions postals;4.000,00
430;9200C;22604;430/9200C/22604;Jurídics, contenciosos;10,00
430;9200C;22699;430/9200C/22699;Altres despeses diverses;980,00
430;9200C;2270001;430/9200C/2270001;Contractes de neteja;70.380,07
430;9200C;22706;430/9200C/22706;Estudis i treballs tècnics;29.000,00
430;9200C;22799;430/9200C/22799;Altres treballs realitzats per altres empreses i prof.;10,00
430;9200C;48300;430/9200C/48300;Subvencions i aportacions institucionals;25.716,44
430;9207A;12004;430/9207A/12004;Salaris del Grup C2;33.849,84
430;9207A;12006;430/9207A/12006;Triennis;7.087,84
430;9207A;12100;430/9207A/12100;Complement de destí;19.155,08
430;9207A;12101;430/9207A/12101;Complement  específic;33.320,42
430;9207A;12103;430/9207A/12103;Altres complements;5.560,52
430;9207A;15200;430/9207A/15200;Altres incentius;4.000,00
430;9207A;16000;430/9207A/16000;Seguretat social;32.737,13
431;1530C;12000;431/1530C/12000;Salaris del Grup A1;29.648,44
431;1530C;12001;431/1530C/12001;Salaris del Grup A2;13.035,60
431;1530C;12003;431/1530C/12003;Salaris del Grup C1;9.983,82
431;1530C;12004;431/1530C/12004;Salaris del Grup C2;8.462,46
431;1530C;12006;431/1530C/12006;Triennis;12.386,64
431;1530C;12100;431/1530C/12100;Complement de destí;35.936,46
431;1530C;12101;431/1530C/12101;Complement  específic;66.883,74
431;1530C;12103;431/1530C/12103;Altres complements;7.695,14
431;1530C;15000;431/1530C/15000;Productivitat;1.969,66
431;1530C;15200;431/1530C/15200;Altres incentius;5.000,00
431;1530C;16000;431/1530C/16000;Seguretat social;45.611,95
431;1530C;60900;431/1530C/60900;Inversió nova en infraestructura;1.205.237,32
431;1530C;61900;431/1530C/61900;Inver. de reposició en infraestructura;104.000,00
431;1710A;12001;431/1710A/12001;Salaris del Grup A2;52.142,40
431;1710A;12004;431/1710A/12004;Salaris del Grup C2;25.387,38
431;1710A;12006;431/1710A/12006;Triennis;16.237,77
431;1710A;12100;431/1710A/12100;Complement de destí;39.910,36
431;1710A;12101;431/1710A/12101;Complement  específic;66.373,44
431;1710A;12103;431/1710A/12103;Altres complements;2.251,76
431;1710A;15000;431/1710A/15000;Productivitat;4.838,96
431;1710A;15200;431/1710A/15200;Altres incentius;7.000,00
431;1710A;16000;431/1710A/16000;Seguretat social;56.907,09
431;1710A;20302;431/1710A/20302;Lloguers de maquinària, instal.lacions i utillatge Departaments;10,00
431;1710A;21000;431/1710A/21000;Manteniment d'infrastructura i béns naturals;2.156.423,43
431;1710A;21302;431/1710A/21302;Manteniment de maquinària, instal.lacions i utillatge Departaments;10,00
431;1710A;21901;431/1710A/21901;Compra de material per jardineria;10,00
431;1710A;22100;431/1710A/22100;Energia elèctrica;29.749,34
431;1710A;22101;431/1710A/22101;Aigua;182.318,76
431;1710A;22199;431/1710A/22199;Altres subministraments;10,00
431;1710A;22706;431/1710A/22706;Estudis i treballs tècnics;4.600,00
431;1710A;60900;431/1710A/60900;Inversió nova en infraestructura;90.000,00
431;1710A;62300;431/1710A/62300;Inversió nova en maquinària, instal. i utillatge;163.000,00
431;1710A;62500;431/1710A/62500;Mobiliari;16.000,00
431;1711A;12001;431/1711A/12001;Salaris del Grup A2;13.035,60
431;1711A;12004;431/1711A/12004;Salaris del Grup C2;42.312,30
431;1711A;12005;431/1711A/12005;Salaris del Grup E;62.043,52
431;1711A;12006;431/1711A/12006;Triennis;29.148,17
431;1711A;12100;431/1711A/12100;Complement de destí;61.130,30
431;1711A;12101;431/1711A/12101;Complement  específic;125.284,88
431;1711A;12103;431/1711A/12103;Altres complements;17.017,92
431;1711A;13000;431/1711A/13000;Retribucions bàsiques;26.097,32
431;1711A;13002;431/1711A/13002;Altres remuneracions;34.911,76
431;1711A;13100;431/1711A/13100;Laboral temporal;42.513,78
431;1711A;13102;431/1711A/13102;Altres remuneracions personal laboral temporal;58.063,74
431;1711A;15000;431/1711A/15000;Productivitat;4.149,74
431;1711A;15200;431/1711A/15200;Altres incentius;22.000,00
431;1711A;16000;431/1711A/16000;Seguretat social;158.856,61
431;1711A;20302;431/1711A/20302;Lloguers de maquinària, instal.lacions i utillatge Departaments;1.000,00
431;1711A;21000;431/1711A/21000;Manteniment d'infrastructura i béns naturals;30.000,00
431;1711A;21200;431/1711A/21200;Manteniment d’edificis i altres construccions;14.712,94
431;1711A;21300;431/1711A/21300;Manteniment de maquinària, instal·lacions i utillatge;21.556,47
431;1711A;21301;431/1711A/21301;Adaptació d'instal·lacions i maquinària;1.000,00
431;1711A;21302;431/1711A/21302;Manteniment de maquinària, instal.lacions i utillatge Departaments;1.000,00
431;1711A;21900;431/1711A/21900;Altre immobilitzat material;29.990,00
431;1711A;22100;431/1711A/22100;Energia elèctrica;113.181,12
431;1711A;22101;431/1711A/22101;Aigua;32.686,96
431;1711A;22113;431/1711A/22113;Manutenció d'animals;1.500,00
431;1711A;22199;431/1711A/22199;Altres subministraments;10,00
431;1711A;22602;431/1711A/22602;Publicitat;1.000,00
431;1711A;22699;431/1711A/22699;Altres despeses diverses;4.000,00
431;1711A;2270001;431/1711A/2270001;Contractes de neteja;65.985,26
431;1711A;22706;431/1711A/22706;Estudis i treballs tècnics;5.590,20
431;1711A;60900;431/1711A/60900;Inversió nova en infraestructura;136.000,00
431;1711A;62300;431/1711A/62300;Inversió nova en maquinària, instal. i utillatge;49.000,00
431;1711A;62500;431/1711A/62500;Mobiliari;1.000,00
432;1530A;12003;432/1530A/12003;Salaris del Grup C1;19.967,64
432;1530A;12004;432/1530A/12004;Salaris del Grup C2;8.462,46
432;1530A;12006;432/1530A/12006;Triennis;8.105,64
432;1530A;12100;432/1530A/12100;Complement de destí;17.422,16
432;1530A;12101;432/1530A/12101;Complement  específic;27.835,22
432;1530A;12103;432/1530A/12103;Altres complements;5.637,34
432;1530A;13100;432/1530A/13100;Laboral temporal;5.061,03
432;1530A;13102;432/1530A/13102;Altres remuneracions personal laboral temporal;8.039,54
432;1530A;15200;432/1530A/15200;Altres incentius;3.250,00
432;1530A;16000;432/1530A/16000;Seguretat social;28.214,43
432;1530A;22400;432/1530A/22400;Primes d’assegurances;225.000,00
432;1530A;22602;432/1530A/22602;Publicitat;10,00
432;1530A;22699;432/1530A/22699;Altres despeses diverses;10,00
432;1530B;21000;432/1530B/21000;Manteniment d'infrastructura i béns naturals;2.000,00
432;1530B;22199;432/1530B/22199;Altres subministraments;10,00
432;1530B;22706;432/1530B/22706;Estudis i treballs tècnics;38.000,00
432;1530B;22799;432/1530B/22799;Altres treballs realitzats per altres empreses i prof.;10,00
432;1532A;12001;432/1532A/12001;Salaris del Grup A2;52.142,40
432;1532A;12003;432/1532A/12003;Salaris del Grup C1;19.967,64
432;1532A;12006;432/1532A/12006;Triennis;15.490,26
432;1532A;12100;432/1532A/12100;Complement de destí;40.202,12
432;1532A;12101;432/1532A/12101;Complement  específic;74.657,80
432;1532A;12103;432/1532A/12103;Altres complements;9.393,18
432;1532A;15000;432/1532A/15000;Productivitat;2.493,68
432;1532A;15200;432/1532A/15200;Altres incentius;6.000,00
432;1532A;16000;432/1532A/16000;Seguretat social;59.078,89
432;1532A;21000;432/1532A/21000;Manteniment d'infrastructura i béns naturals;465.000,00
432;1532A;21302;432/1532A/21302;Manteniment de maquinària, instal.lacions i utillatge Departaments;10,00
432;1532A;22200;432/1532A/22200;Serveis de Telecomunicacions;3.118,18
432;1532A;22706;432/1532A/22706;Estudis i treballs tècnics;10,00
432;1532B;21000;432/1532B/21000;Manteniment d'infrastructura i béns naturals;15.010,00
432;1600A;21302;432/1600A/21302;Manteniment de maquinària, instal.lacions i utillatge Departaments;185.000,00
432;1600A;22706;432/1600A/22706;Estudis i treballs tècnics;10.970,00
432;1600A;61900;432/1600A/61900;Inver. de reposició en infraestructura;214.479,73
432;1650A;12001;432/1650A/12001;Salaris del Grup A2;43.911,84
432;1650A;12004;432/1650A/12004;Salaris del Grup C2;3.877,72
432;1650A;12006;432/1650A/12006;Triennis;6.933,03
432;1650A;12100;432/1650A/12100;Complement de destí;24.686,20
432;1650A;12101;432/1650A/12101;Complement  específic;47.136,88
432;1650A;12103;432/1650A/12103;Altres complements;6.637,50
432;1650A;15200;432/1650A/15200;Altres incentius;2.800,00
432;1650A;16000;432/1650A/16000;Seguretat social;38.306,51
432;1650A;21302;432/1650A/21302;Manteniment de maquinària, instal.lacions i utillatge Departaments;1.029.000,00
432;1650A;22100;432/1650A/22100;Energia elèctrica;2.430.034,36
432;1650A;22706;432/1650A/22706;Estudis i treballs tècnics;35.000,00
432;1650A;62300;432/1650A/62300;Inversió nova en maquinària, instal. i utillatge;148.990,26
432;1721A;21302;432/1721A/21302;Manteniment de maquinària, instal.lacions i utillatge Departaments;25.000,00
432;9331C;12001;432/9331C/12001;Salaris del Grup A2;65.178,00
432;9331C;12003;432/9331C/12003;Salaris del Grup C1;37.938,47
432;9331C;12004;432/9331C/12004;Salaris del Grup C2;76.162,14
432;9331C;12005;432/9331C/12005;Salaris del Grup E;23.266,32
432;9331C;12006;432/9331C/12006;Triennis;40.112,87
432;9331C;12100;432/9331C/12100;Complement de destí;106.243,48
432;9331C;12101;432/9331C/12101;Complement  específic;193.947,46
432;9331C;12103;432/9331C/12103;Altres complements;6.739,38
432;9331C;13100;432/9331C/13100;Laboral temporal;45.723,50
432;9331C;13102;432/9331C/13102;Altres remuneracions personal laboral temporal;58.936,29
432;9331C;15000;432/9331C/15000;Productivitat;9.333,52
432;9331C;15200;432/9331C/15200;Altres incentius;25.550,00
432;9331C;16000;432/9331C/16000;Seguretat social;206.898,50
432;9331C;20300;432/9331C/20300;Lloguers de maquinària, instal·lacions i utillatge;1.500,00
432;9331C;20400;432/9331C/20400;Lloguer de material de transport;10,00
432;9331C;21200;432/9331C/21200;Manteniment d’edificis i altres construccions;109.812,60
432;9331C;21300;432/9331C/21300;Manteniment de maquinària, instal·lacions i utillatge;140.483,79
432;9331C;22100;432/9331C/22100;Energia elèctrica;335.194,61
432;9331C;22101;432/9331C/22101;Aigua;135.652,46
432;9331C;22102;432/9331C/22102;Gas   ;79.496,82
432;9331C;22103;432/9331C/22103;Combustibles i carburants;10,00
432;9331C;22200;432/9331C/22200;Serveis de Telecomunicacions;304.371,32
432;9331C;22500;432/9331C/22500;Tributs estatals;2.000,00
432;9331C;62300;432/9331C/62300;Inversió nova en maquinària, instal. i utillatge;62.657,80
433;1331A;12001;433/1331A/12001;Salaris del Grup A2;13.035,60
433;1331A;12003;433/1331A/12003;Salaris del Grup C1;9.983,82
433;1331A;12006;433/1331A/12006;Triennis;4.306,32
433;1331A;12100;433/1331A/12100;Complement de destí;13.109,18
433;1331A;12101;433/1331A/12101;Complement  específic;22.617,42
433;1331A;12103;433/1331A/12103;Altres complements;3.522,30
433;1331A;15000;433/1331A/15000;Productivitat;2.251,90
433;1331A;15200;433/1331A/15200;Altres incentius;2.000,00
433;1331A;16000;433/1331A/16000;Seguretat social;20.300,66
433;1331A;22699;433/1331A/22699;Altres despeses diverses;10,00
433;1331A;22706;433/1331A/22706;Estudis i treballs tècnics;60.000,00
433;1331A;22799;433/1331A/22799;Altres treballs realitzats per altres empreses i prof.;726.300,00
433;1331A;62300;433/1331A/62300;Inversió nova en maquinària, instal. i utillatge;17.000,00
433;1331A;77000;433/1331A/77000;Transferències de capital a empreses privades;7.440,13
433;1331B;12000;433/1331B/12000;Salaris del Grup A1;14.824,22
433;1331B;12001;433/1331B/12001;Salaris del Grup A2;20.447,71
433;1331B;12006;433/1331B/12006;Triennis;6.146,12
433;1331B;12100;433/1331B/12100;Complement de destí;22.067,08
433;1331B;12101;433/1331B/12101;Complement  específic;39.907,21
433;1331B;12103;433/1331B/12103;Altres complements;7.448,56
433;1331B;15200;433/1331B/15200;Altres incentius;2.000,00
433;1331B;16000;433/1331B/16000;Seguretat social;26.927,08
433;1331B;21000;433/1331B/21000;Manteniment d'infrastructura i béns naturals;250.000,00
433;1331B;21302;433/1331B/21302;Manteniment de maquinària, instal.lacions i utillatge Departaments;10,00
433;1331B;62300;433/1331B/62300;Inversió nova en maquinària, instal. i utillatge;37.844,00
433;1331C;21302;433/1331C/21302;Manteniment de maquinària, instal.lacions i utillatge Departaments;328.500,00
433;1331C;22100;433/1331C/22100;Energia elèctrica;281.970,54
433;1340A;12001;433/1340A/12001;Salaris del Grup A2;13.035,60
433;1340A;12003;433/1340A/12003;Salaris del Grup C1;9.983,82
433;1340A;12004;433/1340A/12004;Salaris del Grup C2;8.462,46
433;1340A;12006;433/1340A/12006;Triennis;5.887,12
433;1340A;12100;433/1340A/12100;Complement de destí;20.085,52
433;1340A;12101;433/1340A/12101;Complement  específic;42.947,80
433;1340A;12103;433/1340A/12103;Altres complements;8.955,20
433;1340A;15000;433/1340A/15000;Productivitat;2.009,14
433;1340A;15200;433/1340A/15200;Altres incentius;3.000,00
433;1340A;16000;433/1340A/16000;Seguretat social;27.834,20
433;1340A;22000;433/1340A/22000;Material d'oficina no inventariable;10,00
433;1340A;22699;433/1340A/22699;Altres despeses diverses;1.490,00
433;1340A;22799;433/1340A/22799;Altres treballs realitzats per altres empreses i prof.;1.500,00
433;1340A;60900;433/1340A/60900;Inversió nova en infraestructura;120.000,00
433;1340A;62300;433/1340A/62300;Inversió nova en maquinària, instal. i utillatge;22.500,00
433;1340B;12001;433/1340B/12001;Salaris del Grup A2;13.035,60
433;1340B;12004;433/1340B/12004;Salaris del Grup C2;42.312,30
433;1340B;12006;433/1340B/12006;Triennis;7.077,48
433;1340B;12100;433/1340B/12100;Complement de destí;30.124,50
433;1340B;12101;433/1340B/12101;Complement  específic;60.265,24
433;1340B;12103;433/1340B/12103;Altres complements;6.988,54
433;1340B;13000;433/1340B/13000;Retribucions bàsiques;9.384,20
433;1340B;13002;433/1340B/13002;Altres remuneracions;12.442,50
433;1340B;15200;433/1340B/15200;Altres incentius;7.000,00
433;1340B;16000;433/1340B/16000;Seguretat social;49.884,27
433;4411A;12003;433/4411A/12003;Salaris del Grup C1;9.983,82
433;4411A;12006;433/4411A/12006;Triennis;3.283,92
433;4411A;12100;433/4411A/12100;Complement de destí;5.900,02
433;4411A;12101;433/4411A/12101;Complement  específic;9.079,14
433;4411A;12103;433/4411A/12103;Altres complements;2.019,88
433;4411A;15200;433/4411A/15200;Altres incentius;1.000,00
433;4411A;16000;433/4411A/16000;Seguretat social;7.792,18
433;4411A;22100;433/4411A/22100;Energia elèctrica;22.586,97
433;4411A;22101;433/4411A/22101;Aigua;6.304,03
433;4411A;47900;433/4411A/47900;Transferències corrents a empreses privades;4.273.400,00
433;4411A;62300;433/4411A/62300;Inversió nova en maquinària, instal. i utillatge;72.500,00
433;4411A;77000;433/4411A/77000;Transferències de capital a empreses privades;705.000,00
433;4412A;47900;433/4412A/47900;Transferències corrents a empreses privades;34.600,00
433;9207A;20302;433/9207A/20302;Lloguer de maquinària, instal.lacions i utillatge Departaments;10,00
433;9207A;20400;433/9207A/20400;Lloguer de material de transport;10,00
433;9207A;21400;433/9207A/21400;Elements de transport;73.500,00
433;9207A;21401;433/9207A/21401;Manteniment i conservació de material de transport;480,00
433;9207A;22103;433/9207A/22103;Combustibles i carburants;146.000,00
433;9207A;22111;433/9207A/22111;Subministraments recanvis maq., utillatge i elements transp.;10,00
433;9207A;22400;433/9207A/22400;Primes d'assegurances;58.000,00
433;9331D;12004;433/9331D/12004;Salaris del Grup C2;25.387,38
433;9331D;12005;433/9331D/12005;Salaris del Grup E;46.532,64
433;9331D;12006;433/9331D/12006;Triennis;14.095,21
433;9331D;12100;433/9331D/12100;Complement de destí;35.638,68
433;9331D;12101;433/9331D/12101;Complement  específic;75.811,82
433;9331D;12103;433/9331D/12103;Altres complements;37,92
433;9331D;13100;433/9331D/13100;Laboral temporal;35.112,74
433;9331D;13102;433/9331D/13102;Altres remuneracions personal laboral temporal;51.009,14
433;9331D;15000;433/9331D/15000;Productivitat;8.942,64
433;9331D;15200;433/9331D/15200;Altres incentius;13.000,00
433;9331D;16000;433/9331D/16000;Seguretat social;91.677,92
433;9331D;20302;433/9331D/20302;Lloguers de maquinària, instal.lacions i utillatge Departaments;10,00
433;9331D;20500;433/9331D/20500;Lloguer de mobiliari i estris;10.000,00
433;9331D;20800;433/9331D/20800;Arrendaments d'altre immobilitzat material;10,00
433;9331D;21302;433/9331D/21302;Manteniment de maquinària, instal.lacions i utillatge Departaments;10,00
433;9331D;21900;433/9331D/21900;Altres immobilitzat material;129.000,00
433;9331D;22000;433/9331D/22000;Material d'oficina no inventariable;10,00
433;9331D;22104;433/9331D/22104;Vestuari;6.000,00
433;9331D;22111;433/9331D/22111;Subministraments recanvis maq., utillatge i elements transp.;4.000,00
433;9331D;22199;433/9331D/22199;Altres subministraments;10,00
433;9331D;22699;433/9331D/22699;Altres despeses diverses;1.000,00
433;9331D;22799;433/9331D/22799;Altres treballs realitzats per altres empreses i prof.;10,00
434;1621A;12000;434/1621A/12000;Salaris del Grup A1;14.824,22
434;1621A;12006;434/1621A/12006;Triennis;106,32
434;1621A;12100;434/1621A/12100;Complement de destí;7.209,16
434;1621A;12101;434/1621A/12101;Complement  específic;11.246,48
434;1621A;15200;434/1621A/15200;Altres incentius;1.000,00
434;1621A;16000;434/1621A/16000;Seguretat social;10.801,56
434;1621A;21000;434/1621A/21000;Manteniment d'infrastructura i béns naturals;110,00
434;1621A;21302;434/1621A/21302;Manteniment de maquinària, instal.lacions i utillatge Departaments;3.000,00
434;1621A;21900;434/1621A/21900;Altre immobilitzat material;10,00
434;1621A;22100;434/1621A/22100;Energia elèctrica;282.056,58
434;1621A;22101;434/1621A/22101;Aigua;943,31
434;1621A;22199;434/1621A/22199;Altres subministraments;10,00
434;1621A;2270000;434/1621A/2270000;Recollida de residus;8.657.590,30
434;1621A;22706;434/1621A/22706;Estudis i treballs tècnics;10,00
434;1621A;60900;434/1621A/60900;Inversió nova en infraestructura;226.757,73
434;1621A;77000;434/1621A/77000;Transferències de capital a empreses privades;1.785.518,04
434;1622A;22699;434/1622A/22699;Altres despeses diverses;10,00
434;1622A;22706;434/1622A/22706;Estudis i treballs tècnics;10,00
434;1622A;48300;434/1622A/48300;Subvencions i aportacions institucionals;22.699,40
434;1623A;21000;434/1623A/21000;Manteniment d'infrastructura i béns naturals;10,00
434;1623A;21302;434/1623A/21302;Manteniment de maquinària, instal.lacions i utillatge Departaments;10,00
434;1623A;21900;434/1623A/21900;Altre immobilitzat material;10,00
434;1623A;22199;434/1623A/22199;Altres subministraments;10,00
434;1623A;2270000;434/1623A/2270000;Tractament de residus;5.318.740,00
434;1630A;12000;434/1630A/12000;Salaris del Grup A1;14.824,22
434;1630A;12001;434/1630A/12001;Salaris del Grup A2;26.071,20
434;1630A;12003;434/1630A/12003;Salaris del Grup C1;9.983,82
434;1630A;12004;434/1630A/12004;Salaris del Grup C2;16.924,92
434;1630A;12006;434/1630A/12006;Triennis;20.626,84
434;1630A;12100;434/1630A/12100;Complement de destí;40.684,00
434;1630A;12101;434/1630A/12101;Complement  específic;80.096,52
434;1630A;12103;434/1630A/12103;Altres complements;15.534,80
434;1630A;15000;434/1630A/15000;Productivitat;3.092,60
434;1630A;15200;434/1630A/15200;Altres incentius;6.000,00
434;1630A;16000;434/1630A/16000;Seguretat social;56.922,77
434;1630A;2270000;434/1630A/2270000;Neteja viària;10.558.131,92
440;1601A;12001;440/1601A/12001;Salaris del Grup A2;10.428,53
440;1601A;12004;440/1601A/12004;Salaris del Grup C2;8.462,46
440;1601A;12006;440/1601A/12006;Triennis;3.750,53
440;1601A;12100;440/1601A/12100;Complement de destí;9.095,94
440;1601A;12101;440/1601A/12101;Complement  específic;15.800,12
440;1601A;12103;440/1601A/12103;Altres complements;1.233,36
440;1601A;15200;440/1601A/15200;Altres incentius;1.800,00
440;1601A;16000;440/1601A/16000;Seguretat social;14.502,65
440;1601A;22699;440/1601A/22699;Altres despeses indirectes EDARs;2.000,00
440;1601A;22799;440/1601A/22799;Despeses indirectes gestió EDARs;178.179,07
440;1601A;2279901;440/1601A/2279901;Gestió EDAR Ripoll;1.538.744,83
440;1601A;2279902;440/1601A/2279902;Gestió EDAR Riu Sec;2.589.877,38
440;1601A;2279902;440/1601A/2279902;Millores en gestió EDAR Riu Sec;50.000,00
440;1601A;2279902;440/1601A/2279902;Posada en funcionament Membrana Bio Reac. Riu Sec;1.138.092,00
440;1601A;60900;440/1601A/60900;Inversió nova en infraestructura;40.000,00
440;1601A;63202;440/1601A/63202;Inversió de reposició en edifici;316.000,00
440;1610A;12001;440/1610A/12001;Salaris del Grup A2;13.035,60
440;1610A;12006;440/1610A/12006;Triennis;1.417,98
440;1610A;12100;440/1610A/12100;Complement de destí;5.582,36
440;1610A;12101;440/1610A/12101;Complement  específic;9.588,32
440;1610A;15200;440/1610A/15200;Altres incentius;1.000,00
440;1610A;16000;440/1610A/16000;Seguretat social;9.952,89
440;1700A;13000;440/1700A/13000;Retribucions bàsiques;15.554,72
440;1700A;13002;440/1700A/13002;Altres remuneracions;34.796,16
440;1700A;15200;440/1700A/15200;Altres incentius;1.000,00
440;1700A;16000;440/1700A/16000;Seguretat social;13.744,54
440;1700A;22001;440/1700A/22001;Premsa, revistes, llibres i altres publicacions;272,01
440;1700A;22100;440/1700A/22100;Energia elèctrica;7.506,12
440;1700A;22699;440/1700A/22699;Altres despeses diverses;450,00
440;1700A;2270001;440/1700A/2270001;Contractes de neteja;11.072,71
440;1700A;22706;440/1700A/22706;Estudis i treballs tècnics;1.300,00
440;1700A;48300;440/1700A/48300;Subvencions i aportacions institucionals;870,00
440;1720A;12000;440/1720A/12000;Salaris del Grup A1;14.824,22
440;1720A;12001;440/1720A/12001;Salaris del Grup A2;26.071,20
440;1720A;12004;440/1720A/12004;Salaris del Grup C2;8.462,46
440;1720A;12006;440/1720A/12006;Triennis;6.893,27
440;1720A;12100;440/1720A/12100;Complement de destí;24.274,04
440;1720A;12101;440/1720A/12101;Complement  específic;39.460,54
440;1720A;12103;440/1720A/12103;Altres complements;1.228,32
440;1720A;15200;440/1720A/15200;Altres incentius;4.000,00
440;1720A;16000;440/1720A/16000;Seguretat social;35.946,58
440;1721A;22699;440/1721A/22699;Energia sostenible-canvi climàtic-Agenda 21;22.500,00
440;1721A;22699;440/1721A/22699;Qualitat ambiental urbana;6.000,00
440;1721A;62200;440/1721A/62200;Inversió nova en edifici;10.000,00
440;1721A;62300;440/1721A/62300;Inversió nova en maquinària, instal. i utillatge;165.000,00
440;1722A;12000;440/1722A/12000;Salaris del Grup A1;22.236,33
440;1722A;12001;440/1722A/12001;Salaris del Grup A2;26.071,20
440;1722A;12004;440/1722A/12004;Salaris del Grup C2;8.462,46
440;1722A;12006;440/1722A/12006;Triennis;15.983,26
440;1722A;12100;440/1722A/12100;Complement de destí;30.103,50
440;1722A;12101;440/1722A/12101;Complement  específic;54.205,20
440;1722A;12103;440/1722A/12103;Altres complements;7.540,16
440;1722A;15000;440/1722A/15000;Productivitat;6.077,20
440;1722A;15200;440/1722A/15200;Altres incentius;4.000,00
440;1722A;16000;440/1722A/16000;Seguretat social;40.376,41
440;1722A;22199;440/1722A/22199;Material de suport actuacions;1.500,00
440;1722A;22699;440/1722A/22699;Dinamització programa gestió ambiental centres educatius;18.000,00
440;1722A;22799;440/1722A/22799;Ciutat i Escola;6.000,00
440;1722A;22799;440/1722A/22799;Material de suport actuacions;1.500,00
440;1722A;48900;440/1722A/48900;Subvencions a escoles Agenda 21;6.000,00
440;1723A;21001;440/1723A/21001;Horts municipals;5.940,48
440;1723A;21001;440/1723A/21001;Manteniment guals parc fluvial Ripoll;3.000,00
440;1723A;21001;440/1723A/21001;Manteniment i conservació Ripoll i Rodal;394.226,08
440;1723A;21001;440/1723A/21001;Reforestació Parc de la Salut;300,00
440;1723A;21001;440/1723A/21001;Repoblació forestal;37.000,00
440;1723A;48900;440/1723A/48900;Subvencions adreçades al medi natural;11.085,97
440;1723A;60900;440/1723A/60900;Inversió nova en infraestructura;2.799,34
440;1723A;62500;440/1723A/62500;Mobiliari;2.799,33
440;1723B;48200;440/1723B/48200;Prevenció incendis ADF;5.900,00
440;4190A;22699;440/4190A/22699;Dinamització i foment Parc Agrari;2.000,00
440;4190A;22706;440/4190A/22706;Reorientació gestió del Parc Agrari;7.300,00
440;4190A;60900;440/4190A/60900;Inversió nova en infraestructura;75.000,00
440;4190A;61900;440/4190A/61900;Inver. de reposició en infraestructura;20.000,00
500;2312C;22699;500/2312C/22699;Altres despeses diverses;5.000,00
500;2312C;22799;500/2312C/22799;Altres treballs realitzats per altres empreses i prof.;5.000,00
500;2317A;22699;500/2317A/22699;Altres despeses diverses;20.000,00
500;2317A;22706;500/2317A/22706;Estudis i treballs tècnics;10.000,00
500;2317A;22799;500/2317A/22799;Altres treballs realitzats per altres empreses i prof.;20.000,00
500;3341A;12000;500/3341A/12000;Salaris del Grup A1;7.412,11
500;3341A;12001;500/3341A/12001;Salaris del Grup A2;39.106,80
500;3341A;12003;500/3341A/12003;Salaris del Grup C1;34.943,37
500;3341A;12004;500/3341A/12004;Salaris del Grup C2;8.462,46
500;3341A;12005;500/3341A/12005;Salaris del Grup E;7.755,44
500;3341A;12006;500/3341A/12006;Triennis;13.639,90
500;3341A;12100;500/3341A/12100;Complement de destí;50.142,40
500;3341A;12101;500/3341A/12101;Complement  específic;86.457,77
500;3341A;12103;500/3341A/12103;Altres complements;22.911,93
500;3341A;15200;500/3341A/15200;Altres incentius;7.000,00
500;3341A;16000;500/3341A/16000;Seguretat social;78.041,22
500;3341A;22101;500/3341A/22101;Aigua;16.544,76
