linia_id;expedicio_id;periode_id;trajecte_id;direccio_id;sortida_hora;sortida_parada_punt_id;arribada_parada_punt_id;dia_atribut_id;
"1793";"456329";"1";"2";"2";"37020";"99";"1";"1";
"1793";"456330";"1";"2";"2";"59280";"99";"1";"1";
"1793";"456331";"1";"2";"2";"70200";"99";"1";"1";
"1792";"456166";"1";"1";"1";"52620";"1";"657";"1";
"1793";"456332";"1";"2";"2";"75600";"99";"1";"1";
"1793";"456333";"1";"2";"2";"43260";"99";"1";"1";
"1793";"456334";"1";"2";"2";"48660";"99";"1";"1";
"1793";"456335";"1";"2";"2";"54060";"99";"1";"1";
"1793";"456336";"1";"2";"2";"65040";"99";"1";"1";
"1793";"456337";"1";"2";"2";"27060";"99";"1";"1";
"1793";"456338";"1";"2";"2";"32400";"99";"1";"1";
"1793";"456339";"1";"2";"2";"38100";"99";"1";"1";
"1793";"456340";"1";"2";"2";"60300";"99";"1";"1";
"1793";"456341";"1";"2";"2";"71280";"99";"1";"1";
"1793";"456342";"1";"2";"2";"76680";"99";"1";"1";
"1793";"456343";"1";"2";"2";"44160";"99";"1";"1";
"1793";"456344";"1";"2";"2";"49560";"99";"1";"1";
"1793";"456345";"1";"2";"2";"55020";"99";"1";"1";
"1793";"456346";"1";"2";"2";"27900";"99";"1";"1";
"1793";"456347";"1";"2";"2";"33300";"99";"1";"1";
"1793";"456348";"1";"2";"2";"45060";"99";"1";"1";
"1793";"456349";"1";"2";"2";"50460";"99";"1";"1";
"1793";"456350";"1";"2";"2";"23520";"99";"1";"1";
"1793";"456351";"1";"2";"2";"39180";"99";"1";"1";
"1793";"456352";"1";"2";"2";"66060";"99";"1";"1";
"1793";"456353";"1";"2";"2";"61200";"99";"1";"1";
"1793";"456354";"1";"2";"2";"28800";"99";"1";"1";
"1793";"456355";"1";"2";"2";"34200";"99";"1";"1";
"1793";"456356";"1";"2";"2";"56040";"99";"1";"1";
"1793";"456357";"1";"2";"2";"67080";"99";"1";"1";
"1793";"456358";"1";"2";"2";"72360";"99";"1";"1";
"1793";"456359";"1";"2";"2";"77760";"99";"1";"1";
"1793";"456360";"1";"2";"2";"40260";"99";"1";"1";
"1794";"456361";"1";"1";"2";"30240";"158";"300";"1";
"1794";"456362";"1";"1";"2";"37800";"158";"300";"1";
"1794";"456363";"1";"1";"2";"45360";"158";"300";"1";
"1794";"456364";"1";"1";"2";"52620";"158";"300";"1";
"1794";"456365";"1";"1";"2";"60120";"158";"300";"1";
"1794";"456366";"1";"1";"2";"67800";"158";"300";"1";
"1794";"456367";"1";"1";"2";"19200";"158";"300";"1";
"1794";"456368";"1";"1";"2";"24900";"158";"300";"1";
"1794";"456369";"1";"1";"2";"32220";"158";"300";"1";
"1794";"456370";"1";"1";"2";"39660";"158";"300";"1";
"1794";"456371";"1";"1";"2";"47220";"158";"300";"1";
"1794";"456372";"1";"1";"2";"54540";"158";"300";"1";
"1794";"456373";"1";"1";"2";"62040";"158";"300";"1";
"1794";"456374";"1";"1";"2";"69720";"158";"300";"1";
"1794";"456375";"1";"1";"2";"26580";"158";"300";"1";
"1794";"456376";"1";"1";"2";"34260";"158";"300";"1";
"1794";"456377";"1";"1";"2";"41520";"158";"300";"1";
"1794";"456378";"1";"1";"2";"49200";"158";"300";"1";
"1794";"456379";"1";"1";"2";"56460";"158";"300";"1";
"1794";"456380";"1";"1";"2";"63960";"158";"300";"1";
"1794";"456381";"1";"1";"2";"71700";"158";"300";"1";
"1794";"456382";"1";"1";"2";"79200";"158";"300";"1";
"1794";"456383";"1";"1";"2";"28800";"158";"300";"1";
"1794";"456384";"1";"1";"2";"36000";"158";"300";"1";
"1794";"456385";"1";"1";"2";"43320";"158";"300";"1";
