DATA_REFERENCIA,NACIONALITAT,SEXE,POBLACIO
2014,GEÒRGIA                       ,Dona,7
2014,GEÒRGIA                       ,Home,5
2014,GHANA                         ,Dona,1
2014,GHANA                         ,Home,7
2014,GRÈCIA                        ,Dona,1
2014,GRÈCIA                        ,Home,1
2014,GUATEMALA                     ,Dona,4
2014,GUATEMALA                     ,Home,4
2014,"GUINEA EQUATORIAL, LA         ",Dona,2
2014,"GUINEA EQUATORIAL, LA         ",Home,3
2014,"GUINEA, LA                    ",Dona,1
2014,"GUINEA, LA                    ",Home,1
2014,HAITÍ                         ,Dona,1
2014,HAITÍ                         ,Home,1
2014,HONDURES                      ,Dona,60
2014,HONDURES                      ,Home,16
2014,HONGRIA                       ,Dona,3
2014,"ÍNDIA, L                      ",Dona,6
2014,"ÍNDIA, L                      ",Home,13
2014,"IRAN, L                       ",Dona,4
2014,"IRAN, L                       ",Home,4
2014,"IRAQ, L                       ",Dona,1
2014,"IRAQ, L                       ",Home,2
2014,IRLANDA                       ,Dona,2
2014,IRLANDA                       ,Home,1
2014,ISLÀNDIA                      ,Dona,3
2014,ISLÀNDIA                      ,Home,1
2014,ISRAEL                        ,Dona,1
2014,ITÀLIA                        ,Dona,32
2014,ITÀLIA                        ,Home,52
2014,"JAPÓ, EL                      ",Dona,1
2014,LETÒNIA                       ,Dona,1
2014,LETÒNIA                       ,Home,1
2014,LÍBIA                         ,Home,2
2014,MACEDÒNIA                     ,Home,1
2014,MALÀISIA                      ,Dona,4
2014,MALÀISIA                      ,Home,3
2014,MALI                          ,Home,1
2014,MALTA                         ,Dona,1
2014,"MARROC, EL                    ",Dona,347
2014,"MARROC, EL                    ",Home,446
2014,MAURITÀNIA                    ,Home,1
2014,MÈXIC                         ,Dona,11
2014,MÈXIC                         ,Home,14
2014,"MOÇAMBIC, EL                  ",Dona,1
2014,MOLDÀVIA                      ,Dona,7
2014,MOLDÀVIA                      ,Home,7
2014,"NEPAL,EL                      ",Home,1
2014,NICARAGUA                     ,Dona,8
2014,NICARAGUA                     ,Home,3
2014,NIGÈRIA                       ,Dona,4
2014,NIGÈRIA                       ,Home,11
2014,"PAÏSOS BAIXOS, ELS            ",Dona,8
2014,"PAÏSOS BAIXOS, ELS            ",Home,4
2014,"PAKISTAN, EL                  ",Dona,34
2014,"PAKISTAN, EL                  ",Home,99
2014,"PARAGUAI, EL                  ",Dona,56
2014,"PARAGUAI, EL                  ",Home,35
2014,"PERÚ, EL                      ",Dona,22
2014,"PERÚ, EL                      ",Home,25
2014,POLÒNIA                       ,Dona,9
2014,POLÒNIA                       ,Home,7
