DATA_REFERENCIA,MUNICIPI_PROCE_DESTI,PROVINCIA_PROCE_DESTI,TIPUS_MOVIMENT,POBLACIO
2011,LA ROCA DEL VALLÈS            ,BARCELONA,ALTA PER IMMIGRACIÓ           ,7
2011,LA TORRE DE CLARAMUNT         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,8
2011,L AMETLLA DEL VALLÈS          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,5
2011,LES FRANQUESES DEL VALLÈS     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,L HOSPITALET DE LLOBREGAT     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,194
2011,LLIÇÀ D AMUNT                 ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,LLIÇÀ DE VALL                 ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,LLINARS DEL VALLÈS            ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,MALGRAT DE MAR                ,BARCELONA,ALTA PER IMMIGRACIÓ           ,8
2011,MANLLEU                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,MANRESA                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,95
2011,MARGANELL                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,MARTORELL                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,26
2011,MARTORELLES                   ,BARCELONA,ALTA PER IMMIGRACIÓ           ,6
2011,MASQUEFA                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,9
2011,MATADEPERA                    ,BARCELONA,ALTA PER IMMIGRACIÓ           ,201
2011,MATARÓ                        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,39
2011,MEDIONA                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,MOIÀ                          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,MOLINS DE REI                 ,BARCELONA,ALTA PER IMMIGRACIÓ           ,16
2011,MOLLET DEL VALLÈS             ,BARCELONA,ALTA PER IMMIGRACIÓ           ,60
2011,MONISTROL DE MONTSERRAT       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,MONTCADA I REIXAC             ,BARCELONA,ALTA PER IMMIGRACIÓ           ,41
2011,MONTGAT                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,MONTMELÓ                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,MONTORNES DEL VALLÈS          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,MURA                          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,7
2011,NAVARCLES                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,NAVÀS                         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,OLESA DE BONESVALLS           ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,OLESA DE MONTSERRAT           ,BARCELONA,ALTA PER IMMIGRACIÓ           ,46
2011,OLIVELLA                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,PALAFOLLS                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,PALAU-SOLITÀ I PLEGAMANS      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,10
2011,PALLEJÀ                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,PARETS DEL VALLÈS             ,BARCELONA,ALTA PER IMMIGRACIÓ           ,14
2011,PIERA                         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,23
2011,PINEDA DE MAR                 ,BARCELONA,ALTA PER IMMIGRACIÓ           ,11
2011,POLINYÀ                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,10
2011,PONTONS                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,PREMIÀ DE DALT                ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,PREMIÀ DE MAR                 ,BARCELONA,ALTA PER IMMIGRACIÓ           ,20
2011,PUIG-REIG                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,RAJADELL                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,8
2011,RELLINARS                     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,29
2011,RIPOLLET                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,71
2011,RODA DE TER                   ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,RUBÍ                          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,380
2011,SABADELL                      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,572
2011,SAGÀS                         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,SALLENT                       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,6
2011,SANT ADRIÀ DE BESÒS           ,BARCELONA,ALTA PER IMMIGRACIÓ           ,11
2011,SANT ANDREU DE LA BARCA       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,14
2011,SANT ANTONI DE VILAMAJOR      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,7
2011,SANT BOI DE LLOBREGAT         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,36
2011,SANT CEBRIÀ DE VALLALTA       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,SANT CELONI                   ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,SANT CLIMENT DE LLOBREGAT     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,SANT CUGAT DEL VALLÈS         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,146
2011,SANT ESTEVE DE PALAUTORDERA   ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,SANT ESTEVE SESROVIRES        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,5
2011,SANT FELIU DE LLOBREGAT       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,19
2011,SANT FELIU SASSERRA           ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,SANT FOST DE CAMPSENTELLES    ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
2011,SANT FRUITÓS DE BAGES         ,BARCELONA,ALTA PER IMMIGRACIÓ           ,12
2011,SANT JOAN DE VILATORRADA      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,SANT JOAN DESPÍ               ,BARCELONA,ALTA PER IMMIGRACIÓ           ,17
2011,SANT JUST DESVERN             ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,SANT LLORENÇ D HORTONS        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,SANT LLORENÇ SAVALL           ,BARCELONA,ALTA PER IMMIGRACIÓ           ,6
2011,SANT MARTÍ DE CENTELLES       ,BARCELONA,ALTA PER IMMIGRACIÓ           ,1
2011,SANT PERE DE RIBES            ,BARCELONA,ALTA PER IMMIGRACIÓ           ,5
2011,SANT PERE DE RIUDEBITLLES     ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,SANT PERE DE TORELLÓ          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,2
2011,SANT POL DE MAR               ,BARCELONA,ALTA PER IMMIGRACIÓ           ,6
2011,SANT QUIRZE DEL VALLÈS        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,117
2011,SANT SADURNÍ D ANOIA          ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,SANT SALVADOR DE GUARDIOLA    ,BARCELONA,ALTA PER IMMIGRACIÓ           ,6
2011,SANT VICENÇ DE CASTELLET      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,39
2011,SANT VICENÇ DELS HORTS        ,BARCELONA,ALTA PER IMMIGRACIÓ           ,24
2011,SANTA COLOMA DE CERVELLÓ      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,4
2011,SANTA COLOMA DE GRAMENET      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,114
2011,SANTA EULÀLIA DE RONÇANA      ,BARCELONA,ALTA PER IMMIGRACIÓ           ,3
