VOTACIO,TITOL,ANY_VOTACIO,DISTRICTE,SECCIO,NUM_ELECTORS,NUM_VOTANTS,VOTS_BLANCS,VOTS_NULS,VOTS_CANDIDATURES
G,Eleccions Generals                      ,2015,4,1,1129,808,7,4,797
G,Eleccions Generals                      ,2015,5,1,1520,1133,10,2,1121
G,Eleccions Generals                      ,2015,6,1,875,647,4,0,643
G,Eleccions Generals                      ,2015,1,2,1081,802,3,2,797
G,Eleccions Generals                      ,2015,2,2,489,280,1,0,279
G,Eleccions Generals                      ,2015,3,2,1066,821,5,1,815
G,Eleccions Generals                      ,2015,4,2,1114,804,5,5,794
G,Eleccions Generals                      ,2015,5,2,1114,796,0,6,790
G,Eleccions Generals                      ,2015,6,2,1162,802,4,3,795
G,Eleccions Generals                      ,2015,2,3,811,530,7,1,522
G,Eleccions Generals                      ,2015,3,3,1169,807,4,1,802
G,Eleccions Generals                      ,2015,4,3,1235,891,3,3,885
G,Eleccions Generals                      ,2015,5,3,1481,1070,9,6,1055
G,Eleccions Generals                      ,2015,6,3,1466,984,2,2,980
