CODI_CARRER,NOM_CARRER,CODI_POSTAL,NRO_MAX,NRO_MIN
3635,"TORDERA, DE LA                ",08227,0,52
3636,"TORMES, DEL                   ",08223,1,9
3640,"TORRE, DE LA                  ",08221,1,25
3641,"TORRE DEL CASTELL-PALAU, DE LA",08221,3,8
3645,"ANTONI TORRELLA, D            ",08224,0,271
3645,"ANTONI TORRELLA, D            ",08229,221,221
3646,"CAN TORRELLA, DE              ",08227,1,2
3646,"CAN TORRELLA, DE              ",08229,0,0
3650,"TORRENT, DEL                  ",08225,1,166
3655,"TORRENT DE VALLPARADÍS, DEL   ",08221,44,48
3655,"TORRENT DE VALLPARADÍS, DEL   ",08222,7,57
3655,"TORRENT DE VALLPARADÍS, DEL   ",08223,1,53
3660,"FONTS, DE LES                 ",08228,1,9
3660,"FONTS, DE LES                 ",08229,2,14
3665,"TORRENT D EN PERE PARRES, DEL ",08221,1,36
3665,"TORRENT D EN PERE PARRES, DEL ",08223,7,7
3665,"TORRENT D EN PERE PARRES, DEL ",08225,26,130
3665,"TORRENT D EN PERE PARRES, DEL ",08229,0,0
3670,"TORTOSA, DE                   ",08227,3,121
3670,"TORTOSA, DE                   ",08229,59,59
3675,"TOSSA, DE                     ",08227,14,14
3676,"TRAMUNTANA, DE LA             ",08226,1,51
3680,TRANSVERSAL                   ,08225,0,318
3681,"TET, DE LA                    ",08226,3,31
3685,"JOSEP RIGOL I FORNAGUERA, DE  ",08222,1,19
3690,"TRÈVOL, DEL                   ",08228,1,31
3695,"CATORZE D ABRIL, DEL          ",08224,1,42
3700,"TREMP, DE                     ",08223,7,11
3701,"TRES PINS, DELS               ",08228,1,3
3701,"TRES PINS, DELS               ",08229,0,0
3705,"TRIOMF, DEL                   ",08225,1,42
3710,"TULIPA, DE LA                 ",08228,1,19
3711,"TUNÍSIA, DE                   ",08228,1,65
3715,"TÚRIA, DEL                    ",08223,0,3
3720,"UBACH I SOLER, D              ",08226,0,19
3725,"ÚBEDA, D                      ",08225,1,43
3730,"ULLASTRELL, D                 ",08226,0,53
3740,"UNIÓ, DE LA                   ",08221,1,42
3740,"UNIÓ, DE LA                   ",08229,122,122
3745,URBANO F                      ,08222,1,53
3750,"URQUINAONA, D                 ",08222,8,109
3755,"VACARISSES, DE                ",08225,2,13
3760,"VALÈNCIA, DE                  ",08224,1,7
3761,"VALENTÍ ALMIRALL, DE          ",08224,1,24
3765,"VALIRA, DE LA                 ",08227,1,8
3770,"VALL, DEL                     ",08221,1,75
3780,"VALLDOREIX, DE                ",08228,1,16
3785,"VALLÈS, DEL                   ",08222,241,335
3785,"VALLÈS, DEL                   ",08223,15,231
3785,"VALLÈS, DEL                   ",08226,27,925
3785,"VALLÈS, DEL                   ",08227,75,746
3785,"VALLÈS, DEL                   ",08228,0,206
3785,"VALLÈS, DEL                   ",08229,25,122
3786,"VALLESPIR, DEL                ",08226,4,26
3795,"VALLHONRAT, DE                ",08221,1,47
3800,"VALLPARADÍS, DE               ",08221,0,54
3800,"VALLPARADÍS, DE               ",08222,1,57
3800,"VALLPARADÍS, DE               ",08223,4,161
3810,"VALLS, DE                     ",08223,1,127
3810,"VALLS, DE                     ",08229,0,124
3825,"VÁZQUEZ DE MELLA, DE          ",08224,1,38
3825,"VÁZQUEZ DE MELLA, DE          ",08227,25,25
3830,"VELÁZQUEZ, DE                 ",08224,3,127
3830,"VELÁZQUEZ, DE                 ",08229,0,6
3835,"VÉLEZ RUBIO, DE               ",08225,1,34
3840,VELLA                         ,08221,0,20
3845,"VENDRELL, DEL                 ",08227,2,128
3850,"VENÈCIA, DE                   ",08222,0,3
3850,"VENÈCIA, DE                   ",08229,2,2
3856,"VENUS, DE                     ",08228,1,104
3856,"VENUS, DE                     ",08229,13,13
3860,"VINT-I-DOS DE JULIOL, DEL     ",08221,176,480
3860,"VINT-I-DOS DE JULIOL, DEL     ",08222,490,796
3860,"VINT-I-DOS DE JULIOL, DEL     ",08224,0,160
3860,"VINT-I-DOS DE JULIOL, DEL     ",08225,1,405
3860,"VINT-I-DOS DE JULIOL, DEL     ",08226,170,809
3860,"VINT-I-DOS DE JULIOL, DEL     ",08227,453,911
3860,"VINT-I-DOS DE JULIOL, DEL     ",08229,138,138
3865,"VINT-I-CINC DE SETEMBRE, DEL  ",08226,1,50
3865,"VINT-I-CINC DE SETEMBRE, DEL  ",08229,0,0
3875,"VIC, DE                       ",08223,3,15
3880,"VIELLA, DE                    ",08226,1,11
3885,"VENT, DEL                     ",08228,0,8
3890,"VIGO, DE                      ",08227,0,71
3891,"VIGO, DE                      ",08227,1,31
3895,"VILADECAVALLS, DE             ",08225,0,27
3900,"VILANOVA I LA GELTRÚ, DE      ",08225,9,12
3905,"VILARDELL, DE                 ",08227,0,13
3910,"VILELLA, DE                   ",08227,1,27
3915,"VILA NOVA, DE LA              ",08221,2,27
3920,"VILAFRANCA DEL PENEDÈS, DE    ",08225,2,23
3925,"VINARÒS, DE                   ",08224,5,19
3930,"VINYALS, DE                   ",08221,0,156
3930,"VINYALS, DE                   ",08223,159,188
3930,"VINYALS, DE                   ",08229,34,120
3935,"VIOLINISTA VELLSOLÀ, DE       ",08222,3,52
3940,"M.D. DE LAS ANGUSTIAS, DE LA  ",08221,34,34
3940,"M.D. DE LAS ANGUSTIAS, DE LA  ",08222,41,164
3940,"M.D. DE LAS ANGUSTIAS, DE LA  ",08229,0,0
3945,"MARE DE DÉU DEL CARME, DE LA  ",08222,1,119
3950,"M.D. DELS DESEMPARATS, DE LA  ",08222,9,39
3955,"MARE DÉU DE L ESPERANÇA, DE LA",08222,1,114
3960,"MARE DE DÉU DE LA LLUM, DE LA ",08222,1,114
3965,"MARE DE DÉU DEL MAR, DE LA    ",08222,1,135
3965,"MARE DE DÉU DEL MAR, DE LA    ",08229,0,0
3970,"MARE DE DÉU DE LES NEUS, DE LA",08222,2,113
3970,"MARE DE DÉU DE LES NEUS, DE LA",08229,100,100
3975,"MARE DE DÉU DEL PILAR, DE LA  ",08222,20,76
3980,"MARE DE DÉU DEL SOCORS, DE LA ",08222,0,142
3985,"VIVERET, DEL                  ",08221,4,192
3985,"VIVERET, DEL                  ",08229,25,25
3990,"BISCAIA, DE                   ",08227,2,77
3995,"VOLTA, DE                     ",08224,0,241
3995,"VOLTA, DE                     ",08229,100,100
3996,"VOLUNTARIS, DELS              ",08225,2,131
4000,"JOSEP MARIMON, DE             ",08225,0,41
4005,"WALT DISNEY, DE               ",08228,1,30
4005,"WALT DISNEY, DE               ",08229,0,0
4010,"WATT, DE                      ",08224,0,190
4011,"ANOIA, DE L                   ",08223,1,27
4012,"LLOBREGAT, DEL                ",08223,1,36
4012,"LLOBREGAT, DEL                ",08229,7,7
4015,"WILSON, DE                    ",08223,1,74
4015,"WILSON, DE                    ",08229,77,89
4016,"XALOC, DEL                    ",08226,1,6
4020,"ZAMORA, DE                    ",08227,1,50
4025,"SARAGOSSA, DE                 ",08227,2,54
4030,"ZULOAGA, DE                   ",08223,1,19
4050,CAN PARELLADA                 ,08228,1,5
4050,CAN PARELLADA                 ,08229,0,243
4051,IND. DE SANTA MARGARIDA       ,08229,0,11
4052,"SABADELL A LA MANCOMUNITAT, DE",08227,15,23
4052,"SABADELL A LA MANCOMUNITAT, DE",08229,0,0
4056,"LES MARTINES, DE              ",08224,0,999
4057,"LES MARTINES, DE              ",08224,1,1018
4057,"LES MARTINES, DE              ",,0,0
4058,"LES CARBONELLES, DE           ",08224,0,133
4060,CA N AMAT DE LA MUNTANYA      ,08225,0,3
4061,CAN FONOLLET                  ,08228,1,4
4062,"CAN MATA, DE                  ",08224,1,19
4063,"CAN MISSERT, DE               ",08224,0,3
4070,LA PINEDA                     ,08225,1,62
4071,CAN COLOMER                   ,08225,0,4
4072,"ALBERG INFANTIL, DE L         ",08225,1,6
4073,"MAS ESCAIOL, DEL              ",08229,11,11
4074,CAN CARBONELL                 ,08225,0,8
4075,FONT DE L ESPARDENYERA        ,08225,2,12
4075,FONT DE L ESPARDENYERA        ,08227,1,1
4077,PLA DEL BON AIRE              ,08229,0,3
4082,TORRE MOSSÈN HOMS             ,08221,1,1
4082,TORRE MOSSÈN HOMS             ,08227,1,11
4084,CAN CANDI                     ,,0,0
4086,CAN MONTLLOR                  ,08227,1,2
4086,CAN MONTLLOR                  ,08229,0,0
4089,LA BETZUCA                    ,08227,1,11
4089,LA BETZUCA                    ,,0,0
4090,CAN SALES                     ,08227,0,9
4090,CAN SALES                     ,08229,1,1
4091,HOSPITAL TÒRAX                ,08229,0,0
4093,CAN POAL                      ,08224,0,4
4094,CAN BONDIA                    ,08227,0,3
4095,VIVENDES  MOPU - MANCOMUNITAT ,08227,1,5
4096,"GRÍPIA, DE LA                 ",08227,1,19
4097,CEMENTIRI                     ,08221,45,60
4097,CEMENTIRI                     ,08229,0,0
4098,TORREBONICA                   ,08227,1,3
4098,TORREBONICA                   ,08229,0,10
4099,CAN BOGUNYÀ                   ,08225,1,2
4099,CAN BOGUNYÀ                   ,08229,1,1
4100,PLA DE LA GUITARD             ,08224,5,13
4100,PLA DE LA GUITARD             ,08229,13,13
4102,CAN BADIELLA                  ,08227,1,1
4102,CAN BADIELLA                  ,,0,0
4103,ELS BELLOTS                   ,08227,0,41
4103,ELS BELLOTS                   ,08228,29,30
4103,ELS BELLOTS                   ,,36,36
4105,"QUATRE VENTS, ELS             ",08224,1,2
4105,"QUATRE VENTS, ELS             ",08229,0,0
4106,TORRE ALAVEDRA                ,08227,3,5
4106,TORRE ALAVEDRA                ,08229,0,0
4108,VIL.LA FAUSTINA               ,08227,0,1
4116,"NÀPOLS, DE                    ",08224,1,37
4117,"TALAMANCA, DE                 ",08225,0,41
4117,"TALAMANCA, DE                 ",08226,2,6
4118,"FONT, DE LA                   ",08227,1,15
4119,"CAN CARBONELL, DE             ",08224,77,77
4119,"CAN CARBONELL, DE             ",08225,0,16
4125,"CAN FARCAN, DE                ",08227,1,358
4170,IND. DE LES GLÒRIES CATALANES ,08229,0,0
4180,NACIONAL 150                  ,08223,15,19
4180,NACIONAL 150                  ,08224,20,20
4180,NACIONAL 150                  ,08227,14,17
4180,NACIONAL 150                  ,08229,16,16
4990,"ESCULTORA, DE L               ",08225,4,8
5001,INDEPENDÈNCIA                 ,08221,1,641
5001,INDEPENDÈNCIA                 ,08229,904,904
5002,SANT PERE                     ,08225,1,131
5002,SANT PERE                     ,08229,0,0
5003,CRTA. CASTELLAR               ,08222,2,2
5004,GR.SANT LLORENÇ               ,08229,0,132
5005,GR.MONTSERRAT                 ,08229,0,40
5006,PLA DEL CIRE                  ,08227,1,1
5008,"CAN JOFRESA, DE               ",08223,1,92
5009,"CAN TUSELL, DE                ",08226,1,1
5009,"CAN TUSELL, DE                ",08229,0,0
5011,"AJUNTAMENT, DE L              ",08221,1,197
5013,"TREN DE BAIX, DEL             ",08223,10,193
5014,CAN BONVILAR                  ,08227,1,1
5015,CAN CASANOVES                 ,08228,1,1
5016,"FONT DEL COMÚ, DE LA          ",08222,3,3
5017,CAN COSTA                     ,08224,1,1
5018,"SANT JORDI, DE                ",08224,1,96
5018,"SANT JORDI, DE                ",08229,0,0
5019,"VALLPARADÍS, DE               ",08221,1,1
5019,"VALLPARADÍS, DE               ",08222,3,3
5100,"CA N AMAT, DE                 ",08228,1,36
5102,"MATADEPERA, DE                ",08226,7,20
5102,"MATADEPERA, DE                ",08229,41,41
5104,"ALGÈRIA, D                    ",08228,1,61
5500,"FOC, DEL                      ",08227,5,8
5500,"FOC, DEL                      ",,1,1
5501,"AIRE, DE L                    ",08227,1,72
5501,"AIRE, DE L                    ",08229,0,0
5502,"AIGUA, DE L                   ",08227,4,32
5503,"TERRA, DE LA                  ",08227,0,73
5504,"CAN PALET, DE                 ",08223,1,1
5505,"JOAN ARTIGUES, DE             ",08226,1,21
5506,"TERRASSA INDUSTRIAL, DE LA    ",08223,1,6
5507,"ROSA SABATER, DE              ",08227,1,1
5508,VELL D ULLASTRELL             ,08224,0,44
5509,"TORRENT DEL SALT, DEL         ",08224,1,68
5510,"FONT DEL FERRO, DE LA         ",08224,1,16
5511,"TORRENT FONDO, DEL            ",08224,1,31
5512,"VISTA ALEGRE, DE              ",08224,1,166
5513,"SANT JERONI, DE               ",08224,2,43
5514,"PAU, DE LA                    ",08224,1,1
5515,"ÀLIGA, DE L                   ",08224,1,42
5516,"ALOSA, DE L                   ",08224,1,12
5517,"ASTOR, DE L                   ",08224,1,32
5518,"BALLESTER, DEL                ",08224,1,14
5519,"CADERNERA, DE LA              ",08224,1,52
5520,"ESTORNELL, DE L               ",08224,1,37
5521,"FALCIOT, DEL                  ",08224,9,85
5522,"GAVINA, DE LA                 ",08224,2,19
5524,"MALLERENGA, DE LA             ",08224,1,77
5525,"MERLA, DE LA                  ",08224,2,17
5526,"MUSSOL, DEL                   ",08224,1,35
5527,"ORENETA, DE L                 ",08224,2,46
5528,"PARDAL, DEL                   ",08224,2,24
5529,"PERDIU, DE LA                 ",08224,1,14
5530,"PIGOT, DEL                    ",08224,1,66
5531,"PINSÀ, DEL                    ",08224,1,45
5532,"PUPUT, DE LA                  ",08224,1,37
5533,"TALLAROL, DEL                 ",08224,2,6
5534,"TORD, DEL                     ",08224,1,37
5535,"TÓRTORA, DE LA                ",08224,2,20
5536,"TUDÓ, DEL                     ",08224,1,39
5537,"XORIGUER, DEL                 ",08224,1,21
5538,"XOT, DEL                      ",08224,1,66
5539,"CAN CONILLER, DE              ",08227,3,30
5540,"CATALANS, DELS                ",08221,0,1
5541,"AGUSTÍ BARTRA, D              ",08225,1,10
5543,"CONSTITUCIÓ, DE LA            ",08226,1,7
5544,"ASSEMBLEA DE CATALUNYA, DE L  ",08224,1,5
5550,"CAN BOADA, DE                 ",08225,3,40
5551,"ANÒNIMA, DE L                 ",08224,1,1
5552,"FILATURA, DE LA               ",08224,1,15
5553,"TINT, DEL                     ",08224,1,10
5555,"CAN BARBA, DE                 ",08227,1,1
5556,MANCOMUNITAT                  ,08227,1,11
5557,"TORREBONICA, DE               ",08227,1,5
5558,"CAN CANYA, DE                 ",08227,1,1
5559,CASETES DE L ESTACIÓ          ,08227,1,12
5560,CAN PETIT                     ,08227,1,1
5561,"CASA DE LA PINEDA, DE LA      ",08225,28,63
5562,"SERRA,DE LA                   ",08225,1,40
5563,"CAUS, DELS                    ",08225,1,3
5564,"PINETONS, ELS                 ",08225,1,83
5565,"ARBÚCIES, D                   ",08225,2,12
5566,"CULTURA, DE LA                ",08225,1,10
5567,"DONA, DE LA                   ",08222,1,1
5568,"CA N ARNELLA, DE              ",08227,1,1
5569,"SANATORI, DEL                 ",08225,1,11
5570,CAN CANDI                     ,08225,1,10
5571,MONREPÒS                      ,08225,1,1
5572,"CAN BOGUNYÀ, DE               ",08225,1,15
5573,"NORD,  DEL                    ",08225,1,11
5574,CENTRAL DEL VALLÈS            ,08224,45,45
5574,CENTRAL DEL VALLÈS            ,08227,1,61
5575,CAN PARELLADA                 ,08228,1,51
5576,"JACINT MORERA, DE             ",08225,1,22
5577,"ROSA TURU, DE                 ",08225,1,1
5578,"NACIONS, DE LES               ",08227,10,84
5579,"EXTREMADURA, D                ",08227,1,30
5580,"NAVARRA, DE                   ",08227,1,22
5581,"CANTÀBRIA, DE                 ",08227,1,13
5582,"PLA DE LA CORNETA, DEL        ",08227,1,1
5583,"QUADRA DE VALLPARADÍS, DE LA  ",08221,1,1
5584,"VALENTÍ ALAGORDA, DE          ",08224,1,10
5585,"MIG, DEL                      ",08224,1,32
5587,"RAJOLERS, DELS                ",08224,1,50
5588,"CAMP DEL ROURE, DEL           ",08227,2,91
5589,"PEDRAFORCA, DEL               ",08227,1,50
5590,"MOIXERÓ, DEL                  ",08227,1,50
5591,"MONTSIÀ, DEL                  ",08227,1,38
5592,"FONT I SAGUÉ, DE              ",08227,1,75
5593,"AVENC DEL DAVÍ, DE L          ",08227,1,45
5594,"PUIGBARRAL, DE                ",08227,7,48
5595,"AURORA BERTRANA, D            ",08228,1,81
5596,"CATERINA ALBERT, DE           ",08228,1,51
5597,"MARGARIDA XIRGU, DE           ",08228,1,5
5598,"ROSA SENSAT, DE               ",08228,1,3
5599,"MARIA VERGER, DE              ",08228,1,24
5600,"LOLA ANGLADA, DE              ",08228,1,25
5601,HIPERMERCAT CAN PARELLADA     ,08228,0,30
5602,POLÍGON INDUSTRIAL COLOM II   ,08229,0,48
5603,POLÍGON IND. GLÒRIES CATALANES,08229,15,15
5605,"LLETRES, DE LES               ",08221,1,19
5606,"MARIE CURIE, DE               ",08223,1,17
5608,"DORÉ, DEL                     ",08224,1,1
5609,"AIGUA, DE L                   ",08225,1,1
5610,ROMEU DE MONTSERRAT           ,08225,5,90
5611,CAN FONT DE GAIÀ              ,08225,1,5
5612,CA N AMAT DE LES FARINES      ,08228,1,7
5613,"CAN FONT DE GAIÀ, DE          ",08225,1,5
5614,"JOAN COROMINES, DE            ",08221,2,10
5615,"ANDALUSIA, D                  ",08226,1,2
5616,LA FLORIDA                    ,08227,1,1
5617,"MARTÍ ALEGRE, DE              ",08221,1,16
5618,"FRANCESC CATALÀ-ROCA, DE      ",08222,2,12
5619,"JOAQUIM FOLGUERA, DE          ",08221,1,1
5620,"RICARD CAMÍ, DE               ",08221,1,2
5621,"CIPRIANO GARCÍA, DE           ",08226,1,1
5624,"DRETS HUMANS, DELS            ",08222,1,4
5625,"BADAJOZ, DE                   ",08227,2,12
5626,"SANT MUÇ, DE                  ",08224,2,27
5627,"TORRE IBÈRICA, DE LA          ",08224,1,16
5628,"PUIG DEL CANYET, DEL          ",08224,1,6
5629,"PUIG DE VIASTRELLA, DEL       ",08224,1,23
5630,"CAMÍ DE LA CREU DE CONILL, DEL",08224,1,154
5631,"MAS ARÚS, DEL                 ",08224,1,8
5632,"TORRENT DE CAN GUITARD, DEL   ",08224,1,130
5633,"FONT DEL MOREU, DE LA         ",08224,5,32
5634,"MARTINES, DE LES              ",08224,48,506
5634,"MARTINES, DE LES              ",,120,120
5635,"FONT DE PAU BOADA, DE         ",08224,2,28
5636,"TORRENT DE MONTCAI, DEL       ",08224,6,24
5637,"MAS DE MIRESSES, DEL          ",08224,3,38
5638,"FONT DE LA PLATA, DE LA       ",08224,7,10
5639,"CARENA DEL MAS BELLVER, DE LA ",08224,2,138
5640,"CAN MAS, DE                   ",08224,11,50
5641,"TORRENT DE SAVALL, DEL        ",08224,1,13
5642,"MAS DE LA MORADA, DEL         ",08224,1,25
5643,"CARBONELLES, DE LES           ",08224,3,67
5644,"FONT DE SANTA TERESA, DE LA   ",08224,1,15
5645,"TORRENT DE JONCAR, DEL        ",08224,3,72
5646,"MAS DE BORRELLES, DEL         ",08224,1,15
5647,"MAS DE CANET, DEL             ",08224,1,41
5648,"LLEBRE, DE LA                 ",08224,2,46
5649,"MAS DE LES ALZINES, DEL       ",08224,1,39
5650,"TEIXÓ, DEL                    ",08224,12,12
5651,"CAN SANTFELIU, DE             ",08224,4,75
5652,"SENGLAR, DEL                  ",08224,2,2
5653,"DAINA, DE LA                  ",08224,2,11
5654,"SESCOMES, DE                  ",08224,1,9
5655,"CAMP DE LES CIRERES, DEL      ",08224,2,6
5656,"CAN CURET, DE                 ",08224,8,90
5657,"MAS BRANCA, DEL               ",08224,1,85
5658,"FONT DEL RODÓ, DE LA          ",08224,9,68
5660,"VAPOR MONSET, DEL             ",08221,1,1
5661,"VAPOR DE LA COMPANYIA, DEL    ",08221,0,12
5662,"VAPOR VENTALLÓ, DEL           ",08221,1,6
5663,"JOSEFINES, DE LES             ",08224,1,5
5664,"MANEL MAÑAS,  DE              ",08225,23,23
5664,"MANEL MAÑAS,  DE              ",08228,1,3
5665,"TORRENT MITGER, DEL           ",08225,11,50
5666,"MIQUEL UTGÉS, DE              ",08225,7,7
5667,"TICO, DE                      ",08225,1,50
5668,"FERROVIARIS, DELS             ",08225,2,56
5669,"NOTARI BADIA, DEL             ",08221,2,14
5670,"JOAN BAPTISTA GALÍ, DE        ",08221,1,11
5671,"TORRENT DE LES GUERALDES, DEL ",08224,2,18
5672,"CASTRO DEL RÍO, DE            ",08225,2,140
5673,"SERÓN, DE                     ",08225,1,5
5674,"PAU AYMERICH, DE              ",08228,1,3
5677,"EMILI MIRÓ, D                 ",08224,2,40
5678,"MOSSÈN JOSEP MONCAU, DE       ",08224,2,15
5679,"PARE ALEXANDRE, DEL           ",08227,1,1
5680,"ADELINA GREGORIANO, D         ",08224,1,5
5681,SANTA MAGDALENA DE PUIGBARRAL ,08227,1,2
5682,"ROSA PUIG, DE                 ",08221,1,5
5683,"SALVAT-PAPASSEIT, DE          ",08221,1,16
5684,"PUIGSACALM, DEL               ",08227,2,25
5685,"JOAQUIM VAYREDA, DE           ",08227,1,51
5686,"CLEMENTINA ARDERIU, DE        ",08228,1,11
5688,"SEGURA, DEL                   ",08223,6,33
5689,"SÉNIA, DE LA                  ",08223,1,13
5689,"SÉNIA, DE LA                  ",08227,2,4
5690,"MEDITERRÀNIA, DE LA           ",08223,1,5
5704,PLA DE LA FONT DE L APOTECARI ,08226,1,16
5706,TORRENT MONNER                ,08222,1,2
5708,HORTES DELS FRARES            ,08221,1,3
5708,HORTES DELS FRARES            ,08222,2,2
5711,EL LLAC DE VALLPARADÍS        ,08221,6,6
5711,EL LLAC DE VALLPARADÍS        ,08222,1,5
5715,"AURONS, DELS                  ",08221,1,341
5716,"RIERA, DE LA                  ",08228,54,71
5717,"MOSSÈN JOAN FORTUNY, DE       ",08224,1,1
5718,"MOSSÈN JOSEP PONS, DE         ",08228,1,85
5721,"TORRES GARCÍA, DE             ",08221,31,39
5722,CAN PEPITO                    ,08225,20,30
5724,"ESTATUT, DE L                 ",08225,7,47
5725,"ISIDRE NONELL, D              ",08225,2,18
5726,"PERE PRAT, DE                 ",08225,1,11
5727,"ANNA FRANK, D                 ",08225,1,12
5728,"CLARA CAMPOAMOR, DE           ",08225,1,16
5729,"MERCÈ RODOREDA, DE            ",08225,2,4
5731,"OLOF PALME, D                 ",08225,1,47
5732,"PARLAMENT, DEL                ",08225,1,50
5733,"NACIONS UNIDES, DE LES        ",08225,1,18
5734,"IU PONS, D                    ",08225,1,1
5735,"CREIXELL, DE                  ",08225,1,12
5741,"EXTREMADURA, D                ",08227,41,41
5745,TORRENT DE LA FONT MONTSERRAT ,08227,1,2
5745,TORRENT DE LA FONT MONTSERRAT ,08229,2,2
5746,"MIQUEL CASAS, DE              ",08221,1,40
5747,NOVA                          ,08221,1,27
5748,"VAPOR GRAN, DEL               ",08221,1,51
5749,"COMTE GUIFRE, DEL             ",08221,1,10
5750,"TELERS, DELS                  ",08221,1,22
5751,"BALAGUER, DE                  ",08227,1,91
5757,"CASETA DE LA PINEDA, LA       ",08225,1,1
5758,"CIM, DEL                      ",08225,1,79
5759,CAN SABATER DEL TORRENT       ,08228,1,5
5760,"ARISTIDES MAILLOL, D          ",08224,1,9
5763,"PUIGCERDÀ, DE                 ",08227,1,1
5764,"PANAMÀ, DE                    ",08224,7,12
5765,"COLL DE ROQUES, DEL           ",08225,41,41
5766,"SALVADOR DALÍ, DE             ",08224,1,4
5767,"DOLORS MONTSERDÀ, DE          ",08228,2,8
5768,"ERNEST LLUCH, D               ",08222,1,1
5769,"CAMPUS, DEL                   ",08222,1,1
5770,"RAFAEL ROIG, DE               ",08222,1,15
5770,"RAFAEL ROIG, DE               ",08224,200,200
5771,HORTES DE CAN BOSC DE BASEA   ,08223,1,31
5772,RAL DE TERRASSA A SABADELL    ,08222,5,5
5772,RAL DE TERRASSA A SABADELL    ,08227,1,1
5773,POUM - ROC BLANC              ,08224,15,38
5774,DS POUM - LA MAURINA          ,08224,64,64
5774,DS POUM - LA MAURINA          ,08225,7,72
5775,"PLANS DE CAN BONVILAR, DELS   ",08227,6,40
5776,"HORTS, DELS                   ",08228,2,12
5777,"ESTEVE MAS, D                 ",08225,1,7
5779,"PIT-ROIG, DEL                 ",08224,1,2
5780,"LLANÇADORA, DE LA             ",08223,1,5
5781,"FARINERA, DE LA               ",08222,1,9
5782,"CELLER, DEL                   ",08222,1,11
5787,"PUJOL BLANC, DEL              ",08228,1,11
5788,"UCRAÏNA, D                    ",08228,2,6
5789,"XIPRE, DE                     ",08228,1,1
5790,"PAÍS BASC, DEL                ",08227,2,86
5791,"GERNIKA, DE                   ",08224,103,103
5791,"GERNIKA, DE                   ",08227,1,83
5792,TRANSVASAMENT RIERA DEL PALAU ,08224,91,127
5792,TRANSVASAMENT RIERA DEL PALAU ,08225,1,93
5793,CAN FLECA                     ,08227,1,2
5794,CA N AMAT DE LA MUNTANYA      ,08225,1,5
5795,LES HORTES VELLES             ,08223,1,1
5797,"ANTONI BADRINAS, D            ",08225,1,28
5798,"MIQUEL PUJADAS, DE            ",08225,1,8
5800,"MIQUEL I PERE COSTA, DE       ",08225,1,9
5802,"SIRACUSA, DE                  ",08224,15,15
5803,"MONTSERRAT ROIG, DE           ",08222,1,2
5804,"COOPERATIVA, DE LA            ",08225,1,13
5805,"ORDIDORES, DE LES             ",08223,1,16
5806,"MARTA MATA, DE                ",08221,1,13
5808,"TORRENT DEL BATLLE, DEL       ",08225,9,15
5809,"VINYOLES, DE LES              ",08225,38,41
5810,"MALLOL, DEL                   ",08225,2,4
5811,"VI, DEL                       ",08225,1,1
5812,"PREMSA, DE LA                 ",08225,1,3
5813,"RAÏM, DEL                     ",08225,5,5
5814,"VEREMA, DE LA                 ",08225,5,6
5815,"CEPS, DELS                    ",08225,1,7
5816,"LLUÍS PUIG I MATAS, DE        ",08225,1,8
5817,"BUROT, DEL                    ",08224,3,15
5818,"MOSSÈN BATLLE, DE             ",08227,2,18
5819,"MATERNITAT D ELNA, DE LA      ",08227,3,7
5820,"RUGADA, DE LA                 ",08227,1,7
5821,"ANTOLINA BOADA, D             ",08227,2,11
5822,"TORRENT DE LES MONGES, DEL    ",08227,4,10
5823,"TREMENTINAIRES, DE LES        ",08227,2,8
5824,"FONT DE L OLIVA, DE LA        ",08225,3,19
5847,"NUEVA CARTEYA, DE             ",08223,0,1
6200,"PUERTO RICO, DE               ",08224,1,19
9997,LLISTA DE CORREUS             ,08220,1,1
9999,APARTAT DE CORREUS            ,08220,10,9999
9999,APARTAT DE CORREUS            ,08221,287,1076
9999,APARTAT DE CORREUS            ,08223,2002,2004
9999,APARTAT DE CORREUS            ,08224,5006,5018
9999,APARTAT DE CORREUS            ,08225,2003,3048
9999,APARTAT DE CORREUS            ,08228,1028,1165
9999,APARTAT DE CORREUS            ,08229,148,353
9999,APARTAT DE CORREUS            ,08230,87,87
9999,APARTAT DE CORREUS            ,,3020,3020
