ï»¿DATA_REFERENCIA,LLOC_NAIXAMENT,NACIONALITAT,NIVELL_ESTUDI,POBLACIO
2013,"ARGENTINA, L                  ",ESPANYA                       ,"Llicenciat Universitari, Arqui",70
2014,"ARGENTINA, L                  ",ITÀLIA                        ,Desconegut                    ,11
2016,"ARGENTINA, L                  ","ARGENTINA, L                  ",Altres titulacions mitjanes (A,6
2015,ESPANYA                       ,BANGLA DESH                   ,No aplicable per ser més petit,1
2017,SÍRIA                         ,SÍRIA                         ,"Batxiller Elemental, Graduat E",6
2014,"NEPAL,EL                      ",ESPANYA                       ,Ensenyament primari incomplert,1
2017,ESLOVÀQUIA                    ,ESLOVÀQUIA                    ,"Batxiller Elemental, Graduat E",1
2014,COLÒMBIA                      ,ALEMANYA                      ,Formació professional de Segon,1
2014,"FILIPINES, LES                ",ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2012,NIGÈRIA                       ,NIGÈRIA                       ,"Batxiller Elemental, Graduat E",43
2015,"BRASIL, EL                    ",ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,2
2015,XILE                          ,ITÀLIA                        ,Batxiller superior. BUP. Batxi,2
2011,COLÒMBIA                      ,ESPANYA                       ,Sense estudis                 ,4
2012,"ÍNDIA, L                      ",ESPANYA                       ,Ensenyament primari incomplert,1
2011,ESPANYA                       ,ESPANYA                       ,Doctorat i Estudis de postgrau,1116
2013,"ARGENTINA, L                  ",ITÀLIA                        ,Formació professional Primer G,7
2015,"PARAGUAI, EL                  ",ESPANYA                       ,Batxiller superior. BUP. Batxi,15
2014,VENEÇUELA                     ,FRANÇA                        ,Arquitecte o Enginyer Tècnic  ,1
2016,"BRASIL, EL                    ","BRASIL, EL                    ",Doctorat i Estudis de postgrau,4
2014,ROMANIA                       ,ROMANIA                       ,Formació professional Primer G,38
2013,"ARGENTINA, L                  ",ITÀLIA                        ,No aplicable per ser més petit,6
2013,"KAZAKHSTAN, EL                ","KAZAKHSTAN, EL                ","Batxiller Elemental, Graduat E",1
2011,BURKINA FASO                  ,BURKINA FASO                  ,Altres titulacions mitjanes (A,1
2015,"REPÚBLICA DOMINICANA, LA      ","PAÏSOS BAIXOS, ELS            ",Ensenyament primari incomplert,1
2011,"ÍNDIA, L                      ",ESPANYA                       ,No aplicable per ser més petit,4
2017,UCRAÏNA                       ,ROMANIA                       ,Batxiller superior. BUP. Batxi,1
2012,TAIWAN                        ,TAIWAN                        ,"Llicenciat Universitari, Arqui",1
2016,"ÍNDIA, L                      ","ÍNDIA, L                      ",No sap llegir ni escriure     ,1
2013,"ARGENTINA, L                  ","ARGENTINA, L                  ",Desconegut                    ,42
2011,VENEÇUELA                     ,ESPANYA                       ,Altres titulacions mitjanes (A,2
2015,"PARAGUAI, EL                  ","PARAGUAI, EL                  ",Diplomat en Escoles Università,13
2011,"COSTA D IVORI, LA             ",ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2017,"URUGUAI, L                    ","URUGUAI, L                    ",Diplomat en Escoles Università,6
2016,COLÒMBIA                      ,"ESTATS UNITS D AMÈRICA, ELS   ",Diplomat en Escoles Università,1
2011,ALEMANYA                      ,ESPANYA                       ,Doctorat i Estudis de postgrau,1
2013,TUNÍSIA                       ,ESPANYA                       ,"Batxiller Elemental, Graduat E",2
2012,ALTRES PAÏSOS D ÀSIA          ,ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2017,COLÒMBIA                      ,ALEMANYA                      ,Desconegut                    ,3
2013,JORDÀNIA                      ,JORDÀNIA                      ,"Batxiller Elemental, Graduat E",2
2016,ESPANYA                       ,ROMANIA                       ,Ensenyament primari incomplert,5
2013,"REGNE UNIT, EL                ",ESPANYA                       ,"Llicenciat Universitari, Arqui",4
2011,"GUINEA, LA                    ","GUINEA, LA                    ",Desconegut                    ,4
2014,JORDÀNIA                      ,JORDÀNIA                      ,Desconegut                    ,2
2017,ESPANYA                       ,ESPANYA                       ,Formació professional Primer G,12662
2011,"XINA, LA                      ","XINA, LA                      ",Desconegut                    ,154
2013,CUBA                          ,CUBA                          ,Formació professional de Segon,10
2013,XILE                          ,XILE                          ,Formació professional Primer G,18
2011,FRANÇA                        ,PORTUGAL                      ,Desconegut                    ,1
2017,VENEÇUELA                     ,VENEÇUELA                     ,"Llicenciat Universitari, Arqui",87
2014,ESPANYA                       ,"REPÚBLICA DOMINICANA, LA      ",No aplicable per ser més petit,60
2016,"SENEGAL, EL                   ","SENEGAL, EL                   ",Formació professional Primer G,15
2011,"BRASIL, EL                    ","BRASIL, EL                    ",Diplomat en Escoles Università,13
2016,ESPANYA                       ,"MARROC, EL                    ",Ensenyament primari incomplert,324
2011,"SENEGAL, EL                   ","SENEGAL, EL                   ",Batxiller superior. BUP. Batxi,112
2014,ANDORRA                       ,ESPANYA                       ,No aplicable per ser més petit,4
2011,"COSTA D IVORI, LA             ","COSTA D IVORI, LA             ",Batxiller superior. BUP. Batxi,1
2013,ARMÈNIA                       ,ARMÈNIA                       ,Doctorat i Estudis de postgrau,1
2015,"PARAGUAI, EL                  ","PARAGUAI, EL                  ",Arquitecte o Enginyer Tècnic  ,1
2012,COLÒMBIA                      ,COLÒMBIA                      ,Doctorat i Estudis de postgrau,10
2015,"BRASIL, EL                    ","BRASIL, EL                    ","Llicenciat Universitari, Arqui",11
2013,"GUINEA EQUATORIAL, LA         ",ESPANYA                       ,Sense estudis                 ,1
2017,"COSTA D IVORI, LA             ",ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2016,XILE                          ,ITÀLIA                        ,"Llicenciat Universitari, Arqui",2
2012,COLÒMBIA                      ,COLÒMBIA                      ,No sap llegir ni escriure     ,3
2012,VENEÇUELA                     ,VENEÇUELA                     ,Altres titulacions mitjanes (A,6
2014,MAURITÀNIA                    ,MAURITÀNIA                    ,"Batxiller Elemental, Graduat E",2
2013,"GUINEA BISSAU, LA             ",PORTUGAL                      ,"Batxiller Elemental, Graduat E",1
2014,HONDURES                      ,HONDURES                      ,Ensenyament primari incomplert,67
2015,"REGNE UNIT, EL                ","REGNE UNIT, EL                ",Ensenyament primari incomplert,5
2017,EGIPTE                        ,EGIPTE                        ,"Llicenciat Universitari, Arqui",6
2012,ROMANIA                       ,ROMANIA                       ,Arquitecte o Enginyer Tècnic  ,5
2011,"ÍNDIA, L                      ",PORTUGAL                      ,"Batxiller Elemental, Graduat E",1
2014,POLÒNIA                       ,POLÒNIA                       ,Sense estudis                 ,1
2017,CUBA                          ,SUÏSSA                        ,"Llicenciat Universitari, Arqui",1
2012,"ARGENTINA, L                  ","ARGENTINA, L                  ","Llicenciat Universitari, Arqui",42
2013,"BRASIL, EL                    ",ESPANYA                       ,Desconegut                    ,6
2013,EGIPTE                        ,ESPANYA                       ,Desconegut                    ,1
2017,"EQUADOR, L                    ","EQUADOR, L                    ",Ensenyament primari incomplert,195
2016,"BRASIL, EL                    ","BRASIL, EL                    ","Llicenciat Universitari, Arqui",13
2011,HONDURES                      ,HONDURES                      ,"Batxiller Elemental, Graduat E",72
2017,"EQUADOR, L                    ",ESPANYA                       ,Batxiller superior. BUP. Batxi,326
2011,"ARGENTINA, L                  ",ALEMANYA                      ,"Llicenciat Universitari, Arqui",1
2015,MÈXIC                         ,MÈXIC                         ,Doctorat i Estudis de postgrau,11
2013,"PERÚ, EL                      ","PERÚ, EL                      ",No aplicable per ser més petit,21
2017,COLÒMBIA                      ,COLÒMBIA                      ,Titulats d estudis superiors n,1
2016,ESPANYA                       ,GUATEMALA                     ,No aplicable per ser més petit,1
2015,ALEMANYA                      ,ALEMANYA                      ,Diplomat en Escoles Università,13
2016,CUBA                          ,ITÀLIA                        ,"Llicenciat Universitari, Arqui",2
2012,ALBÀNIA                       ,ALBÀNIA                       ,"Batxiller Elemental, Graduat E",13
2013,"EQUADOR, L                    ","EQUADOR, L                    ","Llicenciat Universitari, Arqui",31
2011,"EQUADOR, L                    ","EQUADOR, L                    ",Diplomat en Escoles Università,52
2017,BULGÀRIA                      ,BULGÀRIA                      ,Batxiller superior. BUP. Batxi,10
2012,BOLÍVIA                       ,BOLÍVIA                       ,Titulats d estudis superiors n,2
2013,ESPANYA                       ,ESPANYA                       ,No aplicable per ser més petit,22997
2015,ESPANYA                       ,"MARROC, EL                    ",Ensenyament primari incomplert,234
2013,CUBA                          ,ESPANYA                       ,Ensenyament primari incomplert,27
2017,"ARGENTINA, L                  ","ARGENTINA, L                  ",Formació professional Primer G,15
2017,"GUINEA EQUATORIAL, LA         ",ESPANYA                       ,Formació professional Primer G,4
2011,MALI                          ,MALI                          ,Desconegut                    ,8
2012,"URUGUAI, L                    ",ITÀLIA                        ,Ensenyament primari incomplert,16
2012,BÈLGICA                       ,BÈLGICA                       ,"Llicenciat Universitari, Arqui",9
2016,MÈXIC                         ,ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,2
2013,ESPANYA                       ,PORTUGAL                      ,No sap llegir ni escriure     ,2
2017,"URUGUAI, L                    ","URUGUAI, L                    ","Llicenciat Universitari, Arqui",8
2011,TURQUIA                       ,TURQUIA                       ,Doctorat i Estudis de postgrau,1
2014,"GUINEA, LA                    ",ESPANYA                       ,Ensenyament primari incomplert,1
2017,XILE                          ,"PAÏSOS BAIXOS, ELS            ",Batxiller superior. BUP. Batxi,1
2017,"ÍNDIA, L                      ","ÍNDIA, L                      ",Altres titulacions mitjanes (A,2
2012,"GUINEA BISSAU, LA             ","GUINEA BISSAU, LA             ",Batxiller superior. BUP. Batxi,2
2017,ANDORRA                       ,ANDORRA                       ,Batxiller superior. BUP. Batxi,3
2015,NIGÈRIA                       ,NIGÈRIA                       ,Batxiller superior. BUP. Batxi,9
2015,"PAÏSOS BAIXOS, ELS            ","PAÏSOS BAIXOS, ELS            ",Batxiller superior. BUP. Batxi,1
2015,XILE                          ,SUÈCIA                        ,"Batxiller Elemental, Graduat E",1
2017,BOLÍVIA                       ,BOLÍVIA                       ,Altres titulacions mitjanes (A,7
2013,ITÀLIA                        ,ITÀLIA                        ,Titulats d estudis superiors n,1
2014,BOLÍVIA                       ,BOLÍVIA                       ,Titulats d estudis superiors n,1
2011,"PARAGUAI, EL                  ",ITÀLIA                        ,Formació professional Primer G,1
2016,"URUGUAI, L                    ",ESPANYA                       ,Ensenyament primari incomplert,45
2014,XILE                          ,ESPANYA                       ,"Batxiller Elemental, Graduat E",47
2012,"REGNE UNIT, EL                ",ESPANYA                       ,Formació professional Primer G,2
2016,VENEÇUELA                     ,ESPANYA                       ,No aplicable per ser més petit,9
2015,"URUGUAI, L                    ",ITÀLIA                        ,Desconegut                    ,3
2017,HONDURES                      ,HONDURES                      ,Sense estudis                 ,3
2016,"EQUADOR, L                    ",ESPANYA                       ,Ensenyament primari incomplert,471
2013,BÈLGICA                       ,BÈLGICA                       ,Diplomat en Escoles Università,3
2011,BULGÀRIA                      ,BULGÀRIA                      ,Batxiller superior. BUP. Batxi,14
2014,"FILIPINES, LES                ",ESPANYA                       ,Ensenyament primari incomplert,1
2017,GHANA                         ,GHANA                         ,Batxiller superior. BUP. Batxi,1
2012,HONGRIA                       ,ESPANYA                       ,Sense estudis                 ,1
2015,SUÏSSA                        ,"EQUADOR, L                    ",No aplicable per ser més petit,1
2015,FRANÇA                        ,ESPANYA                       ,"Batxiller Elemental, Graduat E",118
2017,TURQUIA                       ,ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2011,"MARROC, EL                    ","MARROC, EL                    ",Arquitecte o Enginyer Tècnic  ,10
2016,"CAMERUN, EL                   ","CAMERUN, EL                   ",Batxiller superior. BUP. Batxi,2
2017,ESPANYA                       ,ALGÈRIA                       ,No aplicable per ser més petit,11
2016,"PAKISTAN, EL                  ","PAKISTAN, EL                  ",Formació professional de Segon,5
2015,"GUINEA EQUATORIAL, LA         ","GUINEA EQUATORIAL, LA         ",Formació professional de Segon,5
2016,"COSTA D IVORI, LA             ",FRANÇA                        ,Arquitecte o Enginyer Tècnic  ,1
2014,CUBA                          ,CUBA                          ,Doctorat i Estudis de postgrau,3
2016,"XINA, LA                      ",ESPANYA                       ,Desconegut                    ,1
2011,CUBA                          ,POLÒNIA                       ,Batxiller superior. BUP. Batxi,1
2015,NIGÈRIA                       ,NIGÈRIA                       ,Ensenyament primari incomplert,26
2013,PORTUGAL                      ,ESPANYA                       ,"Batxiller Elemental, Graduat E",3
2015,"PERÚ, EL                      ",ALEMANYA                      ,Diplomat en Escoles Università,1
2013,VENEÇUELA                     ,ESPANYA                       ,Altres titulacions mitjanes (A,2
2014,ESPANYA                       ,"SENEGAL, EL                   ",Ensenyament primari incomplert,4
2014,SÍRIA                         ,SÍRIA                         ,Arquitecte o Enginyer Tècnic  ,1
2012,COLÒMBIA                      ,COLÒMBIA                      ,Desconegut                    ,73
2013,ESPANYA                       ,"BRASIL, EL                    ",No aplicable per ser més petit,4
2013,ISLÀNDIA                      ,ISLÀNDIA                      ,Diplomat en Escoles Università,1
2014,"CAMERUN, EL                   ",ESPANYA                       ,Formació professional de Segon,1
2012,FRANÇA                        ,ESPANYA                       ,Diplomat en Escoles Università,16
2011,COLÒMBIA                      ,COLÒMBIA                      ,Formació professional Primer G,29
2015,NIGÈRIA                       ,VENEÇUELA                     ,Diplomat en Escoles Università,1
2015,ESPANYA                       ,PORTUGAL                      ,Ensenyament primari incomplert,4
2011,"ESTATS UNITS D AMÈRICA, ELS   ","ESTATS UNITS D AMÈRICA, ELS   ",Batxiller superior. BUP. Batxi,5
2013,ALTRES PAÏSOS D ÀSIA          ,ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2016,"CANADÀ, EL                    ","CANADÀ, EL                    ",Formació professional Primer G,1
2017,GRÈCIA                        ,LITUÀNIA                      ,"Llicenciat Universitari, Arqui",1
2013,ALBÀNIA                       ,ALBÀNIA                       ,Desconegut                    ,5
2015,BOLÍVIA                       ,BOLÍVIA                       ,Diplomat en Escoles Università,10
2017,VENEÇUELA                     ,"REGNE UNIT, EL                ","Llicenciat Universitari, Arqui",1
2014,NICARAGUA                     ,ESPANYA                       ,Doctorat i Estudis de postgrau,2
2012,"PERÚ, EL                      ","PERÚ, EL                      ",Desconegut                    ,57
2015,GUATEMALA                     ,ESPANYA                       ,Batxiller superior. BUP. Batxi,9
2011,GEÒRGIA                       ,GEÒRGIA                       ,Ensenyament primari incomplert,4
2014,"ESTATS UNITS D AMÈRICA, ELS   ",ESPANYA                       ,Doctorat i Estudis de postgrau,5
2015,"ESTATS UNITS D AMÈRICA, ELS   ","ESTATS UNITS D AMÈRICA, ELS   ",Formació professional Primer G,2
2016,ESPANYA                       ,ESPANYA                       ,Formació professional de Segon,8728
2015,"PAKISTAN, EL                  ","PAKISTAN, EL                  ",Sense estudis                 ,9
2017,"PERÚ, EL                      ","PERÚ, EL                      ","Batxiller Elemental, Graduat E",91
2016,MOLDÀVIA                      ,PORTUGAL                      ,Diplomat en Escoles Università,1
2016,ANDORRA                       ,ESPANYA                       ,Formació professional Primer G,1
2015,"URUGUAI, L                    ",ITÀLIA                        ,Batxiller superior. BUP. Batxi,18
2015,COSTA RICA                    ,COSTA RICA                    ,"Batxiller Elemental, Graduat E",1
2014,COLÒMBIA                      ,ESPANYA                       ,"Batxiller Elemental, Graduat E",289
2017,NO CONSTA                     ,ITÀLIA                        ,Formació professional de Segon,1
2017,GEÒRGIA                       ,GEÒRGIA                       ,"Batxiller Elemental, Graduat E",8
2011,CUBA                          ,CUBA                          ,Formació professional de Segon,17
2011,"GUINEA EQUATORIAL, LA         ",ESPANYA                       ,Ensenyament primari incomplert,6
2014,"SENEGAL, EL                   ",ESPANYA                       ,No aplicable per ser més petit,4
2013,ARMÈNIA                       ,ARMÈNIA                       ,Formació professional de Segon,1
2016,"PARAGUAI, EL                  ","PARAGUAI, EL                  ",Diplomat en Escoles Università,15
2016,ALTRES PAÏSOS D EUROPA        ,ESPANYA                       ,"Batxiller Elemental, Graduat E",1
2011,"ESTATS UNITS D AMÈRICA, ELS   ","ESTATS UNITS D AMÈRICA, ELS   ",Formació professional Primer G,1
2015,"PAÏSOS BAIXOS, ELS            ",ESPANYA                       ,"Batxiller Elemental, Graduat E",4
2012,ALEMANYA                      ,ITÀLIA                        ,"Batxiller Elemental, Graduat E",1
2011,"BRASIL, EL                    ",ESPANYA                       ,Doctorat i Estudis de postgrau,2
2015,"URUGUAI, L                    ",ITÀLIA                        ,Formació professional Primer G,6
2016,BULGÀRIA                      ,BULGÀRIA                      ,Diplomat en Escoles Università,10
2013,"PERÚ, EL                      ","PERÚ, EL                      ",Doctorat i Estudis de postgrau,4
2013,"PARAGUAI, EL                  ",ESPANYA                       ,Batxiller superior. BUP. Batxi,6
2016,GUATEMALA                     ,ESPANYA                       ,Ensenyament primari incomplert,7
2017,HONDURES                      ,HONDURES                      ,No sap llegir ni escriure     ,2
2015,IRLANDA                       ,ESPANYA                       ,Titulats d estudis superiors n,1
2013,UCRAÏNA                       ,UCRAÏNA                       ,Formació professional Primer G,9
2013,ESPANYA                       ,"SENEGAL, EL                   ",No aplicable per ser més petit,186
2013,MÈXIC                         ,MÈXIC                         ,Batxiller superior. BUP. Batxi,18
2011,"REPÚBLICA DOMINICANA, LA      ",ITÀLIA                        ,Altres titulacions mitjanes (A,1
2017,ZIMBABWE                      ,ZIMBABWE                      ,Desconegut                    ,1
2015,"IRAQ, L                       ","IRAQ, L                       ","Llicenciat Universitari, Arqui",1
2017,"URUGUAI, L                    ",ESPANYA                       ,Sense estudis                 ,4
2013,"BRASIL, EL                    ",SUÏSSA                        ,Batxiller superior. BUP. Batxi,1
2014,"VIETNAM, EL                   ","VIETNAM, EL                   ",Doctorat i Estudis de postgrau,1
2014,EGIPTE                        ,EGIPTE                        ,Desconegut                    ,2
2014,EGIPTE                        ,EGIPTE                        ,Batxiller superior. BUP. Batxi,2
2013,ROMANIA                       ,ROMANIA                       ,Diplomat en Escoles Università,21
2016,"EQUADOR, L                    ",ESPANYA                       ,"Llicenciat Universitari, Arqui",72
2017,ESLOVÀQUIA                    ,ESLOVÀQUIA                    ,Desconegut                    ,1
2016,"MARROC, EL                    ","MARROC, EL                    ","Batxiller Elemental, Graduat E",1882
2011,"GUINEA EQUATORIAL, LA         ",ESPANYA                       ,Diplomat en Escoles Università,2
2013,ÀUSTRIA                       ,ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,1
2015,MOLDÀVIA                      ,MOLDÀVIA                      ,Diplomat en Escoles Università,7
2011,"BRASIL, EL                    ","BRASIL, EL                    ",Altres titulacions mitjanes (A,5
2012,DOMINICA                      ,ESPANYA                       ,"Batxiller Elemental, Graduat E",1
2014,UCRAÏNA                       ,UCRAÏNA                       ,Desconegut                    ,11
2017,JORDÀNIA                      ,ESPANYA                       ,Doctorat i Estudis de postgrau,2
2013,"GUINEA EQUATORIAL, LA         ",ESPANYA                       ,Formació professional Primer G,6
2012,"EQUADOR, L                    ",ITÀLIA                        ,"Batxiller Elemental, Graduat E",6
2016,MÈXIC                         ,MÈXIC                         ,No sap llegir ni escriure     ,1
2014,"EQUADOR, L                    ",ESPANYA                       ,"Batxiller Elemental, Graduat E",698
2015,"ÍNDIA, L                      ","ÍNDIA, L                      ",Doctorat i Estudis de postgrau,5
2014,PORTUGAL                      ,PORTUGAL                      ,Sense estudis                 ,13
2011,FRANÇA                        ,ESPANYA                       ,No sap llegir ni escriure     ,7
2015,ARMÈNIA                       ,ARMÈNIA                       ,"Llicenciat Universitari, Arqui",4
2016,EL SALVADOR                   ,EL SALVADOR                   ,Batxiller superior. BUP. Batxi,14
2017,POLÒNIA                       ,POLÒNIA                       ,Doctorat i Estudis de postgrau,5
2016,ESPANYA                       ,"PAÏSOS BAIXOS, ELS            ","Llicenciat Universitari, Arqui",1
2011,GEÒRGIA                       ,GEÒRGIA                       ,Diplomat en Escoles Università,4
2014,ESPANYA                       ,ALEMANYA                      ,"Batxiller Elemental, Graduat E",1
2012,ALTRES PAÏSOS D ÀSIA          ,"ESTATS UNITS D AMÈRICA, ELS   ",Ensenyament primari incomplert,1
2015,"URUGUAI, L                    ",POLÒNIA                       ,Desconegut                    ,1
2015,TURQUIA                       ,TURQUIA                       ,Diplomat en Escoles Università,1
2011,UCRAÏNA                       ,UCRAÏNA                       ,Desconegut                    ,22
2014,"PAÏSOS BAIXOS, ELS            ","PAÏSOS BAIXOS, ELS            ",No aplicable per ser més petit,6
2015,"REPÚBLICA TXECA, LA           ","REPÚBLICA TXECA, LA           ",Doctorat i Estudis de postgrau,1
2013,COLÒMBIA                      ,COLÒMBIA                      ,Batxiller superior. BUP. Batxi,163
2015,NICARAGUA                     ,ESPANYA                       ,Batxiller superior. BUP. Batxi,3
2011,ESPANYA                       ,ITÀLIA                        ,No aplicable per ser més petit,44
2015,POLÒNIA                       ,POLÒNIA                       ,No aplicable per ser més petit,3
2012,ANDORRA                       ,ANDORRA                       ,"Batxiller Elemental, Graduat E",1
2013,BULGÀRIA                      ,BULGÀRIA                      ,Diplomat en Escoles Università,10
2015,"GUINEA, LA                    ",ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2013,BULGÀRIA                      ,ESPANYA                       ,"Batxiller Elemental, Graduat E",1
2014,ALEMANYA                      ,ESPANYA                       ,Altres titulacions mitjanes (A,2
2013,ESPANYA                       ,ALEMANYA                      ,Formació professional de Segon,1
2013,ANDORRA                       ,ESPANYA                       ,Sense estudis                 ,1
2011,MÈXIC                         ,ESPANYA                       ,Diplomat en Escoles Università,8
2011,"REPÚBLICA DOMINICANA, LA      ",ESPANYA                       ,Formació professional de Segon,4
2017,ALEMANYA                      ,"SENEGAL, EL                   ",No aplicable per ser més petit,1
2012,XILE                          ,ESPANYA                       ,Doctorat i Estudis de postgrau,2
2012,GUATEMALA                     ,GUATEMALA                     ,Desconegut                    ,3
2014,ANDORRA                       ,ESPANYA                       ,Formació professional Primer G,2
2012,"REGNE UNIT, EL                ",ESPANYA                       ,"Batxiller Elemental, Graduat E",9
2015,"COSTA D IVORI, LA             ",ESPANYA                       ,Batxiller superior. BUP. Batxi,1
2015,MOLDÀVIA                      ,ESPANYA                       ,Altres titulacions mitjanes (A,1
2015,"PERÚ, EL                      ",ESPANYA                       ,Desconegut                    ,19
2016,REPUBLICA DEMOCRATICA ALEMANA ,ESPANYA                       ,Formació professional de Segon,2
2013,"JAPÓ, EL                      ","JAPÓ, EL                      ",Batxiller superior. BUP. Batxi,1
2017,"PARAGUAI, EL                  ","PARAGUAI, EL                  ",Desconegut                    ,55
2012,"URUGUAI, L                    ",ESPANYA                       ,Titulats d estudis superiors n,2
2016,"BRASIL, EL                    ","BRASIL, EL                    ",Ensenyament primari incomplert,65
2016,XIPRE                         ,XIPRE                         ,Desconegut                    ,1
2011,"IRAN, L                       ","PAÏSOS BAIXOS, ELS            ","Llicenciat Universitari, Arqui",1
2017,"MARROC, EL                    ",ESPANYA                       ,"Llicenciat Universitari, Arqui",49
2014,GHANA                         ,GHANA                         ,Desconegut                    ,2
2016,VENEÇUELA                     ,HONGRIA                       ,"Llicenciat Universitari, Arqui",1
2014,NORUEGA                       ,NORUEGA                       ,Arquitecte o Enginyer Tècnic  ,1
2012,"REGNE UNIT, EL                ",ESPANYA                       ,No aplicable per ser més petit,11
2014,HONDURES                      ,HONDURES                      ,No aplicable per ser més petit,12
2012,"ARGENTINA, L                  ",ITÀLIA                        ,No sap llegir ni escriure     ,3
2012,"LÍBAN, EL                     ","LÍBAN, EL                     ",Ensenyament primari incomplert,1
2016,UCRAÏNA                       ,UCRAÏNA                       ,Altres titulacions mitjanes (A,2
2017,BÈLGICA                       ,"MARROC, EL                    ",No aplicable per ser més petit,2
2017,ESPANYA                       ,"BRASIL, EL                    ",Desconegut                    ,1
2017,ESPANYA                       ,ESPANYA                       ,Ensenyament primari incomplert,34062
2014,KUWAIT                        ,JORDÀNIA                      ,Batxiller superior. BUP. Batxi,1
2013,ALEMANYA                      ,ESPANYA                       ,Sense estudis                 ,2
2012,BULGÀRIA                      ,BULGÀRIA                      ,Arquitecte o Enginyer Tècnic  ,4
2014,FRANÇA                        ,FRANÇA                        ,Arquitecte o Enginyer Tècnic  ,1
2016,"PAÏSOS BAIXOS, ELS            ","MARROC, EL                    ","Batxiller Elemental, Graduat E",1
2017,ESPANYA                       ,ESPANYA                       ,No sap llegir ni escriure     ,5854
2011,ALGÈRIA                       ,ESPANYA                       ,Desconegut                    ,1
2016,BULGÀRIA                      ,ESPANYA                       ,Batxiller superior. BUP. Batxi,3
2012,"LÍBAN, EL                     ","LÍBAN, EL                     ",Formació professional Primer G,1
2016,MOLDÀVIA                      ,MOLDÀVIA                      ,Arquitecte o Enginyer Tècnic  ,1
2016,ESPANYA                       ,"REPÚBLICA DOMINICANA, LA      ",No aplicable per ser més petit,43
2011,VENEÇUELA                     ,ITÀLIA                        ,No aplicable per ser més petit,1
2014,ESPANYA                       ,IRLANDA                       ,No aplicable per ser més petit,1
2012,TURQUIA                       ,ESPANYA                       ,Batxiller superior. BUP. Batxi,2
2011,ANDORRA                       ,ANDORRA                       ,No aplicable per ser més petit,1
2016,"REGNE UNIT, EL                ","REGNE UNIT, EL                ",Titulats d estudis superiors n,1
2011,"PARAGUAI, EL                  ",ITÀLIA                        ,Batxiller superior. BUP. Batxi,1
2017,ARMÈNIA                       ,ESPANYA                       ,"Batxiller Elemental, Graduat E",1
2013,MÈXIC                         ,ESPANYA                       ,No aplicable per ser més petit,6
2017,MÈXIC                         ,ESPANYA                       ,Ensenyament primari incomplert,12
2017,"PAKISTAN, EL                  ","PAKISTAN, EL                  ",Sense estudis                 ,14
2013,TUNÍSIA                       ,TUNÍSIA                       ,Doctorat i Estudis de postgrau,1
2016,BÈLGICA                       ,ESPANYA                       ,"Batxiller Elemental, Graduat E",10
2014,COLÒMBIA                      ,COLÒMBIA                      ,Batxiller superior. BUP. Batxi,118
2014,COLÒMBIA                      ,COLÒMBIA                      ,Desconegut                    ,38
2016,RÚSSIA                        ,ESPANYA                       ,No aplicable per ser més petit,62
2017,XILE                          ,NORUEGA                       ,Batxiller superior. BUP. Batxi,1
2014,"URUGUAI, L                    ",ESPANYA                       ,Ensenyament primari incomplert,38
2014,"REPÚBLICA DOMINICANA, LA      ","REPÚBLICA DOMINICANA, LA      ",No sap llegir ni escriure     ,2
2014,ÀUSTRIA                       ,ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,1
2016,CUBA                          ,VENEÇUELA                     ,"Batxiller Elemental, Graduat E",1
2015,BULGÀRIA                      ,BULGÀRIA                      ,Formació professional Primer G,2
2016,CUBA                          ,CUBA                          ,Ensenyament primari incomplert,37
2012,VENEÇUELA                     ,ITÀLIA                        ,Arquitecte o Enginyer Tècnic  ,2
2014,VENEÇUELA                     ,FRANÇA                        ,Batxiller superior. BUP. Batxi,1
2014,"MARROC, EL                    ",ESPANYA                       ,Sense estudis                 ,177
2017,"ARGENTINA, L                  ","ARGENTINA, L                  ",Batxiller superior. BUP. Batxi,70
2017,"TURKMENISTAN, EL              ",ESPANYA                       ,"Llicenciat Universitari, Arqui",1
2011,EL SALVADOR                   ,ESPANYA                       ,Batxiller superior. BUP. Batxi,4
2013,"PARAGUAI, EL                  ",ESPANYA                       ,Doctorat i Estudis de postgrau,1
2013,"PERÚ, EL                      ",ITÀLIA                        ,Formació professional de Segon,1
2015,CUBA                          ,ESPANYA                       ,Titulats d estudis superiors n,2
2012,"REPÚBLICA DOMINICANA, LA      ",ESPANYA                       ,Arquitecte o Enginyer Tècnic  ,1
2012,"PERÚ, EL                      ","PERÚ, EL                      ",Ensenyament primari incomplert,96
2013,PORTUGAL                      ,PORTUGAL                      ,Batxiller superior. BUP. Batxi,18
2013,"EQUADOR, L                    ",ESPANYA                       ,No aplicable per ser més petit,11
2013,FRANÇA                        ,ALEMANYA                      ,"Llicenciat Universitari, Arqui",1
