DATA_REFERENCIA,MES,PAIS_PROCEDENCIA,PROVINCIA_PROCEDENCIA,SEXE,POBLACIO
2011,12,ESPANYA                       ,ALACANT,Dona,1
2011,12,ESPANYA                       ,ALACANT,Home,4
2011,12,ESPANYA                       ,ALMERIA,Dona,3
2011,12,ESPANYA                       ,BADAJOZ,Dona,1
2011,12,ESPANYA                       ,BARCELONA,Dona,194
2011,12,ESPANYA                       ,BARCELONA,Home,240
2011,12,ESPANYA                       ,BISCAIA,Dona,1
2011,12,ESPANYA                       ,CADIS,Dona,1
2011,12,ESPANYA                       ,CADIS,Home,1
2011,12,ESPANYA                       ,CANTABRIA,Home,1
2011,12,ESPANYA                       ,CASTELLO,Dona,8
2011,12,ESPANYA                       ,CASTELLO,Home,5
2011,12,ESPANYA                       ,CEUTA,Home,1
2011,12,ESPANYA                       ,CIUDAD REAL,Home,1
2011,12,ESPANYA                       ,CORDOBA,Home,1
2011,12,ESPANYA                       ,"CORUNYA, LA",Dona,1
2011,12,ESPANYA                       ,GIRONA,Dona,13
2011,12,ESPANYA                       ,GIRONA,Home,8
2011,12,ESPANYA                       ,GRANADA,Dona,1
2011,12,ESPANYA                       ,GRANADA,Home,1
2011,12,ESPANYA                       ,GUIPUSCOA,Dona,1
2011,12,ESPANYA                       ,ILLES BALEARS,Dona,6
2011,12,ESPANYA                       ,ILLES BALEARS,Home,5
2011,12,ESPANYA                       ,JAEN,Home,1
2011,12,ESPANYA                       ,LUGO,Dona,1
2011,12,ESPANYA                       ,LLEIDA,Dona,3
2011,12,ESPANYA                       ,LLEIDA,Home,6
2011,12,ESPANYA                       ,LLEO,Home,1
2011,12,ESPANYA                       ,MADRID,Dona,7
2011,12,ESPANYA                       ,MADRID,Home,6
2011,12,ESPANYA                       ,MALAGA,Dona,1
2011,12,ESPANYA                       ,MELILLA,Dona,1
2011,12,ESPANYA                       ,MELILLA,Home,3
2011,12,ESPANYA                       ,MURCIA,Home,1
2011,12,ESPANYA                       ,OSCA,Home,2
2011,12,ESPANYA                       ,"PALMAS, LAS",Dona,1
2011,12,ESPANYA                       ,"PALMAS, LAS",Home,2
2011,12,ESPANYA                       ,SALAMANCA,Home,1
2011,12,ESPANYA                       ,SANTA CRUZ DE TENERIFE,Dona,2
