Mun;N.Fijo ;D;Po;Par;Su;Nombre                   ;Tc;Cc;Superfic
030;0326218;X;02;136;B ;                         ;MF;02;00000779
030;0326218;X;02;136;C ;                         ;MF;01;00002817
030;0326219;W;03;074;A ;                         ;MM;04;00005515
030;0326220;U;02;075;A ;                         ;MM;03;00001896
030;0326221;F;07;288;A ;                         ;MM;01;00005808
030;0326221;F;07;288;B ;                         ;E ;01;00000629
030;0326228;P;04;016;A ;                         ;E ;04;00006116
030;0326228;P;04;016;B ;                         ;CS;01;00000180
030;0326231;G;06;057;A ;                         ;MM;01;00020596
030;0326231;G;06;087;A ;                         ;MM;03;00015374
030;0326231;G;07;148;A ;                         ;MF;03;00005542
030;0326231;G;07;151;A ;                         ;MF;04;00000987
030;0326231;G;07;151;B ;                         ;MF;04;00001601
030;0326231;G;07;151;C ;                         ;F ;03;00000611
030;0326231;G;07;151;D ;                         ;C ;04;00000482
030;0326231;G;07;151;E ;                         ;PD;04;00042495
030;0326231;G;07;151;F ;                         ;I ;01;00001393
