NOMPARTIDA,CODIECONOMIC,ECONOMIC,CODIFUNCIONAL,FUNCIONAL,CODIORGANIC,ORGANIC,IMPORT
Formacio P.O. DiBa 2017,227.06.0017,Estudis i treballs tècnics,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.7.0.16,Promoció Econòmica,15055
Material d'oficina no inventariable - Pla de Xoc,220.00.0016,Ordinari no inventariable,2419O,Foment de l'Ocupació-Suport polítiques socials AMB,2.7.0.16,Promoció Econòmica,0
Vestuari - Pla de Xoc al'Atur - AMB,221.04.0016,Vestuari,2419O,Foment de l'Ocupació-Suport polítiques socials AMB,2.7.0.16,Promoció Econòmica,3694.07
Lloguer equips procés info Promoció Ocupació DiBa,206.00.0017,Arrendament equips processos d'informació,2419B,Foment de l'Ocupació -Plans d'ocupació Diputació,2.7.0.16,Promoció Econòmica,0
Bestreta C.Fixa - RRHH,226.99.0917,Altres despeses diverses,9200A,Administració General ,2.2.0.16,Recursos Humans,7077.47
Prevenció de riscos laborals,227.06.0117,Estudis i treballs tècnics,9200A,Administració General ,2.2.0.16,Recursos Humans,24419.79
Serveis professionals externs,227.06.0217,Estudis i treballs tècnics,9200A,Administració General ,2.2.0.16,Recursos Humans,6293.24
Dietes processos selectius (RRHH),230.21.0017,Altres dietes,9200A,Administració General ,2.2.0.16,Recursos Humans,1216.18
Dietes de càrrecs electes (Assistència),230.01.0017,Dels càrrecs electes,9120A,Òrgans de govern,2.2.0.16,Recursos Humans,152069.59
Serveis professionals externs,227.06.0216,Estudis i treballs tècnics,9200A,Administració General ,2.2.0.16,Recursos Humans,1944.35
Dietes del personal (Manutenció),230.20.0017,Del personal no directiu,9200A,Administració General ,2.2.0.16,Recursos Humans,3102.8
"Desp. Loc. càrrecs electes (Km,PK,T,Públic,Peatg)",231.00.0017,Dels membres dels òrgans de govern,9120A,Òrgans de govern,2.2.0.16,Recursos Humans,3811.64
"Despeses locomoció (KM,Pk,T.Públic i Peatges)",231.20.0017,Del personal no directiu,9200A,Administració General ,2.2.0.16,Recursos Humans,5920.14
Renovacions carnets de conduir,233.00.0017,Altres Indemnitzacions,9200A,Administració General ,2.2.0.16,Recursos Humans,45
Dietes de càrrecs electes (Manutenció),230.02.0017,Dels càrrecs electes,9120A,Òrgans de govern,2.2.0.16,Recursos Humans,639.45
Promoció de la Salut,226.02.0016,Publicitat i propaganda,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública,8500
Treballs en Consum,227.06.0017,Estudis i treballs tècnics,4930A,Defensa del consumidor,3.1.0.16,Salut Pública,7960.56
"Gestió residus (animals,cementiris)",227.06.0216,Estudis i treballs tècnics,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública,199.68
Control animals abandonats i peridomèstics,227.06.0116,Estudis i treballs tècnics,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública,1147.92
Gestió residus (animals),227.06.0217,Estudis i treballs tècnics,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública,955.74
Control animals abandonats i peridomèstics,227.06.0117,Estudis i treballs tècnics,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública,64022.46
Promoció de la Salut,226.02.0017,Publicitat i propaganda,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública,3476.95
Material d'inspeccions - Analisi de mostres,221.06.0017,Productes farmacèutics i material sanitari,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública,1987.7
Lloguer Material de transport (ambulància),204.00.0017,Arrendament de material de transport,3120A,Serveis assistencials,3.1.0.16,Salut Pública,17844.13
Lloguer maquinària cementiri,203.00.0017,"Arrendament maquinària, instal·lacions i utillatge",1640A,Cementiri,3.1.0.16,Salut Pública,9933.41
Control de plagues,227.06.0317,Estudis i treballs tècnics,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública,17039.59
Control de Plagues (DDD) - Consell Comarcal,465.00.0017,A Comarques,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública,20346.01
Gestió de residus (cementiri),227.06.0017,Estudis i treballs tècnics,1640A,Cementiri,3.1.0.16,Salut Pública,1174.8
Assegurança escolar,227.06.0017,Estudis i treballs tècnics,3261A,Serveis complementaris d'educació - Sanitat,3.1.0.16,Salut Pública,21000
Manteniment maquinària cementiri,213.00.0017,"Maquinària,instal·lacions tècniques i utillatje",1640A,Cementiri,3.1.0.16,Salut Pública,133.6
Serveis impremta Salut Publica i Consum,226.99.0017,Altres despeses diverses,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública,0
Mobiliari urbà - cementiri,625.00.0016,Mobiliari,1640A,Cementiri,3.1.0.16,Salut Pública,13310
Elements de transport cementiri,624.00.0015,Elements de Transport,1640A,Cementiri,3.1.0.16,Salut Pública,53905.5
Treballs en Consum,227.06.0016,Estudis i treballs tècnics,4930A,Defensa del consumidor,3.1.0.16,Salut Pública,4206.04
Responsabilitat patrimonial,226.04.0217,"Jurídics, contenciosos",9201A,Administració General - Secretaria i serveis juríd,2.4.0.16,Secretaria General,3469.13
Treballs tècnics de l'Arxiu Municipal,227.06.0217,Estudis i treballs tècnics,9201A,Administració General - Secretaria i serveis juríd,2.4.0.16,Secretaria General,97.45
Servei control trànsit amb càmares (AMP),227.99.0016,Altres treballs realitzats per altres emp.i profes,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,1993.06
Renting vehicles policia,204.01.0016,Arrendament de material de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,3059.64
Despeses jurídiques,226.04.0016,"Jurídics, contenciosos",1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,1900.05
Servei control trànsit amb càmares (AMP),227.99.0017,Altres treballs realitzats per altres emp.i profes,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,26500
Manteniment Material de transport,214.00.0017,Elements de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,35198.95
Manteniment aplicacions seguretat,227.06.0117,Estudis i treballs tècnics,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,642.75
Manteniment Material de transport,214.00.0016,Elements de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,281.24
Formació en Seguretat Vial,226.06.0017,"Reunions, conferències i cursos",1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,0
Inv. nova vehicles - Policia,624.00.0017,Elements de Transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,4551.63
Formació en Seguretat Vial,226.06.0015,"Reunions, conferències i cursos",1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,2690.77
"Manteniment, maquinària, instal. i utillatge",213.00.0017,"Maquinària,instal·lacions tècniques i utillatje",1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,7385.64
Tributs i taxes,225.00.0017,Tributs ,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,288.75
Renting vehicles policia,204.01.0017,Arrendament de material de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,30874.92
Aplicaciones informàtiques - Policia,641.00.0017,Despeses en aplicacions informàtiques,1320B,Policia de Trànsit,3.5.0.16,Seguretat Ciutadana,5921.56
Despeses jurídiques,226.04.0017,"Jurídics, contenciosos",1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,11047.42
Treballs en seguretat vial (Grua),227.06.0017,Estudis i treballs tècnics,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,69877.5
Inv. nova vehicles - Policia,624.00.0016,Elements de Transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,8733.01
Inv. nova utillatge - emisores (RESCAT),623.00.0016,"Maquinària, instal·lacions tècniques i utillatge",1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana,38036.57
Estudis i treballs tècnics Economia,227.06.0016,Estudis i treballs tècnics,9310A,Intervenció i Comptabilitat,2.5.0.16,Serveis Econòmics,6408.83
Estudis i treballs tècnics Economia,227.06.0017,Estudis i treballs tècnics,9310A,Intervenció i Comptabilitat,2.5.0.16,Serveis Econòmics,6431.15
Despeses jurídiques,226.04.0116,"Jurídics, contenciosos",9201A,Administració General - Secretaria i serveis juríd,2.6.0.16,Serveis Generals,5799.52
Material ordinari no inventariable,220.00.0015,Ordinari no inventariable,9200A,Administració General ,2.6.0.16,Serveis Generals,292.22
Material ordinari no inventariable,220.00.0014,Ordinari no inventariable,9200A,Administració General ,2.6.0.16,Serveis Generals,220.99
"Arrendament maquinària, instal·lacions utillatge",203.00.0014,"Arrendament maquinària, instal·lacions i utillatge",9200A,Administració General ,2.6.0.16,Serveis Generals,29.49
Manteniment i conservació parades mercats,212.00.0016,Edificis i altres construccions,9331M,Gestió del patrimoni,2.6.0.16,Serveis Generals,6148.09
Vestuari -Seguretat,221.04.0016,Vestuari,1320A,Policia de Seguretat,2.6.0.16,Serveis Generals,4109.63
Inversions de reposició en mobiliari,635.00.0016,Mobiliari,9200A,Administració General ,2.6.0.16,Serveis Generals,14122.18
Consegeria escoles,227.06.0117,Estudis i treballs tècnics,3230A,Funcionament centres docents d'Educació,2.6.0.16,Serveis Generals,14601.18
Inversions de reposició en mobiliari,635.00.0017,Mobiliari,9200A,Administració General ,2.6.0.16,Serveis Generals,1180.17
Inversions de reposició equipaments,636.00.0017,Equips per processos d'informació,9200A,Administració General ,2.6.0.16,Serveis Generals,566.53
Inversió nova en mobiliari,625.00.0017,Mobiliari,9200A,Administració General ,2.6.0.16,Serveis Generals,2860.13
Manteniment equips d'impressió (AMP),216.10.0016,Equipament per a processos d'informació,9200A,Administració General ,2.6.0.16,Serveis Generals,914.01
Reparació sinistres (AMP),212.00.0016,Edificis i altres construccions,9204C,AG - SSGG - Gestió assegurances,2.6.0.16,Serveis Generals,6206.24
Telefonia mòbil,222.00.0016,Serveis de Telecomunicacions,9200A,Administració General ,2.6.0.16,Serveis Generals,5851.5
Reparaci¢ sinistres Serveis Generals (AMP),212.00.0013,Edificis i altres construccions,9204C,AG - SSGG - Gestió assegurances,2.6.0.16,Serveis Generals,1525.64
Lloguer edificis i altres construccions,202.00.0016,Arrendament edificis i altres construccions,4913A,Societat de la informació-Audiovisual i Internet,2.6.0.16,Serveis Generals,1938.74
Comunicacions postals i missatgeria,222.01.0016,Postals,4911A,Societat de la informació-Premsa escrita,2.6.0.16,Serveis Generals,0
"Arrendament maquinària, instal.lacions i utillatge",203.00.0016,"Arrendament maquinària, instal·lacions i utillatge",9200A,Administració General ,2.6.0.16,Serveis Generals,383.89
"Manteniment, maquinària, instal. i utillatge",213.00.0016,"Maquinària,instal·lacions tècniques i utillatje",9200A,Administració General ,2.6.0.16,Serveis Generals,151.93
Manteniment Mobiliari i estris,215.00.0016,Mobiliari,9200A,Administració General ,2.6.0.16,Serveis Generals,91.44
Material ordinari no inventariable,220.00.0016,Ordinari no inventariable,9200A,Administració General ,2.6.0.16,Serveis Generals,13667.92
"Premsa, revistes, llibres i altres publicacions",220.01.0016,"Premsa, revistes, llibres i altres publicacions",9200A,Administració General ,2.6.0.16,Serveis Generals,192.93
Material informàtic no inventariable,220.02.0016,Material informàtic no inventariable,9200A,Administració General ,2.6.0.16,Serveis Generals,2346.76
Combustibles i carburants - Seguretat,221.03.0016,Combustibles i Carburants,9200A,Administració General ,2.6.0.16,Serveis Generals,11809.98
Vestuari,221.04.0016,Vestuari,9200A,Administració General ,2.6.0.16,Serveis Generals,1998.76
Comunicacions postals i missatgeries,222.01.0016,Postals,9200A,Administració General ,2.6.0.16,Serveis Generals,4.84
Taxa reserva dom.púb.radioelèctric,225.00.0016,Tributs ,9200A,Administració General ,2.6.0.16,Serveis Generals,100
Productes alimentosos,221.05.0016,Productes alimentosos,9200A,Administració General ,2.6.0.16,Serveis Generals,297.91
Lloguer edificis i altres construccions,202.00.0017,Arrendament edificis i altres construccions,4913A,Societat de la informació-Audiovisual i Internet,2.6.0.16,Serveis Generals,3404.49
"Arrendament maquinària, instal.lacions i utillatge",203.00.0017,"Arrendament maquinària, instal·lacions i utillatge",9200A,Administració General ,2.6.0.16,Serveis Generals,7955.82
Arrendament de maquinaria sanitària,203.00.0017,"Arrendament maquinària, instal·lacions i utillatge",9330B,Equipaments de serveis,2.6.0.16,Serveis Generals,6766.32
Reparació sinistres (AMP),212.00.0017,Edificis i altres construccions,9204C,AG - SSGG - Gestió assegurances,2.6.0.16,Serveis Generals,18289.52
Manteniment de places de parquing,212.00.0217,Edificis i altres construccions,9330A,Edificis administratius,2.6.0.16,Serveis Generals,875.5
Manteniment i conservació parades mercats,212.00.0017,Edificis i altres construccions,9331M,Gestió del patrimoni,2.6.0.16,Serveis Generals,9729.24
"Manteniment, maquinària, instal. i utillatge",213.00.0017,"Maquinària,instal·lacions tècniques i utillatje",9200A,Administració General ,2.6.0.16,Serveis Generals,1112.53
Manteniment Mobiliari i estris,215.00.0017,Mobiliari,9200A,Administració General ,2.6.0.16,Serveis Generals,1551.57
Manteniment equips d'impressió,216.10.0017,Equipament per a processos d'informació,9200A,Administració General ,2.6.0.16,Serveis Generals,30810.6
Material ordinari no inventariable,220.00.0017,Ordinari no inventariable,9200A,Administració General ,2.6.0.16,Serveis Generals,30339.68
"Premsa, revistes, llibres i altres publicacions",220.01.0017,"Premsa, revistes, llibres i altres publicacions",9200A,Administració General ,2.6.0.16,Serveis Generals,4671.88
Material informàtic no inventariable,220.02.0017,Material informàtic no inventariable,9200A,Administració General ,2.6.0.16,Serveis Generals,12700.63
Combustibles i carburants - Seguretat,221.03.0017,Combustibles i Carburants,9200A,Administració General ,2.6.0.16,Serveis Generals,41422.5
Vestuari -Seguretat,221.04.0017,Vestuari,1320A,Policia de Seguretat,2.6.0.16,Serveis Generals,6302.3
Vestuari,221.04.0017,Vestuari,9200A,Administració General ,2.6.0.16,Serveis Generals,1226.47
Productes alimentosos,221.05.0017,Productes alimentosos,9200A,Administració General ,2.6.0.16,Serveis Generals,2729.79
Telefonia mòbil,222.00.0017,Serveis de Telecomunicacions,9200A,Administració General ,2.6.0.16,Serveis Generals,29852.48
Comunicacions postals i missatgeria,222.01.0017,Postals,4911A,Societat de la informació-Premsa escrita,2.6.0.16,Serveis Generals,17980.72
Comunicacions postals i missatgeries,222.01.0017,Postals,9200A,Administració General ,2.6.0.16,Serveis Generals,49845.34
Primes d'Assegurances - Vehicles,224.00.0017,Primes d'Assegurances,1320A,Policia de Seguretat,2.6.0.16,Serveis Generals,14069.71
Primes d'Assegurances - Edificis,224.00.0017,Primes d'Assegurances,9330A,Edificis administratius,2.6.0.16,Serveis Generals,92906.47
Taxa reserva dom.púb.radioelèctric,225.00.0017,Tributs ,9200A,Administració General ,2.6.0.16,Serveis Generals,363.45
Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals,18428.17
Despeses jurídiques,226.04.0117,"Jurídics, contenciosos",9201A,Administració General - Secretaria i serveis juríd,2.6.0.16,Serveis Generals,660.97
Bestreta C.Fixa - Serveis Generals,226.99.0917,Altres despeses diverses,9200A,Administració General ,2.6.0.16,Serveis Generals,1520.09
"Aigua - Reg, fonts",221.01.0015,Aigua,1710A,Parcs i jardins,3.6.0.16,Serveis Municipals,1475.82
Gas - Edificis Administratius,221.02.0017,Gas,9330A,Edificis administratius,3.6.0.16,Serveis Municipals,10717.61
Pavimentació de la vía pública,609.00.0015,Altres inv.noves infraest. i béns dest. ús general,1532A,Pavimentació vies públiques,3.6.0.16,Serveis Municipals,50886.3
Inversions rep. via pública Serv. Municipals - IFS,619.00.0016,Altres inversions de reposició en infraestructures,1533F,Vies públiques - Obra Civil i Instal·lacions,3.6.0.16,Serveis Municipals,175257.92
Inv. de rep en edif.i altres constr- Escoles 2016,632.00.0015,Edificis i altres construccions,9330F,Inversions financerament sostenibles,3.6.0.16,Serveis Municipals,52381.54
Treballs manteniment via pública,227.99.0016,Altres treballs realitzats per altres emp.i profes,1533A,Vies públiques - Obra Civil i Instal·lacions,3.6.0.16,Serveis Municipals,8538.88
Obres de reposició clavegueram,619.00.0015,Altres inversions de reposició en infraestructures,1600A,Clavegueram,3.6.0.16,Serveis Municipals,10254.35
Aportació empreses - Polígons AMB,770.00.0016,A empreses privades,4590A,Millores competitivitat Pol·ligons Industrials,3.6.0.16,Serveis Municipals,30853.96
Instal.lacions Pla d'estalvi energètic,633.00.0016,"Maquinària,instal·lacions i utillatge",9330B,Equipaments de serveis,3.6.0.16,Serveis Municipals,14767.96
Mobiliari - Manteniment de la Ciutat,625.00.0016,Mobiliari,1530A,Adm.Gral d'Obres i Manteniment de la Ciutat,3.6.0.16,Serveis Municipals,1948.1
Inversions de reposició en mobiliari urbà,635.00.0016,Mobiliari,1720A,Adm.Gral de Medi Ambient,3.6.0.16,Serveis Municipals,1488.3
Treballs manteniment Via pública,227.99.0017,Altres treballs realitzats per altres emp.i profes,1533A,Vies públiques - Obra Civil i Instal·lacions,3.6.0.16,Serveis Municipals,7848.83
"Electricitat - Via pública (Enllumenat, semàfors)",221.00.0017,Energia Elèctrica,1650A,Enllumenat públic,3.6.0.16,Serveis Municipals,635000
Electricitat - Edificis Col·legis,221.00.0017,Energia Elèctrica,3230A,Funcionament centres docents d'Educació,3.6.0.16,Serveis Municipals,80000
"Electricitat - Edificis Socials (Casals, Museus,et",221.00.0017,Energia Elèctrica,9330B,Equipaments de serveis,3.6.0.16,Serveis Municipals,201000
Electricitat - Instal·lacions Esportives,221.00.0017,Energia Elèctrica,3420A,Instal·lacions esportives,3.6.0.16,Serveis Municipals,225000
Electricitat - Fira,221.00.0017,Energia Elèctrica,4321A,Promoció de la Ciutat - Fira,3.6.0.16,Serveis Municipals,1800
Electricitat - Edificis administratius,221.00.0017,Energia Elèctrica,9330A,Edificis administratius,3.6.0.16,Serveis Municipals,320300
"Aigua - Reg, fonts",221.01.0017,Aigua,1710A,Parcs i jardins,3.6.0.16,Serveis Municipals,142996.77
Aigua - Edificis Col·legis,221.01.0017,Aigua,3230A,Funcionament centres docents d'Educació,3.6.0.16,Serveis Municipals,30686.71
"Aigua - Edificis Socials (Casals, Museus, etc.)",221.01.0017,Aigua,9330B,Equipaments de serveis,3.6.0.16,Serveis Municipals,13110.1
Aigua - Instal·lacions Esportives,221.01.0017,Aigua,3420A,Instal·lacions esportives,3.6.0.16,Serveis Municipals,69803.14
Aigua - Edificis Administratius,221.01.0017,Aigua,9330A,Edificis administratius,3.6.0.16,Serveis Municipals,41792.83
Gas - Edificis Col·legis,221.02.0017,Gas,3230A,Funcionament centres docents d'Educació,3.6.0.16,Serveis Municipals,61859.49
"Gas - Edificis Socials (Casals, Museus, etc.)",221.02.0017,Gas,9330B,Equipaments de serveis,3.6.0.16,Serveis Municipals,9936.47
Gas - Instal·lacions Esportives,221.02.0017,Gas,3420A,Instal·lacions esportives,3.6.0.16,Serveis Municipals,107742.95
Altres inv.noves infraest. i béns dest. ús general,609.00.0015,Altres inv.noves infraest. i béns dest. ús general,1533A,Vies públiques - Obra Civil i Instal·lacions,3.6.0.16,Serveis Municipals,69033.3
Gent Gran - Projectes,226.06.0216,"Reunions, conferències i cursos",2312A,Gent Gran,1.1.0.16,Serveis Socials,4340.87
Assessoria jurídica familiar,227.06.0017,Estudis i treballs tècnics,2318A,Programes socials,1.1.0.16,Serveis Socials,3937.5
Gavà Solidària,226.99.0016,Altres despeses diverses,2318B,Formació d'Adults,1.1.0.16,Serveis Socials,26841.63
Dinamització d'equipaments d'acció social,227.06.0016,Estudis i treballs tècnics,2318B,Formació d'Adults,1.1.0.16,Serveis Socials,14080.2
Dependència - Ajut a domicili (SAD),227.06.0116,Estudis i treballs tècnics,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials,37104.2
Treballs tècnics d'Acció Social,227.99.0016,Altres treballs realitzats per altres emp.i profes,2318B,Formació d'Adults,1.1.0.16,Serveis Socials,1342.97
Subvenció ADISGA,480.17.9916,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials,1250
Dependència - Ajut a domicili (SAD),227.06.0117,Estudis i treballs tècnics,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials,498526.92
Projecte de Dinamització de barris,227.06.0117,Estudis i treballs tècnics,2318A,Programes socials,1.1.0.16,Serveis Socials,15315.55
Programa Arranjament Habitatges,227.06.0217,Estudis i treballs tècnics,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials,4800
Dinamitz.Comunitària- PDC per a infants i joves,227.06.0217,Estudis i treballs tècnics,2318A,Programes socials,1.1.0.16,Serveis Socials,33864.98
Treballs tècnics d'Acció Social,227.99.0017,Altres treballs realitzats per altres emp.i profes,2311A,Acció social,1.1.0.16,Serveis Socials,3690.16
Subvenció al Consell Comarcal: Transport adaptat,465.02.0217,A Comarques,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials,49837.43
Aportació Fundació Privada CAVIGA,480.00.9917,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials,39953.65
Ajuts a famílies: Suport activitats d'estiu,480.02.0017,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials,28188.27
Ajuts a famílies:Situacions d'emergència,480.05.0017,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials,54503.42
Ajuts a famílies: Subvencions taxes,480.03.0017,A famílies i institucions sense ànim de lucre,2312A,Gent Gran,1.1.0.16,Serveis Socials,3726.84
Subvenció Fundació Nostra Senyora Brugués,480.03.9917,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials,1230
Subvenció ADISGA,480.17.9917,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials,5000
Aportació Ass.Veïns Masia Espinòs,480.19.9917,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials,19400
Subvenció Entitats S.Socials,480.21.0017,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials,16650
Beques llibres: Programa Socialització,481.03.0016,Beques,2316A,Infància,1.1.0.16,Serveis Socials,24160
Beques llibres: Programa Reutilització,481.04.0016,Beques,2316A,Infància,1.1.0.16,Serveis Socials,6000
Beques Llibres: individuals,481.05.0016,Beques,2316A,Infància,1.1.0.16,Serveis Socials,68654.58
Beques per activitats extraescolars,481.01.0116,Beques,2316A,Infància,1.1.0.16,Serveis Socials,53130.21
Bestreta C.Fixa - Serveis Socials Atenció Primària,226.99.0917,Altres despeses diverses,2311A,Acció social,1.1.0.16,Serveis Socials,2929.15
Aportació DiBa - Servei Local Teleassistència,461.00.0017,A Diputacions,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials,97243
Ajuts a famílies: pobresa energètica,480.02.0116,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials,98254
Ajuts a famílies: Suport activitats d'estiu,480.02.0016,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials,651
Ajuts a famílies:Situacions d'emergència,480.05.0016,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials,9113.69
Subvenció Asociación Pro-ayudas Minorias Marginada,480.16.9916,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials,6775
Conveni Entitats S.Socials - PDC Masia Espinós,480.19.0316,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials,13850
Subvenció Entitats S.Socials,480.21.0016,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials,2925
Beques de menjador,481.02.0016,Beques,2316A,Infància,1.1.0.16,Serveis Socials,56222.38
Aportació a Creu Roja ,480.22.0316,A famílies i institucions sense ànim de lucre,2316A,Infància,1.1.0.16,Serveis Socials,20958.5
Ajuts a famílies: pobresa energètica,480.02.0115,A famílies i institucions sense ànim de lucre,2318B,Formació d'Adults,1.1.0.16,Serveis Socials,239.15
Beques de menjador,481.02.0015,Beques,2316A,Infància,1.1.0.16,Serveis Socials,4353.52
Subvenció Asociación Pro-ayudas Minorias Marginada,480.16.9917,A famílies i institucions sense ànim de lucre,2311A,Acció social,1.1.0.16,Serveis Socials,55100
Gent Gran - Projectes,226.06.0217,"Reunions, conferències i cursos",2312A,Gent Gran,1.1.0.16,Serveis Socials,97876.89
Gent Gran - Dinamització,226.06.0117,"Reunions, conferències i cursos",2312A,Gent Gran,1.1.0.16,Serveis Socials,65388.33
Centre Obert les Farreres,226.06.0017,"Reunions, conferències i cursos",2316A,Infància,1.1.0.16,Serveis Socials,62379.89
At.Primària-P.Familiar:Situacions emerg?ncia,226.99.0217,Altres despeses diverses,2311A,Acció social,1.1.0.16,Serveis Socials,12991.76
Mediació social,226.99.0117,Altres despeses diverses,2311C,Mediació Social,1.1.0.16,Serveis Socials,37388.96
Gavà Solidària,226.99.0017,Altres despeses diverses,2311A,Acció social,1.1.0.16,Serveis Socials,26231.05
Gent Gran - Dinamització,226.06.0116,"Reunions, conferències i cursos",2312A,Gent Gran,1.1.0.16,Serveis Socials,13839.95
Treballs tècnics Urbanisme i Planejament,227.06.0017,Estudis i treballs tècnics,1510A,Urbanisme Planificació i Projectes,3.2.0.16,Urbanisme,12424.56
Aportació a GTI - General,449.00.0117,Altres subv. a ens púb.i societ.merc.de l'enti.loc,1510A,Urbanisme Planificació i Projectes,3.2.0.16,Urbanisme,345600
Inversions rep. via pública Urbanisme - IFS,619.00.0016,Altres inversions de reposició en infraestructures,1533F,Vies públiques - Obra Civil i Instal·lacions,3.2.0.16,Urbanisme,8814.76
Reparcel·lació Pla Parcial Pla de Ponent,619.00.0014,Altres inversions de reposició en infraestructures,1510A,Urbanisme Planificació i Projectes,3.2.0.16,Urbanisme,57032.99
Inversions noves-Millora Espai Públic Junts fem b ,609.00.0015,Altres inv.noves infraest. i béns dest. ús general,1533J,Projectes Junts Fem Barri,3.2.0.16,Urbanisme,56403.06
Treballs tècnics Urbanisme i Planejament,227.06.0016,Estudis i treballs tècnics,1510A,Urbanisme Planificació i Projectes,3.2.0.16,Urbanisme,78483.81
