CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-03009;RECORTES 0-EV;RECORTES CERO-ELS VERDS;4
S-03009;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;7
S-04001;BLANCS;BLANCS;5
S-04001;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;151
S-04001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;214
S-04001;CUP    ;CANDIDATURA D UNITAT POPULAR            ;50
S-04001;JxSí;JUNTS PEL SÍ;95
S-04001;NULS;NULS;3
S-04001;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;6
S-04001;PP      ;PARTIDO POPULAR                         ;104
S-04001;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;166
S-04001;RECORTES 0-EV;RECORTES CERO-ELS VERDS;4
S-04001;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;11
S-04002;BLANCS;BLANCS;0
S-04002;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;67
S-04002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;136
S-04002;CUP    ;CANDIDATURA D UNITAT POPULAR            ;18
S-04002;JxSí;JUNTS PEL SÍ;67
S-04002;NULS;NULS;0
S-04002;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;3
S-04002;PP      ;PARTIDO POPULAR                         ;38
S-04002;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;93
S-04002;RECORTES 0-EV;RECORTES CERO-ELS VERDS;1
S-04002;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;5
S-04003;BLANCS;BLANCS;3
S-04003;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;171
S-04003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;188
S-04003;CUP    ;CANDIDATURA D UNITAT POPULAR            ;65
S-04003;JxSí;JUNTS PEL SÍ;142
S-04003;NULS;NULS;3
S-04003;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;2
S-04003;PP      ;PARTIDO POPULAR                         ;70
S-04003;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;219
S-04003;RECORTES 0-EV;RECORTES CERO-ELS VERDS;3
S-04003;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;14
S-04004;BLANCS;BLANCS;2
S-04004;CatSiqueesPot;CATALUNYA SÍ QUE ES POT;89
S-04004;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;121
S-04004;CUP    ;CANDIDATURA D UNITAT POPULAR            ;36
S-04004;JxSí;JUNTS PEL SÍ;56
S-04004;NULS;NULS;4
S-04004;PACMA;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;10
S-04004;PP      ;PARTIDO POPULAR                         ;53
S-04004;PSC       ;PARTIT DELS SOCIALISTES DE CATALUNYA;194
S-04004;RECORTES 0-EV;RECORTES CERO-ELS VERDS;4
S-04004;unio.cat;UNIÓ DEMOCRÀTICA DE CATALUNYA;6
