OBJECTID,Campanya,Provincia,Comarca,Municipi,ID_MUN,Grup,Cultiu,Seca_Regad,HA,Shape__Area,Shape__Length
162,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.4973,5.40972064e-07,0.003392895927974
163,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.4348,4.72940042e-07,0.003269079158314
164,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.3617,3.93482515e-07,0.00281815307128
165,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,4.7083,5.12198495e-06,0.021986996360827
166,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.9777,1.063603296e-06,0.004378062038101
167,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.5826,1.721605103e-06,0.005566834016278
168,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.7171,1.867869175e-06,0.006458245142847
169,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.5441,5.91858428e-07,0.00317586908926
170,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.2945,3.20310281e-07,0.002263798691193
171,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.1547,1.68329839e-07,0.001614586793149
172,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.6178,2.847494333e-06,0.008523756260388
173,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.6487,1.793501617e-06,0.006812307646488
174,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.2651,2.88337827e-07,0.007028225456755
175,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.1639,2.354020075e-06,0.007251968010033
176,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.5687,6.1869032e-07,0.003747233251003
177,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.0624,1.155805209e-06,0.004411546568012
178,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.1855,2.01859891e-07,0.002295912909401
179,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.0313,1.121904386e-06,0.004800391492389
180,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.4579,4.98191846e-07,0.00366428027276
181,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.1696,1.84552003e-07,0.001891657202154
182,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.0993,1.08053461e-07,0.001566012862626
183,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.4865,2.704587397e-06,0.010560989618175
184,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.2736,1.385588558e-06,0.005976811193847
185,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.5045,5.48822968e-07,0.003357821281797
186,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.763,1.917959854e-06,0.007808636859616
187,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,1.4481,1.575363271e-06,0.009018373513641
188,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,0.7396,8.04655421e-07,0.00496845928936
189,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.8674,3.11982522e-06,0.00836938316689
190,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,BLAT TOU,S,2.0604,2.241668831e-06,0.008623956088367
191,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,0.6618,7.1920123e-07,0.003976018770768
192,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,0.6741,7.32793455e-07,0.003821672339104
193,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,3.7352,4.060397516e-06,0.012017360406947
194,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,0.4616,5.01855904e-07,0.003745225666081
195,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,2.2684,2.466520702e-06,0.006954364804921
196,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,1.561,1.697245151e-06,0.007307035680472
197,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,1.703,1.85220815e-06,0.00710149398983
198,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,4.2733,4.646025768e-06,0.009019806000281
199,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,0.0876,9.5714344e-08,0.00134711353534
200,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,0.1332,1.44810337e-07,0.00152665023909
201,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,0.0722,7.8516471e-08,0.001625656465423
202,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,2.1877,2.378936426e-06,0.008487421966641
203,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,1.3096,1.424097144e-06,0.005534988343194
204,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,3.4378,3.738514258e-06,0.009143465010942
205,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,1.2071,1.312658923e-06,0.005345845364058
206,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,1.7108,1.860406394e-06,0.007904845030642
207,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,0.1147,1.24767382e-07,0.001618454560942
208,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,3.8474,4.183842411e-06,0.009832907084551
209,2016,Barcelona,Osona,MANLLEU,08111,CEREALS D'ESTIU,BLAT DE MORO,S,3.4136,3.713008097e-06,0.010902284074454
210,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,S,4.6618,5.068209102e-06,0.01120921000654
211,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,S,0.5734,6.23269172e-07,0.003120998257732
212,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,S,0.6755,7.34380706e-07,0.004185962500836
213,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,S,1.3272,1.443166237e-06,0.006347906484548
214,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,S,0.169,1.83398831e-07,0.00198972663729
215,2016,Barcelona,Osona,MANLLEU,08111,CEREALS,ORDI,S,0.182,1.97910544e-07,0.001775056052739
