codi,Nom_centre,Tipus_de_consum,import,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
REG35,BOCA REG CTRA OLOT,Aigua,€,,SOREA,4755806,06/06/2011,0,0,,,,,146
EP44,MAGI-S/N 25,Electricitat Quadres enllumenat,€,ES0031446456554001JF0F,ENDESA ENERGÍA S.A.U.,82013712711,,8333.26,7880.22,9030.75,7942.42,6698.74,6380.22,147
REG35,BOCA REG CTRA OLOT,Aigua,€,,SOREA,4755807,06/06/2011,0,0,,,,,148
EP45,CTRA D'OLOT CANTONADA LLEIDA,Electricitat Quadres enllumenat,€,ES0031446455437001RW0F,ENDESA ENERGÍA S.A.U.,82013645151,,4804.53,5268.72,5191.99,4137.13,3216.65,5800.07,149
REG35,BOCA REG CTRA OLOT,Aigua,€,,SOREA,4755809,08/06/2011,0,0,,,,,150
EP46,LLEIDA S/N CANTONADA CABRERA,Electricitat Quadres enllumenat,€,ES0031446455108001WV0F,ENDESA ENERGÍA S.A.U.,82013645428,,4350.39,4447.19,4265.77,3116.36,2537.84,2425.9,151
REG36,BOCA REG PL. FONT DE TARRES,Aigua,€,,SOREA,4755846,08/06/2011,0,0,,,,,152
EP47,SERRAT DE LES ESQUITLLERES C25,Electricitat Quadres enllumenat,€,ES0031446382705001XM0F,ENDESA ENERGÍA S.A.U.,82013633184,,784.54,885.15,1015.67,1032.03,957.59,998.95,153
REG37,BOCA REG PC VILADOMAT,Aigua,€,,SOREA,4756014,07/06/2011,0,0,,,,,154
EP48,PS SANT JOAN EDI. ROTONDA,Electricitat Quadres enllumenat,€,ES0031446382990001GN0F,ENDESA ENERGÍA S.A.U.,82013633910,,2001.81,2424.33,2430.84,2012.74,2294.4,1919.09,155
REG38,BOCA REG TRES FABRIQUES,Aigua,€,,SOREA,4756118,07/06/2011,0,0,,,,,156
EP50,SERRALLO S/N COSTAT ET 16266,Electricitat Quadres enllumenat,€,ES0031446463260001FN0F,ENDESA ENERGÍA S.A.U.,82013634397,,1740.35,1842.07,1740.04,793.06,1703,1775.76,157
REG39,BOCA REG ZONA MOLI,Aigua,€,,SOREA,4756120,07/06/2011,0,0,,,,,158
EP51,PUIGGUARDIAL S/N COSTAT Nº153,Electricitat Quadres enllumenat,€,ES0031446463261001MT0F,ENDESA ENERGÍA S.A.U.,82013635143,,2063.38,2189.78,2265.78,2064.45,2193.21,2080.01,159
REG39,BOCA REG ZONA MOLI,Aigua,€,,SOREA,4756121,07/06/2011,0,0,,,,,160
