X,Y,OBJECTID,NOM_EXPLOT,BUSTIA,COOR_X,COOR_Y,TIPUS_EXPL,ESPECIE,ESTAT_SUBE
2.468529511983709,42.063340972786257,1,LA SERRA DE CORCO, ,456028.49,4656945.57,Pastura,Oví,Activa
2.271532134050358,42.018606058412566,2,CAN BONAVISTA,100,439687.43,4652098.69,Pastura,Boví,Activa
2.274953151011438,42.014097416610127,3,GRANJA ILLA,116,439966.43,4651595.69,Producció i reproducció,Porcí,Activa
2.247832198470277,41.999332337807267,4,GRANJA TER,427,437706.41,4649975.7,Producció i reproducció,Porcí,Activa
2.271829390079142,41.986157213237369,5,MAS ESTRADA,306,439681.4,4648495.69,Producció i reproducció,Boví,Activa
2.271829390079142,41.986157213237369,6,MAS ESTRADA,306,439681.4,4648495.69,Producció i reproducció,Porcí,Activa
2.271829390079142,41.986157213237369,7,MAS ESTRADA,306,439681.4,4648495.69,Producció i reproducció,Conills,Inactiva
2.271829390079142,41.986157213237369,8,MAS ESTRADA,306,439681.4,4648495.69,Producció i reproducció,Gallines i pollastres,Inactiva
2.292563932918628,42.02154756844719,9,MAS CABANYA CASADEVALL,201,441431.44,4652410.68,Producció i reproducció,Porcí,Activa
2.269774476418368,42.007534822465757,10,GRANJA EL POQUI, ,439531.42,4650870.69,Producció i reproducció,Boví,Activa
2.269774476418368,42.007534822465757,11,GRANJA EL POQUI, ,439531.42,4650870.69,Producció i reproducció,Porcí,Activa
2.255517412349033,42.002985072645373,12,EL SERRAT DE SANT MIQUEL, ,438346.42,4650375.7,Producció i reproducció,Boví,Activa
2.255517412349033,42.002985072645373,13,EL SERRAT DE SANT MIQUEL, ,438346.42,4650375.7,Producció i reproducció,Gallines i pollastres,Activa
2.255517412349033,42.002985072645373,14,EL SERRAT DE SANT MIQUEL, ,438346.42,4650375.7,Producció i reproducció,Gallines i pollastres,Activa
2.255517412349033,42.002985072645373,15,EL SERRAT DE SANT MIQUEL, ,438346.42,4650375.7,Producció i reproducció,Oví,Activa
2.255517412349033,42.002985072645373,16,EL SERRAT DE SANT MIQUEL, ,438346.42,4650375.7,Producció i reproducció,Porcí,Activa
