codi,Centre,Tipus_consum,consum,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2010,F2011,F2012,F2013,F2014,F2015,FID
ESC06,ESCOLA TALLER CAN PATALLARGA,Electricitat dependències,Kwh,ES0031408090662001CX0F,ENDESA ENERGÍA S.A.U.,82013701009,,7772,1329,3321,740,870,44,106
FON05,FONT PG. DEL TER,Aigua,m3,,SOREA,4755789,07/06/2011,0,0,,,,,107
ESC07,TRIPIJOC,Electricitat dependències,Kwh,ES0031446461139001CA0F,ENDESA ENERGÍA S.A.U.,82013720790,,5223,6792,8120,8124,5777,5874,108
FON06,FONT PARC ANGELA ROCA,Aigua,m3,,SOREA,4755798,07/06/2011,340,0,,,,,109
ESC08,SIDRAL-PATALARGA,Electricitat dependències,Kwh,ES0031446475434001NC0F,ENDESA ENERGÍA S.A.U.,82013623830,,8321,10701,12252,2730,0,0,110
ESC09,LLAR D'INFANTS COLORS,Electricitat dependències,Kwh,ES0031448197295001YZ0F,ENDESA ENERGÍA S.A.U.,82013721323,,38107,38284,34915,39078,39139,35898,111
ESC10,ESCOLA QUATRE VENTS,Electricitat dependències,Kwh,ES0031408176567001GX0F,ENDESA ENERGÍA S.A.U.,82013701938,,68539,70482,64582,52982,59413,63427,112
FON07,FONT C/ LLUÇANES,Aigua,m3,,SOREA,4755799,07/06/2011,29,16,,,,,113
FON08,FONT C/ RIPOLL,Aigua,m3,,SOREA,4755800,07/06/2011,16,0,,,,,114
FON10,FONT C/ CABRERA- CASTELLOT,Aigua,m3,,SOREA,4755810,07/06/2011,32,0,,,,,115
FON16,FONT DEL C/CASACUBERTA,Aigua,m3,,SOREA,4756702,07/06/2011,0,0,,,,,116
NMU08,JAUME TUBAU LATORRE,Aigua,m3,,SOREA,4751741,07/06/2011,117,63,,,,,117
REG13,BOCA REG PARC DEL BENET,Aigua,m3,,SOREA,4755823,07/06/2011,172,41,,,,,118
REG14,BOCA REG AV ROMA - ALBERT BENET,Aigua,m3,,SOREA,4755842,07/06/2011,22,13,,,,,119
ESC12,ESCOLA D'ADULTS,Electricitat dependències,Kwh,ES0031408457953001HP0F,ENDESA ENERGÍA S.A.U.,82013702722,,15664,36352,35311,30207,21552,22790,120
REG15,BOCA REG C/ ROCA - AVDA ROMA,Aigua,m3,,SOREA,4755843,07/06/2011,1,1,,,,,121
ESP01,PAVELLÓ D'ESPORTS,Electricitat dependències,Kwh,ES0031446462879001WF0F,ENDESA ENERGÍA S.A.U.,82013721800,,132301,127924,112814,105353,100071,104232,122
REG17,BOCA REG TORRENT MAGI,Aigua,m3,,SOREA,4755815,07/06/2011,1295,313,,,,,123
ESP02,PISCINA COBERTA,Electricitat dependències,Kwh,ES0031448323163002TD0F,ENDESA ENERGÍA S.A.U.,82013722221,,21,1099,882,67,0,0,124
REG19,BOCA REG PL SANGLAS ALSINA,Aigua,m3,,SOREA,4755784,07/06/2011,409,17,,,,,125
ESP02,PISCINA COBERTA,Electricitat dependències,Kwh,ES0031448323163001TP0F,ENDESA ENERGÍA S.A.U.,82013722589,,630229,680948,635828,501103,472032,498490,126
REG28,BOCA REG C/ PAU CABALLERIA,Aigua,m3,,SOREA,4755822,07/06/2011,0,0,,,,,127
ESP03,CAMP DE FUTBOL,Electricitat dependències,Kwh,ES0031446462572001VB0F,ENDESA ENERGÍA S.A.U.,82013723204,,34393,32450,35490,38586,47597,53079,128
REG37,BOCA REG PC VILADOMAT,Aigua,m3,,SOREA,4756014,07/06/2011,48,54,,,,,129
ESP03,CAMP DE FUTBOL,Electricitat dependències,Kwh,ES0031408215610001BG0F,ENDESA ENERGÍA S.A.U.,82013611791,,7267,6079,4851,1115,311,698,130
REG38,BOCA REG TRES FABRIQUES,Aigua,m3,,SOREA,4756118,07/06/2011,1402,95,,,,,131
ESP03,CAMP DE FUTBOL,Electricitat dependències,Kwh,ES0031408350889001PL0F,ENDESA ENERGÍA S.A.U.,82027038918,,,,,320,18746,14270,132
REG39,BOCA REG ZONA MOLI,Aigua,m3,,SOREA,4756120,07/06/2011,505,0,,,,,133
ESP05,ROCÒDROM CAN TIBA,Electricitat dependències,Kwh,ES0031448275675001ZQ0F,ENDESA ENERGÍA S.A.U.,82018091819,,14002,5690,7324,6314,5713,3913,134
REG39,BOCA REG ZONA MOLI,Aigua,m3,,SOREA,4756121,07/06/2011,314,73,,,,,135
ESP06,PISCINA D'ESTIU,Electricitat dependències,Kwh,ES0031446454011001DW0F,ENDESA ENERGÍA S.A.U.,82013723675,,29440,33198,49764,55540,23371,955,136
REG42,BOCA DE REG AV. DIPUACIÓ. 108,Aigua,m3,,SOREA,4756636,07/06/2011,0,0,,,,,137
HAB01,PIS SOCIAL,Electricitat dependències,Kwh,ES0031408193249030MR0F,ENDESA ENERGÍA S.A.U.,82013612227,,,,313,2677,3384,3222,138
REG43,BOCA DE REG AV. DIPUTACIÓ. 82,Aigua,m3,,SOREA,4756637,07/06/2011,0,0,,,,,139
