X,Y,OBJECTID,Data_incor,Mes,Expedient,Sexe,Edat,Municipi,Franja_eda,Barri
2.288249379291947,41.999993287439544,286,29/06/2015,juny,S,Home,38,Manlleu,35 a 44 anys,Cavalleria
2.285257447021733,42.007417612907787,287,30/06/2015,juny,S,Dona,32,Manlleu,25 a 34 anys,Erm
2.288864333846581,42.003979788014355,288,29/06/2015,juny,S,Home,18,Manlleu,16 a 24 anys,El Puig
2.272945362689204,42.001253277311783,289,30/06/2015,juny,S,Dona,49,Manlleu,45 a 54 anys,Gràcia
2.288864333846581,42.003979788014355,290,26/06/2015,juny,S,Dona,31,Manlleu,25 a 34 anys,El Puig
2.29373360322073,42.001613054857437,291,02/07/2015,juliol,S,Dona,41,Manlleu,35 a 44 anys,La Salut
2.282097921590838,42.002046867599432,292,29/06/2015,juny,S,Dona,28,Manlleu,25 a 34 anys,Nou
2.285257447021733,42.007417612907787,293,01/07/2015,juliol,S,Dona,38,Manlleu,35 a 44 anys,Erm
2.285257447021733,42.007417612907787,294,07/07/2015,juliol,S,Home,19,Manlleu,16 a 24 anys,Erm
2.288249379291947,41.999993287439544,295,06/07/2015,juliol,S,Home,18,Manlleu,16 a 24 anys,Cavalleria
2.285257447021733,42.007417612907787,296,02/07/2015,juliol,S,Dona,19,Manlleu,16 a 24 anys,Erm
2.272945362689204,42.001253277311783,297,06/07/2015,juliol,S,Home,26,Manlleu,25 a 34 anys,Gràcia
2.285257447021733,42.007417612907787,298,09/07/2015,juliol,S,Home,33,Manlleu,25 a 34 anys,Erm
2.272945362689204,42.001253277311783,299,09/07/2015,juliol,S,Dona,62,Manlleu,55 a 64 anys,Gràcia
2.29373360322073,42.001613054857437,300,13/07/2015,juliol,S,Home,53,Manlleu,45 a 54 anys,La Salut
2.285257447021733,42.007417612907787,301,13/07/2015,juliol,S,Home,23,Manlleu,16 a 24 anys,Erm
2.272945362689204,42.001253277311783,302,16/07/2015,juliol,S,Dona,47,Manlleu,45 a 54 anys,Gràcia
2.285257447021733,42.007417612907787,303,15/07/2015,juliol,S,Home,18,Manlleu,16 a 24 anys,Erm
2.283973794150638,42.001041486165164,304,17/07/2015,juliol,S,Dona,40,Manlleu,35 a 44 anys,Dalt Vila
2.288864333846581,42.003979788014355,305,16/07/2015,juliol,S,Home,58,Manlleu,55 a 64 anys,El Puig
2.283973794150638,42.001041486165164,306,20/07/2015,juliol,S,Home,53,Manlleu,45 a 54 anys,Dalt Vila
