NOMBRE,CALLE,TIPO,NÚMERO ACCESOS
"TRANS CORRADA","CORRADA","TRANS","1"
"CALLE PUERTO DE TARNA","PUERTO DE TARNA","CALLE","8"
"CALLE PUERTO DE PIEDRAFITA","PUERTO DE PIEDRAFITA","CALLE","4"
"CALLE MONTEMAYOR","MONTEMAYOR","CALLE","5"
"CALLE CAMPONA LA","CAMPONA LA","CALLE","10"
"CALLE TORRECERREDO","TORRECERREDO","CALLE","15"
"CALLE LUIS CERNUDA","LUIS CERNUDA","CALLE","4"
"CALLE CANONIGO","CANONIGO","CALLE","9"
"CMNO CABUEÑES (SOMIO)","CABUEÑES (SOMIO)","CMNO","53"
"CMNO PERALES (SOMIO)","PERALES (SOMIO)","CMNO","20"
"PLAZA JACQUES-IVES COUSTEAU","JACQUES-IVES COUSTEAU","PLAZA","8"
"CALLE PONIENTE","PONIENTE","CALLE","1"
"CMNO MONTEVIENTO (SOMIO)","MONTEVIENTO (SOMIO)","CMNO","36"
"CALLE ALESON","ALESON","CALLE","3"
"CALLE BLANCA DE LOS RIOS","BLANCA DE LOS RIOS","CALLE","4"
"CALLE SEGOVIA","SEGOVIA","CALLE","1"
"CALLE ANTONIO GAUDI Y CORNET","ANTONIO GAUDI Y CORNET","CALLE","11"
"CALLE IDEAL ROSALES","IDEAL ROSALES","CALLE","25"
"TRVA JOVELLANOS","JOVELLANOS","TRVA","1"
"CALLE ISAAC PERAL Y CABALLERO","ISAAC PERAL Y CABALLERO","CALLE","43"
"CALLE GLORIA FUERTES","GLORIA FUERTES","CALLE","27"
"PLAZA VILLAMANIN (SOMIO)","VILLAMANIN (SOMIO)","PLAZA","6"
"CMNO ANEMONAS (SOMIO)","ANEMONAS (SOMIO)","CMNO","13"
"CMNO PINOS (SOMIO)","PINOS (SOMIO)","CMNO","21"
"CMNO LILAS (SOMIO)","LILAS (SOMIO)","CMNO","10"
"CMNO QUIÑONES (SOMIO)","QUIÑONES (SOMIO)","CMNO","40"
"CMNO AVELLANOS (SOMIO)","AVELLANOS (SOMIO)","CMNO","22"
"CAMIN CUESTA DE SANTAMARIÑA (CABUEÑES)","CUESTA DE SANTAMARIÑA (CABUEÑES)","CAMIN","3"
"CTRA AS-331 (PEON)","AS-331 (PEON)","CTRA","69"
"CMNO CUESTA (SOMIO)","CUESTA (SOMIO)","CMNO","9"
"CAMIN CHAMURRU (CABUEÑES)","CHAMURRU (CABUEÑES)","CAMIN","15"
"CAMIN CANTERA (CABUEÑES)","CANTERA (CABUEÑES)","CAMIN","1"
"CMNO BEGONIAS (SOMIO)","BEGONIAS (SOMIO)","CMNO","33"
"TRVA HAYAS 1 (SOMIO)","HAYAS 1 (SOMIO)","TRVA","3"
"PZTA RUBIERA (CABUEÑES)","RUBIERA (CABUEÑES)","PZTA","2"
"CMNO NARCISOS (SOMIO)","NARCISOS (SOMIO)","CMNO","10"
"AVDA DIONISIO CIFUENTES DE","DIONISIO CIFUENTES DE","AVDA","28"
"CMNO GIRASOLES (SOMIO)","GIRASOLES (SOMIO)","CMNO","12"
"CMNO TILOS (SOMIO)","TILOS (SOMIO)","CMNO","21"
"CALLE LA ARENA (ARNAO)","LA ARENA (ARNAO)","CALLE","7"
"CALLE SEGUNDO BLANCO","SEGUNDO BLANCO","CALLE","7"
"CALLE POETA BASILIO FERNANDEZ LOPEZ","POETA BASILIO FERNANDEZ LOPEZ","CALLE","11"
"TRVA MONTEVIENTO (SOMIO)","MONTEVIENTO (SOMIO)","TRVA","3"
"CALLE RAMON DEL VALLE INCLAN","RAMON DEL VALLE INCLAN","CALLE","1"
"CMNO CASTAÑALIQUES (SOMIO)","CASTAÑALIQUES (SOMIO)","CMNO","10"
"CMNO PLEITO (SOMIO)","PLEITO (SOMIO)","CMNO","11"
"CAMIN PINDIELLA (CABUEÑES)","PINDIELLA (CABUEÑES)","CAMIN","12"
"CALLE CONCEJO DE TEVERGA","CONCEJO DE TEVERGA","CALLE","11"
"CALLE MARIA GONZALEZ "LA PONDALA"","MARIA GONZALEZ "LA PONDALA"","CALLE","58"
"CALLE JOSE LLAMA FERNANDEZ","JOSE LLAMA FERNANDEZ","CALLE","21"
"CAMIN REGATU (CABUEÑES)","REGATU (CABUEÑES)","CAMIN","10"
"CAMIN ISLA, DE LA","ISLA, DE LA","CAMIN","21"
"CAMIN FELECHOSO, DE (JOVE)","FELECHOSO, DE (JOVE)","CAMIN","11"
"TRVA ARCES 2 (SOMIO)","ARCES 2 (SOMIO)","TRVA","2"
"CALLE CONCEJO DE SOMIEDO","CONCEJO DE SOMIEDO","CALLE","6"
"CAMIN FUENTE DEL CAÑU, DE LA  (JOVE)","FUENTE DEL CAÑU, DE LA  (JOVE)","CAMIN","19"
"CAMIN IGLESIA, DE LA (JOVE)","IGLESIA, DE LA (JOVE)","CAMIN","11"
"CMNO OLIVOS (SOMIO)","OLIVOS (SOMIO)","CMNO","1"
"CMNO MONTE DE SERIN (SOMIO)","MONTE DE SERIN (SOMIO)","CMNO","8"
"TRVA HAYAS 2 (SOMIO)","HAYAS 2 (SOMIO)","TRVA","1"
"CAMIN VICENTON, DE (SANTURIO)","VICENTON, DE (SANTURIO)","CAMIN","20"
"CAMIN CASTAÑEU, DEL  (BERNUECES)","CASTAÑEU, DEL  (BERNUECES)","CAMIN","9"
"CALLE RIO ESVA","RIO ESVA","CALLE","10"
"TRVA ERIA, DE LA (BERNUECES)","ERIA, DE LA (BERNUECES)","TRVA","8"
"CALLE DANIEL PALACIO FERNANDEZ","DANIEL PALACIO FERNANDEZ","CALLE","9"
"CAMIN BARQUERA DE LA (BERNUECES)","BARQUERA DE LA (BERNUECES)","CAMIN","8"
"CLEYA ERIA, DE LA (SANTURIO)","ERIA, DE LA (SANTURIO)","CLEYA","4"
"CALLE SOR JUANA INES DE LA CRUZ","SOR JUANA INES DE LA CRUZ","CALLE","21"
"CALLE MARCO POLO","MARCO POLO","CALLE","8"
"CAMIN HERON, DE EL  (BERNUECES)","HERON, DE EL  (BERNUECES)","CAMIN","9"
"CAMIN CASA CANTORA, DE (BERNUECES)","CASA CANTORA, DE (BERNUECES)","CAMIN","11"
"CAMIN CAMPONA, DE LA (DEVA)","CAMPONA, DE LA (DEVA)","CAMIN","7"
"CALLE JOSE MORENO VILLA","JOSE MORENO VILLA","CALLE","2"
"TRVA ISIDORO ACEVEDO 2, DE (JOVE)","ISIDORO ACEVEDO 2, DE (JOVE)","TRVA","2"
"CALLE ERATOSTENES","ERATOSTENES","CALLE","7"
"CTRA CASTIELLO (BERNUECES)","CASTIELLO (BERNUECES)","CTRA","22"
"CAMIN VINADO, DE (DEVA)","VINADO, DE (DEVA)","CAMIN","9"
"CAMIN LLABANES, DE LAS (DEVA)","LLABANES, DE LAS (DEVA)","CAMIN","1"
"CAMIN SANTIAGO, DE (DEVA)","SANTIAGO, DE (DEVA)","CAMIN","6"
"CAMIN ROMIA, DE LA (BERNUECES)","ROMIA, DE LA (BERNUECES)","CAMIN","6"
"TRVA SAN MIGUEL, DE (DEVA)","SAN MIGUEL, DE (DEVA)","TRVA","2"
"TRVA MARIE CURIE","MARIE CURIE","TRVA","6"
"CAMIN RIU, DEL (CALDONES)","RIU, DEL (CALDONES)","CAMIN","4"
"CAMIN MONTE, DEL (CALDONES)","MONTE, DEL (CALDONES)","CAMIN","3"
"CALLE CONCEJO DE RIBADEDEVA","CONCEJO DE RIBADEDEVA","CALLE","2"
"CAMIN REGANORIO, DE","REGANORIO, DE","CAMIN","1"
"CALLE CONCEJO DE IBIAS","CONCEJO DE IBIAS","CALLE","4"
"CAMIN CANTU REDONDO, DEL (CALDONES)","CANTU REDONDO, DEL (CALDONES)","CAMIN","4"
"CAMIN RIUNDU, DE (LAVANDERA)","RIUNDU, DE (LAVANDERA)","CAMIN","6"
"CAMIN LLAVANDERA, DE","LLAVANDERA, DE","CAMIN","63"
"SENDA FERROCARRIL DE LIERES (ABANDONADO)","FERROCARRIL DE LIERES (ABANDONADO)","SENDA","17"
"CAMIN TEJAR (CABUEÑES)","TEJAR (CABUEÑES)","CAMIN","1"
"CAMIN CORIA A SANTURIO, DE LA","CORIA A SANTURIO, DE LA","CAMIN","14"
"CAMIN MELENDRERA, DE LA (CALDONES)","MELENDRERA, DE LA (CALDONES)","CAMIN","6"
"CAMIN BURACOS, DE LOS (PORCEYO)","BURACOS, DE LOS (PORCEYO)","CAMIN","4"
"CAMIN CABAÑA, DE LA (CABUEÑES)","CABAÑA, DE LA (CABUEÑES)","CAMIN","4"
"CAMIN CASCAYU, DEL (LAVANDERA)","CASCAYU, DEL (LAVANDERA)","CAMIN","11"
"CALLE MICHEL FARADAY","MICHEL FARADAY","CALLE","2"
"CALLE CONCEJO DE COAÑA","CONCEJO DE COAÑA","CALLE","2"
"CAMIN TORAL, DE (LAVANDERA)","TORAL, DE (LAVANDERA)","CAMIN","17"
"CAMIN BOVIA, DE LA (LAVANDERA)","BOVIA, DE LA (LAVANDERA)","CAMIN","47"
"CAMIN CASTAÑAL, DE LA (LAVANDERA)","CASTAÑAL, DE LA (LAVANDERA)","CAMIN","4"
"CAMIN FAZA, DE LA (LAVANDERA)","FAZA, DE LA (LAVANDERA)","CAMIN","2"
"CAMIN PANIZO, EL (LAVANDERA)","PANIZO, EL (LAVANDERA)","CAMIN","2"
"CAMIN TIERRA IGLESIA, DE LA (LAVANDERA)","TIERRA IGLESIA, DE LA (LAVANDERA)","CAMIN","4"
"CAMIN SUMU, DEL (LAVANDERA)","SUMU, DEL (LAVANDERA)","CAMIN","12"
"CAMIN OSCURA, DE LA","OSCURA, DE LA","CAMIN","5"
"CAMIN CUESTA, DE LA (CALDONES)","CUESTA, DE LA (CALDONES)","CAMIN","3"
"CAMIN FONTE DE CARBONERO, DE LA (FANO)","FONTE DE CARBONERO, DE LA (FANO)","CAMIN","1"
"CALLE CONCEJO DE ILLANO","CONCEJO DE ILLANO","CALLE","3"
"CAMIN PIOYU, DEL (FANO)","PIOYU, DEL (FANO)","CAMIN","3"
"CAMIN REGATU, DEL (FANO)","REGATU, DEL (FANO)","CAMIN","4"
"CAMIN VIA, DE LA (FANO)","VIA, DE LA (FANO)","CAMIN","3"
"CAMIN ZURRAQUERA, DE LA (FANO)","ZURRAQUERA, DE LA (FANO)","CAMIN","15"
"CAMIN PUMAR DE MONTE (VALDORNON)","PUMAR DE MONTE (VALDORNON)","CAMIN","2"
"CAMIN MIGULE, DE (VALDORNON)","MIGULE, DE (VALDORNON)","CAMIN","12"
"CAMIN CAXIGAL, DE (VALDORNON)","CAXIGAL, DE (VALDORNON)","CAMIN","11"
"CAMIN FONTE DE LA CARISA, DE LA (VALDORNON)","FONTE DE LA CARISA, DE LA (VALDORNON)","CAMIN","5"
"CAMIN LAVADERU, DEL (VALDORNON)","LAVADERU, DEL (VALDORNON)","CAMIN","10"
"CAMIN PAREA, DE LA (VALDORNON)","PAREA, DE LA (VALDORNON)","CAMIN","7"
"CLEYA QUINTANA, DE (VALDORNON)","QUINTANA, DE (VALDORNON)","CLEYA","14"
"CLEYA SOLAMATA, DE (VALDORNON)","SOLAMATA, DE (VALDORNON)","CLEYA","2"
"CAMIN CALEYONA, DE LA (FANO)","CALEYONA, DE LA (FANO)","CAMIN","1"
"CAMIN GOLA, DE LA (GÜERCES)","GOLA, DE LA (GÜERCES)","CAMIN","11"
"CAMIN CEMENTERIO, DEL (LEORIO)","CEMENTERIO, DEL (LEORIO)","CAMIN","7"
"CAMIN TIRO, DEL (VERIÑA)","TIRO, DEL (VERIÑA)","CAMIN","9"
"CAMIN RAMBLA, DE LA (LEORIO)","RAMBLA, DE LA (LEORIO)","CAMIN","13"
"CAMIN ALVARINOS, DE LOS (PUAO)","ALVARINOS, DE LOS (PUAO)","CAMIN","3"
"CAMIN BLANCOS, DE LOS (PUAO)","BLANCOS, DE LOS (PUAO)","CAMIN","15"
"CAMIN MONTE, DEL (PUAO)","MONTE, DEL (PUAO)","CAMIN","19"
"CAMIN RIO, DEL (GRANDA)","RIO, DEL (GRANDA)","CAMIN","12"
"CAMIN SEVIES, DE LES (LEORIO)","SEVIES, DE LES (LEORIO)","CAMIN","10"
"CAMIN MANUEL MARTINEZ BLANCO (EL MAESTRO), DE (LEORIO)","MANUEL MARTINEZ BLANCO (EL MAESTRO), DE (LEORIO)","CAMIN","8"
"CAMIN MAERA, DE LA","MAERA, DE LA","CAMIN","87"
"CAMIN PRUVIDA, DE LA","PRUVIDA, DE LA","CAMIN","18"
"CALLE CESAR MAESE ALONSO","CESAR MAESE ALONSO","CALLE","20"
"CALLE CUATREADA, LA","CUATREADA, LA","CALLE","1"
"CALLE BIRLE, EL","BIRLE, EL","CALLE","4"
"CAMIN TRUBIECA, DE LA (GÜERCES)","TRUBIECA, DE LA (GÜERCES)","CAMIN","2"
"CAMIN PUMARADA, DE LA (VEGA)","PUMARADA, DE LA (VEGA)","CAMIN","12"
"CAMIN REFAXIES, DE (PUAO)","REFAXIES, DE (PUAO)","CAMIN","7"
"CAMIN PERDIZ, DE LA","PERDIZ, DE LA","CAMIN","52"
"CAMIN CONDESU, DEL (VERIÑA)","CONDESU, DEL (VERIÑA)","CAMIN","2"
"CAMIN CUESTA, DE LA (VERIÑA)","CUESTA, DE LA (VERIÑA)","CAMIN","15"
"CAMIN BARAGAÑA, DE LA (VEGA)","BARAGAÑA, DE LA (VEGA)","CAMIN","5"
"CAMIN MATONA, DE LA (GRANDA)","MATONA, DE LA (GRANDA)","CAMIN","6"
"TRVA MEDIO, DEL (GRANDA)","MEDIO, DEL (GRANDA)","TRVA","4"
"CAMIN RABADAL, DEL (GÜERCES)","RABADAL, DEL (GÜERCES)","CAMIN","12"
"CAMIN RESCAÑU, DEL (GÜERCES)","RESCAÑU, DEL (GÜERCES)","CAMIN","1"
"CAMIN PEGA, DE LA (LEORIO)","PEGA, DE LA (LEORIO)","CAMIN","7"
"CAMIN SOPEÑA, DE LA (TREMAÑES)","SOPEÑA, DE LA (TREMAÑES)","CAMIN","2"
"CAMIN CASARES A ARROYO, DE","CASARES A ARROYO, DE","CAMIN","25"
"CTRA AS-266 (OVIEDO-PORCEYO)","AS-266 (OVIEDO-PORCEYO)","CTRA","7"
"TRVA VEGA, DE LA (PORCEYO)","VEGA, DE LA (PORCEYO)","TRVA","2"
"CAMIN BARREU, DEL (PORCEYO)","BARREU, DEL (PORCEYO)","CAMIN","3"
"TRVA PARQUE DE LA LLANA, DEL (PORCEYO)","PARQUE DE LA LLANA, DEL (PORCEYO)","TRVA","2"
"CAMIN ROBUSTIANO, DE (PORCEYO)","ROBUSTIANO, DE (PORCEYO)","CAMIN","1"
"CAMIN ZAMPUCA, DE LA (PORCEYO)","ZAMPUCA, DE LA (PORCEYO)","CAMIN","3"
"CTRA ANTIGUA DE PINZALES","ANTIGUA DE PINZALES","CTRA","17"
"CAMIN BOROÑADA, DE LA (TREMAÑES)","BOROÑADA, DE LA (TREMAÑES)","CAMIN","4"
"CTRA PEDRERA, DE LA","PEDRERA, DE LA","CTRA","12"
"CAMIN FUENTE DEL MORTERO, DE LA (TREMAÑES)","FUENTE DEL MORTERO, DE LA (TREMAÑES)","CAMIN","8"
"CAMIN CACHAI, DE (ROCES)","CACHAI, DE (ROCES)","CAMIN","5"
"CAMIN NOZALEDA, DE LA (ROCES)","NOZALEDA, DE LA (ROCES)","CAMIN","3"
"CALLE AIDA DE LA FUENTE","AIDA DE LA FUENTE","CALLE","1"
"CAMIN PARAXA, DE LA (TREMAÑES)","PARAXA, DE LA (TREMAÑES)","CAMIN","1"
"CAMIN BRAÑA, DE LA (ROCES)","BRAÑA, DE LA (ROCES)","CAMIN","14"
"CAMIN BALICIEGA, DE LA (ROCES)","BALICIEGA, DE LA (ROCES)","CAMIN","11"
"CAMIN CASARES A LAS FUENTES DE LA REGUERA, DE (PORCEYO)","CASARES A LAS FUENTES DE LA REGUERA, DE (PORCEYO)","CAMIN","3"
"CAMIN CORVES, DE LES (PORCEYO)","CORVES, DE LES (PORCEYO)","CAMIN","11"
"CAMIN UNION, DE LA (PORCEYO)","UNION, DE LA (PORCEYO)","CAMIN","1"
"CAMIN LLOREDA, DE (TREMAÑES)","LLOREDA, DE (TREMAÑES)","CAMIN","6"
"CAMIN MEDIO, DEL (TREMAÑES)","MEDIO, DEL (TREMAÑES)","CAMIN","7"
"CAMIN FERRERIN, DEL (ROCES)","FERRERIN, DEL (ROCES)","CAMIN","2"
"CALLE ESTADIO DE EL MOLINON","ESTADIO DE EL MOLINON","CALLE","5"
"CALLE CONCEJO DE VEGADEO","CONCEJO DE VEGADEO","CALLE","1"
"CALLE PREMIO REAL","PREMIO REAL","CALLE","17"
"CALLE DESFILADERO LES XANES","DESFILADERO LES XANES","CALLE","10"
"CALLE DOS DE MAYO","DOS DE MAYO","CALLE","40"
"CALLE GRAN CAPITAN","GRAN CAPITAN","CALLE","32"
"PLAZA EUROPA DE","EUROPA DE","PLAZA","22"
"CALLE EUSEBIO MIRANDA","EUSEBIO MIRANDA","CALLE","6"
"GRUP CONSTRUCTORA","CONSTRUCTORA","GRUP","15"
"CALLE MARGARITA XIRGU","MARGARITA XIRGU","CALLE","8"
"CALLE RUIZ GOMEZ","RUIZ GOMEZ","CALLE","16"
"CALLE PILES","PILES","CALLE","19"
"CALLE ESTRELLA","ESTRELLA","CALLE","7"
"CALLE LUCERO","LUCERO","CALLE","22"
"CALLE INDUSTRIAS LAS","INDUSTRIAS LAS","CALLE","26"
"CALLE ANDES","ANDES","CALLE","43"
"CALLE COLOMBIA","COLOMBIA","CALLE","9"
"CALLE LEOPOLDO ALAS","LEOPOLDO ALAS","CALLE","45"
"CALLE GRANADOS","GRANADOS","CALLE","15"
"CALLE SALUSTIO REGUERAL","SALUSTIO REGUERAL","CALLE","13"
"CALLE NUMA GUILHOU","NUMA GUILHOU","CALLE","32"
"CALLE ISABEL LA CATOLICA","ISABEL LA CATOLICA","CALLE","8"
"CALLE BARROS","BARROS","CALLE","18"
"CALLE MARTIN","MARTIN","CALLE","33"
"CALLE LEON","LEON","CALLE","11"
"CALLE JACOBO OLAÑETA","JACOBO OLAÑETA","CALLE","11"
"CALLE SAN AGUSTIN","SAN AGUSTIN","CALLE","9"
"CALLE TOMAS ZARRACINA","TOMAS ZARRACINA","CALLE","5"
"CALLE FERNANDO VILLAAMIL","FERNANDO VILLAAMIL","CALLE","11"
"CALLE CONDE REAL AGRADO","CONDE REAL AGRADO","CALLE","6"
"CALLE AVELINO GONZALEZ MALLADA","AVELINO GONZALEZ MALLADA","CALLE","48"
"AVDA HERMANOS FELGUEROSO","HERMANOS FELGUEROSO","AVDA","58"
"CALLE PALENCIA","PALENCIA","CALLE","5"
"CALLE SAN RUFINO","SAN RUFINO","CALLE","10"
"CALLE JOSE MARTI","JOSE MARTI","CALLE","13"
"CALLE SAAVEDRA","SAAVEDRA","CALLE","47"
"TRANS SANTA LUISA","SANTA LUISA","TRANS","2"
"CALLE COROÑA","COROÑA","CALLE","23"
"CALLE FRAY LUIS DE LEON","FRAY LUIS DE LEON","CALLE","16"
"CALLE FERMIN SUAREZ","FERMIN SUAREZ","CALLE","7"
"CALLE DAOIZ Y VELARDE","DAOIZ Y VELARDE","CALLE","23"
"CALLE RUIZ","RUIZ","CALLE","7"
"CALLE SIMON GONZALEZ","SIMON GONZALEZ","CALLE","15"
"CALLE LIBERTAD","LIBERTAD","CALLE","25"
"CALLE ACACIA","ACACIA","CALLE","3"
"CALLE ALVAREZ GARAYA","ALVAREZ GARAYA","CALLE","12"
"CALLE FRANCISCO RODRIGUEZ ALVAREZ","FRANCISCO RODRIGUEZ ALVAREZ","CALLE","7"
"CALLE SALAMANCA","SALAMANCA","CALLE","3"
"CALLE OSCAR OLAVARRIA","OSCAR OLAVARRIA","CALLE","17"
"CALLE BOAL","BOAL","CALLE","17"
"CALLE RUFINO GARCIA SOTURA","RUFINO GARCIA SOTURA","CALLE","7"
"CALLE MATADERO VIEJO","MATADERO VIEJO","CALLE","4"
"AVDA PORTUGAL DE","PORTUGAL DE","AVDA","88"
"CALLE SOLEDAD","SOLEDAD","CALLE","11"
"CALLE PICOS DE EUROPA","PICOS DE EUROPA","CALLE","3"
"CALLE FUERTE VIEJO","FUERTE VIEJO","CALLE","19"
"CALLE CUESTA DEL CHOLO","CUESTA DEL CHOLO","CALLE","2"
"CALLE MARIA CRISTINA","MARIA CRISTINA","CALLE","14"
"CALLE MARIA DOLORES","MARIA DOLORES","CALLE","18"
"CALLE CAMPO SAGRADO","CAMPO SAGRADO","CALLE","40"
"CALLE PEPE ORTIZ","PEPE ORTIZ","CALLE","13"
"CMNO TEJERONA LA","TEJERONA LA","CMNO","11"
"CALLE ADARO","ADARO","CALLE","14"
"CALLE BADAJOZ","BADAJOZ","CALLE","35"
"CALLE RECONQUISTA","RECONQUISTA","CALLE","23"
"CALLE JUAN ALVARGONZALEZ","JUAN ALVARGONZALEZ","CALLE","77"
"CALLE EVARISTOS LOS","EVARISTOS LOS","CALLE","10"
"CALLE RONCAL","RONCAL","CALLE","26"
"CALLE PUERTO DE LEITARIEGOS","PUERTO DE LEITARIEGOS","CALLE","24"
"CALLE AMERICA DEL SUR","AMERICA DEL SUR","CALLE","13"
"CALLE TORNEROS","TORNEROS","CALLE","5"
"CALLE PEDRO PABLO","PEDRO PABLO","CALLE","35"
"CALLE FONTANEROS","FONTANEROS","CALLE","11"
"CALLE SERENA LA","SERENA LA","CALLE","6"
"CALLE ESTADILLO","ESTADILLO","CALLE","40"
"CALLE SAN GABRIEL","SAN GABRIEL","CALLE","17"
"CALLE SAN JUAN","SAN JUAN","CALLE","39"
"CALLE PAZ LA","PAZ LA","CALLE","46"
"CALLE RAMIRO I","RAMIRO I","CALLE","23"
"CALLE GARCIA BLANCO","GARCIA BLANCO","CALLE","14"
"CALLE SANTUARIO","SANTUARIO","CALLE","11"
"CALLE FERNANDO VELA","FERNANDO VELA","CALLE","3"
"CALLE IRENE FERNANDEZ PERERA","IRENE FERNANDEZ PERERA","CALLE","13"
"GRUP CARSA FASE 1","CARSA FASE 1","GRUP","9"
"GRUP CARSA FASE 3","CARSA FASE 3","GRUP","7"
"CTRA VIZCAINA","VIZCAINA","CTRA","47"
"CALLE GOYA","GOYA","CALLE","5"
"CALLE H FERRADORES","H FERRADORES","CALLE","11"
"CALLE NOEGA","NOEGA","CALLE","5"
"AVDA PROFESOR PEREZ PIMENTEL","PROFESOR PEREZ PIMENTEL","AVDA","78"
"CALLE JULIO SOMOZA","JULIO SOMOZA","CALLE","5"
"CALLE PROFESOR MIGUEL ANGEL G MUÑIZ","PROFESOR MIGUEL ANGEL G MUÑIZ","CALLE","18"
"CALLE PUERTO DE VENTANA","PUERTO DE VENTANA","CALLE","22"
"CALLE MATERNIDAD","MATERNIDAD","CALLE","1"
"CLLON NAVA","NAVA","CLLON","1"
"CALLE L LAMPISTEROS","L LAMPISTEROS","CALLE","2"
"CALLE R RAMPEROS","R RAMPEROS","CALLE","3"
"CALLE Q AYUDANTES","Q AYUDANTES","CALLE","2"
"CALLE LAVIANA","LAVIANA","CALLE","12"
"GRUP MAESTROS","MAESTROS","GRUP","2"
"CMNO ARENAS (SOMIO)","ARENAS (SOMIO)","CMNO","36"
"CALLE TRUEBA","TRUEBA","CALLE","13"
"CALLE LANUZA","LANUZA","CALLE","15"
"CALLE PEÑA SANTA DE ENOL","PEÑA SANTA DE ENOL","CALLE","18"
"PASEO DOLORES MEDIO","DOLORES MEDIO","PASEO","4"
"CALLE TEODORO CUESTA","TEODORO CUESTA","CALLE","2"
"AVDA MIGUEL HERNANDEZ","MIGUEL HERNANDEZ","AVDA","11"
"CALLE ALEXANDER GRAHAM BELL","ALEXANDER GRAHAM BELL","CALLE","34"
"CALLE JUANIN DE MIERES","JUANIN DE MIERES","CALLE","9"
"CALLE TERUEL","TERUEL","CALLE","5"
"CMNO PETUNIAS (SOMIO)","PETUNIAS (SOMIO)","CMNO","6"
"CMNO CLAVELES (SOMIO)","CLAVELES (SOMIO)","CMNO","30"
"GRUP LLOREDA","LLOREDA","GRUP","14"
"CALLE PUERTO VEGARADA","PUERTO VEGARADA","CALLE","3"
"CALLE MAESTRINES","MAESTRINES","CALLE","3"
"CALLE PABLO DE OLAVIDE","PABLO DE OLAVIDE","CALLE","10"
"CALLE ATAULFO FRIERA "TARFE"","ATAULFO FRIERA "TARFE"","CALLE","6"
"CALLE NAVIA","NAVIA","CALLE","2"
"CALLE JUAN VALDES CORES","JUAN VALDES CORES","CALLE","9"
"TRVA TULIPANES (SOMIO)","TULIPANES (SOMIO)","TRVA","2"
"CMNO CAMPING (SOMIO)","CAMPING (SOMIO)","CMNO","7"
"CMNO MIMOSAS (SOMIO)","MIMOSAS (SOMIO)","CMNO","24"
"CMNO HIGUERAS (SOMIO)","HIGUERAS (SOMIO)","CMNO","29"
"CAMIN SECADERO (CABUEÑES)","SECADERO (CABUEÑES)","CAMIN","3"
"CMNO PIPA (SOMIO)","PIPA (SOMIO)","CMNO","23"
"CMNO CASTAÑOS (SOMIO)","CASTAÑOS (SOMIO)","CMNO","22"
"CMNO RAFAEL DE SAN JUAN ROQUES","RAFAEL DE SAN JUAN ROQUES","CMNO","7"
"PLAZA SARA SUAREZ SOLIS","SARA SUAREZ SOLIS","PLAZA","15"
"CMNO MARGARITAS (SOMIO)","MARGARITAS (SOMIO)","CMNO","3"
"TRVA AGAPANTOS (SOMIO)","AGAPANTOS (SOMIO)","TRVA","3"
"CMNO PRUNOS (SOMIO)","PRUNOS (SOMIO)","CMNO","8"
"CMNO MADROÑOS (SOMIO)","MADROÑOS (SOMIO)","CMNO","4"
"CALLE DOCTOR LUIS HEREDIA ROMAN","DOCTOR LUIS HEREDIA ROMAN","CALLE","3"
"CMNO ARCES (SOMIO)","ARCES (SOMIO)","CMNO","29"
"CMNO DESTINO (SOMIO)","DESTINO (SOMIO)","CMNO","5"
"CAMIN CARBAYON, DEL (CABUEÑES)","CARBAYON, DEL (CABUEÑES)","CAMIN","3"
"CMNO SALVIAS (SOMIO)","SALVIAS (SOMIO)","CMNO","2"
"CMNO VIOLETAS (SOMIO)","VIOLETAS (SOMIO)","CMNO","3"
"CALLE POETA LUIS ALVAREZ PIÑER","POETA LUIS ALVAREZ PIÑER","CALLE","2"
"CMNO FONTANA (SOMIO)","FONTANA (SOMIO)","CMNO","5"
"CAMIN BARREO (CABUEÑES)","BARREO (CABUEÑES)","CAMIN","8"
"CAMIN TROLE","TROLE","CAMIN","38"
"CAMIN MANGADA (CABUEÑES)","MANGADA (CABUEÑES)","CAMIN","19"
"TRVA VEGA (CABUEÑES)","VEGA (CABUEÑES)","TRVA","7"
"CAMIN ESTANCO (CABUEÑES)","ESTANCO (CABUEÑES)","CAMIN","17"
"TRVA ESTANCO (CABUEÑES)","ESTANCO (CABUEÑES)","TRVA","4"
"CAMIN CURULLU, DEL (BERNUECES)","CURULLU, DEL (BERNUECES)","CAMIN","37"
"CALLE LA MAESTRINA (ARNAO)","LA MAESTRINA (ARNAO)","CALLE","4"
"CALLE LA CUESTINA (ARNAO)","LA CUESTINA (ARNAO)","CALLE","7"
"CAMIN CORRADA (CABUEÑES)","CORRADA (CABUEÑES)","CAMIN","4"
"CALLE CONCEJO DE PONGA","CONCEJO DE PONGA","CALLE","10"
"CALLE CONCEJO DE AMIEVA","CONCEJO DE AMIEVA","CALLE","10"
"CMNO BEBEDERU (SOMIO)","BEBEDERU (SOMIO)","CMNO","1"
"CMNO SALTADERA (SOMIO)","SALTADERA (SOMIO)","CMNO","5"
"CMNO BARREDO (SOMIO)","BARREDO (SOMIO)","CMNO","6"
"CAMIN TRANSFORMADOR, DEL (JOVE)","TRANSFORMADOR, DEL (JOVE)","CAMIN","7"
