uri,geo_long,om_idParcela,geo_lat,om_medidaParcela,rdfs_label,om_tipoParcela
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p078-bar,-6.372731,P078,39.440521,25 m.,Bar,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p079-hamburgueseria,-6.372688,P079,39.440385,"5,5 m.",Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p080-bocadillos,-6.372665,P080,39.440345,"5,5 m.",Bocadillos,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p081-chocolateria,-6.372622,P081,39.440257,15 m.,Chocolatería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p082-hamburgueseria,-6.372562,P082,39.440152,10 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p083-bocateria,-6.372492,P083,39.440066,10 m.,Bocatería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p084-bocateria,-6.372465,P084,39.439981,10 m.,Bocatería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p085-bebidas-y-refrescos,-6.372455,P085,39.439907,8 m.,Bebidas Y Refrescos,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p086-hamburgueseria,-6.372423,P086,39.43985,6 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p087-caseta-de-tiro,-6.372378,P087,39.439768,12 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p088-hamburgueseria,-6.372339,P088,39.4397,6 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p089-bebidas-y-refrescos,-6.372306,P089,39.439639,8 m.,Bebidas Y Refrescos,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p090-bebidas-y-refrescos,-6.372268,P090,39.439571,8 m.,Bebidas Y Refrescos,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p091-caseta-de-tiro,-6.372235,P091,39.439511,8 m.,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p092-bocateria,-6.3722,P092,39.439352,7 m.,Bocatería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p093-hamburgueseria,-6.372274,P093,39.439328,6 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p094-mojitos,-6.372352,P094,39.439299,6 m,Mojitos,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p095-hamburgueseria,-6.372432,P095,39.439271,8 m,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p096-hamburgueseria,-6.372521,P096,39.439239,7 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p097-hielo,-6.372599,P097,39.439213,7 m.,Hielo,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p098-canon,-6.372678,P098,39.439187,6 m.,Cañón,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p099-hamburgueseria,-6.372755,P099,39.439158,7 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p100-hamburgueseria,-6.372858,P100,39.439125,10 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p101-hamburgueseria,-6.372976,P101,39.439082,10 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p102-hamburgueseria,-6.37307,P102,39.439047,10 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p103-hamburgueseria,-6.373143,P103,39.439024,6 m,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p104+-mojitos,-6.373218,P104 ,39.438998,10 m.,Mojitos,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p105-hamburgueseria,-6.373285,P105,39.438972,6 m,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p106-hamburgueseria,-6.373364,P106,39.438946,6 m,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p107-cubalitro,-6.373434,P107,39.438919,6 m,Cubalitro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p108-caseta-de-tiro,-6.373504,P108,39.438895,6 m,Caseta De Tiro,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p109-hamburgueseria,-6.373578,P109,39.438869, ,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p110-tombola,-6.374278,P110,39.440116,16 m.,Tómbola,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p111-hamburgueseria,-6.374403,P111,39.440072,8 m.,Hamburguesería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p111a-maquina-grua,-6.374495,P111A,39.44004,9 m.,Máquina-grua,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p111b-chocolateria,-6.374591,P111B,39.440008,21 m.,Chocolatería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/p112-chocolateria,-6.374767,P112,39.439946,21 m.,Chocolatería,puesto
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/1-el-cortijo-cacereno,-6.37308,,39.44046,,El Cortijo Cacereño,caseta
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/10-maria-bonita,-6.37305,,39.43967,,María Bonita,caseta
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/11-el-quinto-pino,-6.37338,,39.43956,,El Quinto Pino,caseta
http://opendata.caceres.es/recurso/cultura-ocio/feria/Parcela/12-paradiso,-6.37333,,39.43937,,Paradiso,caseta
