uri,geo_long,geo_lat,owl_sameAs,om_tipoMonumento,rdfs_label,om_tieneEnlaceSIG,schema_address_addressLocality,schema_address_addressCountry
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/42-escultura-a-las-lavanderas,-6.37682229502,39.4802276322,,Escultura,Escultura a las Lavanderas,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2030,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/43-escultura-a-los-conquistadores,-6.37387998217,39.4692670003,,Escultura,Escultura a los Conquistadores,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1979,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/44-escultura-al-redoble,-6.37311287759,39.475560868,,Escultura,Escultura al Redoble,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1971,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/46-escultura-angelita-capdevielle,-6.37421597277,39.4620369112,,Escultura,Escultura Angelita Capdevielle,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2007,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/47-monumento-antiguo-horno-de-cal,-6.38309795205,39.4589817525,,Horno,Horno Antiguo Horno de Cal,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2011,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/48-escultura-argel,-6.37547346855,39.4798367899,,Escultura,Escultura Argel,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2032,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/49-escultura-cruz-de-los-caidos,-6.37940482016,39.4683786724,,Escultura,Escultura Cruz de los Caidos,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1986,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/5-casa-casa-del-marques-de-monroy,-6.37359014488,39.4731658146,,Casa,Casa del Marques de Monroy,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2471,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/50-monumento-cueva-de-la-becerra,-6.38249326596,39.4313019097,,Cueva,Cueva de la Becerra,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2192,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/52-escultura-de-munoz-chaves,-6.37731267282,39.4715501283,,Escultura,Escultura de Muñoz Chaves,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2051,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/53-escultura-diosa-ceres,-6.37162618401,39.4745020845,,Escultura,Escultura Diosa Ceres,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1972,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/54-escultura-donantes-de-sangre,-6.3944400843,39.4693563228,,Escultura,Escultura Donantes de Sangre,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2085,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/55-escultura-el-ancla,-6.37744002823,39.4717854894,,Escultura,Escultura El Ancla,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2047,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/56-monumento-foro-de-los-balbos,-6.37154167782,39.4743826431,,Monumento,Monumento Foro de los Balbos,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1194,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/57-escultura-fratres,-6.37925496629,39.466275485,,Escultura,Escultura Fratres,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2086,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/58-escultura-gabriel-y-galan,-6.37926497972,39.4690817563,,Escultura,Escultura Gabriel y Galan,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1985,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/59-escultura-glorieta-v-centenario,-6.40233119032,39.4747122895,,Escultura,Escultura Glorieta V Centenario,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2056,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/6-casa-de-diego-garcia-de-ulloa,-6.37153430521,39.4729038216,,Casa,Casa de Diego Garcia de Ulloa,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1203,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/60-escultura-hernan-cortes,-6.37917151038,39.4728364344,,Escultura,Escultura Hernan Cortes,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1983,Cáceres,ES
http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/61-escultura-homenaje-al-minero,-6.38752671655,39.4525437369,,Escultura,Escultura Homenaje al Minero,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2091,Cáceres,ES
