dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:status,uri
3737,2017-10-31T17:28:20Z,parking,43.462665,-3.79861,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3737.csv
3669,2017-10-31T17:28:16Z,parking,43.462958,-3.79994,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3669.csv
3668,2017-10-31T17:27:57Z,parking,43.462952,-3.800005,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3668.csv
3700,2017-10-31T17:27:55Z,parking,43.463585,-3.797182,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3700.csv
3681,2017-10-31T17:27:36Z,parking,43.463424,-3.798833,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3681.csv
3699,2017-10-31T17:27:17Z,parking,43.46358,-3.797238,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3699.csv
3612,2017-10-31T17:27:15Z,parking,43.462907,-3.80339,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3612.csv
3894,2017-10-31T17:23:30Z,parking,43.464207,-3.798591,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3894.csv
3621,2017-10-31T17:23:07Z,parking,43.46303,-3.802122,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3621.csv
3702,2017-10-31T17:22:17Z,parking,43.462743,-3.800763,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3702.csv
3606,2017-10-31T17:18:42Z,parking,43.463079,-3.798687,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3606.csv
3769,2017-10-31T17:18:29Z,parking,43.463345,-3.798433,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3769.csv
3613,2017-10-31T17:18:13Z,parking,43.462913,-3.803329,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3613.csv
3712,2017-10-31T17:17:46Z,parking,43.462459,-3.800733,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3712.csv
3713,2017-10-31T17:17:44Z,parking,43.462467,-3.800666,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3713.csv
3855,2017-10-31T17:16:27Z,parking,43.464414,-3.798763,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3855.csv
3909,2017-10-31T17:15:39Z,parking,43.464366,-3.799331,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3909.csv
3910,2017-10-31T17:15:19Z,parking,43.464372,-3.799267,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3910.csv
3896,2017-10-31T17:15:16Z,parking,43.464119,-3.798577,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3896.csv
3895,2017-10-31T17:15:16Z,parking,43.464157,-3.798582,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3895.csv
3823,2017-10-31T17:09:05Z,parking,43.462844,-3.799601,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3823.csv
3878,2017-10-31T17:06:57Z,parking,43.464467,-3.798726,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3878.csv
3631,2017-10-31T17:03:57Z,parking,43.463123,-3.801173,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3631.csv
3694,2017-10-31T17:01:21Z,parking,43.463541,-3.797607,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3694.csv
3648,2017-10-31T17:01:11Z,parking,43.463256,-3.799819,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3648.csv
3605,2017-10-31T17:00:50Z,parking,43.463073,-3.798752,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3605.csv
3671,2017-10-31T17:00:42Z,parking,43.46297,-3.799819,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3671.csv
3670,2017-10-31T17:00:41Z,parking,43.462964,-3.799872,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3670.csv
3851,2017-10-31T16:52:13Z,parking,43.464383,-3.799103,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3851.csv
3691,2017-10-31T16:47:32Z,parking,43.463526,-3.797786,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3691.csv
3672,2017-10-31T16:47:31Z,parking,43.463366,-3.799399,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3672.csv
3647,2017-10-31T16:46:45Z,parking,43.463249,-3.799871,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3647.csv
3881,2017-10-31T16:46:38Z,parking,43.464616,-3.797614,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3881.csv
3732,2017-10-31T16:44:28Z,parking,43.462636,-3.798919,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3732.csv
3797,2017-10-31T16:44:23Z,parking,43.463174,-3.799594,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3797.csv
3911,2017-10-31T16:43:25Z,parking,43.462964,-3.802811,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3911.csv
3611,2017-10-31T16:32:09Z,parking,43.462899,-3.803448,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3611.csv
3657,2017-10-31T16:30:39Z,parking,43.463199,-3.797444,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3657.csv
3777,2017-10-31T16:28:19Z,parking,43.462874,-3.798348,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3777.csv
3778,2017-10-31T16:28:07Z,parking,43.46283,-3.798339,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3778.csv
3779,2017-10-31T16:27:04Z,parking,43.464246,-3.799788,0.0,http://datos.santander.es/api/datos/sensores_smart_parking/3779.csv
3601,2017-10-31T16:25:15Z,parking,43.463051,-3.79897,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3601.csv
3768,2017-10-31T16:19:45Z,parking,43.463382,-3.798441,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3768.csv
3762,2017-10-31T16:19:13Z,parking,43.463233,-3.798347,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3762.csv
3857,2017-10-31T16:14:43Z,parking,43.464449,-3.798415,1.0,http://datos.santander.es/api/datos/sensores_smart_parking/3857.csv
