dc:identifier,dc:modified,ayto:medida,ayto:idSensor,ayto:intensidad,ayto:ocupacion,ayto:carga,uri
2021-1a7c4c45-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2021,2021,228,10,24,http://datos.santander.es/api/datos/mediciones/2021-1a7c4c45-be5c-11e7-97fa-005056a43242.csv
2022-1a7dd418-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2022,2022,523,10,49,http://datos.santander.es/api/datos/mediciones/2022-1a7dd418-be5c-11e7-97fa-005056a43242.csv
2023-1a7f81dd-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2023,2023,750,11,33,http://datos.santander.es/api/datos/mediciones/2023-1a7f81dd-be5c-11e7-97fa-005056a43242.csv
2024-1a8142fa-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2024,2024,887,10,43,http://datos.santander.es/api/datos/mediciones/2024-1a8142fa-be5c-11e7-97fa-005056a43242.csv
2025-1a84a4b9-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2025,2025,691,10,32,http://datos.santander.es/api/datos/mediciones/2025-1a84a4b9-be5c-11e7-97fa-005056a43242.csv
2026-1a861a86-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2026,2026,774,11,36,http://datos.santander.es/api/datos/mediciones/2026-1a861a86-be5c-11e7-97fa-005056a43242.csv
2028-1a87df39-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2028,2028,1643,30,56,http://datos.santander.es/api/datos/mediciones/2028-1a87df39-be5c-11e7-97fa-005056a43242.csv
2029-1a898c44-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2029,2029,540,9,31,http://datos.santander.es/api/datos/mediciones/2029-1a898c44-be5c-11e7-97fa-005056a43242.csv
2030-1a8b986a-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2030,2030,1368,11,43,http://datos.santander.es/api/datos/mediciones/2030-1a8b986a-be5c-11e7-97fa-005056a43242.csv
2032-1a8d20b1-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2032,2032,360,4,16,http://datos.santander.es/api/datos/mediciones/2032-1a8d20b1-be5c-11e7-97fa-005056a43242.csv
2033-1a9653c4-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2033,2033,896,10,39,http://datos.santander.es/api/datos/mediciones/2033-1a9653c4-be5c-11e7-97fa-005056a43242.csv
2034-1a9a11c3-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2034,2034,935,10,40,http://datos.santander.es/api/datos/mediciones/2034-1a9a11c3-be5c-11e7-97fa-005056a43242.csv
2035-1a9ba1fe-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2035,2035,672,19,55,http://datos.santander.es/api/datos/mediciones/2035-1a9ba1fe-be5c-11e7-97fa-005056a43242.csv
2036-1a9e3ac8-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2036,2036,660,10,50,http://datos.santander.es/api/datos/mediciones/2036-1a9e3ac8-be5c-11e7-97fa-005056a43242.csv
2037-1aa61e0c-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2037,2037,900,59,74,http://datos.santander.es/api/datos/mediciones/2037-1aa61e0c-be5c-11e7-97fa-005056a43242.csv
2038-1aaa2362-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2038,2038,120,3,14,http://datos.santander.es/api/datos/mediciones/2038-1aaa2362-be5c-11e7-97fa-005056a43242.csv
2039-1aac974f-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2039,2039,720,6,32,http://datos.santander.es/api/datos/mediciones/2039-1aac974f-be5c-11e7-97fa-005056a43242.csv
2040-1aae1aec-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2040,2040,109,29,36,http://datos.santander.es/api/datos/mediciones/2040-1aae1aec-be5c-11e7-97fa-005056a43242.csv
2041-1aafa140-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2041,2041,60,0,2,http://datos.santander.es/api/datos/mediciones/2041-1aafa140-be5c-11e7-97fa-005056a43242.csv
2042-1ab47163-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2042,2042,281,16,33,http://datos.santander.es/api/datos/mediciones/2042-1ab47163-be5c-11e7-97fa-005056a43242.csv
2043-1ab6d45c-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2043,2043,2700,13,69,http://datos.santander.es/api/datos/mediciones/2043-1ab6d45c-be5c-11e7-97fa-005056a43242.csv
2044-1ab86226-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2044,2044,120,0,5,http://datos.santander.es/api/datos/mediciones/2044-1ab86226-be5c-11e7-97fa-005056a43242.csv
2045-1aba02eb-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2045,2045,1440,18,44,http://datos.santander.es/api/datos/mediciones/2045-1aba02eb-be5c-11e7-97fa-005056a43242.csv
2046-1abbaced-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2046,2046,846,30,51,http://datos.santander.es/api/datos/mediciones/2046-1abbaced-be5c-11e7-97fa-005056a43242.csv
2047-1abd6517-be5c-11e7-97fa-005056a43242,2017-10-31T16:49:00Z,2047,2047,0,0,0,http://datos.santander.es/api/datos/mediciones/2047-1abd6517-be5c-11e7-97fa-005056a43242.csv
