dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:temperature,ayto:battery,ayto:light,ayto:noise,uri
538,2017-10-31T17:42:39Z,environment,43.46282,-3.80018,16.64,78.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/538.csv
652,2017-10-31T17:42:18Z,environment,43.45854,-3.80872,15.03,69.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/652.csv
641,2017-10-31T17:42:18Z,environment,43.45788,-3.81141,-50.0,68.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/641.csv
640,2017-10-31T17:42:18Z,environment,43.4584,-3.80922,14.77,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/640.csv
646,2017-10-31T17:42:18Z,environment,43.4592,-3.80895,15.16,70.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/646.csv
634,2017-10-31T17:42:18Z,environment,43.4591,-3.80929,14.64,69.0,780.6,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/634.csv
542,2017-10-31T17:42:03Z,environment,43.4629,-3.79948,14.77,68.0,62.14,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/542.csv
525,2017-10-31T17:42:01Z,environment,43.46349,-3.80142,14.0,67.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/525.csv
274,2017-10-31T17:41:41Z,environment,43.46248,-3.7996,14.58,68.0,137.06,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/274.csv
266,2017-10-31T17:41:15Z,environment,43.46291,-3.80069,16.32,70.0,74.35,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/266.csv
536,2017-10-31T17:41:05Z,environment,43.46301,-3.79968,15.03,69.0,64.1,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/536.csv
529,2017-10-31T17:41:03Z,environment,43.46313,-3.80097,15.74,68.0,220.79,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/529.csv
271,2017-10-31T17:40:55Z,environment,43.46251,-3.80022,14.25,71.0,199.19,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/271.csv
543,2017-10-31T17:40:49Z,environment,43.46267,-3.79951,14.25,62.0,330.29,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/543.csv
537,2017-10-31T17:40:38Z,environment,43.4628,-3.80031,15.16,58.0,88.35,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/537.csv
530,2017-10-31T17:40:38Z,environment,43.46316,-3.80046,15.22,69.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/530.csv
455,2017-10-31T17:40:22Z,environment,43.46233,-3.80013,15.54,73.0,46.91,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/455.csv
268,2017-10-31T17:40:20Z,environment,43.46322,-3.80132,267.29,54.0,6561887.4,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/268.csv
528,2017-10-31T17:40:17Z,environment,43.4631,-3.80123,15.8,73.0,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/528.csv
524,2017-10-31T17:39:58Z,environment,43.46268,-3.80264,15.22,72.0,2.72,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/524.csv
