4651,DÜSSELDORF,DÜSSELDORF KALEA,CALLE
1360,ECUADOR,EKUADOR KALEA,CALLE
1370,EDUARDO DATO,EDUARDO DATO KALEA,CALLE
1380,EDUARDO VELASCO,EDUARDO BELASKO KALEA,CALLE
6030,EHARI/ALI,EHARI,ENTIDAD
1390,EIBAR,EIBAR KALEA,CALLE
4726,EL CALCE,EL CALCE KALEA,CALLE
1395,EL CASERIO,ETXALDE KALEA,CALLE
1130,EL CRISTO,KRISTO KALEA,CALLE
1990,EL PRADO,PRADO KALEA,CALLE
1991,"EL PRADO, PARQUE",PRADO PARKEA,PARQUE
1400,EL SALVADOR,SALVADOR KALEA,CALLE
3950,EL TORNO,TORNU KALEA,CALLE
4809,ELCIEGO,ELTZIEGO KALEA,CALLE
4672,ELEXALDE,ELEXALDE KALEA,CALLE
4661,ELGETA,ELGETA KALEA,CALLE
1403,ELGOIBAR,ELGOIBAR KALEA,CALLE
6280,ELORRIAGA,ELORRIAGA,ENTIDAD
4779,ELORRIBARRA,ELORRIBARRA KALEA,CALLE
4703,ELORRIO,ELORRIO KALEA,CALLE
4811,ELVILLAR,BILLAR KALEA,CALLE
1410,ELVIRA ZULUETA,ELVIRA ZULUETA KALEA,CALLE
1420,EMILIA PARDO BAZAN,EMILIA PARDO BAZAN KALEA,CALLE
790,"EMPERADOR CARLOS I, PLAZA DEL",KARLOS I. ENPERADOREAREN PLAZA,PLAZA
1425,ENRIQUE DE EGUREN,ENRIQUE EGUREN KALEA,CALLE
4916,ENTZIA,ENTZIA KALEA,CALLE
4912,EREA,EREA KALEA,CALLE
4890,ERENTXUN,ERENTXUN KALEA,CALLE
4729,ERMUA,ERMUA KALEA,CALLE
4594,ERNESTINA DE CHAMPOURCIN,ERNESTINA CHAMPOURCIN KALEA,CALLE
1440,ERREKALEOR,ERREKALEOR KALEA,CALLE
4754,ERREKARTEA,ERREKARTEA KALEA,CALLE
1430,ERREKATXIKI,ERREKATXIKI KALEA,CALLE
4938,ERROTALDE,ERROTALDE KALEA,CALLE
1445,ERROTAMENDIA,ERROTAMENDIA KALEA,CALLE
4752,ERROTAURRA,ERROTAURRA KALEA,CALLE
1478,ESCULTOR CARLOS YMBERT,CARLOS YMBERT ESKULTOREAREN KALEA,CALLE
1474,ESCULTOR ISAAC DIEZ,ISAAC DIEZ ESKULTOREAREN KALEA,CALLE
1476,ESCULTOR JOAQUIN LUCARINI,JOAQUIN LUCARINI ESKULTOREAREN KALEA,CALLE
1472,ESCULTOR LORENZO FERNANDEZ DE VIANA,LORENZO FERNANDEZ DE VIANA ESKULTOREAREN KALEA,CALLE
1450,ESKALMENDI,ESKALMENDI KALEA,CALLE
6290,ESKIBEL,ESKIBEL,ENTIDAD
4712,"ESKIBEL , PASEO DE",ESKIBEL IBILBIDEA,PASEO
1460,ESKORIATZA,ESKORIATZA KALEA,CALLE
1480,"ESPAÑA, PLAZA DE (PLAZA NUEVA)",ESPAINIA PLAZA (PLAZA BERRIA),PLAZA
4975,ESPACIO MARTIN TTIPIA,MARTIN TTIPIA LEKUA,OTRAS VIAS
1495,ESPOZ Y MINA,ESPOZ Y MINA KALEA,CALLE
6300,ESTARRONA,ESTARROA,ENTIDAD
2480,ESTATUTO DE GERNIKA,GERNIKAKO ESTATUTUAREN KALEA,CALLE
4746,"ESTE , PARQUE DEL",EKIALDEKO PARKEA,PARQUE
4530,ESTELLA,LIZARRA KALEA,CALLE
4902,ESTIBALIZ,ESTIBALIZ,CALLE
4691,ESTOCOLMO,STOCKHOLM KALEA,CALLE
4694,"ESTRASBURGO ,PASEO DE",ESTRASBURGO IBILBIDEA,PASEO
4892,ETURA,ETURA KALEA,CALLE
1512,ETXEZARRA,ETXEZARRA KALEA,CALLE
4793,EUGENIO LAZARO,EUGENIO LAZARO KALEA,CALLE
1515,EULOGIO SERDAN,EULOGIO SERDAN KALEA,CALLE
1520,"EULOGIO SERDAN, PASAJE",EULOGIO SERDAN PASABIDEA,PASAJE
4696,"EUROPA ,PASEO DE",EUROPA IBILBIDEA,PASEO
4550,"EUSKAL HERRIA, BULEVAR",EUSKAL HERRIA BULEBARRA,CALLE
4976,"EUSKALDUNBERRI, PLAZA",EUSKALDUNBERRI PLAZA,PLAZA
4588,"EUSKALTZAINDIA, PLAZA",EUSKALTZAINDIAREN PLAZA,PLAZA
1530,EXTREMADURA,EXTREMADURA KALEA,CALLE
1535,FAUSTO IÑIGUEZ DE BETOLAZA,FAUSTO IÑIGUEZ DE BETOLATZA KALEA,CALLE
1540,FEDERICO BARAIBAR,FEDERICO BARAIBAR KALEA,CALLE
1542,FEDERICO GARCIA LORCA,FEDERICO GARCIA LORCA KALEA,CALLE
1550,FELICIA OLAVE,FELICIA OLABE KALEA,CALLE
4668,FELIX ALFARO FOURNIER,FELIX ALFARO FOURNIER KALEA,CALLE
4891,FELIX GONZALEZ PETITE,FELIX GONZALEZ PETITE KALEA,CALLE
3420,FELIX MARIA SAMANIEGO,FELIX MARIA SAMANIEGO KALEA,CALLE
4527,FERDINAND ZEPPELIN,FERDINAND ZEPPELIN KALEA,CALLE
1560,FERMIN LASUEN,FERMIN LASUEN KALEA,CALLE
1570,FERNAN GONZALEZ,FERNAN GONZALEZ KALEA,CALLE
1580,FERROCARRIL,TRENBIDE KALEA,CALLE
4770,FERROCARRIL DEL NORTE,NORTEKO TRENBIDEAREN KALEA,CALLE
1590,FLANDES,FLANDRIA KALEA,CALLE
6320,FORONDA,FORONDA,ENTIDAD
710,FRANCIA,FRANTZIA KALEA,CALLE
1603,FRANCISCO JAVIER DE LANDABURU,F. XABIER LANDABURU KALEA,CALLE
2030,"FRANCISCO JUAN DE AYALA, PLAZA",FRANCISCO JUAN AIALA PLAZA,PLAZA
1604,FRANCISCO LEANDRO DE VIANA,FRANCISCO LEANDRO VIANA KALEA,CALLE
1606,FRANCISCO LONGA,FRANCISCO LONGA KALEA,CALLE
