EXPEDIENTE;ASUNTO;Nº INVITADOS;Nº LICITADORES;FECHA ADJUDICACIÓN;PRECIO;EMPRESA
2015/CONSOC0028;SUMINISTRO E INSTALACIÓN DE UN ENLACE DE FIBRA ÓPTICA ENTRE EL EDIFICIO DEL C.C. ARRIAGA Y EL NUEVO C.S.C.M. DE LAKUA-ARRIAGA;3;3;13/04/2015;7.310,31;EKOARGI INSTALACIONES ELECTRICAS
2015/CONOOR0019;CREACION DE VESTIBULO DE INDEPENDENCIA EN CUARTO DE ELECTRICIDAD EN PLANTA SOTANO EN EL POLIDEPORTIVO MENDIZORROTZA;5;5;13/04/2015;6.070,30;ESKOP REFORMAS TOMAS ALONSO MANZANO
2015/CONASO0060;DISEÑO E IMPARTICION CURSO TRABAJOS Y TECNICAS VERTICALES DEL PROYECTO LOCAL10 EJE2 COFINANCIADO EN UN 50% PROGRAMA OPE RATIVO PV 2007-13 AMPLIADO 2015 DEL FSE;3;1;15/04/2015;7.024,00;LANDHER SERVICIOS DE FORMACIÓN
2015/CONASO0145;SERVICIO DE MANTENIMIENTO Y CONSERVACION DE SISTEMAS DE ALIMENTACION Y GRUPOS ELECTROGENOS EN VARIOS EDIFICIOS MUNICIPALES;1;1;15/04/2015;3.144,64;MONTELVI, S.L.
2015/CONASO0146;ALQUILER DE UN FURGON PARA MUDANZA AL NUEVO EDIFICIO DE OFICINAS DE SAN MARTIN;4;4;15/04/2015;4.235,00;A-RENTAL, S.A.
2015/CONOOR0020;TRABAJOS DE INSTALACION DE PARANIEVES EN CEP ANGEL GANIVET;4;4;15/04/2015;3.905,58;CUBIERTAS GARCIA LAMEIRO S.L.
2015/CONASO0023;DESARROLLO DE FUNCIONALIDADES VINCULADAS A LAS ENTRADAS DE DOCUMENTACIÓN;3;2;16/04/2015;20.836,20;IBERMATICA S.A.
2015/CONASO0054;"CONTRATACION EMPRESA PARA IMPARTICIÓN PROGRAMA FORMATIVO ""DESARROLLO DE VIDEOJUEGOS MULTIPLATAFORMA CON UNITY""";4;3;16/04/2015;15.300,00;FONDO DE FORMACION
2015/CONSOC0034;SUMINISTRO DE BOTAS ADECUADAS PARA LOS TRABAJOS DE QUITAR NIEVE EN LA VIA PUBLICA;4;4;16/04/2015;8.016,25;IRUÑAKO PROTEK S.L
2015/CONOOR0021;REPARACION DE SUELOS DE TARIMA FLOTANTE DEL GIMNASIO DE SOTANO EN EL CENTRO CIVICO HEGOALDE;3;3;16/04/2015;11.761,77;DEKOLUIS, S.L.
2015/CONSOC0035;SUMINISTRO DE MATERIALES DE REPUESTO DE ILUMINACION PARA PABELLONES URITIASOLO;3;3;17/04/2015;4.787,97;ALMACENES ELECTRICOS RAMIREZ, S.L.
2015/CONASO0152;ORQUESTA VULCANO SHOW PARA SU ACTUACIÓN EN LA PLAZA DE ESPAÑA EL DÍA 9 DE AGOSTO DURANTE LAS FIESTAS DE LA VIRGEN BLANCA;1;1;17/04/2015;9.075,00;SERVICIOS CULTURALES NARIA, S.L.
2015/CONASO0077;"CONTRATACION DE LA IMPARTICION DEL PROGRAMA FORMATIVO ""OPERACIONES DE ALMACEN CON UTILIZACION DE CARRETILLAS ELEVADORAS""";4;4;20/04/2015;10.540,00;FONDO FORMACION EUSKADI S.L.
2015/CONASP0127;CURSOS DE ESGRIMA 2015-2016;3;1;20/04/2015;5.184,00;FEDERACIÓN ALAVESA DE ESGRIMA
2015/CONOOR0022;REPARACION DE BALCONES DE FACHADA EN RESIDENCIA SAN PRUDENCIO;3;3;20/04/2015;3.330,51;AJAX S.C. ALBAÑILERIA Y REFORMAS
2015/CONASO0037;ASISTENCIA TÉCNICA PARA LA ORGANIZACIÓN DE LA CAMPAÑA ÁLAVA EMPRENDE 2015. COFINANCIADA AL 50% POR EL FONDO SOCIAL EUROPEO P.O.P.V. 2007 2013. EMPRESA LOCA;5;3;22/04/2015;21.780,00;PRISMA GLOBAL SERVICIOS Y PROYECTOS,S.L.
2015/CONASP0095;SERVICIO DE MANTENIMIENTO DE LA SEÑALÉTICA Y EQUIPAMIENTO DEL ANILLO VERDE (2015-2016);5;4;22/04/2015;11.589,68;EUROSERVICIOS Y OBRAS FORESTALES, S.A.
2015/CONASO0102;SERVICIO PARA EL CONTROL Y SEGUIMIENTO DE LAS LABORES DE CONSERVACIÓN DEL ANILLO VERDE Y DEL JARDÍN BOTÁNICO DE OLÁRIZU (2015);3;3;22/04/2015;21.300,00;BALDOMERO RODRÍGUEZ LOBÓN
2015/CONASO0079;FORMACIÓN EN EL ÁMBITO DE LA GENERACIÓN DE MODELOS DE NEGOCIO EN EL MARCO DEL PLAN INTEGRAL PERSONALIZADO DE APOYO AL EMPRENDIMIENTO. PIPAE 2015;6;5;23/04/2015;8.160,00;ORTIZ DE URTARAN JORGE(COACH GASTEIZ)
2015/CONASP0117;CURSOS BILLAR 2015-2016;3;1;23/04/2015;3.523,68;FEDERACIÓN ALAVESA DE BILLAR
2015/CONSOC0038;SUMINISTRO E INSTALACION DE PANELES DE VISUALIZACION DE TEMPERATURA Y HUMEDAD EN LOS RECINTOS DE PISCINAS DE LOS CENTROS CIVICOS;1;1;23/04/2015;15.147,50;GIROA, S A. SOCIEDAD UNIPERSONAL
2015/CONASP0106;ACTIVIDADES DEPORTIVAS COMBINADAS CAMPAÑA RUMBO AL DEPORTE VERANO 2015;3;1;24/04/2015;21.404,04;INGURU ABENTURA KOOP ELKARTE TXIKIA
2015/CONASP0107;ACTIVIDAD DE PARAPENTE CAMPAÑA RUMBO AL DEPORTE VERANO 2015;3;1;24/04/2015;5.076,00;PARAPENTE GASTEIZ
2015/CONASP0126;SERVICIO DE TRIATLON TDA 2015-2016;3;1;24/04/2015;6.395,48;DISPORT EKI S.L.
2015/CONOOR0002;OBRAS DE MEJORA DE ILUMINACIÓN EN EL BARRIO DE ADURZA Y PLAZA DE ZALDIARAN - BARRIOS DE ORO;3;3;29/04/2015;25.483,80;ELCA MONTAJES ELECTRICOS  S.A.
2015/CONOOR0016;OBRAS DE EJECUCIÓN DE UN PASO PEATONAL EN LA CALLE PUERTO DE AZÁCETA;4;2;29/04/2015;34.935,14;CONSTRUCCIONES AGUILLO S.A.
2015/CONASP0108;ACTIVIDAD STAND UP PADDLEBOARD CAMPAÑA RUMBO AL DEPORTE VERANO 2015;3;1;29/04/2015;1.130,40;CLUB NAUTICO DE VITORIA
2015/CONASP0109;TIRO CON ARCO/RECORRIDO DE BOSQUE CAMPAÑA RUMBO AL DEPORTE VERANO 2015;3;1;29/04/2015;2.750,00;FEDERACIÓN ALAVESA DE TIRO CON ARCO
2015/CONASP0118;CURSOS TIRO NEUMATICO TDA 2015-2016;3;1;29/04/2015;1.566,08;FEDERACIÓN ALAVESA DE TIRO OLÍMPICO
2015/CONASP0121;CURSOS DE ESFEROBALONES 2015-2016;3;2;29/04/2015;10.571,04;MARIAJE ARIZNABARRETA
2015/CONASP0122;CURSOS TENIS DE MESA TDA 2015-2016;3;1;29/04/2015;10.571,04;FEDERACIÓN ALAVESA DE TENIS DE MESA
2015/CONASP0124;CURSOS TIRO CON ARCO TDA 2015-2016;3;1;29/04/2015;3.132,16;FEDERACIÓN ALAVESA DE TIRO CON ARCO
2015/CONASP0129;CURSOS KENDO TDA 2015-2016;3;1;29/04/2015;1.761,84;CLUB KENDO SHIN DO KAI
2015/CONOOR0017;TRABAJOS DE MANTENIMIENTO DE ESPACIOS NATRALES DE LAS ELM DEL MUNICIPIO DE VITORIA-GASTEIZ;3;1;29/04/2015;29.735,78;VIVEROS ESKALMENDI, S.L.
2015/CONASP0110;CURSOS DE ACTIVIDADES SUBACUATICAS 2015-2016;1;1;30/04/2015;5.452,64;FEDERACIÓN ALAVESA SUBACUÁTICAS
2015/CONASO0235;CONTRATO MENOR TALLER DE CUIDADO DEL HOGAR DE NIÑOS/AS Y DE MAYORES;1;1;30/04/2015;14.653,10;EULEN SERVICIOS SOCIOSANITARIOS S.A.
2015/CONASO0140;"IMPARTICIÓN DEL MÓDULO ""EQUIPOS Y MATERIALES BÁSICOS Y CASOS PRÁCTICOS"" DENTRO DEL PROGRAMA TÉCNICO/A EN GESTIÓN  LOGÍSTICA DE AYUDA HUMANITARIA.";3;1;04/05/2015;8.435,91;FLASH
2015/CONASO0171;DJ PARA BAILABLES EN LA FLORIDA DURANTE EL MES DE AGOSTO DE 2015;3;3;04/05/2015;4.840,00;ARABA ESPECTACULOS, S.C.
2015/CONASO0172;DJ PARA BAILABLES DURANTE JUNIO Y SEPTIEMBRE EN EL PARQUE DE LA FLORIDA;3;3;04/05/2015;4.840,00;LUIS MARIA LUZURIAGA, S.L.
2015/CONSOC0033;ADQUISICIÓN DE DOS DESFIBRILADORES PHYSIO CONTROL LIFEPACK CR PLUS Y DE CINCO VITRINAS;1;1;05/05/2015;4.747,52;PHYSIO-CONTROL SPAIN SALES, S.R.L.
2015/CONOOR0025;SUSTITUCION DE SUELO DE ESCENARIO Y PINTURA DEL MISMO EN EL TEATRO PRINCIPAL;4;4;05/05/2015;8.286,69;DECOFEL ALAVA-2, S.L.
2015/CONOOR0026;REPARACION DE LA ILUMINACION DEL POLIDEPORTIVO DEL CENTRO CIVICO LAKUA 03;3;3;05/05/2015;3.152,33;ELECTRICIDAD FEMAR, S.L.
2015/CONASO0174;COLOCACIÓN DE UN ESCENARIO PARA LOS CONCIERTOS QUE SE VAN A CELEBRAR EN LA PLAZA DE LA VIRGEN BLANCA DEL 17 AL 20 DE JUNIO DE 2015;3;3;07/05/2015;3.448,50;ETXEKIT, S.L.
2015/CONASO0175;GRUPOS MUSICALES PARA BAILABLES EN LA FLORIDA DURANTE EL MES DE JULIO DE 2015;3;3;07/05/2015;11.543,00;ASIER ALVAREZ DE ARCAYA RUIZ DE EGUILAZ
2015/CONASP0113;CURSOS DE RUNNING INICIACION 2015-2016;4;2;08/05/2015;8.427,31;DISPORT EKI S.L.
2015/CONASP0142;CURSO INICIACION DEPORTIVA DE KIN-BALL 2015-2016;3;2;08/05/2015;2.642,76;ASOCIACIÓN DE INTERVENCIÓN SOCIOEDUCATI- VA KOKUK
2015/CONSOC0037;ADECUACIÓN DEL SISTEMA WIFI ACTUAL. INTEGRACIÓN DE LAS REDES ACTUALES Y LAS FUNCIONALIDADES DEL SERVICIO DE CONGRESOS;1;1;11/05/2015;19.807,70;NEXTEL S.A.
2015/CONASO0180;COHETERÍA PARA EL DÍA DE SANTIAGO Y LAS FIESTAS DE LA VIRGEN BLANCA Y TOROS DE FUEGO PARA LAS FIESTAS;2;2;12/05/2015;10.550,00;PIROTECNICA FELIX MTNEZ. DE LECEA ANGULO Y HNOS.
2015/CONASO0182;BAJADA Y SUBIDA DE CELEDÓN Y DE CELEDÓN Y NESKA TXIKI;1;1;12/05/2015;16.698,00;UR NOMADE, S.L.
