"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Electricitat";"PARQUING PLAÇA PALLOL";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"CONSULTORI PONT MAJOR";"sanitari";"159";"";"237";"107";"28";"26";"61";"1.681";"0";"0";"2.399";"746";"996";"1.648";"109";"87";"86";"75";"81";"356";"68";"68";"487";"194";"237";"355"
"Electricitat";"ASSOCIACIÓ VEÏNS DE LA DEVESA";"cultural";"274";"";"2.762";"1.743";"449";"403";"447";"424";"465";"392";"214";"474";"1.594";"2.489";"459";"336";"210";"200";"210";"203";"213";"204";"176";"214";"336";"440"
"Electricitat";"ASSOCIACIO DE VEÏNS DE L'EIXAMPLE";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"76";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"124"
"Electricitat";"ASSOCIACIÓ DE VEÏNS DE FONTAJAU";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"ASSOCIACIÓ DE VEÏNS DE PALAU";"cultural";"";"";"103";"94";"73";"62";"48";"41";"38";"37";"51";"54";"103";"119";"66";"61";"63";"60";"59";"57";"58";"57";"59";"60";"68";"72"
"Electricitat";"ANTIGA BIBLIOTECA SALVADOR ALLENDE";"cultural";"290";"";"194";"457";"679";"566";"547";"546";"567";"1.658";"2.102";"979";"533";"973";"136";"183";"239";"213";"212";"193";"191";"401";"484";"288";"204";"287"
"Electricitat";"BANC D'ALIMENTS";"oficina";"";"";"2.096";"2.040";"1.897";"1.805";"1.925";"1.869";"2.260";"2.280";"2.042";"2.095";"2.006";"2.064";"372";"353";"360";"346";"387";"380";"453";"457";"413";"424";"408";"419"
"Electricitat";"CENTRE CÍVIC PLA DE PALAU";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"CENTRE CÍVIC PONT MAJOR / BIBLIOTECA JUST M. CASERO";"cultural";"1.362";"";"17.752";"15.990";"15.281";"12.432";"9.285";"8.642";"11.103";"9.445";"10.186";"9.386";"11.866";"15.280";"2.808";"2.546";"2.527";"2.044";"1.667";"1.559";"1.829";"1.662";"1.737";"1.670";"1.942";"2.447"
"Electricitat";"CENTRE CÍVIC PLA DE PALAU / BIBLIOTECA ERNEST LLUCH";"cultural";"1.231";"";"8.274";"7.815";"7.518";"6.384";"7.467";"9.551";"9.454";"7.720";"8.658";"8.282";"7.537";"8.410";"1.458";"1.376";"1.383";"1.246";"1.399";"1.709";"1.710";"1.480";"1.593";"1.531";"1.402";"1.529"
"Electricitat";"CENTRE CÍVIC DEL TER / BIBLIOTECA ANTÒNIA ADROHER";"cultural";"1.407";"";"23.085";"21.121";"18.804";"13.782";"17.760";"20.654";"17.353";"13.694";"19.070";"18.255";"15.634";"20.275";"3.787";"3.490";"3.366";"2.543";"3.027";"3.441";"2.929";"2.499";"3.182";"3.062";"2.779";"3.351"
"Electricitat";"CENTRE CÍVIC BARRI VELL – MERCADAL";"cultural";"";"";"7.211";"6.396";"6.449";"3.938";"3.865";"3.609";"4.201";"2.255";"3.497";"3.685";"4.805";"6.147";"1.315";"1.180";"1.220";"907";"908";"879";"970";"730";"868";"900";"1.019";"1.191"
"Electricitat";"CENTRE CÍVIC ONYAR";"cultural";"1.568";"";"16.163";"13.710";"12.309";"7.070";"5.135";"6.261";"7.486";"5.057";"5.996";"6.030";"9.520";"17.149";"3.359";"2.997";"2.908";"2.252";"1.437";"1.370";"1.529";"1.233";"1.365";"1.403";"1.790";"2.743"
"Electricitat";"CENTRE CÍVIC PEDRET";"cultural";"250";"";"1.028";"928";"1.056";"783";"874";"816";"734";"458";"847";"895";"1.036";"972";"252";"228";"264";"196";"214";"204";"192";"142";"210";"220";"243";"234"
"Electricitat";"CENTRE CÍVIC SANTA EUGÈNIA";"cultural";"720";"";"3.568";"3.491";"3.740";"3.273";"3.421";"1.692";"1.748";"2.092";"2.965";"3.347";"3.031";"3.039";"869";"829";"901";"822";"849";"434";"448";"492";"632";"705";"625";"636"
"Electricitat";"CENTRE CÍVIC SANT NARCÍS";"cultural";"1.459";"";"19.135";"18.177";"16.314";"9.601";"10.088";"11.572";"11.635";"6.826";"10.717";"11.016";"13.195";"18.750";"3.220";"3.030";"2.876";"2.080";"2.164";"2.336";"2.371";"1.793";"2.234";"2.289";"2.548";"3.278"
"Electricitat";"CENTRE DE DISTRIBUCIÓ D'ALIMENTS SANTA EUGÈNIA";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"230";"210";"234";"226";"235";"227";"233";"234";"226";"233";"226";"234"
"Electricitat";"CENTRE DE DIA FONT PÓLVORA";"oficina";"140";"";"1.428";"1.293";"838";"747";"324";"248";"156";"153";"147";"152";"889";"973";"270";"245";"173";"157";"24";"4";"61";"63";"63";"65";"176";"191"
"Electricitat";"CENTRE DE DIA DE SANTA EUGÈNIA";"oficina";"";"";"4.750";"4.193";"3.637";"2.546";"2.218";"2.095";"1.940";"1.653";"2.368";"2.369";"3.270";"3.909";"859";"772";"745";"623";"591";"570";"555";"521";"606";"613";"698";"792"
"Electricitat";"CENTRE JOVE SALUT INTEGRAL";"oficina";"200";"";"428";"389";"431";"417";"658";"482";"212";"198";"332";"347";"311";"318";"339";"309";"262";"244";"345";"35";"72";"88";"120";"126";"268";"294"
"Electricitat";"CENT LLARS";"oficina";"";"";"1.303";"1.200";"1.127";"522";"266";"430";"305";"291";"361";"322";"856";"1.093";"308";"290";"273";"146";"103";"131";"110";"108";"119";"113";"217";"263"
"Electricitat";"CENTRE OBERT SANTA EUGÈNIA";"cultural";"";"";"339";"403";"423";"158";"195";"152";"81";"73";"236";"178";"367";"213";"106";"121";"126";"68";"77";"68";"56";"55";"82";"74";"107";"82"
"Electricitat";"CENTRE OBERT TAIALÀ";"cultural";"360";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"ANTIGUES ESCOLES CAMPDORÀ";"cultural";"";"";"170";"60";"66";"64";"113";"149";"156";"155";"152";"154";"151";"154";"51";"32";"35";"34";"21";"47";"49";"50";"48";"50";"50";"50"
"Electricitat";"CENTRE FÒRUM";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"LLAR D'AVIS SANT JOAN";"cultural";"381";"";"1.285";"1.202";"1.012";"844";"979";"974";"1.014";"1.011";"807";"795";"939";"1.012";"230";"214";"184";"156";"118";"102";"161";"177";"155";"156";"171";"181"
"Electricitat";"LLAR D'AVIS TAIALÀ";"cultural";"419";"";"2.175";"1.976";"2.193";"1.934";"1.997";"2.488";"2.241";"1.857";"2.334";"2.258";"1.970";"2.188";"421";"384";"427";"392";"403";"461";"433";"387";"443";"437";"397";"431"
"Electricitat";"LOCAL SOCIAL GRUP GIRONA";"cultural";"";"";"3";"5";"4";"1";"0";"2";"1";"0";"2";"5";"3";"2";"18";"18";"20";"20";"19";"19";"19";"19";"19";"21";"20";"20"
"Electricitat";"LOCAL SOCIAL C/HORTÈNSIA";"cultural";"";"";"0";"0";"0";"0";"78";"212";"169";"105";"180";"324";"426";"607";"22";"21";"23";"23";"36";"54";"50";"42";"54";"78";"93";"122"
"Electricitat";"LOCAL SOCIAL PLAÇA LLIMONER";"cultural";"295";"";"294";"265";"293";"283";"293";"283";"170";"165";"520";"537";"571";"594";"92";"83";"110";"109";"39";"26";"64";"65";"125";"129";"127";"132"
"Electricitat";"LOCAL SOCIAL NOGUER";"oficina";"100";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"42";"39";"45";"45";"46";"50";"47";"46";"45";"46";"44";"46"
"Electricitat";"LOCAL SOCIAL DE VISTA ALEGRE";"cultural";"179";"";"494";"400";"320";"276";"192";"179";"166";"169";"161";"226";"304";"424";"117";"99";"91";"75";"43";"50";"65";"66";"65";"77";"87";"108"
"Electricitat";"MAGATZEM JOSEP MA PRAT";"altres";"15";"";"0";"0";"0";"0";"0";"95";"105";"313";"325";"336";"325";"22";"20";"21";"24";"23";"24";"38";"40";"75";"76";"79";"76";"5"
"Electricitat";"SERVEI D'ATENCIÓ GENT GRAN";"oficina";"";"";"792";"1.001";"867";"574";"596";"588";"529";"444";"479";"682";"841";"926";"288";"299";"301";"257";"265";"258";"257";"247";"245";"277";"292";"310"
"Electricitat";"EDIFICI HABITATGES TORIN";"residencial";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"TANC PLUJA COSTABONA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"31";"88";"255";"337";"0";"0";"0";"0";"0";"0";"0";"0";"687";"151";"171";"187"
"Electricitat";"TANC PLUJA TAIALÀ 1";"bombeig";"";"";"0";"0";"11";"26";"225";"269";"277";"-148";"-372";"-91";"30";"42";"20";"18";"24";"26";"54";"62";"65";"1";"-32";"10";"27";"30"
"Electricitat";"TANC PLUJA TAIALÀ 2";"bombeig";"";"";"20";"-7";"-25";"63";"23";"5";"5";"7";"7";"42";"61";"36";"8";"3";"1";"14";"7";"5";"6";"6";"6";"12";"14";"10"
"Electricitat";"TANC PLUJA TAIALÀ 3";"bombeig";"";"";"20";"30";"38";"9";"5";"17";"20";"20";"20";"21";"20";"20";"9";"11";"12";"7";"7";"7";"8";"10";"9";"10";"9";"9"
"Electricitat";"TANC PLUJA TAIALÀ 4";"bombeig";"";"";"20";"42";"54";"19";"16";"15";"16";"12";"11";"20";"21";"6";"8";"11";"13";"8";"7";"6";"7";"7";"7";"8";"8";"6"
"Electricitat";"TANC PLUJA TAIALÀ 5";"bombeig";"";"";"27";"23";"25";"22";"23";"24";"20";"38";"38";"31";"29";"29";"26";"25";"29";"28";"29";"26";"25";"31";"31";"30";"28";"29"
"Gas";"AJUNTAMENT";"oficina";"4.096";"";"46.149";"40.201";"31.956";"7.770";"1.178";"23";"0";"0";"9";"3.543";"26.763";"50.692";"2.932";"2.573";"2.083";"590";"202";"138";"120";"138";"120";"342";"1.768";"3.185"
"Gas";"ASSOCIACIÓ DE NATURALISTES GI";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"BEATES";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESTACIÓ AUTOBUSOS";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CASETA DE LA DEVESA";"cultural";"68";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRAL DE L'AURORA";"oficina";"207";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"COOPERACIÓ";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ANTIGA CASA PASTORA";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PISTA CREC SANT DANIEL";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CENTRE DE SALUT MENTAL";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"FUNDACIO ESCOLA ART FLORAL";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESPAI JOVE ELS QUÍMICS";"cultural";"401";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"GESTORIA GOMEZ";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"HABITATGE MUNICIPAL ST. GREGORI 89- 5E 4A";"residencial";"";"";"2.474";"2.443";"1.972";"1.598";"797";"474";"542";"574";"731";"854";"358";"0";"170";"167";"139";"114";"80";"64";"56";"49";"59";"67";"28";"0"
"Gas";"HABITATGE MUNICIPAL ST GREGORI 89- 6E 1A";"residencial";"";"";"692";"624";"688";"660";"511";"433";"202";"0";"0";"0";"0";"0";"55";"50";"54";"52";"43";"38";"18";"0";"0";"0";"0";"0"
"Gas";"HABITATGE MUNICIPAL FONTAJAU 5- 8E 4A";"residencial";"";"";"1.959";"2.026";"1.364";"956";"562";"396";"324";"258";"386";"478";"200";"0";"148";"152";"105";"76";"48";"35";"31";"25";"35";"43";"18";"0"
"Gas";"HABITATGE MUNICIPAL CAN COLOMER";"residencial";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"HOTEL INFORM";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"L'ESTACIÓ ESPAI JOVE";"oficina";"587";"";"20.384";"16.131";"11.656";"7.851";"1.756";"0";"0";"0";"0";"0";"3.010";"21.075";"1.386";"1.113";"831";"573";"212";"110";"98";"110";"97";"102";"296";"1.375"
"Gas";"LOCAL PONT MAJOR 65";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL SOCIAL GRUP SANT DANIEL";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL D'INCASOL CEDIT L'ÚS A L'AJUNTAMENT";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL D'INCASOL CEDIT L'ÚS A L'AJUNTAMENT";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL SOCIAL DE MONTJUÏC";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL SOCIAL MONTILIVI";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL SOCIAL SANT DANIEL";"oficina";"95";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL SOCIAL DE LA TORRASSA";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"OFICINA MUNICIPAL HABITATGE";"oficina";"185";"";"4.242";"4.176";"4.328";"3.269";"2.252";"538";"27";"0";"0";"634";"2.677";"6.102";"338";"335";"353";"246";"169";"48";"9";"9";"7";"55";"202";"445"
"Gas";"PUNT DE LECTURA TORRE GIRONELLA";"cultural";"56";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"POLICIA MUNICIPAL";"oficina";"1.032";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"SERVEI MUNICIPAL D'OCUPACIÓ";"oficina";"1.545";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PROMOCIÓ DE LA SALUT";"oficina";"225";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"OFICINA MERCAT AMBULANT";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"MERCAGIRONA";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"MERCAT LLEÓ";"oficina";"1.829";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"OFICINA PLA DE BARRIS";"oficina";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PUNT DE BENVINGUDA";"oficina";"54";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"SALA FIDEL AGUILAR";"oficina";"227";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"OFICINA DE TURISME";"oficina";"176";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"VIVERS HORTES SANTA EUGÈNIA";"altres";"352";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"REPETIDOR TORRE ALFONS XII";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"REPETIDOR TV PUIGVISTÓS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ASCENSOR PUJADA SANT MARTÍ";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"BRIGADES OBRES";"altres";"302";"";"28.448";"29.374";"21.623";"5.451";"1.293";"637";"0";"0";"6";"1.634";"7.517";"27.075";"1.837";"1.893";"1.429";"428";"184";"148";"102";"107";"96";"199";"565";"1.735"
"Gas";"MAGATZEM REIS MAGS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CASTELL MONTJUÏC";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CEMENTIRI";"altres";"75";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CEMENTIRI DE SANTA EUGÈNIA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CIRC FIRES";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"COMPORTES MARFÀ";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"DIPÒSIT ZONA SANT DANIEL";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"ESTACIÓ CONTAMINAC.ATMOSFERICA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"FONT DEL FERRO";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"FONT PAÏSOS CATALANS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"GRUP DE PRESSIÓ DE GERMANS SÀBAT";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"JARDINS DELS ALEMANYS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"MOTORS JARDINS DEVESA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"CASETA JARDINERS PEDRET";"altres";"15";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PARC CENTRAL";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"PARC DEL MIGDIA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"REG JARDÍ DEL DOCTOR FIGUERAS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"REG MAS MASÓ";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"REG UNIVERSITAT ÀLIGUES";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"REIXA SÈQUIA MONAR MARISTES";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"WC VARIS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"WC CARME";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"WC CARPES DEVESA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"WC DOMENY";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"WC PLAÇA INDEPENDÈNCIA";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"WC PERE CALDERS";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"WC PLAÇA SANTA EUGÈNIA";"altres";"14";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"EBAR CAMPDORÀ";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"EBAR CREUETA";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"EBAR PARADOR GÜELL";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"EBAR MARFÀ";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"EBAR NESTLE";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"POU MONTSERRAT";"altres";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"SEPARADOR HIDROCARBURS DOMENY";"bombeig";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"AUDITORI";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"BIBLIOTECA TAIALÀ";"cultural";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
