"Nom_Sector";"Codi_Carrer";"Tipus_Via";"Nexe";"Nom_carrer";"Nom_complert";"Num_Inf";"Lletra_Inf";"Accessori_inf";"Num_Sup";"Lletra_sup";"Accessori_sup"
"Sant Narcís";"0585";"AVINGUDA";"de";"Sant Narcís";"Avinguda de Sant Narcís";"60";"";"N";"66";"";"N"
"Sant Narcís";"0585";"AVINGUDA";"de";"Sant Narcís";"Avinguda de Sant Narcís";"68";"";"N";"72";"";"S"
"Sant Narcís";"0585";"AVINGUDA";"de";"Sant Narcís";"Avinguda de Sant Narcís";"44";"";"N";"48";"";"N"
"Sant Narcís";"0585";"AVINGUDA";"de";"Sant Narcís";"Avinguda de Sant Narcís";"50";"";"N";"50";"";"N"
"Sant Narcís";"0585";"AVINGUDA";"de";"Sant Narcís";"Avinguda de Sant Narcís";"52";"";"N";"52";"";"N"
"Sant Narcís";"0585";"AVINGUDA";"de";"Sant Narcís";"Avinguda de Sant Narcís";"54";"";"N";"54";"";"N"
"Sant Narcís";"0585";"AVINGUDA";"de";"Sant Narcís";"Avinguda de Sant Narcís";"56";"";"N";"56";"";"N"
"Sant Narcís";"0585";"AVINGUDA";"de";"Sant Narcís";"Avinguda de Sant Narcís";"58";"";"N";"58";"";"N"
"Sant Narcís";"0585";"AVINGUDA";"de";"Sant Narcís";"Avinguda de Sant Narcís";"74";"";"N";"74";"";"N"
"Sant Narcís";"0629";"CARRER";"de";"Tarragona";"Carrer de Tarragona";"36";"";"N";"38";"";"N"
"Sant Narcís";"0629";"CARRER";"de";"Tarragona";"Carrer de Tarragona";"20";"";"N";"34";"";"N"
"Sant Narcís";"0629";"CARRER";"de";"Tarragona";"Carrer de Tarragona";"16";"";"N";"18";"";"N"
"Sant Narcís";"0629";"CARRER";"de";"Tarragona";"Carrer de Tarragona";"6";"";"N";"14";"";"N"
"Sant Narcís";"0629";"CARRER";"de";"Tarragona";"Carrer de Tarragona";"2";"";"N";"4";"";"N"
"Sant Narcís";"0629";"CARRER";"de";"Tarragona";"Carrer de Tarragona";"1";"";"S";"9";"";"N"
"Sant Narcís";"0629";"CARRER";"de";"Tarragona";"Carrer de Tarragona";"11";"";"N";"25";"";"N"
"Sant Narcís";"0629";"CARRER";"de";"Tarragona";"Carrer de Tarragona";"27";"";"N";"33";"";"N"
"Sant Narcís";"0629";"CARRER";"de";"Tarragona";"Carrer de Tarragona";"35";"";"N";"37";"";"N"
