"Id_obra";"Numero_expedient";"Descripcio";"Tipus_obra";"Tipus_llicencia";"Tipus_local";"Nom_interessat";"Nom_carrer";"Numero";"Lletra";" Accessori";"Codi_edifici";"Data_resolucio";"Data_inici_obra";"Data_final_obra";"Data_caducitat";"Data_renuncia";"utm_x_etrs89";"umt_y_etrs89";"lon";"lat"
"20160085";"2016000007";"OBRES INTERIOR LOCALS EXISTENTS: Obres i actuacions a l'interior de locals.";"Comunicat";"";"Habitatge";"DE FLEX A CASA, S.L.";"BARCELONA, C.";"32";"";"N";"1126";"25/01/2016";"";"";"";"";"484889";"4647412";"2,81760008";"41,97856128"
"20160086";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma de la cuina d'un habitatge.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"CASTELL DE PERALADA, C.";"16";"";"N";"2144";"25/01/2016";"";"";"";"";"485362";"4646540";"2,82333118";"41,97071639"
"20160090";"2016000007";"OBRES INTERIOR HABITATGES: Actuació en instal·lacions existents interiors.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"CREU, C.";"52";"";"N";"2669";"25/01/2016";"";"";"";"";"484913";"4647195";"2,81789534";"41,97660729"
"20160091";"2016000007";"OBRES INTERIOR LOCALS EXISTENTS: Obres i actuacions a l'interior de locals.";"Comunicat";"";"Habitatge";"CALÇATS PEACOCK, SL";"NOU, C.";"12";"";"N";"3698";"02/02/2016";"";"";"";"";"485219";"4647883";"2,82157154";"41,98280967"
"20160092";"2016000007";"OBRES INTERIOR HABITATGES: Substitució o reparació de paviments.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"FRANCESC ROGES, C.";"3";"";"N";"4176";"28/01/2016";"";"";"";"";"484829";"4647869";"2,81686405";"41,98267616"
"20160098";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma de la cuina d'un habitatge.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"RIU GUELL, C.";"1";"A";"N";"3986";"28/01/2016";"";"";"";"";"485093";"4648211";"2,82004222";"41,98576148"
"20160099";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma de la cuina d'un habitatge.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"PUIG D'ADRI, C.";"7";"";"N";"8031";"01/02/2016";"";"";"";"";"483871";"4649566";"2,80525308";"41,99794139"
"20160102";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"RIERA D'OIX, C.";"7";"";"N";"3394";"27/01/2016";"";"";"";"";"484690";"4645584";"2,81524561";"41,96209325"
"20160103";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma de la cuina d'un habitatge.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"SANT ANTONI MARIA CLARET, RDA.";"30";"";"N";"1335";"27/01/2016";"";"";"";"";"485246";"4647441";"2,82190856";"41,97882923"
"20160104";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reposició d'elements alterats.";"Comunicat";"";"Habitatge";"APRIS GESTIÓ TÈCNICA DE SERVEIS SL";"PRINCEP, C.";"1";"";"N";"2637";"01/02/2016";"";"";"";"";"485044";"4647048";"2,81948028";"41,97528581"
"20160109";"2016000007";"REPARACIÓ PARCIAL DE COBERTES: Refer minvells, buneres, aiguafons i canals int.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"PONT MAJOR, C.";"4";"";"N";"7209";"28/01/2016";"";"";"";"";"485539";"4651015";"2,82535728";"42,01102438"
"20160110";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"EMILI GRAHIT, C.";"31";"";"N";"2615";"29/01/2016";"";"";"";"";"485075";"4647037";"2,81985473";"41,97518732"
"20160111";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma de la cuina d'un habitatge.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"TORRE GIRONELLA, GRUP";"142";"";"N";"6184";"02/02/2016";"";"";"";"";"486181";"4648015";"2,83318114";"41,98401601"
"20160112";"2016000007";"ACTUACIONS PARCIALS FAÇANES I CELOBERTS: Reposició d'elements alterats.";"Comunicat";"";"Habitatge";"COMUNITAT DE PROPIETARIS, C/MIGDIA, 39";"MIGDIA, C.";"39";"";"N";"1492";"29/01/2016";"";"";"";"";"485147";"4647013";"2,82072437";"41,97497252"
"20160113";"2016000007";"OBRES INTERIOR HABITATGES: Modernització o reforma del bany o rentador.";"Comunicat";"";"Habitatge";"PERSONA FÍSICA";"CASTELL DE PERALADA, C.";"34";"";"N";"2123";"29/01/2016";"";"";"";"";"485183";"4646552";"2,82117051";"41,97082113"
