"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits extraordinaris";"Suplements de crèdit";"Ampliacions de crèdit";"Transferències positives";"Trasferències negatives";"Romanents incorporats";"Baixes per anul·lació";"Crèdits totals consignats";"Despeses autoritzades";"Saldo de crèdits disponibles";"% de realització del pressupost"
"120";"33000";"12100";"COMP. DESTINACIÓ FUNCIONARIS CULTURA";"16.711,18";"-20,91";"0,00";"0,00";"0,00";"0,00";"20,91";"0,00";"0,00";"16.690,27";"16.472,08";"218,19";"98,69"
"120";"33000";"12101";"COMP. ESPECÍFIC FUNCIONARIS CULTURA";"25.877,05";"953,50";"0,00";"0,00";"0,00";"953,50";"0,00";"0,00";"0,00";"26.830,55";"26.830,55";"0,00";"100,00"
"120";"33000";"13000";"RETR.BAS.P.LABORAL CULTURA";"184.485,39";"17.513,43";"0,00";"0,00";"0,00";"17.513,43";"0,00";"0,00";"0,00";"201.998,82";"201.987,30";"11,52";"99,99"
"120";"33000";"15000";"PRODUCTIVITAT CULTURA";"9.777,02";"-578,46";"0,00";"0,00";"0,00";"0,00";"578,46";"0,00";"0,00";"9.198,56";"9.197,55";"1,01";"99,99"
"120";"33000";"15100";"GRATIFICACIONS CULTURA";"0,00";"2.317,16";"0,00";"0,00";"0,00";"2.317,16";"0,00";"0,00";"0,00";"2.317,16";"2.132,40";"184,76";"92,03"
"120";"33000";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL CULTURA";"29.333,31";"-129,11";"0,00";"0,00";"0,00";"0,00";"129,11";"0,00";"0,00";"29.204,20";"29.150,00";"54,20";"99,81"
"120";"33000";"16000";"QUOTES SOCIALS CULTURA";"89.091,09";"2.616,11";"0,00";"0,00";"0,00";"4.933,27";"2.317,16";"0,00";"0,00";"91.707,20";"91.707,20";"0,00";"100,00"
"120";"33000";"62500";"MOBILIARI I MAT. INVENTARIABLE LA MERCÈ";"0,00";"1.794,57";"0,00";"0,00";"0,00";"1.069,93";"0,00";"724,64";"0,00";"1.794,57";"808,28";"986,29";"45,04"
"120";"33000";"62501";"MOBILIARI I MATERIAL INVENTARIABLE SERVEIS CENTRALS CULTURA";"0,00";"1.307,50";"0,00";"0,00";"0,00";"1.307,50";"0,00";"0,00";"0,00";"1.307,50";"907,50";"400,00";"69,41"
"120";"33300";"62500";"MOBILIARI I MATERIAL INVENTARIABLE LA MERCÈ";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
