FID,TIPO,CVIA,DIRECCION,CVIA_1,TEXTO,UTM_X,UTM_Y,GRAD_X,GRAD_Y
146.0,PLÁSTICA,47353,CTRA LAS GAVIOTAS 1,47353,CARRETERA LAS GAVIOTAS,385014.696771,3154687.04582,-16.1750466212,28.5138304156
147.0,PLÁSTICA,49777,CALLE RAFAELA GONZALEZ ROJAS 33,49777,CALLE RAFAELA GONZALEZ ROJAS,376415.977821,3151463.01095,-16.2625545061,28.4839470902
148.0,PLÁSTICA,49777,CALLE RAFAELA GONZALEZ ROJAS 8,49777,CALLE RAFAELA GONZALEZ ROJAS,376384.776117,3151554.05697,-16.2628829815,28.484765771
149.0,PLÁSTICA,49785,CALLE FERMIN CRUZ 19,49785,CALLE FERMIN CRUZ,376416.159627,3151531.03648,-16.2625599524,28.484561001
150.0,PLÁSTICA,52957,CALLE ANDROMEDA 10,52957,CALLE ANDROMEDA,378116.880538,3151404.04121,-16.2451749555,28.4835751458
151.0,PLÁSTICA,52957,CALLE ANDROMEDA 16,52957,CALLE ANDROMEDA,378082.16481,3151435.01653,-16.245532828,28.483851435
152.0,PLÁSTICA,52957,CALLE ANDROMEDA 24,52957,CALLE ANDROMEDA,378061.195391,3151454.04819,-16.2457490296,28.4840212241
153.0,PLÁSTICA,46992,CALLE VENUS 6,52957,CALLE ANDROMEDA,378253.932997,3151289.56984,-16.2437629732,28.4825549099
154.0,PLÁSTICA,52957,CALLE ANDROMEDA 1,52957,CALLE ANDROMEDA,378244.92656,3151233.74026,-16.2438490609,28.4820502328
155.0,PLÁSTICA,46992,CALLE VENUS 1,52957,CALLE ANDROMEDA,378206.058594,3151337.14766,-16.2442569991,28.4829798028
156.0,PLÁSTICA,54635,PASEO LOMITO DEL LLANO 11,54635,PASEO LOMITO DEL LLANO,386970.811176,3155801.00332,-16.1551698296,28.5240550098
157.0,PLÁSTICA,54964,CALLE VIRGEN DEL CARMEN 1,54964,CALLE VIRGEN DEL CARMEN,376758.149301,3151353.41918,-16.2590477876,28.4829904941
158.0,PLÁSTICA,82094,PSAJE MARAÑUELAS 1,56263,PLAZA LAVADEROS,377400.056347,3150523.24672,-16.2524029118,28.4755591623
159.0,PLÁSTICA,10482,CALLE MARAÑUELAS 10,56263,PLAZA LAVADEROS,377400.259553,3150513.34541,-16.2523997823,28.475469827
160.0,PLÁSTICA,10482,CALLE MARAÑUELAS 8,56263,PLAZA LAVADEROS,377404.723868,3150514.01268,-16.2523542577,28.4754762686
161.0,PLÁSTICA,10482,CALLE MARAÑUELAS 8,56263,PLAZA LAVADEROS,377405.444025,3150517.4401,-16.2523472674,28.4755072672
162.0,PLÁSTICA,56723,CALLE CAPRI 2,56723,CALLE CAPRI,386946.710442,3155833.7024,-16.1554193185,28.5243480166
163.0,PLÁSTICA,57711,PSAJE LOS BANQUITOS 1,56723,CALLE CAPRI,386962.825169,3155841.61304,-16.1552554298,28.5244208088
164.0,PLÁSTICA,56827,PLAZA SAN PEDRO 1,56827,PLAZA SAN PEDRO,387096.315844,3155954.09361,-16.1539024197,28.5254475141
165.0,PLÁSTICA,56827,PLAZA SAN PEDRO 1,56827,PLAZA SAN PEDRO,387109.759033,3155949.74833,-16.1537646229,28.5254094659
166.0,PLÁSTICA,56827,PLAZA SAN PEDRO 1,56827,PLAZA SAN PEDRO,387100.730935,3155946.09192,-16.1538565175,28.525375684
