FID,DIRECCION,UTM_X,UTM_Y,GRAD_X,GRAD_Y
146.0,CALLE GARCILASO DE LA VEGA 25,376865.4678,3148788.8656,-16.2576774792,28.4598568498
147.0,CALLE VALLE INCLAN 12,376034.2269,3148730.4889,-16.2661596734,28.4592512839
148.0,CALLE VALLE INCLAN 5,376086.0358,3148753.7631,-16.2656331167,28.4594662448
149.0,CALLE LEONCIO RODRIGUEZ 7,377461.4326,3148963.0541,-16.2516101004,28.4614849507
150.0,CALLE ALVAREZ DE LUGO 58,376805.2377,3149443.3748,-16.2583625093,28.4657577805
151.0,CALLE HELIODORO RODRIGUEZ GONZALEZ 14,376429.3183,3149241.6932,-16.2621799138,28.4639021352
152.0,CALLE RAMON Y CAJAL 15,376870.7366,3149492.7437,-16.2576988845,28.4662094971
153.0,CALLE RAMON Y CAJAL 19,376860.9772,3149483.3315,-16.2577975459,28.466123635
154.0,CALLE DE LOS SUEÑOS 63,376350.0238,3149930.6337,-16.2630636245,28.4701119474
155.0,CALLE EMILIO LOPEZ 28,377313.795,3148866.4244,-16.2531074897,28.4605990329
156.0,AVENIDA BUENOS AIRES 55,377173.3017,3148890.4762,-16.2545447587,28.4608028643
157.0,CALLE BENAVIDES 11,376750.861,3149869.7887,-16.258963443,28.4696008105
158.0,CALLE GARCILASO DE LA VEGA 10,376805.3205,3149090.3121,-16.2583239168,28.4625715744
159.0,CALLE CASTRO 33,376587.911,3149412.2944,-16.260578605,28.4654567436
160.0,CALLE GILBERTO CAYOL LOPEZ 6,376335.775,3149064.155,-16.2631161441,28.4622910766
161.0,CALLE ANTONIO DE NEBRIJA 11,376883.5793,3149095.7185,-16.2575253085,28.4626277554
162.0,PLAZA LOS SABANDEÑOS,376428.3136,3149015.6991,-16.26216594,28.4618625591
163.0,CALLE COMANDANTE SANCHEZ PINTO 15,376556.7161,3149922.9809,-16.2609518975,28.4700624734
164.0,CALLE BERNARDINO SEMAN 20,376365.9329,3149173.532,-16.2628199051,28.4632810073
165.0,CALLE LA MUTINE 1,376515.2674,3149121.7661,-16.2612893328,28.4628279965
166.0,CALLE LA MUTINE 1,376525.3355,3149118.7817,-16.2611861966,28.4628020172
167.0,CALLE FERNANDO PRIMO DE RIVERA 89,376184.012,3149906.2687,-16.2647564493,28.4698763093
168.0,CALLE PORLIER 21,376835.9299,3149582.5161,-16.2580639425,28.4670163603
169.0,CALLE GENERAL SERRANO 75,376542.2263,3149561.0916,-16.2610610972,28.4667952372
170.0,CALLE PORLIER 87,376549.1212,3149614.1297,-16.2609963663,28.4672745316
171.0,CALLE PORLIER 45,376710.2333,3149596.3234,-16.2593490981,28.4671290841
