FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
2210.0,11052,PLAZA WEYLER,1.0,240.0,R2347,377084.790262,3149628.90894,-16.2555274001,28.4674585179
2211.0,55043,CALLE EMETERIO PADRON CRUZ,1.0,800.0,R2348,376945.155,3150544.835,-16.2570512845,28.475711115
2212.0,10911,CALLE SANTO DOMINGO,3.0,800.0,R2349,377618.18883,3149411.66542,-16.2500569481,28.4655481765
2213.0,41565,PLAYA ALMACIGA,2.0,800.0,R2350,383528.672389,3161318.82254,-16.1909028418,28.5735475355
2214.0,44022,CALLE ANTONIO LOPEZ LOPEZ,5.0,800.0,R2351,374977.111408,3148057.29025,-16.2768816201,28.4530751328
2215.0,30552,CALLE EMILIO SERRA FERNANDEZ DE MORATIN,2.0,800.0,R2352,376688.558783,3150145.75336,-16.2596292628,28.472085358
2216.0,30293,CALLE FERNANDO PRIMO DE RIVERA,4.0,800.0,R2353,376474.631747,3149744.76045,-16.2617710981,28.4684463512
2217.0,51374,CALLE BARRANCO GRANDE,1.0,800.0,R2354,371584.860848,3146551.70753,-16.3113523149,28.4391587435
2218.0,10336,CALLE LAS LOAS,1.0,800.0,R2355,372217.298069,3147026.02691,-16.3049478952,28.4435012398
2219.0,50065,CALLE EL CEDRO,1.0,800.0,R2356,372162.405856,3147303.67013,-16.30553912,28.4460014158
2220.0,83082,CTRA SANTA CRUZ LAGUNA,5.0,3000.0,R2357,374405.583071,3149037.1492,-16.2828243088,28.4618628955
2221.0,43065,CTRA DE HOYA FRIA,1.0,240.0,R2358,374500.428854,3146913.58734,-16.281624608,28.4427080856
2222.0,43065,CTRA DE HOYA FRIA,3.0,800.0,R2359,374275.177964,3146625.64548,-16.2838930575,28.4400878922
2223.0,41712,CTRA LOMO LAS BODEGAS,4.0,800.0,R2360,387102.731122,3160105.74928,-16.1542453009,28.5629156838
2224.0,20205,CALLE PANAMA,4.0,800.0,R2361,376020.899851,3148284.61626,-16.2662478097,28.4552262482
2225.0,20236,AVDA BENITO PEREZ ARMAS,1.0,800.0,R2362,376254.320901,3148663.79302,-16.2639049694,28.4586702892
2226.0,10321,CALLE JESUS HERNANDEZ GUZMAN,1.0,240.0,R2363,374717.27769,3147088.46773,-16.2794295552,28.4443071195
2227.0,31861,CALLE ANDRES OROZCO BATISTA,1.0,240.0,R2364,374531.415476,3149131.09007,-16.2815495455,28.4627227702
2228.0,32067,CALLE LA CAÑADA,2.0,800.0,R2365,371233.339843,3145294.27757,-16.3148009153,28.4277766399
2229.0,10244,AVDA LOS MAJUELOS,2.0,2400.0,R2366,371038.519,3146617.888,-16.3169376502,28.4397021148
2230.0,10244,AVDA LOS MAJUELOS,2.0,3200.0,R2367,370802.931,3146346.802,-16.3193125664,28.4372324518
2231.0,52853,CTRA SANTA MARIA DEL MAR,1.0,800.0,R2368,371948.38684,3144758.44354,-16.3074419033,28.423011381
2232.0,11164,CALLE SAN CLEMENTE,2.0,3000.0,R2369,377314.425502,3149774.89241,-16.2531977794,28.4687975765
2233.0,11164,CALLE SAN CLEMENTE,2.0,3000.0,R2370,377286.716385,3149743.63022,-16.2534774345,28.4685128426
