"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns",426008844,4581753266,425916953,4581552337,"2.113992","41.382086","BUS -54--",4,20,"Les Corts","la Maternitat i Sant Ramon",,
"K015","Transports i serveis relacionats","Autobusos nocturns",433272618,4582627847,"433180.66",4582426908,"2.200758","41.390599","NITBUS -N6-N8--",10,67,"Sant Martí","la Vila Olímpica del Poblenou",,
"K014","Transports i serveis relacionats","Autobusos diürns",429541441,4580610639,429449517,"4580409.72","2.156369","41.372112","BUS -55-121--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K014","Transports i serveis relacionats","Autobusos diürns",430856992,4581745635,430765056,4581544705,"2.171968","41.382449","BUS -91--",1,1,"Ciutat Vella","el Raval",,
"K015","Transports i serveis relacionats","Autobusos nocturns",427890882,4581002263,427798973,4580801341,"2.136587","41.375493","NITBUS -N14-N2--",3,18,"Sants-Montjuïc","Sants",,
"K014","Transports i serveis relacionats","Autobusos diürns",429413994,4580795421,429322071,"4580594.5","2.154823","41.373766","BUS -55--",3,11,"Sants-Montjuïc","el Poble-sec",,
"K015","Transports i serveis relacionats","Autobusos nocturns",429263319,4583583021,429171399,4583382075,"2.152696","41.398859","NITBUS -N4--",5,26,"Sarrià-Sant Gervasi","Sant Gervasi - Galvany",,
"K014","Transports i serveis relacionats","Autobusos diürns",431558266,4581369146,431466324,4581168219,"2.180397","41.379118","BUS -59-D20-H14-V13--",1,2,"Ciutat Vella","el Barri Gòtic",,
"K014","Transports i serveis relacionats","Autobusos diürns",432732109,4588832461,432640158,4588631465,"2.193603","41.446437","BUS -60-B19--",9,60,"Sant Andreu","Sant Andreu",,
"K014","Transports i serveis relacionats","Autobusos diürns",432492457,4588276677,432400508,4588075686,"2.190796","41.441411","BUS -H4--",9,60,"Sant Andreu","Sant Andreu",,
