Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Texto Cajetines;LONGITUD;LATITUD
439981,64;4473150,25;38926;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;26;CargayDescarga;Línea;3;LAB. DE 8 A 14 H. Y DE 16,30 A 19 H.EXCEPTO CARGA Y DESCARGADOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.7073354;40.4068042
439980,72;4473449,37;38322;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;Fte 7;CargayDescarga;Línea;3; LABORABLES DE 8 A 18 H.EXCEPTO CARGA Y DESCARGA MAXIMO 30 MINUTOSRESTO HORARIO REGULACION SER-----------------------------------------DOMINGOS Y FESTIVOS DE 7 A 16 H.;-3.7073744;40.4094988
440455,43;4473545,33;38322;01  CENTRO;01-02 EMBAJADORES;SAN CARLOS, CALLE, DE;7;CargayDescarga;Línea;2;LABORABLES DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA;-3.701789;40.4103973
440481,4;4473549,5;38322;01  CENTRO;01-02 EMBAJADORES;SAN CARLOS, CALLE, DE;11;CargayDescarga;Línea;1;LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.7014833;40.4104367
440742,4;4473396,75;35311;01  CENTRO;01-02 EMBAJADORES;SAN COSME Y SAN DAMIAN, CALLE, DE;11;CargayDescarga;Línea;3;LABORABLES DE 8 A 15 H.EXCEPTO CARGA Y DESCARGA;-3.6983931;40.4090793
440791,1;4473588,68;34717;01  CENTRO;01-02 EMBAJADORES;SAN EUGENIO, CALLE, DE;10;CargayDescarga;Línea;3;;-3.6978371;40.4108118
439956,33;4473659,99;39176;01  CENTRO;01-02 EMBAJADORES;SAN MILLAN, CALLE, DE;3;CargayDescarga;Línea;7;;-3.7076817;40.4113944
440648,41;4473730,8;42819;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;6;CargayDescarga;Línea;;;-3.699532;40.4120819
440672,95;4473688,29;41235;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;12;CargayDescarga;Línea;5;;-3.6992388;40.4117007
440793,29;4473554,08;41235;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;17;CargayDescarga;Línea;5;;-3.6978081;40.4105002
440741,81;4473602,31;41767;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;28;CargayDescarga;Línea;;Laborables de 8 a 17hexcepto carga y descarga;-3.6984192;40.4109311
440884,23;4473483,33;41404;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;41;CargayDescarga;Línea;3;LABORABLES DE LUNES A VIERNES DE 8 A 20 H. Y SÁBADOS DE 8 A 15 H. EXCEPTO CARGA Y DESCARGA EN LÍNEA;-3.6967297;40.4098694
