Identificador;DISTRITO;UBICACION;CENTRO;TIPO_VIAL;PARTICULA;NOMBRE_VIA;NUMERO_VIA;COORDENADAX;COORDENADAY;Longitud;Latitud
CONT_ROP_USA_112;HORTALEZA;Puerto Real 9;"InstalaciÛn Deportiva B·sica ""Carril del Conde""";Calle;de;Puerto Real;9;4.445.584.162;4.479.115.982;-3.6539253;40.460855
CONT_ROP_USA_113;VILLAVERDE;Avenida Marconi s/n;"InstalaciÛn Deportiva B·sica ""Colonia Marconi""";Avenida;de;Marconi;0;4.406.657.122;4.464.989.954;-3.6985228;40.333332
CONT_ROP_USA_114;VILLAVERDE;Acceso Colonia Marconi 4;"Centro Cultural ""Marconi""";Calle;de;Acceso Colonia Marconi;4;4.404.723.808;4.465.147.408;-3.7008094;40.334741
CONT_ROP_USA_115;VILLAVERDE;Calle BascuÒuelos 3;Punto Limpio Fijo;Calle;de;BascuÒuelos;3;4.396.699.192;4.465.584.155;-3.7103035;40.338620
CONT_ROP_USA_116;VILLAVERDE;Calle Villalonso 12;"Centro de Mayores ""Villalonso""";Calle;de;Villalonso;12;4.397.823.137;4.466.809.372;-3.7090888;40.349664
CONT_ROP_USA_117;VILLAVERDE;Calle Hermandad Donantes de Sangre 9;"InstalaciÛn Deportiva B·sica ""Euskalduna""";Calle;de;Hermandad Donantes De Sangre;9;4.404.764.134;4.467.368.001;-3.7009694;40.354750
CONT_ROP_USA_118;VILLAVERDE;Calle Bohemios 1;"Centro Cultural ""Bohemios""";Calle;de;Bohemios;1;4.410.681.465;4.467.544.676;-3.6940146;40.356377
CONT_ROP_USA_119;VILLAVERDE;Calle Alianza 4;"Centro Deportivo Municipal ""Felix Rubio""";Calle;de;Alianza;4;4.412.848.663;4.467.647.357;-3.6914805;40.357320
CONT_ROP_USA_120;VILLAVERDE;Carretera de Villaverde a Vallecas 19;"Centro Deportivo Municipal ""El Espinillo""";Carretera;de;Villaverde a Vallecas;19;4.417.031.573;4.467.558.811;-3.6865383;40.356548
CONT_ROP_USA_121;VILLAVERDE;Calle Eduardo Minguito 10;"Centro Servicios Sociales ""Eduardo Minguito""";Calle;de;Eduardo Minguito;10;4.417.032.211;4.466.624.755;-3.6864530;40.348134
CONT_ROP_USA_122;VILLAVERDE;Calle Benimamet 137;"Centro Deportivo Municipal ""Ra˙l Gonz·lez""";Calle;de;Benimamet;137;4.418.669.485;4.466.393.859;-3.6845127;40.346064
CONT_ROP_USA_123;VILLAVERDE;Plaza de los Pinazo 9;"Centro Cultural ""San Cristobal De Los ¡ngeles""";Plaza;de;Los Pinazo;9;4.413.540.725;4.465.974.135;-3.6905025;40.342254
CONT_ROP_USA_124;VILLA VALLECAS;Calle Luis I 36;Punto Limpio Fijo;Calle;de;Luis I;36;445.357.984;4.469.698.393;-3.6436928;40.376074
CONT_ROP_USA_125;VILLA VALLECAS;Calle Cerro AlmodÛvar 9;"Centro Deportivo Municipal ""Cerro AlmodÛvar""";Calle;de;Cerro AlmodÛvar;9;4.488.504.902;4.470.406.503;-3.6026044;40.382674
CONT_ROP_USA_126;VICALVARO;Calle Villardondiego 36;"Centro Cultural ""El MadroÒo""";Calle;de;Villardondiego;36;4.483.825.622;4472912.12;-3.6083208;40.405221
CONT_ROP_USA_127;VICALVARO;Calle Sepiolita 6;Punto Limpio Fijo;Calle;de;Sepiolita;6;4.491.974.694;4.473.082.497;-3.5987301;40.406802
CONT_ROP_USA_128;VICALVARO;Calle Ladera de los Almendros 2;"Centro Deportivo Municipal ""Valdebernardo""";Calle;de;Ladera de los Almendros;2;4.471.319.594;4.472.800.654;-3.6230538;40.404133
CONT_ROP_USA_129;VICALVARO;Calle Bulevar Indalecio Prieto 21;"Biblioteca Municipal ""Francisco Ayala""";Calle;de;Bulevar Indalecio Prieto;21;4.472.972.861;4.472.299.567;-3.6210561;40.399630
CONT_ROP_USA_130;SAN BLAS;Calle Febrero 4;"Centro Cultural ""JosÈ Luis LÛpez V·zquez""";Calle;de;Febrero;4;4.514.291.777;4.477.507.337;-3.5727645;40.446799
CONT_ROP_USA_131;SAN BLAS;Calle Esfinge 35;"Centro de Mayores ""Esfinge""";Calle;de;Esfinge;35;448.326.384;4.477.187.255;-3.6093282;40.443729
CONT_ROP_USA_132;SAN BLAS;Calle Aliaga 5;"Centro Sociocultural ""Miguel de Cervantes""";Calle;de;Aliaga;5;4.481.432.144;4.476.416.974;-3.6114230;40.436772
CONT_ROP_USA_133;SAN BLAS;Calle San Romualdo 20;Punto Limpio Fijo;Calle;de;San Romualdo;20;4.471.493.873;4.476.848.664;-3.6231781;40.440601
CONT_ROP_USA_134;SAN BLAS;Calle Castillo de UclÈs 35;"Centro De Mayores ""Castillo De UclÈs""";Calle;de;Castillo de UclÈs;35;4.471.398.249;4475803.55;-3.6232091;40.431187
CONT_ROP_USA_135;SAN BLAS;Calle Arcos del JalÛn 59;"Centro Deportivo Municipal ""San Blas""";Calle;de;Arcos del JalÛn;59;4.481.420.611;4.475.541.047;-3.6113634;40.428889
