"dc:identifier";"dc:modified";"id";"lpgc:nombre_concesion";"lpgc:num_concesion";"lpgc:num_variante"
"1425";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1425";"SANTA CATALINA - EL SEBADAL ";"19";"321"
"1423";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1423";"SANTA CATALINA - EL SEBADAL ";"19";"311"
"1422";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1422";"PUERTO - HOYA DE LA PLATA";"12";"312"
"1421";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1421";"PUERTO - HOYA DE LA PLATA";"12";"311"
"1420";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1420";"TEATRO - HOSPITAL DR. NEGRÍN (POR LA FERIA)";"11";"322"
"1417";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1417";"TEATRO - HOSPITAL DR. NEGRÍN (EXPRÉS)";"10";"322"
"1415";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1415";"TEATRO - HOSPITAL DR. NEGRÍN (EXPRÉS)";"10";"311"
"1414";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1414";"HOYA DE LA PLATA - HOSPITAL DR. NEGRÍN";"9";"331"
"1413";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1413";"HOYA DE LA PLATA - HOSPITAL DR. NEGRÍN";"9";"321"
"1411";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1411";"HOYA DE LA PLATA - HOSPITAL DR. NEGRÍN";"9";"311"
"1410";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1410";"GUINIGUADA - PUERTO (POR TOMÁS MORALES)";"2";"312"
"1409";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1409";"GUINIGUADA - PUERTO (POR TOMÁS MORALES)";"2";"311"
"1408";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1408";"TEATRO - PUERTO";"1";"312"
"1407";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1407";"TEATRO - PUERTO";"1";"311"
"1332";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1332";"TEATRO - SAN FRANCISCO";"80";"211"
"1322";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1322";"PUERTO - HOYA DE LA PLATA";"61";"212"
"1321";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1321";"PUERTO - HOYA DE LA PLATA";"61";"211"
"1299";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1299";"TEATRO - LOMO DE LA CRUZ (POR SAN FRANCISCO)";"84";"242"
"1298";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1298";"TEATRO - LOMO DE LA CRUZ (POR SAN FRANCISCO)";"84";"231"
"1297";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1297";"TEATRO - LA PATERNA";"82";"262"
"1296";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1296";"TEATRO - LA PATERNA";"82";"221"
"1293";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1293";"TEATRO - SAN FRANCISCO";"80";"262"
"1292";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1292";"TEATRO - SAN FRANCISCO";"80";"231"
"1278";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1278";"TEATRO - SAN JUAN";"54";"232"
"1277";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1277";"TEATRO - SAN JUAN";"54";"231"
"1274";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1274";"HOYA DE LA PLATA - PEDRO HIDALGO";"52";"221"
"1273";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1273";"HOYA DE LA PLATA - CASABLANCA";"51";"252"
"1272";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1272";"HOYA DE LA PLATA - CASABLANCA";"51";"251"
"1255";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1255";"SANTA CATALINA - LAS COLORADAS";"41";"222"
"1254";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1254";"SANTA CATALINA - LAS COLORADAS";"41";"211"
"1253";"2017-10-31 12:02:23";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_lineas_parada/1253";"AUDITORIO - LA BALLENA (POR LAS TORRES)";"35";"212"
