CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"parroco jose quitana sanchez  38","13/01/2014","24",""
"Dr. Fleming 54","09/01/2014","8/18","09/01/2014"
"garcia tello 28","23/12/2013","24",""
"DOCTOR GRAU BASSAS  41","23/12/2013","8-12",""
"castillejos nº 49","23/12/2013","",""
"avda jose mesa y lopez pasaje inglaterra.","24/12/2013","",""
"alvaroz de castro por tramos del 1 al 15","09/01/2014","8 a 19",""
"tormento por tramos del 19 al 21","26/12/2013","8 a 19","27/12/2013"
"pancho guerra 5-7","23/12/2013","",""
"ad.amurga 7","02/01/2014","8 a 19","03/01/2014"
"malteses 1","26/12/2013","",""
"tomas miller 45","27/12/2013","24 horas",""
"capitan lucena 1","28/12/2013","24 horas","29/06/2014"
"jose franchy roca 28","28/12/2013","24 horas","29/06/2014"
"joaquin blume 11","27/12/2013","","17/05/2014"
"republica dominicana  entre palafox y velarde","","8 a 20 horas",""
"pintor pepe damaso 34","26/12/2013","8 a 20",""
"republica dominicana","02/01/2014","","13/02/2014"
"diferentes de la ciudad","24/12/2013","08 a 15","24/12/2013"
"diferentes de la ciudad","26/12/2013","08 a 15","26/12/2013"
"los gofiones 55","03/01/2014","08 a 18","04/01/2014"
"farmaceutico pedro rivero frente 3 5 7","16/01/2014","","17/01/2014"
"teobaldo power (trasera pintor juan ismalel)","27/12/2013","08 a 20","27/12/2013"
"bernardo de la torre 29-31","02/01/2014","8 a 18",""
"pedro minio 5","30/12/2013","08 a 18","30/12/2013"
"farnesio 43","27/12/2013","24 horas","03/01/2014"
"farnesio 17","27/12/2013","","03/01/2014"
"diferentes de la ciudad","27/12/2013","",""
"diferentes de la ciudad","27/12/2013","",""
"parada de taxis en calle mayor de triana","27/12/2013","",""
"cebrian 60","30/12/2013","08 a 18","30/12/2013"
"diferentes de la ciudad","27/12/2013","08 a18","27/12/2013"
"comas quesada 5 esquina oscar dominguez","30/12/2013","","31/12/2013"
"perdomo 8 ( peatonal ) con 2, viera y clavijo 19 o viceversa","07/01/2014","24","17/01/2014"
"avda de escaleritas  165","30/12/2013","24",""
"nardo con mimosa o viceversa  6","03/01/2014","8-15",""
"beethoven 1","31/12/2013","8-20",""
"francisco gourie plaza de stagno","31/12/2013","n/c",""
"plaza de stagno","31/12/2013","n/c",""
"plaza de stagno teatro perez galdos","31/12/2013","n/c",""
"beethoven plaza emilio ley","05/01/2013","n/c",""
"avda jose mesa y lopez  18","02/01/2013","7,30-9,30",""
"paseo de tomas morales  60","02/01/2014","8-18",""
"luis benitez inglott 25","07/01/2014","8-18",""
"varias calles","30/12/2013","normal","30/12/2013"
"AVDA JUAB CARLOS I 17","08/01/2014","8-18",""
"TOMAS MILLER  24","03/01/2014","24",""
"TOMASD MILLER 24","03/01/2014","8-18",""
"GUSTAVO J. NAVARRO NIETO S/N LOMI DEL  POLVO","07/01/2014","8-20",""
"VARIAS CALLES","02/01/2014","NORMAL","02/01/2014"
"VARIAS CALLES","31/12/2014","NORMAL",""
"HERMANOS GARCIA DE LA TORRE Nº 28","","8-18",""
"varias calles peatonales","03/01/2014","n/c",""
"luchana 9-1 y cayetana manrique 74- 76-78","07/01/2014","8-20",""
"avda pintor felo monzon  42","08/01/2014","8-18","08/01/2014"
"el marino  saba  1","03/01/2014","24",""
"alemania frente  4","07/01/2014","8-18","08/01/2014"
"varias calles","03/01/2014","normal","03/01/2014"
"doctor grau bassas 17-21","08/01/2014","8-18",""
"doctor grau bassas los martinez de escobar mariana de pineda","07/01/2014","normal",""
"doctor grau bassas 18-20","08/01/2014","8-18",""
"miguel de cervantes  2","07/01/2014","24",""
"olof palme  49","09/01/2014","8-20","09/01/2014"
"parroco villar reina 120","08/01/2014","24","06/02/2014"
"avd. de canarias, colegio los jesuitas","08/01/2014","24","06/02/2014"
"avd. 1 de mayo 7","10/01/2014","8/18","10/01/2014"
"varias del termino municipal","07/01/2014","8/20","07/01/2014"
"luis morote 6","07/01/2014","12:30/20:00","07/01/2014"
"doctor grau bassas 41 b","09/01/2014","8/20","09/01/2014"
"alemania 39","13/01/2014","24",""
"hernan perez de grado 67","10/01/2014","24",""
"termino municipal","08/01/2014","n/c",""
"carretera santa margarita camino del chorro montequemado","08/01/2014","n/c",""
"manuel gonzalez martin 21 esq. Alemania","","",""
"muelle las palmas","25/01/2014","normal","26/01/2014"
"varias calles","08/01/2014","normal","08/01/2014"
"mayor de triana 13","13/01/2014","24",""
"leon y castillo 427","13/01/2014","8-18","14/01/2014"
"leon y castillo 427","15/01/2014","8-18",""
"avda alcalde  jose diaz navarro saavedra  20","10/01/2014","8-13",""
"fernando guanarteme  54","10/01/2014","9-12",""
"prudencio mirales con princesa guayermina o viceversa","10/01/2014","24",""
"dr. Miguel rosas junto hotel atrlanta nº 27","09/01/2014","",""
"arquitecto laureano arroyo (centro de menores)","10/01/2014","",""
"plaza de fuero del real de b grancanaria(edificio tamarco)","10/01/2014","","10/01/2014"
"plaza del fuero real de gran canaria ed.tamarco nº4","10/01/2014","","10/01/2014"
"portugal nº 70","10/01/2014","","10/01/2014"
"viera y clavijo 18-20","01/02/2014","08 a 22",""
"varias calles","09/01/2014","normal","09/01/2014"
"secretario artiles nº 92","","",""
"la naval nº 4","10/01/2014","",""
"zonas peatonales del termino municipal","10/01/2014","n/c",""
"junco con orobal o viceversa  46","10/01/2014","8-13",""
"zonas peatonales termino municipal","10/01/2014","n/c",""
"almansa  11","13/01/2014","24",""
"varias calles","","",""
"nicolas estevanez esq. 29 de abril","07/01/2014","normal",""
"luis dorestes silva  101","13/01/2014","8-18",""
"la naval nº 37","13/01/2014","","27/01/2014"
"paseo de las canteras 21","13/01/2014","8/18",""
"ctra del rincon acceso a la plaza exterior fuente cc las arenas s/n","14/01/2014","8-20",""
"zona aparcamiento lateral campo de futbol el rincon","13/01/2014","7,30-20,00 y 22,00-6,00",""
"espacio libre con dos acceso palma de mallorca","13/01/2014","7,30-20,00 22-6,00",""
"diversas zonas  del termino municipal","13/01/2014","n/c",""
"diversas zonas del termino municipal","13/01/2014","n/c",""
"zonas peatonales termino municipal","13/01/2014","n/c",""
"zonas peatonales termino municipal","13/01/2014","n/c",""
"zonas peatonales termino municipal","13/01/2014","n/c",""
"te4rmino municipal zonas peatonales","13/01/2014","n/c",""
"primero de mayo  19","14/01/2014","8-20",""
"varias calles","13/01/2014","8-20","13/01/2014"
"agustin millares carlo nº 2","15/01/2014","","15/01/2014"
"avda pintor felo monzon nº 44","","",""
"avda felo monzon (c.c.siete palmas frente mercadona)","16/01/2014","","17/01/2014"
"leon y castillo nº 15","15/01/2014","",""
"leon y castillo nº 15","15/01/2014","24",""
"andamana con palmar (o viceversa) nº 67","14/01/2014","","17/01/2014"
"fondos del segura 23","15/01/2014","24","14/05/2014"
"FONDOS DE SEGURA 39","16/01/2014","8/18","16/01/2014"
"EL MOLINO  TENOYA","15/01/2014","24",""
"VARIAS CALLES","14/01/2014","NORMAL","14/01/2014"
"EMILIO ARRIETA    18","20/01/2014","24",""
"ZONAS PEATONALES TERMINO MUNICIPAL","14/01/2014","N/C",""
"LEON Y CASTILLO 431 CON JOSE FRANCHY ROCA","15/01/2014","8/20",""
"varias calles","15/01/2014","normal","15/01/2014"
"varias calles","16/01/2014","normal","16/01/2014"
"agustin millares carlo  10","17/01/2014","8-18","17/01/2014"
"victor  hugo  34","18/01/2014","",""
"termino municipal","15/01/2014","n/c",""
"zonas peatonales  termino municipal","15/01/2014","n/c",""
"zonas pweatonales termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","15/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municiopal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"termino municipal","16/01/2014","n/c",""
"calle mayor de triana, 48","17/01/2014","8-18","17/01/2014"
"venegas, 2","17/01/2014","8-18","17/01/2014"
"zonas peatonales termino municipal","17/01/2014","n/c",""
"fdo guanarteme  tramo. L. tolstoi b. de la torre","20/01/2014","7-20 y 22-6,00",""
"teobaldo power trasera pintor juan ismael","17/01/2014","8-18",""
"torres  8","17/01/2014","8-12",""
"villavicencio  3","22/01/2014","24",""
"mayor de triana  98","17/01/2014","8-18",""
"faro 87 esq. Gamonal","20/01/2014","normal",""
"gamonal  7","21/01/2014","8-20",""
"faro  86","21/01/2014","8-20",""
"zonas peatonales termino municipal","13/01/2014","n/c",""
"zonas peatonales","13/01/2014","n/c",""
"sancho panza  3","20/01/2014","24",""
"varias calles","17/01/2014","normal","17/01/2014"
"castrillo  51 a","21/01/2014","normal","22/01/2014"
"barcelona  51","22/01/2014","normal","23/01/2014"
"doctor jose luis batista acosta  70","21/01/2014","normal","22/01/2014"
"andamana  2","22/01/2014","normal","23/01/2014"
"venegas  15","28/01/2014","normal","28/01/2014"
"doctor grau bassas  41 b","20/01/2014","8-20","21/01/2014"
"eduardo benot","20/01/2014","7,30-20,00  22  6,00",""
"simon bolivar parque blanco","20/01/2014","7-20 y22-6,00",""
"salamanca 1 del 16-18 y del 31-25","24/01/2014","08 a 20",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"tormento  20","22/01/2014","24",""
"plaza de la constitucion  1","23/01/2014","8-18","23/01/2014"
"plaza fray junipero estacionamiento loa m. escobar entre joaquin costa t b. de la torre","20/01/2014","24",""
"nestor de la torre  26","27/01/2014","normal",""
"varias calles","20/01/2014","normal","20/01/2014"
"saucillo 1 39 y 2º frente del 36 hasta esq. Con ines chemida","24/01/2014","8-20",""
"parroco villar reina 28-30","20/01/2014","8-20",""
"la explanada 1almatriche","27/01/2014","8-20",""
"el mesias  10","27/01/2014","8-20",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonz peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonale termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales termino municipal","20/01/2014","n/c",""
"zonas peatonales  termino municipal","21/01/2014","n/c",""
"leon  con  alicante cdad san cristobal 120 vvdas","24/01/2014","8-18",""
"eusebio navarro  58-60","23/01/2014","8-19",""
"varias calles","21/01/2014","normal",""
"nuñez de balboa 15 entre mariucha y sor simona","29/01/2014","normal","29/01/2014"
"victor hugo 59 entre mendez y pelayo valencia","29/01/2014","normal","29/01/2014"
"parroco francisco rodriguez rodriguez  20","28/01/2014","normal","28/01/2014"
"pelayo nº 68","22/01/2014","8-14",""
"nicolas estevanez esq veintinueve de abril","22/01/2014","",""
"echegaray 93","24/01/2014","8 a 19","24/01/2014"
"avda. amurga 7","27/01/2014","24 hras","29/01/2014"
"mesa y lopez nestor de la torre galicia mayor triana","26/01/2014","",""
"eusebio navarro nº 58","24/01/2014","","24/01/2014"
"avda mesa y lopez nº 12","23/01/2014","","23/01/2014"
"simon bolivar 324","27/01/2014","8 a 19",""
"viriato entre juan manuel duran gonzalez y avda jose mesa y lopez","27/01/2014","8-20","27/01/2014"
"leon y castillo431","28/01/2014","24 hrs","29/01/2014"
"paseo de tomas morales 4","27/01/2014","8 a 19","27/01/2014"
"fernando Guanarteme (entre leon Tolstoy y Galileo)","27/01/2014","","25/02/2014"
"Castillejos, 49","27/01/2014","",""
"ruiz de alda, 23","27/01/2014","24","06/02/2014"
"cebrian  8-10","28/01/2014","24",""
"simon bolivar  1","31/01/2014","8 -20","31/01/2014"
"rafael mesa y lopez  77","27/01/2014","12-20","27/01/2014"
"avda juan carlos I","29/01/2014","8-18","29/01/2014"
"varias calles","27/01/2014","normal","27/01/2014"
"varias calles","27/01/2014","n/c",""
"varias calles","27/01/2014","n/c",""
"francisco gonzaleaz gutierrez  4","30/01/2014","normal","31/01/2014"
"rosario alvarez hdez  7","30/01/2014","normal",""
"malteses nº 3","30/01/2014","",""
"Joaquin Blume, 19","28/01/2014","",""
"avda pintor pepe  damaso  42","30/01/2014","24",""
"albareda frente del mercado","28/01/2014","n/c",""
"reyes catolocos tramo peatonal entre doctor chil y espiritu santo","28/01/2014","24",""
"varias calles","28/01/2014","normal","28/01/2014"
"doctor miguel rosas  9","03/02/2014","normal",""
"varias","29/01/2014","todo el año","31/12/2014"
"mariucha 103-105","30/01/2014","","31/01/2014"
"doctor grau bassas   17-19","30/01/2014","8-18",""
"albert einstein  30","29/01/2014","24",""
"domingo j. navarro  24","30/01/2014","8-18",""
"angel guerra 15 luis de la cruz 7","31/01/2014","24",""
"AGUADULCE 59-61","31/01/2014","8 A 18",""
"VARIAS","30/01/2014","",""
"varias","31/01/2014","","31/12/2014"
"varias","31/01/2014","","31/12/2014"
"termino municipal carriles de trafico","30/01/2014","n/c",""
"reyes catolicos-lopez botas, 22","01/02/2014","8-18",""
"avda rafael cabrera  13","06/02/2014","8-18","06/02/2014"
"variaas calles","03/02/2014","normal","03/02/2014"
"guantanamo  207","04/02/2014","8-18",""
"carga y descarga termino municipal","03/02/2014","n/c",""
"termino municipal","03/02/2014","n/c",""
"mayor de triana  24","05/02/2014","24",""
"portugal  70","04/02/2014","8-20",""
"senador castillo olivares nº 14","04/02/2014","","05/02/2014"
"leon y castillo nº 367","04/02/2014","",""
"BUENOS AIRES","08/02/2014","8/20","09/02/2014"
"OBISPO RABADAN, MARGEN DERECHO","11/02/2014","8/20","12/02/2014"
"OBISPO ENCINA MARGEN IZQUIERDO","13/02/2014","8/20","14/02/2014"
"SAN BERNARDO","15/02/2014","8/20","16/02/2014"
"CHOPIN MARGEN IZQUIERDO","25/02/2014","8/20","26/02/2014"
"PASEO DE CHIL ALTURA 215","22/02/2014","8/20","23/02/2014"
"FRANCISCO INGLOT ARTILES 26","04/02/2014","10/13","04/02/2015"
"VELAZQUEZ MARGEN DEERECHO","20/02/2014","8/20","21/02/2014"
"GARCIA MORATO MARGEN IZQUIERDO","18/02/2014","8/20","19/02/2014"
"CARVAJAL MARGEN DERECHO","05/02/2014","8/20","07/02/2014"
"OBISPO ENCINA NARGEN DERECHO","05/02/2014","8/200","07/02/2014"
"PASEO DE CHIL, PUENTE DE LAS NEGRITAS","27/02/2014","8/20","28/02/2014"
"FERNANDO GUANARTEME 109","04/02/2014","12/18","04/02/2014"
"teowaldo power ( trasera pintor juan ismael)","04/02/2014","12/20","04/02/2014"
"varias del termino municipal","04/02/2014","8/20","04/02/2014"
"leopardi 17","10/02/2014","8/20","11/02/2014"
"secretario padilla 43","12/02/2014","8/20","13/02/2014"
"fondos del segura s/n","04/02/2014","8-20 y 10-6,00",""
"presidente alvear  45","08/02/2014","8-20","09/02/2014"
"presidente alvear  45","08/02/2014","8-20","09/02/2014"
"granadera canaria alicante, mesa y lopez  y otras","03/02/2014","normal",""
"antonio maria manrique nº 11,13y 15","06/02/2014","",""
"doctor grau bassas los martinez de escobar y mariana de pineda","04/02/2014","normal",""
"avda pepe damaso s/n","04/02/2014","8-14",""
"torres   5","07/02/2014","8-20",""
"luis antunez  29","07/02/2014","8-20",""
"viera y clavijo  16-20","18/02/2014","8-22",""
"varias calles","05/02/2014","normal","05/02/2014"
"galileo entre el 22 y fernando guanarteme","05/02/2014","24",""
"pedro infinito 136","10/02/2014","8/18",""
"capitan eliseo lopez orduña  12-14","10/02/2014","8-20",""
"fernando guanarteme( entre galileo y pñaza farray)","06/02/2014","24",""
"avd. pontor felo monzon 31","10/02/2014","24",""
"pascal 6","06/02/2014","15:00/19:00","06/02/2014"
"varias del termino municipal","06/02/2014","8/20","06/02/2014"
"graciliano afonso 4","10/02/2014","24",""
"francisco gourie entre el nº 11 y bankia","06/02/2014","24","07/02/2014"
"cebriasn 47","11/02/2014","8/18",""
"senador castillo olivares 41","10/02/2014","24",""
"secretario artiles 37","11/02/2014","8/20","11/02/2014"
"gral. Vives con los martines de escobar","11/02/2014","8/20","11/02/2014"
"leon y castilllo 324","10/02/2014","8/20","10/02/2014"
"los martines de escobar a la altura de la leon y castillo 421 hasta limite del vado permanente 6832","10/02/2014","8/20","10/02/2014"
"victor  doreste con avd. escaleritas 112","10/02/2014","8/20","10/02/2014"
"secretario artiles 36","10/02/2014","8/18","10/02/2014"
"aufemiano jurado 11","12/02/2014","8/18",""
"leon y castillo 85","08/02/2014","12/18","08/02/2014"
"termino municipal de las palmas","07/02/2014","8/20","07/02/2014"
"churruca 48/50 trasera salvador manriquede lara","10/02/2014","24","14/02/2014"
"los barranquillo de siete puertas 45","12/02/2014","8/20","14/02/2014"
"prudencio morales 41","11/02/2014","8/18",""
"albareda 33","14/02/2014","8/10",""
"avda de juan XXIII  9-11","10/02/2014","",""
"varias calles","10/02/2014","normal","10/02/2014"
"poeta agustin millares sal(toda la calle","11/02/2014","","11/02/2014"
"viera y clavijo nº 12 al 34","12/02/2014","24","13/02/2014"
"domingo j. navarro del 2 al 12","12/02/2014","",""
"plaza de santa ana, 3","11/02/2014","8-20","12/02/2014"
"dolores de la rocha, 17","20/02/2014","8-20","20/02/2014"
"fernando guanarteme nº 106","20/02/2014","",""
"general bravo  26","12/02/2014","8-12",""
"leon y castillo 353","15/02/2014","8-18","15/02/2014"
"jesus ferrer jimeno  1-3-5-7","12/02/2014","24",""
"avda mesa y lopez  59","14/02/2014","8-20","14/02/2014"
"varias  calles","11/02/2014","normal","11/02/2014"
"olof palme  49","13/02/2014","8-20","13/02/2014"
"pilarillo seco 1 con triana","14/02/2014","",""
"paseo de tomas morales  24","17/02/2014","8-18",""
"artemi semidan  66-67","20/02/2014","7-15,00","21/02/2014"
"almudena 52","13/02/2014","24","22/02/2014"
"termino municipal","12/02/2014","n/c",""
"varias calles","12/02/2014","normal","12/02/2014"
"santa maria goretti","13/02/2014","8-20","13/02/2014"
"plaza de cairasco","19/02/2014","",""
"paseo de san jose(plaza junto real de san juan-sor jesus)","14/02/2014","",""
"plaza de santo domingo","17/02/2014","",""
"sor brigida castello nº 1-3","17/02/2014","",""
"general bravo-alameda de colon","14/02/2014","",""
"malteses nº 1 al 19","14/02/2014","",""
"paseo de san jose(junto a la plaza conocida por la portadilla)","17/02/2014","",""
"pedro diaz nº 1 al 7","17/02/2014","",""
"plaza de santo domingo","18/02/2014","",""
"corrientes s/n","19/02/2014","",""
"venegas del 65 al 69","14/02/2014","24","14/02/2014"
"jordé, 9","17/02/2014","24","15/08/2014"
"Jordé, 9","17/02/2014","24",""
"barcelona 31","13/02/2014","8-20","13/02/2014"
"termino municipal de las palmas","13/02/2014","8/20","13/02/2014"
"general bravo - alameda de colon","20/02/2014","24","20/02/2014"
"buenos aires, 1-9","21/02/2014","24","21/02/2014"
"malteses, 9-21","19/02/2014","24","20/02/2014"
"jerico, 14","14/02/2014","8-20","14/02/2014"
"paseo de los martires con  diego betancor  suarez o viceversa","14/02/2014","8-20","14/02/2014"
"torres 17","10/02/2014","normal",""
"ctra general de tamraceite gc-300","10/02/2014","normal",""
"dolores de la rocha  1 al 17","03/03/2014","normal",""
"doctor sventenius   6","17/02/2014","24","21/02/2014"
"pino apolinario  107","18/02/2014","24",""
"fernando guanarteme  entre leon toltoi y viriato","17/02/2014","9-20,30",""
"varias calles","14/02/2014","normal","14/02/2014"
"carvajal 77","18/02/2014","8-20",""
"mayor de triana","14/02/2014","24","15/03/2014"
"plaza de los derechos humanos  1","15/02/2014","8-20","15/02/2014"
"caleta, 22","18/02/2014","",""
"caleta, 22","18/02/2014","24","09/03/2014"
"caleta, 22","18/02/2014","24","09/03/2014"
"paseo de chil, 167","17/02/2014","8-18","18/02/2014"
"paseo de los martires 185","18/02/2014","24 horas","19/03/2014"
"tenerife junto a las oficinas municipales","19/02/2014","7 a 18",""
"galileo 30-32","24/02/2014","24 horas","26/02/2014"
"galileo 27","27/02/2014","8 a 20","02/03/2014"
"joaquin costa (apartamentos riviera)","18/02/2014","",""
"malteses 1-19","19/02/2014","24 horas","19/02/2014"
"general bravo-alameda de colon zona carga y descarga","19/02/2014","24 horas","19/02/2014"
"ingeniero ramonell s/n","19/02/2014","8 a 19",""
"CAPITAN ELISEO LOPEZ ORDUÑA","19/02/2014","8 A 20","21/02/2014"
"eduardo benot 3","18/02/2014","24 horas","04/03/2014"
"mayor de triana 13","24/02/2014","24","27/02/2014"
"republica dominicana ( junto supermercado)","20/02/2014","8/20",""
"pintor pepe damaso 34","20/02/2014","8/20","09/07/2014"
"reyes catolicos 55","22/02/2014","8/18","22/02/2014"
"peru 38","24/02/2014","8/18",""
"termino municipal de las palmas","19/02/2014","8/20","19/02/2014"
"avd. jose mesa y lopez 7","24/02/2014","8/18",""
"luis morote nº 6","21/02/2014","",""
"paseo de los martires- diego betancor suarez","21/02/2014","8 a 20","21/02/2014"
"simon bolivar con el marino","20/02/2014","10 a 19",""
"bravo murillo 5","24/02/2014","8 a 20","25/02/2014"
"plaza de san Antonio Abad","03/05/2014","",""
"SORIA Nº1","21/02/2014","",""
"capitan gutierrez mellado 23","21/02/2014","8/20","21/02/2014"
"paseo de san antonio, 69 con pancho guerra (o viceversa)","24/02/2014","8-20",""
"eduardo benot 3, diego ordaz y alfredo l jones 1","24/02/2014","24","09/03/2014"
"lui morote entre eduardo benot e intercambiador","24/02/2014","8 a 18","24/02/2014"
"prudencio morales nº 21","25/02/2014","",""
"manuel de leon falcon nº 32","26/02/2014","",""
"candelaria de leon (a la altura rotonda blas cabrera felipe)","22/02/2014","",""
"ANGEL GUERRA 11 Y LUIS DE LA CRUZ 11 O VICEVERSA","","",""
"felipe massieu falcon 9 espiritu santo 18","24/02/2014","24",""
"leon  y castillo  114","27/02/2014","8-18","27/02/2014"
"luis morote  6","26/02/2014","8-18","26/02/2014"
"rafael garcia perez  6","26/02/2014","8-18","26/02/2014"
"leopoldo alonso prolongacion dr garcia chiscano s/n","27/02/2014","8-18","27/02/2014"
"prudencia hernandez ajeno  7","26/02/2014","8-15","26/02/2014"
"bateria de san juan  1","27/02/2014","8-15","27/02/2014"
"varias calles","24/02/2014","normal","24/02/2014"
"tenesoya vidina  8","03/03/2014","normal",""
"tenesoya vidina  20","03/03/2014","normal",""
"henry dunant 1","25/02/2014","8-20",""
"alfredo calderon (entre pio xll y gral mas de gamindez) edf. Canafrika","27/02/2014","",""
"almanza nº 11","25/02/2014","24",""
"plaza de la libertad  s/n","25/02/2014","8-18",""
"general vives entre josr franchy r oca y los martinez de escobar","27/02/2014","7,30-15,00",""
"plaza de la  concordia  1","26/02/2014","8-18","26/02/2014"
"varias calles","25/02/2014","normal","25/02/2014"
"luis dorestes  silva  60","04/03/2014","normal",""
"los guayaberos  25","03/03/2014","normal",""
"secundino sauzo  s/n","26/02/2014","7,30-15,00","27/02/2014"
"plaza de cambullonero  s/n","26/02/2014","7,30-15,00","27/02/2014"
"francisco gourie nº 28","27/02/2014","",""
"francisco gourie  22","28/02/2014","8-18",""
"travieso   33","27/02/2014","8-12","27/02/2014"
"angel guerra  13","28/02/2014","8-20","28/02/2014"
"venezuela  8","28/02/2014","24",""
"secretario padilla  57 churruca","03/03/2014","24",""
"olof palme  42","27/02/2014","8-18","27/02/2014"
"plaza emili ley aparcamiento","","n/c",""
"varias calles","26/02/2014","normal","26/02/2014"
"pedro hidalgo","26/02/2014","7,30-20 y 22-6,00",""
"carretera de mta san antonio","26/02/2014","7,30-20,00 y 22-6,00",""
"emilio arrieta  20","04/03/2014","8-20",""
"la paz 3","04/03/2014","8-20",""
"menceyes 5  -25-27","04/03/2014","8-20",""
"luis saavedra miranda 24","05/03/2014","8-20",""
"cordoba  47","03/03/2014","8-20",""
"valencia  48","04/03/2014","8-20",""
"olof palme nº 49","28/02/2014","",""
"fuente 8 con san diego de alcala","27/02/2014","24",""
"paseo de san jose  5","03/03/2014","8-20",""
"saucillo con princesa guayermina  43","06/03/2014","24",""
"parroco matias artiles  18","05/03/2014","8-20",""
"varias calles","27/02/2014","normal","27/02/2014"
"atacayte 9 esq. Paseo las vistas","03/03/2014","8-18",""
"obispo rabadan nº 68","28/02/2014","","01/03/2014"
"general bravo 13","03/03/2014","24","22/03/2014"
"avd. jose mesa y lopez 63","03/03/2014","24","01/05/2014"
"tomas morales","03/03/2014","24","01/05/2014"
"luis doreste silva por el paseo de alonso quesada","","",""
"paseo alonso quesada","","",""
"el cid  41","05/03/2014","24",""
"catvajal margen derecho","03/03/2014","",""
"obispo encina margen derecho","03/03/2014","normal",""
"paseo de chil  ala altura del rubio","15/03/2014","normal",""
"buenos aires  s/n","08/03/2014","normal",""
"avenida primero de mayo  8-10","08/03/2014","normal",""
"viera y clavijo  frente al teatro cuyas","02/04/2014","8-22",""
"san diego de alcala  13","05/03/2014","24",""
"capitan gutierrez mellado  23","28/02/2014","12-20","28/02/2014"
"varias calles","28/02/2014","normal","28/02/2014"
"avda juan carlos I  17","18/11/2014","8-20",""
"peru frente a los (nº 33,35,37 y 39) 38","05/03/2014","",""
"malteses nº 3","05/03/2014","24",""
"dr. Grau basssas nº 52","03/03/2014","",""
"arequipa s/n","10/03/2014","08 a 20","14/03/2014"
"paseo de chil 301","08/03/2014","08 a 20","08/03/2014"
"doctor navarro  torrent  1","07/03/2014","8-20","07/03/2014"
"varias calles","03/03/2014","normal","03/03/2014"
"angel guerra  5","17/03/2014","24",""
"pedro ceron  8","05/03/2014","24",""
"ingeniero salinas nº61","05/03/2014","24","07/03/2014"
"reyes catolicos con juan e. doreste (viceversa),","06/03/2014","24","04/04/2014"
"carretera de mata","05/03/2014","24",""
"ctra de teror entre gasolinera curz del ovejero maria zambrano","05/03/2014","24",""
"paseo blas cabrera felipe","05/03/2014","24",""
"zonas reservada a carga y descarga termino municipal","05/03/2014","8-20",""
"termino municipal zonas csarga y descarga","05/03/2014","8-20",""
"zonas de carga y descarga rerminjo municpal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga del termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descarga termino municipal","05/03/2014","87-20",""
"zonas de carga y descarga termino municipal","05/03/2014","8-20",""
"zonas de carga y descargsa termino municipal","05/03/2014","8-20",""
"zonas peatonales del termino municipal","05/03/2014","8-20",""
