"dc:identifier";"dc:modified";"geo:lat";"geo:long";"id";"lpgc:nombre_parada"
"1733";"2017-10-31 12:01:30";"28.098022";"-15.468357";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1733";"C/ CÉSAR MANRIQUE, 12"
"1731";"2017-10-31 12:01:30";"28.070646";"-15.455137";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1731";"INGENIERÍAS"
"1730";"2017-10-31 12:01:30";"28.091358";"-15.485848";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1730";"GALILEA 60"
"1728";"2017-10-31 12:01:30";"28.09988";"-15.47119";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1728";"C/ CÉSAR MANRIQUE, FRENTE 102"
"1726";"2017-10-31 12:01:30";"28.090466";"-15.481558";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1726";"C/ JUDAS TADEO, 66"
"1725";"2017-10-31 12:01:30";"28.097727";"-15.455106";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1725";"AVDA. PINTOR FELO MONZÓN (C.C. SIETE PALMAS)"
"1724";"2017-10-31 12:01:30";"28.097832";"-15.468472";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1724";"C/ CÉSAR MANRIQUE, 3"
"1723";"2017-10-31 12:01:30";"28.100851";"-15.453749";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1723";"AVDA. PINTOR FELO MONZÓN, 38"
"1722";"2017-10-31 12:01:30";"28.11125";"-15.434367";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1722";"C/ MARIUCHA (CANÓDROMO)"
"1721";"2017-10-31 12:01:30";"28.106398";"-15.452327";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1721";"AVDA. PINTOR FELO MONZÓN, 22"
"1717";"2017-10-31 12:01:30";"28.1124";"-15.45253";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1717";"C/ MIMOSA"
"1715";"2017-10-31 12:01:30";"28.073858";"-15.427473";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1715";"CARRETERA CIUDAD SAN JUAN DE DIOS (GUINCHO)"
"1714";"2017-10-31 12:01:30";"28.073406";"-15.452819";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1714";"CIENCIAS BÁSICAS "
"1713";"2017-10-31 12:01:30";"28.075878";"-15.419432";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1713";"C/ GAVILAN (RESIDENCIAL LOS GRANJEROS)"
"1712";"2017-10-31 12:01:30";"28.112803";"-15.45251";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1712";"C/ MIMOSA"
"1711";"2017-10-31 12:01:30";"28.073462";"-15.429225";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1711";"C/ PARDELA 14"
"1709";"2017-10-31 12:01:30";"28.073961";"-15.426713";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1709";"CARRETERA CIUDAD SAN JUAN DE DIOS (GUINCHO)"
"1708";"2017-10-31 12:01:30";"28.119478";"-15.4432";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1708";"AVDA. JUAN CARLOS I (ROTONDA HOSPITAL DR. NEGRÍN)"
"1706";"2017-10-31 12:01:30";"28.120562";"-15.443499";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1706";"ROTONDA HOSPITAL DR. NEGRÍN"
"1705";"2017-10-31 12:01:30";"28.120947";"-15.443208";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1705";"HOSPITAL DR. NEGRÍN (HOSPITALIZACIÓN)"
"1704";"2017-10-31 12:01:30";"28.09743";"-15.458259";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1704";"PINTOR FELO MONZON (HIPERCOR)"
"1703";"2017-10-31 12:01:30";"28.12391";"-15.438582";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1703";"AVDA. DE ANSITE (CEMENTERIO DEL PUERTO)"
"1702";"2017-10-31 12:01:30";"28.123709";"-15.438508";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1702";"AVDA. DE ANSITE ( FRENTE CEMENTERIO DEL PUERTO)"
"1701";"2017-10-31 12:01:30";"28.09948";"-15.470261";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1701";"C/ CÉSAR MANRIQUE, 88"
"1700";"2017-10-31 12:01:30";"28.102888";"-15.452833";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1700";"AVDA. PINTOR FELO MONZÓN, 25"
"1699";"2017-10-31 12:01:30";"28.057781";"-15.439606";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1699";"C/ TABLERO DE GONZALO"
"1698";"2017-10-31 12:01:30";"28.106253";"-15.451929";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1698";"AVDA. PINTOR FELO MONZÓN, 17"
"1696";"2017-10-31 12:01:30";"28.095549";"-15.44962";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1696";"C/ TUNERILLAS, FRENTE 20"
"1695";"2017-10-31 12:01:30";"28.110018";"-15.452491";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1695";"C/ MANZANILLA FRENTE 14 "
"1694";"2017-10-31 12:01:30";"28.057854";"-15.441827";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1694";"C/ MIGUEL MARTIN FERNANDEZ DE LA TORRE (CENTRO DE MENORES)"
"1693";"2017-10-31 12:01:30";"28.091137";"-15.483389";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1693";"C/ JUDAS TADEO, 17"
"1692";"2017-10-31 12:01:30";"28.057632";"-15.43929";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1692";"C/ TABLERO DE GONZALO, FRENTE  7"
"1691";"2017-10-31 12:01:30";"28.07817";"-15.449235";"http://datosabiertos.laspalmasgc.es/api/datos/guaguas_paradas/1691";"CIENCIAS JURIDICAS (MÓDULO B)"
