"TITULO","TEMATICA","AUTOR","FECHA"
"Placa conmemorativa del polígono Cruz de Piedra","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    C. 2000"
"Placa de Nuestra Señora de la Virgen del Pino","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    2000"
"Placa de la fundación de la Ciudad de Las Palmas","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    C. Primer quinquenio de la década de 1990."
"Placa del Gabinete Literario.","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    1995"
"Placa del Hospital de San Martín","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    C. Primer quinquenio de la década de 1990"
"Placa de la Plaza de San Nicolás","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    C. Primer quinquenio de la década de 1990"
"Placa conmemorativa a Silvestre de Balboa","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    Sin fecha"
"Portico del Cementerio de Vegueta","    Mobiliario y Aderezos Urbanos. Portico","    Manuel Ponce de León y Falcón","    C. 1871"
"Antiguo macetero de la Plaza de Santa Ana","    Mobiliario y Aderezos Urbanos. Macetero","    Anónimo","    C. 1895"
"Escudo del antiguo Puente Verdugo","    Mobiliario y Aderezos Urbanos. Heráldica","    Anónimo","    C. 1800"
"Escudo de la Ciudad de Las Palmas de Gran Canaria","    Mobiliario y Aderezos Urbanos. Heráldica","    Diseño del Arquitecto Municipal, Antonio Cardona","    1940"
"Escudo de la ciudad de Las Palmas de Gran Canaria","    Mobiliario y Aderezos Urbanos. Heráldica","    Diseño de Santiago Santana Díaz siguiendo el modelo de Néstor Martín - Fernández de la Torre. Realizado por José Betancor Pérez, operario de la Constructora Alfredo Farray Estévez","    1956"
"Virgen del Pino","    Mobiliario y Aderezos Urbanos. Religiosa","    Francisco Mensaque Rodríguez","    1969"
"Virgen del Pino","    Mobiliario y Aderezos Urbanos. Religiosa","    Francisco Mensaque Rodríguez","    1969"
"Maceteros de la Plaza de Santa Ana (18)","    Mobiliario y Aderezos Urbanos. Macetero","    Anónimo","    C. 2000"
"Mapa de la zona del Guiniguada sobre los años 1477 - 78","    Mobiliario y Aderezos Urbanos. Placa Conmemorativa","    Anónimo","    C. Último cuarto del siglo XX."
"Escudo de la Ciudad de Las Palmas","    Mobiliario y Aderezos Urbanos. Heráldica","    Anónimo","    C. Último cuarto del siglo XX."
"Templete","    Mobiliario y Aderezos Urbanos. Templete","    Anónimo","    Sin fecha"
"Decoración pictórica del Salón Dorado","    Artes Decorativas. Molduras Ornamentales","    Francisco León Quevedo según condiciones del Arquitecto Municipal, Laureano Arroyo y Velasco","    C. 1891"
"Medallones elípticos del Salón Paraiso. Teatro Pérez Galdós (8)","    Artes Decorativas. Alegórico - Mitológica","    Néstor Martín - Fernández de la Torre","    1928"
"Medallones elípticos del Salón Paraiso. Teatro Pérez Galdós (8)","    Artes Decorativas. Alegórico - Mirológica","    Néstor Martín - Fernández de la Torre","    1928"
"Molduras ornamentales del zaguán de la Casa Palacio Rodríguez Quegles","    Artes Decorativas. Molduras Ornamentales","    Anónimo","    C. Primera década del siglo XX"
"Molduras ornamentales del techo del distribuidor de la planta baja. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Molduras Ornamentales","    Anónimo","    C. Primera década del siglo XX"
"Molduras ornamentales del techo de la Sala de documentación. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Molduras Ornamentales","    Anónimo","    C. Primera década del siglo XX"
"Molduras ornamentales del techo de la Sala 11. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Molduras Ornamentales","    Anónimo","    C. Primera década del siglo XX"
"Molduras ornamentales del techo de la Sala ""Real Academia de la Lengua Canaria"". Casa Palacio Rodríguez Quegles","    Artes Decorativas. Molduras Ornamentales","    Anónimo","    C. Primera década del siglo XX"
"Molduras ornamentales del techo de la Sala de prensa. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Molduras Ornamentales","    Anónimo","    C. Primera década del siglo XX"
"Moldura del techo del Vestíbulo. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Molduras Ornamentales","    Anónimo","    C. Primera década del siglo XX"
"Molduras de paredes y techos de la Sala de Juntas. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Molduras Ornamentales","    Anónimo","    C. Primera década del siglo XX"
"Virgen del Pino","    Artes Decorativas. Cerámica. Religiosa","    Francisco Mensaque Rodríguez","    1969"
"Colección de cerámicas de Eduardo Gregorio. Cerámica globular Nº 10.","    Artes Decorativas. Cerámica","    Eduardo Gregorio López.","    C. 1970"
"Colección de cerámicas de Eduardo Gregorio. Cerámica esférica Nº 11","    Artes Decorativas. Cerámica","    Eduardo Gregorio López","    C. 1970"
"Colección de cerámicas de Eduardo Gregorio. Cerámica globular Nº 13","    Artes Decorativas. Cerámica","    Eduardo Gregorio López","    C. 1970"
"Colección de cerámicas de Eduardo Gregorio. Cerámica  con forma de ánfora Nº 14","    Artes Decorativas. Cerámica","    Eduardo Gregorio López","    C. 1970"
"Colección de cerámicas de Eduardo Gregorio. Cerámica con forma de ánfora Nº 15","    Artes Decorativas. Cerámica","    Eduardo Gregorio López","    C. 1970"
"Colección de cerámicas de Eduardo Gregorio. Cerámica con forma de botella Nº 16","    Artes Decorativas. Cerámica","    Eduardo Gregorio López","    C. 1970"
"Colección de cerámicas de Eduardo Gregorio. Cerámica cilíndrica Nº 17","    Artes Decorativas. Cerámica","    Eduardo Gregorio López","    C. 1970"
"Colección de cerámicas de Eduardo Gregorio. Cerámica oval Nº 18","    Artes Decorativas. Cerámica","    Eduardo Gregorio López","    C. 1970"
"Colección de cerámicas de Eduardo Gregorio. Cerámica oval Nº 12","    Artes Decorativas. Cerámica","    Eduardo Gregorio López","    C. 1970"
"Colección de cerámicas de Eduardo Gregorio. Cerámica en forma de cuenco Nº 21","    Artes Decorativas. Cerámica","    Eduardo Gregorio López","    C. 1970"
"Colección de cerámicas de Eduardo Gregorio. Cerámica con forma de botella Nº 6","    Artes Decorativas. Cerámica","    Eduardo Gregorio López","    C. 1970"
"Centros de mesa de ""Plata Meneses"" (2)","    Artes Decorativas. Centros de Mesa","    Anónimo","    C. 1890"
"Centro de mesa de ""Plata Meneses""","    Artes Decorativas. Centro de Mesa","    Anónimo","    C. 1890"
"Centro de mesa de ""Plata Meneses""","    Artes Decorativas. Centro de Mesa","    Anónimo","    C. 1890"
"Centro de mesa ""Plata Meneses""","    Artes Decorativas. Centro de Mesa","    Anónimo","    C. 1890"
"Dos mazas de plata","    Artes Decorativas. Mazas","    Anónimo","    Sin fecha"
"Tapiz. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Tapiz","    Anónimo","   C. Primera década del siglo XX."
"Tapiz. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Tapiz","    Anónimo","    C. Primera década del siglo XX"
"Tapiz. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Tapiz","    Anónimo","    C. Primera década del siglo XX"
"Tapiz. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Tapiz","    Anónimo","    C. Primera década del siglo XX"
"Tapiz. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Tapiz","    Anónimo","    C. Primera década del siglo XX"
"Tapiz. Casa Palacio Rodríguez Quegles","    Artes Decorativas. Tapiz","    Anónimo","    C. Primera década del siglo XX"
"Tapiz","    Artes Decorativas. Tapiz","    Anónimo","    C. Década de 1990 del siglo XX"
"Vidrieras del Salón Saint - Saëns (5)","    Artes Decorativas. Vidriera"," Néstor Martín - Fernández de la Torre","    C. 1928"
"Vidrieras del Salón Saint - Saëns (4)","    Artes Decorativas. Vidriera"," Néstor - Martín Fernández de la Torre","    C. 1928"
"Paseando por la barra. Vidriera de la Sala Sinfónica","    Artes Decorativas. Vidriera","    Juan Bordes Caballero","    1997"
"Cartel del carnaval 2002 (caja de luz)","    Artes Decorativas. Alegórica","    Juan Antonio Giraldo","    2001"
"Vidriera de la Casa Palacio Rodríguez Quegles","    Artes Decorativas. Vidriera","    Anónimo","    C. Primera década del siglo XX"
"Vidriera de la Casa Palacio Rodríguez Quegles","    Artes Decorativas.Vidriera","    Anónimo","    C. Primera década del siglo XX"
"Vidriera de la Casa Palacio Rodríguez Quegles","    Artes Decorativas. Vidriera","    Anónimo","    C. Primera década del siglo XX"
"Vidriera de la Casa Palacio Rodríguez Quegles","    Artes Decorativas. Vidriera","    Anónimo","    C. Primera década del siglo XX"
"Vidriera de la Casa Palacio Rodríguez Quegles","    Artes Decorativas. Vidriera","    Anónimo","    C. Primera década del siglo XX"
"Vidriera de la Casa Palacio Rodríguez Quegles","    Artes Decorativas. Vidriera","    Anónimo","    C. Primera década del siglo XX"
"Vidriera de la Casa Palacio Rodríguez Quegles","    Artes Decorativas.Vidriera","    Anónimo","    C. Primera década del siglo XX"
"Vidriera de la Casa Palacio Rodríguez Quegles","    Artes Decorativas. Vidriera","    Anónimo","    C. Primera década del siglo XX"
"Colección de Alejandro Lifchuz de monedas y cilindros - sellos (1.075)","    Numismática","  ","    Desde la creación de la moneda hasta la caida del Imperio Romano"
"Tibor (2)","    Artes Decorativas. Tibor","    Anónimo","    C. 1910"
"Macetero de la escalera del Teatro Pérez Galdós (4)","    Artes Decorativas. Macetero","    Eduardo Gregorio","    1927"
"Guirnalda de la escalera principal del Teatro Pérez Galdós (6 diferentes)","    Artes Decorativas. Guirnalda","    Eduardo Gregorio","    1927"
"Macetero de la escalera principal del Teatro Pérez Galdós (2)","    Artes Decorativas. Macetero adosado","    Eduardo Gregorio","    1927"
"Telón de boca del Teatro Pérez Galdós","    Artes Decorativas. Telón","    Néstor Martín - Fernández de la Torre","    1928"
"Escribanía. Casa - Museo León y Castillo","    Artes Decorativas. Escribanía","    Anónimo","    C. Fines del Siglo XIX, principios del Siglo XX"
"Carpeta de escritorio. Casa - Museo León y Castillo","    Artes Decorativas. Carpeta de Escritorio","    Anónimo","    C. Fines del Siglo XIX, principios del Siglo XX"
"Lámpara de sobremesa. Casa - Museo León y Castillo (2)","    Artes Decorativas. Lámpara","    Anónimo","    C. Fines del Siglo XIX, principios del Siglo XX"
"Lámpara de techo. Casa - Museo León y Castillo","    Artes Decorativas. Lámpara","    Anónimo","    C. Fines del Siglo XIX, principios del Siglo XX"
"Jarrón. Casa - Museo León y Castillo (2)","    Artes Decorativas. Jarrón","    Anónimo","    C. Fines del Siglo XIX, principios del Siglo XX"
"Farol de la Casa Palacio Rodríguez Quegles","    Artes Decorativas. Farol","    Anónimo","    C. Primera década del siglo XX"
"Fuente de la Casa Palacio Rodríguez Quegles","    Artes Decorativas. Fuente","    Anónimo","    C. Primera década del siglo XX"
"Empapelado del Salón de Juntas de la Casa Palacio Rodríguez Quegles","    Artes Decorativas. Ornamental","    Anónimo","    C. Primera década del siglo XX"
"Balaustrada de la escalera de la Casa Palacio Rodríguez Quegles","    Artes Decorativas. Balaustrada","    Anónimo","    C. Primera década del siglo XX"
"Candelabro de mesa, de 5 brazos. Salón Dorado, Casas Consistoriales (2)","    Artes Decorativas. Candelabro","    Anónimo","    C. Principios del siglo XX"
"Candelabro de pared, de 4 brazos. Salón Dorado, Casas Consistoriales (4)","    Artes Decorativas. Candelabro","    Anónimo","    C. Principios del siglo XX"
"Candelabro de pared, de 2 brazos. Salón Dorado, Casas Consistoriales (2)","    Artes Decorativas. Candelabro","    Anónimo","    C. Principios del siglo XX"
"Columna del Salón Dorado, Casas Consistoriales (2)","    Artes Decorativas. Soporte Columnario","    Anónimo","    C. Principios del siglo XX"
"Reloj de mesa. Casas Consistoriales","    Artes Decorativas. Reloj","    Casa N. Muller, Nueva York","    C. Principios del siglo XX"
"Cinematógrafo antiguo","    Artes Decorativas. Proyector - reproductor de películas de cine","    Anónimo","    C. Primera mitad del siglo XX"
"Cinematógrafo antiguo","    Artes Decorativas. Proyector - reproductor de películas de cine","    Anónimo","    C. Primera mitad del siglo XX"
"Escudo de Puerto Rico. Taller artesano Abacoa","    Artes Decorativas. Ornamental","    Taller artesano Abacoa - Puerto Rico","    Sin fecha"
"Elemento ornamental africano (1)","    Artes Decorativas. Bastón","    Anónimo","    Sin fecha"
"Elemento ornamental africano (2)","    Artes Decorativas. Ornamental","    Anónimo","    Sin fecha"
"Reportaje fotográfico del entierro de Néstor Martín - Fernández de la Torre (64)","    Documentos y libros. Fotografías","    Anónimo","    1938"
"Folías tristes","    Documentos y libros. Partitura musical","    Santiago Tejera Ossavarry","    1889 (marzo)"
"La hija del mestre","    Documentos y libros. Partitura musical","    Santiago Tejera Ossavarry","    1902 (mayo)"
"Biblioteca de Don Fernando de León y Castillo (1.835)","    Documentos y libros","    Varios","    Desde Siglo XVII (entre 1617-1696) al siglo XX (últimos en torno a 1933)"
"Sofá del tresillo del despacho del Alcalde","    Muebles. Sofá","    Anónimo","    C. 1930"
"Sillón del tresillo del despacho del Alcalde (2)","    Muebles. Sillón","    Anónimo","    C. 1930"
"Sillones de la Casa - Museo León y Castillo (6)","    Muebles. Sillón","    Anónimo","    C. Fin XIX, principios XX"
"Librerías de la Casa - Museo León y Castillo (2)","    Muebles. Librería","    Anónimo","    C. Fines del Siglo XIX, principios del Siglo XX"
"Mesa de despacho de la Casa - Museo León y Castillo","    Muebles. Mesa de escritorio","    Anónimo","    C. Fines del Siglo XIX, principios del Siglo XX"
"Silla de despacho de la Casa - Museo León y Castillo","    Muebles. Silla","    Anónimo","    C. Fines del Siglo XIX, principios del Siglo XX"
"Sillas de la Casa - Museo León y Castillo (6)","    Muebles. Silla","    Anónimo","    C. Fines del Siglo XIX, principios del Siglo XX"
"Espejos de la Casa Palacio Rodríguez Quegles (2)","    Muebles. Espejo","    Anónimo","    C. Primera década del siglo XX"
"Armario de la Casa Palacio Rodríguez Quegles","    Muebles. Armario","    Anónimo","    C. Primera década del siglo XX"
"Armario de la Casa Palacio Rodríguez Quegles","    Muebles. Armario","    Anónimo","    C. Primera década del siglo XX"
"Aparador de la Casa Palacio Rodríguez Quegles","    Muebles. Aparador","    Anónimo","    C. Primera década del siglo XX"
"Librería de la Casa Palacio Rodríguez Quegles","    Muebles. Librería","    Anónimo"," C. Primera década del Siglo XX"
"Consola del Salón Dorado de las Casas Consistoriales","    Muebles. Consola","    Anónimo"," C. Principios del siglo XX"
"Consola del Salón Dorado de las Casas Consistoriales","    Muebles. Consola","    Anónimo","    C. Principios del siglo XX"
"Armario - Vitrina antiguo despacho del Alcalde","    Muebles. Armario - Vitrina","    Anónimo","    C. Primera mitad del siglo XX"
"Armario - Vitrina antiguo despacho del Alcalde","    Muebles. Armario - Vitrina","    Anónimo","    C. Primera mitad del siglo XX"
"Lámpara del despacho antiguo despacho del Alcalde","    Muebles. Lampara","    Anónimo","    C. Primera mitad del siglo XX"
"Lámpara de pie del despacho  antiguo despacho del Alcalde","    Muebles. Lampara","    Anónimo","    C. Primera mitad del siglo XX"
"Mesa auxiliar  antiguo despacho del Alcalde","    Muebles. Mesa auxiliar","    Anónimo","    C. Primera mitad del siglo XX"
"Mesa de escritorio  antiguo despacho del Alcalde","    Muebles. Mesa de escritorio","    Anónimo","    C. Primera mitad siglo XX"
"Mesa antiguo despacho del Alcalde","    Muebles. Mesa","    Anónimo","    C. Primera mitad del siglo XX"
"Velador antiguo despacho del Alcalde","    Muebles. Velador","    Anónimo","    C. Primera mitad del siglo XX"
"Armario antiguo despacho del Alcalde","    Muebles. Armario","    Anónimo","    C. Primera mitad del siglo XX."
"Sillones (2)","    Muebles. Sillón","    Anónimo","    C. Primera mitad del siglo XX"
"Silla de cadera del despacho del Alcalde en la Ermita de Santa Catalina (2)","    Muebles. Silla","    Anónimo","    C. Primera mitad del siglo XX"
"Sillas de la Sala central de la Ermita de Santa Catalina (12)","    Muebles. Silla","    Anónimo","    C. Primera mitad del siglo XX"
"Sillón con cenefa dorada","    Muebles. Silla","    Anónimo","    C. Primera mitad del siglo XX"
"Velador con motivos florales","    Muebles. Velador","    Anónimo","    C. Primera mitad del siglo XX"
"Consola de madera tallada, de la Secretaría en las Casas Consistoriales","    Muebles. Consola","    Anónimo","    C. Primera mitad del siglo XX"
"Silla de cuero repujado, antiguo despacho del Alcalde","    Muebles. Silla","    Anónimo","    C. Primera mitad del siglo XX"
"Sofá","    Muebles. Sofá","    Anónimo","    C. Primera mitad del siglo XX"
"Bancos  (2)","    Muebles. Banco","    Anónimo","    C. Primera mitad del siglo XX"
"Sillón de cuero repujado, del despacho del Alcalde en la Ermita Santa Catalina","    Muebles. Sillón","    Anónimo","    C. Primera mitad del siglo XX."
"Cajonera - taquillón antiguo despacho del Alcalde","    Muebles. Cajonera - Taquillón","    Anónimo","    C. Primera mitad del siglo XX"
"Fuente del Museo de la Ciencia","    Mobiliario y aderezos urbanos. Fuente","    Anónimo","    C. 1999"
"Reloj de Sol del Parque Santa Catalina","    Mobiliario y Aderezos Urbanos. Reloj","    Pedro Romera","    C. 1999"
"Macetero de la escalera del Teatro Pérez Galdós (8)","    Artes Decorativas. Macetero","    Eduardo Gregorio","    1927"
"Bodegón de frutas. Techo del patio de butacas del Teatro Pérez Galdós","    Artes Plásticas. Pintura. Bodegón","    Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Bodegón de frutas.Techo del patio de butacas del Teatro Pérez Galdós","    Artes Plásticas. Pintura. Bodegón","    Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Bodegón de frutas.Techo del patio de butacas del Teatro Pérez Galdós","    Artes Plásticas. Pintura. Bodegón","    Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Bodegón de frutas.Techo del patio de butacas del Teatro Pérez Galdós","    Artes Plásticas. Pintura. Bodegón","    Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Bodegón de frutas.Techo del patio de butacas del Teatro Pérez Galdós","    Artes Plásticas. Pintura. Bodegón","    Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Bodegón de frutas. Techo del patio de butacas del Teatro Pérez Galdós","    Artes Plásticas. Pintura. Bodegón","    Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Bodegón de frutas.Techo del patio de butacas del Teatro Pérez Galdós","    Artes Plásticas. Pintura. Bodegón","    Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Bodegón de frutas. Techo del patio de butacas del Teatro Pérez Galdós","    Artes Plásticas. Pintura. Bodegón","    Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Vidriera del patio de butacas del Teatro Pérez Galdós","    Artes Decorativas. Vidriera","    Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Escudo de la Ciudad del Palco de la Alcaldía en el Teatro Pérez Galdós","    Artes Decorativas. Varios. Heráldica","    Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Lámpara de techo cilíndrica del Teatro Pérez Galdós (1)","    Artes Decorativas. Varios. Lámpara","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Lámparas de techo hexagonales del Teatro Pérez Galdós (5)","    Artes Decorativas. Varios. Lámpara","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Faroles del Teatro Pérez Galdós (10)","    Artes Decorativas. Varios. Farol","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Plafones octogonales del Teatro Pérez Galdós (4)","    Artes Decorativas. Varios. Plafón","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Plafones cuadrangulares del Teatro Pérez Galdós  (12)","    Artes Decorativas. Varios. Plafón","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Lámparas de techo octogonales del Teatro Pérez Galdós  (5)","    Artes Decorativas. Varios. Lámpara","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Faroles cuadrangulares del Teatro Pérez Galdós (22)","    Artes Decorativas. Varios. Farol","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Lámparas de techo del Teatro Pérez Galdós (7)","    Artes Decorativas. Varios. Lámpara","    Miguel Martín - Fernández de la Torre","    C.1925 - 1928"
"Apliques de pared octogonales del Teatro Pérez Galdós (2)","    Artes Decorativas. Varios. Aplique de pared","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Plafones octogonales del Teatro Pérez Galdós  (2)","    Artes Decorativas. Varios. Plafón","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Lámparas de techo poligonales del Teatro Pérez Galdós (3)","    Artes Decorativas. Varios. Lámpara","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Cenicero hexagonales del Teatro Pérez Galdós (29)","    Artes Decorativas. Varios. Cenicero","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Decoración de las puertas de acceso del Teatro Pérez Galdós (4)","    Artes Decorativas. Varios. Decoración puertas","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Sillas bajas de las plateas, palcos principales y anfiteatros del Teatro Pérez Galdós (254)","    Mueble","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Sillas altas de las plateas, palcos principales y anfiteatros del Teatro Pérez Galdós (141)","    Mueble","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Banquetas de las plateas, palcos principales y anfiteatros del Teatro Pérez Galdós (77)","    Mueble","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Taburetes de las plateas, palcos principales y anfiteatros del Teatro Pérez Galdós (94)","    Mueble","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Espejo de las plateas, palcos principales y anfiteatros del Teatro Pérez Galdós (56)","    Mueble","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Percheros de las plateas, palcos principales y anfiteatros del Teatro Pérez Galdós (56)","    Mueble","    Atribuido a Néstor Martín - Fernández de la Torre","    C.1925 - 1928"
"Los silencios del Gólgota","    Artes Plásticas. Pintura abstracta","    Manuel Rodríguez García","    2002"
"Dobla","    Artes Plásticas. Pintura abstracta","    Kristen Mosel","    2002"
"Sin Título, serie The Pillars","    Artes Plásticas. Pintura abstracta","    Paco Navarro Alemán","    2002"
"Monumento a José Comas Quesada","    Artes Plásticas. Monumento Conmemorativo","    Escultor: José Perera Valido. Fundidor: Antonio Correa Rijo","    C. 1995"
"Monumento al Capitán Etayo","    Artes Plásticas. Monumento Conmemorativo","    José de Armas Medina","    1993"
"Apliques de pared en hierro y latón sobredorado. Barbería Trujillo (2)","    Artes decorativas. Muebles. Lámpara","    Anónimo","    C. 1890"
"Espejo de barbería. Barbería Trujillo","    Muebles. Espejo","    Anónimo"," C. 1860 - 1870"
"Estante - mesa de barbería. Barbería Trujillo","    Muebles. Consola","    Anónimo","    C. 1870"
"Sillas Thonet. Barbería Trujillo (2)","    Muebles. Silla","    Anónimo","    C. 1870"
"Perchero de pared. Barbería Trujillo","    Muebles. Perchero","    Anónimo","    C. 1870"
"Silla de clientes. Barbería Trujillo","    Muebles. Sillón","    Anónimo","    C. 1850"
"Perchero de pared articulado. Barbería Trujillo","    Muebles. Perchero","    Anónimo","    C. 1850"
"Lámpara de techo. Barbería Trujillo","    Artes Decorativas. Lámpara","    Anónimo","    C. 1890"
"Sillón de barbería. Barbería Trujillo","    Muebles. Sillón","    Anónimo","    Sin fecha"
"Útiles de barbero. Barbería Trujillo (15)","    Artes Decorativas. Varios objetos","    Anónimo","    C. 1890"
"Monumento a Juan Bravo Murillo","    Artes Plásticas. Monumento Conmemorativo","    Ana Luisa Benítez","    C. 2002"
"Monumento a Luis Morote Greus","    Artes Plásticas. Monumento Conmemorativo","    Francisca Melián Chirino","    1994"
"San Miguel. Capilla del cementerio de Las Palmas","    Artes Plásticas. Pintura. Religiosa","    Anónimo","    C. Finales del siglo XVIII"
"Piano R. Marystany","    Muebles. Piano","    R. Marystany","    C. 1926"
"Cuadro de indulgencias. Capilla del Cementerio de Las Palmas","    Artes Plásticas. Pintura. Religiosa","    Anónimo","    C. Segundo cuarto del siglo XIX"
"Cristo de la Vera Cruz","    Artes Plásticas. Esculturas y maquetas escultóricas. Religiosa","    José Luján Pérez"," C. 1787 - 1813"
"Placa conmemorativa a Isabel II","    Mobiliario y Aderezos Urbanos. Placas conmemorativas","    Anónimo","    1858"
"Lápida conmemorativa a Sor Brígida Castelló","    Mobiliario y Aderezos Urbanos. Placas conmemorativas","    Anónimo","    C. 1913"
"Placa conmemorativa a Miguel y Rafael Martín - Fernández de la Torre","    Mobiliario y Aderezos Urbanos. Placas conmemorativas","    Anónimo","    1981"
"Lápida Conmemorativa al Doctor Chil","    Mobiliario y Aderezos Urbanos. Placas conmemorativas","    Anónimo","    C. 1902"
"Decoración del Monumento y cripta de los caídos en el Cementerio de Las Palmas","    Artes Plásticas. Monumento conmemorativo","    Arquitecto Municipal Fernando Delgado","    C. 1944"
"Trono de la Vera Cruz","    Artes Decorativas. Varios","    Diseñado por Antonio Doreste (aparejador del Ayuntamiento de Las Palmas de Gran Canaria y artista dibujante) con el asesoramiento de Agustín Manrique de Lara (Concejal del Ayuntamiento) y Jesús Arencibia.","    C. 1944 - 1945."
"Enseres de la Vera Cruz (22)","    Artes Decorativas. Varios","    Anónimo","    Cronología imprecisa"
"Testamento de Don Cristóbal del Castillo y Manrique de Lara","    Documentos y libros. Documentos. Testamento.","    Don Cristóbal del Castillo y Manrique de Lara","    C. 1910"
"Libro Rojo de Gran Canaria. Libro de Privilegios o Gran Libro de Provisiones y Reales Cédulas","    Documentos y libros. Libros","    Escribano público y del Cabildo Alonso de Balboa","    C. 1580 - 1583."
"Monumento funerario a Matías Padrón y Fernández","    Artes Plásticas. Monumento Conmemorativo","    Anónimo","    C. 1875"
"Sin título (La Procesión)","    Artes Plásticas. Pintura abstracta","    Manolo Millares","    C. Primera mitad década de 1960 del siglo XX"
"Despojo abisal","    Artes Plásticas. Pintura abstracta","     Manolo Millares","    1967"
"Sin título","    Artes Plásticas. Pintura abstracta","    Manolo Millares","    1961"
"Sin título","    Artes Plásticas. Pintura abstracta","    Manolo Millares","    1968"
"Sin título","    Artes Plásticas. Pintura abstracta","    Manolo Millares","    1965"
"Sin título","    Artes Plásticas. Pintura abstracta","    Manolo Millares","    1971"
"Sin título","    Artes Plásticas. Pintura abstracta","    Manolo Millares","    1965"
"Sin título","    Artes Plásticas. Pintura abstracta","    Manolo Millares","    1965"
"Asunción (Estudio para Petrarca)","    Artes Plásticas. Pinturas. Vista urbana","    Ubay Murillo García","    2003"
"Two Players","    Artes Plásticas. Pinturas. Paisaje","    Alby Álamo Santana","    2003"
"Sin título","    Artes Plásticas. Pinturas. Alegórica","    Margo Delgado Sánchez","    1995"
"Cartel del carnaval 2003","    Artes Plásticas. Pinturas.","    Miguel Panadero Escala","    2002"
"Cartel del carnaval 2004","    Artes Plásticas. Pinturas. Abstracta","    Lola Massieu","    2003"
"Themis en el Jardín de las Hespérides","    Artes Plásticas. Escultura. Alegórica","    Leopoldo Emperador","    C. 2002"
"Niños jugando con agua","    Artes Plásticas. Escultura.","    Ana Luisa Benítez","    C. 2002"
"Monumento a Santiago García Díaz ""Charlot""","    Artes Plásticas. Escultura Conmemorativa","    Manuel González","  "
"El pescador","    Artes Plásticas. Escultura Conmemorativa","    Sebastián M. Navarro Betancor","    2002"
"Los Nadadores, Homenaje a la Travesía ""Peña la Vieja""","     Artes Plásticas. Escultura Conmemorativa","    Miguel Panadero Escala","    2003"
"Homenaje a Néstor Álamo","    Artes Plásticas. Escultura Conmemorativa","    Ana Luisa Benítez","    2003"
"Benito Pérez Galdós","    Artes Plásticas. Escultura Conmemorativa","    Ana Luisa Benítez","    2003"
