CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"perez galdos entre buenos aires y bravo murillo y carril izqui. Bravo murillo","18/05/2015","24 horas","01/06/2015"
"galicia ( entre menendez y pelayo y pi y margal )","17/05/2015","8/20","17/05/2015"
"saucillo entre lujan perz e ines chemida 39","18/05/2015","8 a 12",""
"pintor pepe damaso entre pintor jorge oramas y lucy cabrera suarez","18/05/2015","8 a 12","22/05/2015"
"anzofe entre benecharo y artemi semidan","20/05/2015","",""
"JUAN SANCHEZ SANCHEZ  10","25/05/2015","8-20",""
"BABOR 6","26/05/2015","8-20",""
"DEMETRIA 36","25/05/2015","8-20",""
"EL CID 25-27","26/05/2015","8-20",""
"pio coronado entre zaragoza y jacinto 34-40","25/05/2015","normal","29/05/2015"
"tajinaste entre hercules-centauro","26/05/2015","8 a 20","27/05/2015"
"avd. jose mesa y lopez 40 carril bus","07/06/2015","8 a 20","07/06/2015"
"colmbia esq. Pelayo","03/06/2015","8/20","04/06/2015"
"castillejo entre 98/104","09/06/2015","8/20","10/06/2015"
"lopez socas ( entre agustin millares sall y  juan rejon)","13/06/2015","8/12",""
"olof palme( entre secretario padilla y portugal)","08/06/2015","8/12",""
"artemi semidan entre osorio y gayedra 78","10/06/2015","9 a 13","10/06/2015"
"paseo cayelata de lugo(parada de furgones) del 9 al 15","13/06/2015","",""
"los martinez de escobar, 46-48","16/06/2015","14,30/18,30",""
"el cid 25, fernardo guanarteme","30/06/2015","8/20","01/07/2015"
"domingo j. navarro ( entre 1 de mayo y juna de padilla)","22/06/2015","24","25/06/2015"
"mari sanchez, 15 (entre Egido y el paseo)","22/06/2015","9-13",""
"gordillo 30","25/06/2015","8/12","25/06/2015"
"anzofe ( entre benecharo y artemi semidan)","29/06/2015","9/13",""
"americo vespucio( entre egido y mari sanchez","30/06/2015","14/18","30/06/2015"
"DR. VERNEAU, 1","04/07/2015","8-12",""
"carretera general de tamareceite 98","06/07/2015","01:00/04:00","07/07/2015"
"29 de abril, 57 (entre Luis Morote y ripoche)","09/07/2015","8:30-12:30",""
"1º la naval ( entre benartemi y atindana 2º andamana ( entre anzofe y la naval)","09/07/2015","24",""
"tauro (( entre artemi semeidan y benecharo)","10/07/2015","9/13",""
"emilio zola 20","15/07/2015","9/13","15/07/2015"
"HOYA LA PLATA ENTRE MORENA Y SALEMA","08/07/2015","8 HORAS DIARIAS",""
"emimilio zola  16","16/07/2015","variado",""
"TEMISAS ( ENTRE ATINDANA Y ANDAMANA)11","21/07/2015","8/12",""
"guajedra  30-46","23/07/2015","8-14","23/07/2015"
"CAYETANA MANRIQUE 34","01/08/2015","16:00/20:00",""
"tauro, 49","28/07/2015","",""
"paseo de las canteras, entre pizarro y california","30/07/2015","8-19",""
"clemente jordan 3","29/07/2015","09 a 13","29/07/2015"
"guayedra entre benecharo y artemi semidan","30/07/2015","8 a 14","30/07/2015"
"general vives 62","29/07/2015","8-20","30/07/2015"
"los martinrz de escobar  3","29/07/2015","8-20","30/07/2015"
"faycanes 12/14","03/08/2015","8/12","03/08/2015"
"el cid entre fernando guanarteme t republica dominicana","04/08/2015","8-20",""
"tecen( entre gordillo y perez muñoz)","05/08/2015","",""
"Velarde 4/6","07/08/2015","8/12",""
"PARROCO FRANCISCO RODRIGUEZ  ENTRE SIMANCAS Y CASTILLEJOS  43","07/08/2015","8-12","07/08/2015"
"republica dominicana  21","11/08/2015","8-20","12/08/2015"
"viriato  9","11/08/2015","8-20",""
"plaza manuel becerra","09/08/2015","22-6,00",""
"PASION  24","12/08/2015","9-13",""
"graciliano afonso  7","13/08/2015","22-02","13/08/2015"
"velarde con fernando guanarteme y 2º fdo guanarteme con velarde","17/08/2015","8-20",""
"concejal garcia feo 2º luis benitez inglott","13/08/2015","24",""
"doctor domingo deniz, 3","18/08/2015","9-13",""
"galicia con barcelona y galicia con victor hugo","23/08/2015","8-18","23/08/2015"
"faro a la altura de la calle bentayga  71","22/08/2015","8-20",""
"presidente alvear  entre avda mesa y lopez y nestor de la torre 13","15/08/2015","8-20",""
"carvajal entre suarez naranjo y matias padron 55","17/08/2015","08 a 12","18/08/2015"
"aguadulce entre molino de viento y leon y castillo  17-19","20/08/2015","9-13",""
"carretera a tafira miguel angel y san agustin","26/08/2015","24",""
"carretera a tafira  entre camino los perez y la tornera","26/08/2015","24",""
"Cirilo Moreno, 52","27/08/2015","8-20",""
"uruguay, 15","27/08/2015","8-12","27/08/2015"
"tauro entre artemi semidan y benecharo","27/08/2015","",""
"parroco francisco rodriguez, 45","28/08/2015","",""
"luis dorestes silva  2","29/08/2015","8-14",""
"general vives entre nicolas estevanez y ripoche  76-78","29/08/2015","7-10",""
"san valentin  6","03/09/2015","8-20",""
"senador castillo olivares con paseo de tomas morales","27/08/2015","8-20",""
"doctor juan de padilla  52","31/08/2015","",""
"garcia morato","26/09/2015","7 a 15","28/09/2015"
"pelayo entre fernando guanarteme y venezuela","19/09/2015","9 a 13","19/09/2015"
"leon y casillo ( perpetuo socorro ) 407","19/09/2015","8/12","19/09/2015"
"cirilo moreno ( entre presidente alvear y leon y castillo)","19/09/2015","12/16","19/09/2015"
"lopez socas / ( entre juan rejon y poeta agustin millares sall)","20/09/2015","8/12",""
" guanchia 3","21/09/2015","8/20","22/09/2015"
"PASCAL 10","23/09/2015","NORMAL","26/09/2015"
"el cid","29/09/2015","08:30/12;30","29/09/2015"
"general vives entre alfredo l. jones y luis morote","28/09/2015","9 a 13","02/10/2015"
"dolores de la rocha ( entre juan e doreste y domingo doreste)","30/09/2015","9/13","30/09/2015"
"ruiz de alda, 36","02/10/2015","15-19","02/10/2015"
"Albert einstein, 30","05/10/2015","8-12","05/10/2015"
"sdagasta 1º  entre alfredo l. jones y padre cueto 2º padre cueto y salvador cuyas 3 º salvador cuyas y gomera 3","","9/13","23/10/2015"
"cayetana manrique 13","17/10/2015","8-20","18/10/2015"
"TARTANA  3","10/10/2015","9-13","10/10/2015"
"ACCESO PAMOCHAMOSO POR LEON Y CASTILLO","06/10/2015","8-20",""
"ALONSO JAIMEZ DE SOTOMAYOR A LA ALTURA DE ORTIZ DE ZARATE","13/10/2015","8-20",""
"GARCIA MORATO  36","08/10/2015","8-20",""
"doctor domingo deniz 3","14/10/2015","9 a 13",""
"hoya de la gallina entre pintor felo monzon y fondos del segura","15/10/2015","23-3,00",""
"pajonales entre egido y alonso de ojeda","20/10/2015","9-13",""
"gordillo31","21/10/2015","9-13",""
"alfredo l. jones  26","24/10/2015","8-20",""
"GRACILIANO AFONSO 7","24/10/2015","9-13",""
"fernando de prado, 9","30/10/2015","8-18","30/10/2015"
"el callao entre fernando guanarteme y repl. Dominicana","03/11/2015"," 9 a 13","03/11/2015"
"portugal 13","05/10/2015","9 a 13",""
"kant esquina portugal 13","06/11/2015","9 a 13",""
"doctor chil(entre reyes catolicos y san marcos)","07/11/2015","8-12",""
"domingo j. navarro, 30","10/11/2015","",""
"VALENCIA ENTRE ITALIA Y BLASCO  IBAÑEZ  26","13/11/2015","8-12",""
"tajaste ( a la altura de adargoma ) 24","16/11/2015","09:00/13:00",""
"matias padron 20","16/11/2015","8/20","17/11/2015"
"nicolaz estevanez ( entre doctor miguel rosas y tomas miller )","19/11/2015","9:00/13:00",""
"uruguay esquina montevideo","23/11/2015","8/20","24/11/2015"
"doctor juan de padilla 52","19/11/2015","08:30/12:30",""
"siloe  6","21/11/2015","9-13",""
"molino de viento a la altura  108","25/11/2015","14,30-18,30",""
"pedro ceron 2","23/11/2015","8-20",""
"AGUADULCE ENTRE MOLINO DE VIENTO Y LEON Y CASTILLO","26/11/2015","9 A 13",""
"rosarito y poeta agustin millares sall y juan rejon","28/11/2015","8 a 12","05/12/2015"
"oloof palme entre juan manuel duran y mesa y lopez","28/11/2015","8 a 20","29/11/2015"
"galileo 53","25/11/2015","8 a 20","27/11/2015"
"JAIME BALMES 8","02/12/2015","10 A 14","04/12/2015"
"colombia 17","03/12/2015","8 a 20","04/12/2015"
"herreria 1 con san marcial  5","10/12/2015","08 a 18",""
"doctor juan de padilla altura domingo j. navarro 43","08/12/2015","8 a 12","08/12/2015"
"escama 27","14/12/2015","8-20",""
"rosarito  entre lopez socas y mahon","11/12/2015","8-12",""
"doctor grau bassas, 38","12/12/2015","",""
"emilio zolz  5 al 11","23/12/2015","9-13",""
"doctor juan de padilla nº17","22/12/2015","",""
"americo vepucio ( entre egido y mari sanchez)","28/12/2015","8/20",""
"lujan perez, 56","09/01/2016","",""
"la pelota entre mendizabal y andres deniz el raton","02/01/2016","8 a 12",""
"kant con portugal 13","13/01/2016","9-13",""
"GRAU BASSAS, ENTRE FRANCHY ROCA Y LOS MASTINES DE ESCOBAR","16/01/2016","8-12","17/01/2016"
"dolores de la rocha entre domingo doreste y juan e doreste","19/01/2016","",""
"gordillo ( entre anzofe y faro ) 31","20/01/2016","9/13",""
"santiago ruiseñor 10","27/01/2016","9/1","28/01/2016"
"alfred eistein 29/30","23/01/2016","9/13","23/01/2016"
"luis morote entre 29 de abril y bernardo de la torre","21/01/2016","22:00 a 04:00",""
"alcalde franciscohernandez onzalez 10 ( entre juan e, doreste y domingo doreste)","26/01/2016","15:00/19:00","26/01/2016"
"sagasta ( entre padre cueto y pedro del castillo westenlinng)","25/01/2016","8/12",""
"acceso al parque de los galgos por obispo romo","25/01/2016","8/20","26/01/2016"
"nicolas estevanez, entre tomas miller y dr. Miguel rosas","02/02/2016","8-12","02/02/2016"
"eufemieno jurado, a la altura de los nuevos juzgados","30/01/2016","24","31/01/2016"
"luis benitez inglott, entre 30-32","13/02/2016","8/20","13/02/2016"
"parroco francisco rodriguez rodriguez 4","10/02/2016","8/12",""
"Transversal a paseo de los martires , S/N","15/02/2016","24","19/02/2016"
"segovia 20","17/02/2016","normal","19/02/2016"
"pedro del castillo wesaterling entre eduardo benot y albareda","23/02/2016","8 a 20","25/02/2016"
"musico rafeal jaimez 15","15/02/2016","normal","17/02/2016"
"la naval entre faro y lujan perez 25","27/02/2016","8 a 20","27/02/2016"
"faro 131","02/03/2016","8 a 20","03/03/2016"
"gordillo entre fontanales y perchel 59","29/02/2016","normal","02/03/2016"
"alcalde fco hernandez gonzalez entre domingo doreste y juan e. doreste","13/02/2016","",""
"dolores de la rocha 5","20/02/2016","8/12",""
"gordillo, entre pinzones y bentaguayre  n 79","29/02/2016","08 a 18","02/03/2016"
"arocha 10","19/02/2016","9/13",""
"eufemiano jurado 27/ 29","29/02/2016","10/14","01/03/2016"
"luis de la cruz 6","02/03/2016","normal","03/03/2016"
"luis de la cruz 6","02/03/2016","110/14","03/03/2016"
"bernardo de la torre 33","05/03/2016","10/14","05/03/2016"
"urbanizacion copherrfan ( lateral ies miller )","02/03/2016","16:00/ 20:00","02/03/2016"
"montevideo ( entre presidente alvear y general vives)","26/02/2016","8",""
"luis antunez 4 /6","27/02/2016","9/13",""
"laeon y castillo ( clinuca perpetuo socorro)","27/02/2016","8/18",""
"cirilo moreno  ( entre leon y castillo y presiddente alvear)","27/02/2016","12/16",""
"jaime balmes, 8","10/03/2016","",""
"secretario padilla 59","14/03/2016","8/20","15/03/2016"
"ALMANSA 11","16/03/2016","8 A 20","17/03/2016"
"juan e. doreste, 9","12/03/2016","8-12","12/03/2016"
"rosarito 1","14/03/2016","8 a 12",""
"italia 54-56","11/03/2016","","10/03/2017"
"REAL DEL CASTILLO 55","19/03/2016","8 A 20","19/03/2016"
"caracas 9","19/03/2016","",""
"obispo tavira ( entre francisco de torquemada y pedro de burgos)","21/03/2016","08;30/12:30",""
"tinguaro 25","30/03/2016","8/20","31/03/2016"
"huelva 28","29/03/2016","09,45 a 13,45",""
"real del castillo, 90","30/03/2016","9-13",""
"palmar  96 entre tirma y benartemi","09/04/2016","08 a 12",""
