Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
18/03/2014,CHURRIANA,CHURRIANA,PL INMACULADA Nr: 11,Actuación Programada,Junta Municipal Distrito - OMA,Desratización,Ratones;Ratas
19/03/2014,BAILEN-MIRAFLORES,FLORISOL,PL LUIS CERNUDA Nr: 1,Actuación Programada,Colégio Público,Desratización,Ratas
19/03/2014,CARRETERA DE CADIZ,HUELIN,CL TOMAS ECHEVERRIA Nr: 4,Actuación Programada,Colégio Público,Desratización,Ratas
19/03/2014,CARRETERA DE CADIZ,JARDIN DE LA ABADIA,CL HEROE DE SOSTOA Nr: 49,Actuación Programada,Colégio Público,Desratización,Ratas
19/03/2014,CARRETERA DE CADIZ,SAN CARLOS CONDOTE,CL BOCANEGRA Nr: 3,Actuación Programada,Colégio Público,Desratización,Ratas
19/03/2014,CARRETERA DE CADIZ,VISTAFRANCA,CL CAYETANO DE CABRA Nr: 7,Actuación Programada,Colégio Público,Desratización,Ratas
19/03/2014,CARRETERA DE CADIZ,LOS GUINDOS,CMNO TERMICA DE LA Nr: 21,Actuación Programada,Colégio Público,Desratización,Ratas
19/03/2014,CARRETERA DE CADIZ,GUADALJAIRE,AV VIRGEN DE BELEN Nr: 7,Actuación Programada,Colégio Público,Desratización,Ratas
19/03/2014,CENTRO,CENTRO HISTORICO,PL ADUANA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
19/03/2014,CENTRO,LA MALAGUETA,CL ARENAL Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
19/03/2014,CENTRO,LA CALETA,CL KEROMNES Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
19/03/2014,ESTE,EL CANDADO,CL CANTERA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
19/03/2014,ESTE,FINCA EL CANDADO,CMNO VIEJO DE VELEZ Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
19/03/2014,CHURRIANA,EL CUARTON,CMNO RETIRO DEL Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
19/03/2014,CHURRIANA,LOS JAZMINES,CL AVISADOR MALAGUEÑO Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
19/03/2014,CHURRIANA,SAN JERONIMO,CL AURELIANO BUENDIA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
19/03/2014,CHURRIANA,CAÑADA DE CEUTA,CL SOFIA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
19/03/2014,CHURRIANA,LA TOSCA,CL NIJAR Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
19/03/2014,CHURRIANA,LOS ROSALES,CL ESCRITORA BLANCA DE LOS RIOS Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
19/03/2014,PALMA-PALMILLA,LA ROSALEDA,AV PALMILLA Nr: 14,Linea 900,Servicios Operativos,Desratización,Ratones
19/03/2014,PALMA-PALMILLA,LA ROCA,CL POETA JOSE ORTIZ RODRIGUEZ Nr: 1,Linea 900,Vía Pública,Desratización,Ratas
19/03/2014,CIUDAD JARDIN,CIUDAD JARDIN,AV SANTIAGO RAMON Y CAJAL Nr: 98,Linea 900,Vía Pública,Desratización,Ratones;Ratas
19/03/2014,CRUZ DE HUMILLADERO,POL ALAMEDA,AV AURORA Nr: 52,Linea 900,Privado,Control de Palomas,Paloma
19/03/2014,CENTRO,PERCHEL SUR,CL CUARTELES Nr: 40,Linea 900,Privado,Control de Gaviotas,Gaviota
19/03/2014,BAILEN-MIRAFLORES,LA ENCARNACION,CL ENCARNACION FONTIVEROS Nr: 4,Linea 900,Colégio Público,INSPECCIÓN,Procesionaria
19/03/2014,ESTE,PEDREGALEJO,CL CONCEJAL MATIAS ABELA Nr: 4,Linea 900,Privado,Control de Gaviotas,Gaviota
19/03/2014,CENTRO,SEGALERVA,CL PASCUAL GAYANGOS Nr: 1,ALTA DE OFICIO,Vía Pública,Desinsectación;Desratización,Cucarachas;Ratas
20/03/2014,CENTRO,CENTRO HISTORICO,CL ATARAZANAS Nr: 8,Actuación Programada,Mercado Municipal,Desratización,Ratas
20/03/2014,CHURRIANA,CORTIJO DE MAZA,CL DINAMARCA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
20/03/2014,CHURRIANA,WITTEMBERG,CL DIPUTADO IGNACIO HUELIN Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
