FID,residuo,recogida,volumen,cantidad,fecha,tooltip,geometry
da_industria.fid--295bdb9_15f5b982349_-1aec,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-16T06:59:31.667,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366772.0989936602 4067245.332499655)
da_industria.fid--295bdb9_15f5b982349_-1aeb,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-16T07:02:05.127,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366932.04601219064 4067293.10627679)
da_industria.fid--295bdb9_15f5b982349_-1aea,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-16T07:06:57.203,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366837.9250596133 4067544.1044126754)
da_industria.fid--295bdb9_15f5b982349_-1ae9,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-16T07:14:22.03,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366614.90991076746 4067938.591261867)
da_industria.fid--295bdb9_15f5b982349_-1ae8,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-16T07:16:18.65,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366510.3237200163 4067773.340673993)
da_industria.fid--295bdb9_15f5b982349_-1ae7,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-16T07:19:09.333,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366626.2741322981 4067634.5751471166)
da_industria.fid--295bdb9_15f5b982349_-1ae6,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-16T07:22:04.767,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366426.3237723008 4067272.134468574)
da_industria.fid--295bdb9_15f5b982349_-1ae5,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-16T07:25:09.747,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (366399.64220317604 4066854.2008321797)
da_industria.fid--295bdb9_15f5b982349_-1ae4,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:22:30.543,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367891.6441267297 4063989.939251302)
da_industria.fid--295bdb9_15f5b982349_-1ae3,INDUSTRIA,CARGA TRASERA,5000,1,2017-02-02T08:25:25.657,Contenedor de INDUSTRIA de tipo CARGA TRASERA,POINT (367882.3838867001 4064051.728911346)
