FID,serial,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,domicilio,tipo
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66c5,4755,POINT (370417.36135176895 4063753.754194923),,,,,,,-1,-1,-1,0,,Av. Ortega y Gasset_ 70,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66c6,4756,POINT (378508.95689048775 4064794.1415946395),,,,,,,-1,-1,-1,0,,Av. J. Sebastián Elcano_ 182,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66c7,4757,POINT (378114.62201786786 4064923.6446629157),,,,,,,-1,-1,-1,0,,Av Juan Sebastian Elcano_145,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66c8,4758,POINT (377010.8392877654 4064889.4287592005),,,,,,,-1,-1,-1,0,,C/ Bolivia_  71-73,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66c9,4759,POINT (370592.917969113 4062379.0660751583),,,,,,,-1,-1,-1,0,,C/ Gaucín_ 6,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66ca,4760,POINT (371736.5035363422 4065127.356581151),,,,,,,-1,-1,-1,0,,Avd. San Sebastián_ 6,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66cb,4761,POINT (378894.3559376198 4064725.8520191885),,,,,,,-1,-1,-1,0,,Crta. De Almería_ 42,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66cc,4762,POINT (371329.43537004356 4062922.095919439),,,,,,,-1,-1,-1,0,,C/ Spiteri_ 2,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66cd,4763,POINT (373014.41107911733 4066450.927357506),,,,,,,-1,-1,-1,0,,C/ Obispo Bartolomé Espejo_  3,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66ce,4764,POINT (370156.85985560226 4061649.8703119024),,,,,,,-1,-1,-1,0,,Av. Viña del Mar_ 3,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66cf,4765,POINT (371151.8314311269 4065121.886923858),,,,,,,-1,-1,-1,0,,C/ Magistrado Salvador Barberá_ 1,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66d0,4766,POINT (372242.632196752 4065347.6036550133),,,,,,,-1,-1,-1,0,,Avd. Barcelona_ 36,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66d1,4767,POINT (372741.67172649235 4064382.0636257627),,,,,,,-1,-1,-1,0,,Alameda de Colon_ 1,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66d2,4768,POINT (373663.58794145216 4065961.411687735),,,,,,,-1,-1,-1,0,,C/ Cristo de la Epidemia 68,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66d3,4769,POINT (371198.84613591747 4063779.8618581137),,,,,,,-1,-1,-1,0,,C/ Alfambra_ 7,1
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66d4,4770,POINT (372785.82397201995 4064451.881148031),,,,,,,-1,-1,-1,0,,Alameda Principal (Junto puestos de flores),2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66d5,4771,POINT (371516.0633917308 4065916.7408998827),,,,,,,-1,-1,-1,0,,Av Nuestra Sra. de los Clarines_ 10,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66d6,4772,POINT (373092.7665785062 4066020.1487939605),,,,,,,-1,-1,-1,0,,Alameda de Barceló_ 3,3
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66d7,4773,POINT (369451.9543318327 4062021.163441508),,,,,,,-1,-1,-1,0,,C/ Hermanos Lumiere_ 2 (Glorieta Santa Bárbara),2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66d8,4774,POINT (373130.5866536581 4068166.260922899),,,,,,,-1,-1,-1,0,,C/ Borde Alegre_ 1,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66d9,4775,POINT (374096.8334139242 4064511.5585773173),,,,,,,-1,-1,-1,0,,Paseo Maritimo Ciudad de Melilla,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66da,4776,POINT (372231.06654752017 4064585.280300459),,,,,,,-1,-1,-1,0,,C/ Hilera_ 7,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66db,4777,POINT (372166.7896630002 4065757.896325528),,,,,,,-1,-1,-1,0,,Av. Arroyo de los Angeles_ 54,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66dc,4778,POINT (370002.39264799224 4063099.864121706),,,,,,,-1,-1,-1,0,,Av. Nehemias_ 1,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66dd,4779,POINT (373003.33658815565 4067053.9486172344),,,,,,,-1,-1,-1,0,,C/ Maria Tubau_ 16,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66de,4780,POINT (370215.9794191087 4061160.4434429226),,,,,,,-1,-1,-1,0,,Camino del Pato_ 40,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66df,4781,POINT (374323.4931052133 4064843.6682212474),,,,,,,-1,-1,-1,0,,Paseo de Reding_ 26,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66e0,4782,POINT (372600.8186260062 4064254.194972612),,,,,,,-1,-1,-1,0,,C/ Cuarteles_2,2
da_puntosVentaEMT.fid--7b4b556b_15ed01ee0d9_66e1,4783,POINT (370340.34450790315 4062639.157834357),,,,,,,-1,-1,-1,0,,Av. de Europa_ 60,2
