ID;MARCA;MODELO;FABRICANTE;DESCRICION;NIVEL;FECHA_TOMA_DATO
1;Cesva;LRF-04;CESVA;Limitadores;80.4;12-MAR-11 12.01.38,161864 PM
1;Cesva;LRF-04;CESVA;Limitadores;85.3;12-MAR-11 12.01.38,173537 PM
1;Cesva;LRF-04;CESVA;Limitadores;86.4;12-MAR-11 12.01.38,181256 PM
1;Cesva;LRF-04;CESVA;Limitadores;91;13-MAR-11 05.00.54,168365 PM
1;Cesva;LRF-04;CESVA;Limitadores;51.1;13-MAR-11 05.00.54,187449 PM
1;Cesva;LRF-04;CESVA;Limitadores;96.8;13-MAR-11 05.00.54,373290 PM
1;Cesva;LRF-04;CESVA;Limitadores;94.7;13-MAR-11 05.00.54,378646 PM
1;Cesva;LRF-04;CESVA;Limitadores;94.5;13-MAR-11 05.00.54,382854 PM
1;Cesva;LRF-04;CESVA;Limitadores;93.3;13-MAR-11 05.00.54,389327 PM
1;Cesva;LRF-04;CESVA;Limitadores;84.4;14-MAR-11 05.00.47,199742 PM
1;Cesva;LRF-04;CESVA;Limitadores;60.3;14-MAR-11 05.00.47,231655 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.7;14-MAR-11 05.00.47,369082 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.7;14-MAR-11 05.00.47,373960 PM
1;Cesva;LRF-04;CESVA;Limitadores;98.4;14-MAR-11 05.00.47,379707 PM
1;Cesva;LRF-04;CESVA;Limitadores;97.9;14-MAR-11 05.00.47,384724 PM
1;Cesva;LRF-04;CESVA;Limitadores;80.6;15-MAR-11 05.02.01,686135 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.9;15-MAR-11 05.02.01,695125 AM
1;Cesva;LRF-04;CESVA;Limitadores;51;15-MAR-11 05.02.01,704799 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.1;15-MAR-11 05.02.01,737695 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.8;15-MAR-11 05.02.01,896179 AM
1;Cesva;LRF-04;CESVA;Limitadores;51.8;15-MAR-11 05.02.01,901931 AM
1;Cesva;LRF-04;CESVA;Limitadores;88.8;15-MAR-11 05.02.01,909198 AM
1;Cesva;LRF-04;CESVA;Limitadores;89.5;15-MAR-11 05.02.01,922399 AM
1;Cesva;LRF-04;CESVA;Limitadores;82.1;16-MAR-11 05.00.53,664297 AM
1;Cesva;LRF-04;CESVA;Limitadores;57.8;16-MAR-11 05.00.53,700614 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.7;16-MAR-11 05.00.53,705771 AM
1;Cesva;LRF-04;CESVA;Limitadores;53;16-MAR-11 05.00.53,711231 AM
1;Cesva;LRF-04;CESVA;Limitadores;74.4;16-MAR-11 05.00.53,811174 AM
1;Cesva;LRF-04;CESVA;Limitadores;80.8;16-MAR-11 05.00.53,816333 AM
1;Cesva;LRF-04;CESVA;Limitadores;79.4;16-MAR-11 05.00.53,821733 AM
1;Cesva;LRF-04;CESVA;Limitadores;76.5;17-MAR-11 05.00.44,125193 AM
1;Cesva;LRF-04;CESVA;Limitadores;57.2;17-MAR-11 05.00.44,159753 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.4;17-MAR-11 05.00.44,168227 AM
1;Cesva;LRF-04;CESVA;Limitadores;50.7;17-MAR-11 05.00.44,173198 AM
1;Cesva;LRF-04;CESVA;Limitadores;77.4;17-MAR-11 05.00.44,324974 AM
1;Cesva;LRF-04;CESVA;Limitadores;82.9;17-MAR-11 05.00.44,330180 AM
1;Cesva;LRF-04;CESVA;Limitadores;84;17-MAR-11 05.00.44,335597 AM
