Fecha de la Visita,Distrito,Barrio,Dirección,Origen Petición,Área Actuación,Servicios Aplicados,Vectores Tratados
06/09/2017,BAILEN-MIRAFLORES,PAVERO,CL GENOVESES Nr: 1,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,BAILEN-MIRAFLORES,NUEVA MALAGA,CL JUAN CORTES CORTES Nr: 1,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,BAILEN-MIRAFLORES,LA TRINIDAD,CL DIEGO DE VERGARA Nr: 10,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CIUDAD JARDIN,FINCA LA CONCEPCION,CMNO JARDIN BOTANICO DEL Nr: 3,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CRUZ DE HUMILLADERO,POL ALAMEDA,CL ESPERANTO Nr: 1,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CRUZ DE HUMILLADERO,CARRANQUE,CL VIRGEN DE LOS DOLORES Nr: 23,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CENTRO,OLLETAS,CMNO COLMENAR Nr: 3,GECOR,Vía Pública,Desinsectación,Cucarachas
06/09/2017,CARRETERA DE CADIZ,PUERTA BLANCA,CL LUIS ARMIÑAN PEREZ Nr: 6,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CARRETERA DE CADIZ,POL COM VALDICIO,CL GREGORIO ALLEGRI Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,CARRETERA DE CADIZ,MALAGA 2000,CL MONTEJAQUE Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,CARRETERA DE CADIZ,GUADALJAIRE,CL JUAN MARTINEZ MONTAÑES Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,CARRETERA DE CADIZ,SANTA PAULA,PL VALENTIN ORTIGOSA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,CARRETERA DE CADIZ,POL IND LOS GUINDOS,CL NERVA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,TEATINOS-UNIVERSIDAD,HACIENDA CAPITAN,CRIL CAPITAN DEL Nr: 6,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,TEATINOS-UNIVERSIDAD,LAS MORILLAS,CL JUAN DE ROBLES Nr: 32,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,BAILEN-MIRAFLORES,PARQUE VICTORIA EUGENIA,CL BARCA Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
06/09/2017,BAILEN-MIRAFLORES,LA ENCARNACION,CL ENCARNACION FONTIVEROS Nr: 2,Actuación Programada,Colégio Público,Desratización,Ratas
06/09/2017,CARRETERA DE CADIZ,ARDIRA,CL COCHERITO Nr: 5,Actuación Programada,Colégio Público,Desratización,Ratas
06/09/2017,CRUZ DE HUMILLADERO,PORTADA ALTA,CL BISBITA Nr: 10,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CIUDAD JARDIN,SAN JOSE,CL PAPIRO Nr: 13,GECOR,Vía Pública,Desinsectación;Desratización,Garrapatas;Ratas
06/09/2017,CARRETERA DE CADIZ,SANTA PAULA,PL VALENTIN ORTIGOSA Nr: 1,CORREO ELECTRÓNICO,Vía Pública,Desratización,Ratas
06/09/2017,CARRETERA DE CADIZ,VIRGEN DE BELEN,PJE VIRGEN DE BELEN Nr: 1,GECOR,Vía Pública,Desratización,Ratas
06/09/2017,CAMPANILLAS,SANTA ROSALIA,CL AZAHAR Nr: 1,Actuación Programada,Vía Pública,Desinsectación,Mosquitos
07/09/2017,CARRETERA DE CADIZ,POL IND HAZA DE LA CRUZ,Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
07/09/2017,CENTRO,LA CALETA,PSO MARITIMO PABLO RUIZ PICASSO Nr: 13,Servicios operativos,Vía Pública,Desratización,Ratas
07/09/2017,CARRETERA DE CADIZ,PUERTA BLANCA,CL NUESTRA SEÑORA DE LAS CANDELAS Nr: 34,Ciudadano,Vía Pública,Desinsectación;Desratización,Garrapatas;Ratas
07/09/2017,CENTRO,CENTRO HISTORICO,CL CANASTEROS Nr: 7,Gerencia Municipal de urbanism,Vía Pública,Desratización,Ratas
07/09/2017,CARRETERA DE CADIZ,PARQUE EMP. SANTA BARBARA,CL FIDIAS Nr: 1,Actuación Programada,Vía Pública,Desratización,Ratas
