DATA_ACCIDENT,ANY_ACCIDENT,MES_ACCIDENT,HORA_ACCIDENT
14/01/2013,2013,1,11:15
15/01/2013,2013,1,11:00
15/01/2013,2013,1,19:10
16/01/2013,2013,1,12:25
17/01/2013,2013,1,14:00
16/01/2013,2013,1,20:00
18/01/2013,2013,1,22:00
21/01/2013,2013,1,12:43
22/01/2013,2013,1,07:55
21/01/2013,2013,1,16:45
22/01/2013,2013,1,20:35
23/01/2013,2013,1,05:50
24/01/2013,2013,1,15:20
29/01/2013,2013,1,13:00
29/01/2013,2013,1,17:56
30/01/2013,2013,1,18:20
01/02/2013,2013,2,01:30
31/01/2013,2013,1,19:09
01/02/2013,2013,2,23:15
04/02/2013,2013,2,14:00
04/02/2013,2013,2,15:45
04/02/2013,2013,2,14:00
07/02/2013,2013,2,13:25
08/02/2013,2013,2,15:35
10/02/2013,2013,2,12:00
09/02/2013,2013,2,16:55
09/02/2013,2013,2,05:20
08/02/2013,2013,2,13:25
11/02/2013,2013,2,18:28
11/02/2013,2013,2,20:19
11/02/2013,2013,2,20:30
12/02/2013,2013,2,08:10
12/02/2013,2013,2,15:08
14/02/2013,2013,2,09:30
15/02/2013,2013,2,15:00
15/02/2013,2013,2,18:50
15/02/2013,2013,2,21:10
15/02/2013,2013,2,21:25
16/02/2013,2013,2,18:25
14/02/2013,2013,2,13:00
17/02/2013,2013,2,08:30
17/02/2013,2013,2,13:55
17/02/2013,2013,2,23:40
20/02/2013,2013,2,16:20
20/02/2013,2013,2,09:00
22/02/2013,2013,2,14:10
22/02/2013,2013,2,18:40
22/02/2013,2013,2,20:40
25/02/2013,2013,2,13:45
25/02/2013,2013,2,16:00
27/02/2013,2013,2,18:15
28/02/2013,2013,2,20:10
01/03/2013,2013,3,19:00
02/03/2013,2013,3,10:15
05/03/2013,2013,3,15:40
05/03/2013,2013,3,07:00
05/03/2013,2013,3,23:55
06/03/2013,2013,3,16:30
07/03/2013,2013,3,10:45
07/03/2013,2013,3,11:20
09/03/2013,2013,3,10:10
09/03/2013,2013,3,11:21
09/03/2013,2013,3,15:00
10/03/2013,2013,3,13:20
11/03/2013,2013,3,11:00
11/03/2013,2013,3,14:10
13/03/2013,2013,3,12:25
13/03/2013,2013,3,17:45
15/03/2013,2013,3,07:10
15/03/2013,2013,3,09:15
17/03/2013,2013,3,05:00
16/03/2013,2013,3,12:30
17/03/2013,2013,3,14:30
18/03/2013,2013,3,12:10
18/03/2013,2013,3,19:00
19/03/2013,2013,3,10:55
20/03/2013,2013,3,10:00
21/03/2013,2013,3,08:37
21/03/2013,2013,3,12:56
21/03/2013,2013,3,19:45
26/03/2013,2013,3,09:20
28/03/2013,2013,3,15:05
30/03/2013,2013,3,03:50
31/03/2013,2013,3,22:15
02/04/2013,2013,4,19:50
05/04/2013,2013,4,13:30
05/04/2013,2013,4,08:20
06/04/2013,2013,4,09:50
08/04/2013,2013,4,07:00
09/04/2013,2013,4,18:47
10/04/2013,2013,4,09:45
10/04/2013,2013,4,12:45
10/04/2013,2013,4,17:45
10/04/2013,2013,4,18:50
12/04/2013,2013,4,09:30
11/04/2013,2013,4,17:37
12/04/2013,2013,4,13:40
12/04/2013,2013,4,17:00
13/04/2013,2013,4,01:25
13/04/2013,2013,4,12:00
15/04/2013,2013,4,09:10
15/04/2013,2013,4,09:10
16/04/2013,2013,4,09:10
16/04/2013,2013,4,13:35
17/04/2013,2013,4,01:12
17/04/2013,2013,4,04:35
16/04/2013,2013,4,15:20
17/04/2013,2013,4,16:15
19/04/2013,2013,4,18:35
20/04/2013,2013,4,03:40
21/04/2013,2013,4,14:10
20/04/2013,2013,4,10:35
23/04/2013,2013,4,16:00
25/04/2013,2013,4,12:55
25/04/2013,2013,4,21:45
26/04/2013,2013,4,13:30
26/04/2013,2013,4,12:40
27/04/2013,2013,4,16:15
27/04/2013,2013,4,06:20
27/04/2013,2013,4,14:20
30/04/2013,2013,4,21:00
30/04/2013,2013,4,22:25
03/05/2013,2013,5,05:20
03/05/2013,2013,5,15:00
03/05/2013,2013,5,19:30
07/05/2013,2013,5,11:25
07/05/2013,2013,5,09:00
08/05/2013,2013,5,13:05
07/05/2013,2013,5,07:27
10/05/2013,2013,5,11:50
10/05/2013,2013,5,21:25
11/05/2013,2013,5,10:00
12/05/2013,2013,5,14:36
13/05/2013,2013,5,08:10
14/05/2013,2013,5,14:30
15/05/2013,2013,5,12:30
15/05/2013,2013,5,13:15
15/05/2013,2013,5,14:40
16/05/2013,2013,5,14:40
18/05/2013,2013,5,09:00
19/05/2013,2013,5,15:10
17/05/2013,2013,5,14:10
21/05/2013,2013,5,13:30
21/05/2013,2013,5,09:50
21/05/2013,2013,5,13:45
21/05/2013,2013,5,17:35
22/05/2013,2013,5,13:08
22/05/2013,2013,5,22:20
19/05/2013,2013,5,04:00
24/05/2013,2013,5,07:50
24/05/2013,2013,5,11:00
24/05/2013,2013,5,12:30
24/05/2013,2013,5,20:50
24/05/2013,2013,5,23:00
25/05/2013,2013,5,16:20
25/05/2013,2013,5,14:10
26/05/2013,2013,5,19:55
27/05/2013,2013,5,21:20
26/05/2013,2013,5,21:55
25/05/2013,2013,5,11:05
28/05/2013,2013,5,19:05
30/05/2013,2013,5,11:40
30/05/2013,2013,5,13:10
01/06/2013,2013,6,13:45
01/06/2013,2013,6,13:35
02/06/2013,2013,6,09:55
05/06/2013,2013,6,11:00
05/06/2013,2013,6,14:35
05/06/2013,2013,6,17:45
05/06/2013,2013,6,12:15
05/06/2013,2013,6,20:01
05/06/2013,2013,6,22:00
07/06/2013,2013,6,06:40
07/06/2013,2013,6,09:07
08/06/2013,2013,6,04:00
08/06/2013,2013,6,04:15
09/06/2013,2013,6,11:00
07/06/2013,2013,6,17:15
10/06/2013,2013,6,08:30
10/06/2013,2013,6,15:40
10/06/2013,2013,6,19:08
11/06/2013,2013,6,14:02
11/06/2013,2013,6,15:10
12/06/2013,2013,6,09:20
12/06/2013,2013,6,10:53
14/06/2013,2013,6,06:50
16/06/2013,2013,6,09:30
14/06/2013,2013,6,19:05
19/06/2013,2013,6,11:10
21/06/2013,2013,6,07:25
22/06/2013,2013,6,13:52
22/06/2013,2013,6,21:00
23/06/2013,2013,6,20:25
24/06/2013,2013,6,19:45
27/06/2013,2013,6,14:30
27/06/2013,2013,6,17:30
27/06/2013,2013,6,17:25
30/06/2013,2013,6,21:30
01/07/2013,2013,7,12:15
01/07/2013,2013,7,13:25
02/07/2013,2013,7,11:55
02/07/2013,2013,7,15:50
