ACTIVITAT,NOM_COMERCIAL,EMPLAÇAMENT,ZONA,WEB
COMERÇ AL DETALL DE PRODUCTTES D'ALIMENTACIO,MERCAISPA,"AV COMAS I SOLA, 16 LOC 02",DA6,
AUTOSERVEIS (ENTRE 40 I 119 M2),MERCAT RUBÍ,"C JOAN MARAGALL, 38",DA6,
"COMERÇ AL DETALL DE CALÇAT, ROBA I ARTICLES VARIS",MERCATOT,"C SANT JORDI, 34 PB 01",DA5,
CONSULTORI D'INFERMERIA,MERCE CHIVA GABINET D'INFERMERIA,"C NAVAS DE TOLOSA (LAS), 6",DA5,
VENDA AL DETALL DE ROBA I COMPLEMENTS,MERCE FELIU,"C PRAT DE LA RIBA, 8",DA4,
merceria,MERCERIA COMPLEMENTS CAL TORRAS,"C CREU, 16 LOC 02",DA4,
VENDA AL DETALL D'ARTICLES DE MERCERIA,MERCERIA MERCE,"C BARTRINA, 26-28",DA6,
COMERÇ AL DETALL DE CARNS I EMBOTITS,MERCÈ I ROSER CARNISSERIA I XARCUTERIA,"C MARCONI, 2 LOC 01",DA6,
COMERÇ AL DETALL DE PA I PASTISSERIA AMB DEGUSTACIO,MES QUE PA,"CTRA SABADELL, 10",DA5,
COMERÇ AL DETALL DE PASTISSERIA AMB DEGUSTACIÓ,MES QUE TÈ,"AV FERRER I DOMINGO, 3 PB B",DA1,
BAR- RESTAURANT,MESON CAN JOAN,"AV ESTATUT, 221",DA5,
COMERÇ AL DETALL DE ROBA,MESTER & STAR,"C MAGI RAMENTOL, 15 PB 01",DA6,
FABRICACIO D'ESTRUCTURES METAL·LURGIQUES,METAL FUSIO,"C LONDRES, 6",PI. COVA SOLERA,
FABRICACIÓ DE PECES METÀL·LIQUES,"METASA SET ONZE, SA","AV CAN SUCARRATS, 91-95 NV 10",PI. COVA SOLERA,
TALLER DE CALDERERIA,"METUL, SL","C BACH, 7 PB D",PI. CAN JARDI,
DISSENY I ARTS GRÀFIQUES,"MICROMEDIA, SL","C PRAGA, 14",PI. COVA SOLERA,
TALLER DE REPARACIÓ MECÀNICA,MIG,"PTGE SCHUBERT, 6",PI. CAN JARDI,
TALLER DE REPARACIÓ I MANTENIMENT DE MAQUINÀRIA,MIG,"PTGE SCHUBERT, 18",PI. CAN JARDI,
VENDA AL DETALL D'ELECTRODOMÈSTICS,MILAR TV 2001,"C MARE DE DEU DE FATIMA, 22",DA6,
VENDA AL DETALL D'ELECTRODOMÈSTICS,MILAR TV 2001,"PG FERROCARRIL, 7 PB 01",DA4,
MAGATZEM DE MERCADERIES,MILAR-SACSE,"C CESAR MARTINELL, 43",PI. CAN PI DE VILAROC,
FABRICACIÓ DE MAQUINÀRIA INDUSTRIAL,MIM,"CTRA MOLINS DE REI, 8K Esc 1 PB 04",PI. CAN JARDI,
"FABRICACIÓ DE MOTORS, TRANSFORMADORS I GENERADORS",MIMAVEN,"C CHOPIN, 6-8",PI. CAN JARDI,
COMERÇ AL DETALL DE ROBA I COMPLEMENTS,MIMI ET COCÓ,"C MAXIMI FORNES, 12",DA4,
FABRICACIÓ DE PECES DE CAUTXÚ,MIMSA,"C PARIS, 1-7 NV 32",PI. COVA SOLERA,
VENDA AL DETALL D'ARTICLES DE FERRETERIA,"MIOR, SL","CTRA TERRASSA, 38",DA5,
"FABRICACIÓ DE PRODUCTES DE BELLESA, HIGIENE I PERFUMS","MIQUEL BUXAUS, SCP","PTGE DOCTOR FERRAN, 10 NV 14",PI. CA N'ALZAMORA,
ASSESSORIA,MIR & GRACIA,"AV BARCELONA, 57 ES 02",DA4,
SERVEIS JURÍDICS,"MIRANDA ABOGADOS, SLL -ADVOCATS-","C CERVANTES, 50 01 02",DA4,
PERRUQUERIA CANINA,MISS PELUDOS,"C MAGI RAMENTOL, 13 PB",DA6,
MAGATZEM DE MATERIAL ELÈCTRIC,MITSUBISHI ELECTRIC,"C CESAR MARTINELL, 32",PI. CAN PI DE VILAROC,
TALLER DE TALL I POLIMENT DE PEDRA NATURAL,MMP - MARMOLES MTEZ. PERALTA,"AV LLANA, 63",PI. LA LLANA,
CARNISSERIA,MN CANSALADERIES MARTINEZ NAVARRO,"C MARE DE DEU DE FATIMA, 3 Esc 1 PB 01",DA6,
MAGATZEM DE MOBLES,MOBIPRIX,"PG TORRES, 1",DA3,
FUSTERIA,MOBLEBLANC,"C CA N'ALZAMORA, 8",PI. CA N'ALZAMORA,
VENDA AL DETALL DE MOBLES,MOBLES LOZANO,"C CREU, 1",DA4,
VENDA AL DETALL DE ROBA INFANTIL,MODA INFANTIL REYVAX,"C ABAT ESCARRE, 36",DA6,
VENDA AL DETALL DE ROBA I COMPLEMENTS,MODA JOVE SPILL,"C PINTOR COELLO, 14",DA4,
LLOGUER D'EQUIPS PER A LA CONSTRUCCIÓ,MODEGRU,"C SEVILLA, 20",DA5,www.modegru.com
VENDA AL DETALL DE ROBA I COMPLEMENTS,MODES SEGURA,"PG FERROCARRIL, 1 Esc 1 PB 13",DA4,
VENDA AL DETALL DE ROBA I COMPLEMENTS,MODES VICTORIA,"C LLUIS RIBAS, 23",DA6,
OFICINA DE DISSENY INDUSTRIAL,MODULAR,"C SANT MAGI, 21",DA4,www.modular-bike.com
FABRICACIÓ DE PRODUCTES FARMACÈUTICS,MOEHS,"C CESAR MARTINELL, 57",PI. CAN PI DE VILAROC,
OFICINES,"MOEHS IBERICA, SL","C ROMA, 8-12 NV 02",PI. COVA SOLERA,
OFICINES,"MOEHS IBERICA, SL","C ROMA, 8-12 NV 01",PI. COVA SOLERA,www.moehs.es
TALLER MECÀNIC PER FABRICACIÓ DE MOTLLOS METÀL·LICS,MOLDEA,"AV GAUDI, 82 NV 03",PI. CAN PI DE VILAROC,
FABRICACIÓ DE PRODUCTES METÀL·LICS,MOLDES I COQUILLAS GARMO,"PTGE LISZT, 5",PI. CAN JARDI,
FABRICACIÓ DE MOTLLES PER TERMOPLÀSTICS,MOLTTECNIC,"AV CAN SUCARRATS, 136 NV 03",PI. COVA SOLERA,
TALLER DE CALDERERIA,MON,"C CICLISME, 45",PI. CAN ROSES,
COMERÇ AL DETALL D'ARTICLES DE SEGONA MA PER INFANTS,MON MENUT,"C MALLORCA, 73",DA5,www.monmenutxarxa.com
MAGATZEM DE MATERIALS PER A LA CONSTRUCCIÓ,"MONCAS, SCCL","AV CAN SUCARRATS, 108-110",PI. COVA SOLERA,
"COMERÇ AL DETALL DE MOBLES, APARELLS IL·LUMINACIÓ I ALTRES",MOBLES S.A.T.,"CTRA MOLINS DE REI, 79 NV 01",PI. CA N'ALZAMORA,
MAGATZEM DE PINTURES A L'AIGUA,MONCOLOR,"C CHOPIN, 10 Esc 1 PB A",PI. CAN JARDI,
FUSTERIA METÀL·LICA,MONESMET,"AV CAN SUCARRATS, 120 NV 11",PI. COVA SOLERA,
MAGATZEM D'EINES PER INSTAL·LACIONS ELÈCTRIQUES,MONFO,"CTRA SABADELL, 247 NV 143",PI. LA BASTIDA,
FABRICACIÓ DE PRODUCTES DE MATÈRIES PLÀSTIQUES,"MONOMER TECH, SL","C PARIS, 1-7 NV 07",PI. COVA SOLERA,
MUNTATGE DE XARXES DE SEGURETAT,MONRED,"C ALT, 5 NV 02",PI. CA N'ALZAMORA,
"MONTAJE, MANTENIMIENTO Y DESMONTAJE DE MONTACARGAS PARA USO DE OBRA EN LA CONSTRUCCIÓN",MONTACARGAS NORIA,"PTGE DOCTOR FERRAN, 14 NV 16",PI. CA N'ALZAMORA,
FABRICACIÓ DE COMPONENTS ELÈCTRICS,MONTALEX / MAIFER,"CTRA SABADELL, 247 NV 35",PI. LA BASTIDA,
COMPRA I VENDA D'OR I PLATA,MONTECAJA ORO,"C MAGI RAMENTOL, 9A",DA4,
PERRUQUERIA,MONTSE AUMATELL ESTILISTA,"C SANT GAIETA, 33",DA4,
FUSTERIA,MONTSERRAT SIMO SL,"C NATACIO, 26 NV 02",PI. CAN ROSES,
COMERÇ AL DETALL DE PRODUCTES D'ALIMENTACIÓ ECOLOGICA,MONTVERD,"C JUAN RAMON JIMENEZ, 1-9 LOC C",DA6,
TALLER DE SERRALLERIA,MORATO,"AV BIZET, 5",PI. CAN JARDI,
FABRICACIÓ DE PECES METÀL·LIQUES,MORATO,"PTGE STRAVINSKY, 4",PI. CAN JARDI,
COMERÇ AL DETALL DE ROBA I COMPLEMENTS,MORELINE,"C SANT CUGAT, 28",DA4,
GESTOR DE RESIDUS,MORGAR,"AV CAN SUCARRATS, 112A",PI. COVA SOLERA,
VALORITZACIÓ DE RESIDUS NO PERILLOSOS,MORGAR RECUPERACIONES,"AV CAN SUCARRATS, 112",PI. COVA SOLERA,
RECICLATGE DE FERRALLA I REBUIG DE METALL,"MORGAR RECUPERACIONES, SA","AV CAN SUCARRATS, 112A",PI. COVA SOLERA,
LLOGUER DE MAQUINÀRIA PER LA CONSTRUCCIÓ,MORILLO,PARC CAN SANT JOAN,PI. CAN SANT JOAN,
COMISSARIA DE POLICIA,MOSSOS D'ESQUADRA POLICIA,"C MARIA AURELIA CAPMANY, COM. MOSSOS D'ESQUADRA",DA5,
VENDA I REPARACIÓ DE MOTOCICLETES,MOTO CISCAR,"CTRA TERRASSA, 70-72",DA5,
TALLER DE REPARACIÓ DE MOTOCICLETES,MOTOS RUBÍ,"PG RIERA, 42 PB",DA4,
FABRICACIÓ DE VIDRE,MP VIDRIO SOPLADO,"C VERDI, 2-8",PI. COVA SOLERA,
FABRICACIÓ DE FILTRES D'AIRE,"MPF MINI PLEAT FILTER, SL","AV BIZET, 14 PB",PI. CAN JARDI,
OFICINA DE MISSATGERIA,MRW,"CTRA SABADELL, 96-98",DA5,
MAGATZEM DE PRODUCTES DE NETEJA I OFICINA,MTL SERVICES,"CTRA SABADELL, 281 NV 05",PI. LA BASTIDA,
EXPOSICIÓ I VENDA DE MOBLES I MATERIAL PER REFORMES DE LA LLAR,MUEBLES GARRO,"CTRA TERRASSA, 92",DA5,
FUSTERIA,MUEBLES GARRO CARPINTERIA,"CTRA TERRASSA, 65",DA5,
EXPOSICIÓ I VENDA DE MOBLES,MUEBLES PROGRESO,"AV CASTELLBISBAL, 33",DA1,
MAGATZEM DE CARGOLS I ACCESSORIS METÀL.LICS,MULTI FASTENERS,"C PARIS, 6-10 NV 02",PI. COVA SOLERA,
MAGATZEM. REPARACIÓ I COMERÇ DE MAQUINARIA D'HOSTELERIA,MULTISERVICIOS VALLES,"PG TORRES, 75",DA3,
COMERÇ AL DETALL DE PRODUCTES D'ALIMENTACIO ESPORTIVA,MULTISPORT-FOOD,"AV OLIMPIADES, 29 LOC 10",DA5,
COMERÇ AL DETALL DE ROBA,MULTITELA,"C LLOBATERAS, 34",DA5,
MAGATZEM DE BATERIES I COMPONENTS,MUNDILEC,"C PAGESIA, 46",PI. LA BASTIDA,
BAR,MUNDO CAFETERIA,"C PRAT DE LA RIBA, 28",DA4,
PERRUQUERIA,MUNTANER PERRUQUERS,"C LLOBATERAS, 80",DA6,
MUSEU,MUSEU ETNOGRAFIC VALLHONRAT,"PTGE CREU, 8",DA4,
BAR,MUSIC-COPES CHAPEAU,"C SABADELL, 34",DA5,
PERRUQUERIA,MVM STILISTES,"C PINTOR MURILLO, 51",,
FABRICACIÓ DE PECES METÀL·LIQUES,"MYG, SL","C DIAMANT, 33 PB 01",DA1,
TALLER DE MUNTATGE DE QUADRES ELÈCTRICS,MYPE,"CTRA TERRASSA, 67",DA5,
VENDA I REPARACIÓ DE BICICLETES,MÓN BICI,"C APEL.LES MESTRES, 2",DA6,
VENDA AL DETALL DE PRODUCTES DE DROGUERIA,NACAR,"C CAL GERRER, 2",DA6,
CENTRE DE REHABILITACIÓ,NACHER,"C PRAT DE LA RIBA, 4 02",DA4,
PERRUQUERIA,NADAL ESTILISTES,"C MONTURIOL, 19",DA6,
FUSTERIA METÀL·LICA,NAER,"C ASTURIES, 7",DA5,
ELABORACIO I VENDA DE PASTISOS I DOLÇOS,NAMA'S BAKERY,"AV ESTATUT, 69-75 LOC 01",DA6,
CENTRE DE TATUATGES,NAPALM TATTO,"AV ESTATUT, 53-59 LOC 10",DA6,
COMERÇ AL DETALL D'OBJECTES DE REGAL I BIJUTERIA,NARIKO,"PG FRANCESC MACIA, 46 Esc 1 PB 12",DA4,
COMERÇ DETALL PROD. DIETÈTICS I NUTRICIONALS,NATUR HOUSE,"C CREU, 5",DA4,
COMERÇ AL DETALL D'ARTICLES D'HERBORISTERIA I DIETÈTICA,NATUR-SALUT,"C LLOBATERAS, 41",DA5,
ESTÈTICA I TRACTAMENTS DE BELLESA,NATURANA,"CTRA SANT CUGAT, 1-3 PB 01",DA6,
ESTABLIMENT PRIVAT PER FESTES SENSE ACCES PUBLIC,NEBRASKA,"PL CONSTITUCIO, 2 LOC 10",DA3,
VENDA AL DETALL DE ROBA INFANTIL,NENS I NENES,"C TORRIJOS, 14 Esc 1 PB 03",DA4,
NETEJA EN SEC DE VEHICLES,NETTOYE,"C NATACIO, 13 NV 05",PI. CAN ROSES,
SALÓ DE BELLESA,NEW AIR PERRUQUERIA UNISEZ,"C CASETES DE CAN FATJO, 9",DA1,
COMERÇ AL DETALL DE PRODUCTES D'INFORMÀTICA,NEW HOME PC SYSTEM,"C PINTOR COELLO, 15",DA4,
TALLER DE POLIMENT PER PROJECCIÓ DE POLS,"NEW JET, SL","C SCHUMANN, 20 NV 01",PI. CAN JARDI,
RESTAURANT-BAR I CAFE CONCERT,NEW YORKER,"C CERVANTES, 54",DA4,
SERVEIS DE GESTIÓ ADMINSTRATIVA PER EMPRESES,NG ASSESSORS,"AV FERRER I DOMINGO, 3 PB C",DA1,
PERRUQUERIA,NOAL ESTILISTES,"C QUEVEDO, 46",DA6,
PERRUQUERIA I ESTÈTICA,NOBE ESTETICA I PERRUQUERIA,"C PITAGORAS, 3 Esc A PB 02",DA6,
PERRUQUERIA,NOELIA MORENO,"C SANT JOAN, 37-39",DA4,
DESPATX DE PSICOLOGIA,NONA,"C SANT PERE, 43",DA4,
PERRUQUERIA,NOU ESTIL,"AV CAN CABANYES, 5 LOC 04",DA3,
BAR RESTAURANT,NOU GENESIS,"C TOPAZI, 49",DA1,
COMERÇ AL DETALL DE PRODUCTES DE REGAL,NOU RACO ROSA,"PG FRANCESC MACIA, 74",,
SERVEIS D'INSTAL·LACIONS ELÈCTRIQUES,"NOU SISTEMA DEL VALLES, SL","C SANTA LLUCIA, 7 PB 01",DA4,
LLIBRERIA-PAPERERIA,NOVA IKASTOLA,"C LLUIS RIBAS, 14",DA6,
PERRUQUERIA,NOVA LINIA,"C VICTOR BALAGUER, 2",DA6,
COMERÇ AL DETALL DE ROBA DE VESTIR I COMPLEMENTS,NOVA NURIA,"C CAL PRINCEP, 7",DA4,
MAGATZEM DE BOBINES DE PAPER I PLASTIC,NOVA PRISMA,"CTRA SABADELL, 247 NV 26",PI. LA BASTIDA,
"TALLER DE REPARACIÓ D'AUTOMÒBILS, AMB XAPA I PINTURA",NOVAUTO RUBÍ,"AV CAN ROSES, 41 PB 01",PI. CAN ROSES,
"FABRICACIO DE TINTES, PINTURES, LAQUES, VERNISOS",NTC,"PTGE LISZT, 7",PI. CA N'ALZAMORA,
"FABRICACIO DE PINTURES TINTES, LAQUES I VERNISSOS (AMPLIACIO)",NTC,"PTGE LISZT, 7",PI. CAN JARDI,
PERFUMERIA,NURIA VILALTA,"PG FRANCESC MACIA, 15",DA4,
FABRICACIÓ DE PRODUCTES QUÍMICS,"NUTECOLOR, SL NTC","PTGE LISZT, 7",PI. CAN JARDI,
FORN DE PA AMB DEGUSTACIÓ,O'PAN,"PG FRANCESC MACIA, 17",DA4,
BAR RESTAURANT,ODDO RESTAURANT,"AV ELECTRICITAT, 19",PI. CA N'ALZAMORA,
OFICINA ARQUITECTURA TECNICA,OFICINA D'ARQUITECTURA TECNICA,"C ANTON DE BORJA, 9 LOC 02",DA5,
OFICINA TRIBUTÀRIA,OFICINA DE RECAPTACIO,"PG PAU CLARIS, 38-40",DA4,
SOC - SERVEI D'OCUPACIÓ DE CATALUNYA,OFICINA DE TREBALL,"CTRA TERRASSA, 40-46 LOC 01",DA5,
COMERÇ AL DETALL DE ROBA,OGGY,"AV BARCELONA, 61",DA4,
OFICINA D'ASSEGURANCES,OGS OFICINA GESTORA DE SEGUROS,"CTRA SANT CUGAT, 31 PB 02",DA6,
SERVEI D'ORIENTACIO PERSONAL I FILOSOFIA DERIVADA,OH BETH SAIDA,"C SANTA LLUCIA, 23",DA4,
SALÓ DE BELLESA,OH! KBE,"CTRA SABADELL, 3",DA5,
MAGATZEM D'ARTICLES DE FERRETERIA,OKALMA,"AV CASTELLBISBAL, 76",PI. SANT GENIS,
MAGATZEM FRIGORÍFIC DE FRUITES I OLIVES,OLIVAS CAÑETE,"C COLLITA, 27",PI. LA BASTIDA,
TALLER DE MECANITZAT I GRAVAT DE PECES PER TOT TIPUS D'EINES METÀL.LIQUES,OLLE GRAVADORS,"C BACH, 7 PB D",PI. CAN JARDI,
EMPRESA DE TREBALL TEMPORAL,OLYMPIA TREBALL TEMPORAL,"C CERVANTES, 64",DA4,
BAR RESTAURANT,ON KEDEM?,"PL DOCTOR GUARDIET, 11",DA4,
BUGADERIA,OPEN SEC,"C PERE ESMENDIA, 23",DA4,
COMERÇ AL DETALL D'ARTICLES DE BIJUTERIA I REGALS,OPORTUNITATS,"PG FRANCESC MACIA, 25 PB",DA4,
ÒPTICA,OPTIC CLINIC,"C CERVANTES, 134 LOC 01",DA6,
ÒPTICA,OPTICA SAN ANTONIO,"C RAFAEL CASANOVA, 11",DA4,
ÒPTICA,OPTICA SANT PERE,"C MAXIMI FORNES, 25",DA4,
ÒPTICA,OPTICA SANTANA,"AV CAN CABANYES, 4",DA3,
COMERÇ AL DETALL DE PRODUCTES D'OPTICA,OPTICA UNIVERSITARIA,"AV BARCELONA, 23-25",DA4,
ANTENA DE TELEFONIA MOBIL,ORANGE,"CTRA TERRASSA, 134",PI. CTRA. TERRASSA,
VENDA AL DETALL DE TELEFONIA MÒBIL,ORANGE,"C ABAT ESCARRE, 11-13 PB A",DA4,
OPERADOR TELEFONIA MÒBIL (ANTENA),ORANGE,"PG FRANCESC MACIA, 47",DA4,
OPERADOR TELEFONIA MÒBIL (ANTENA),ORANGE,"C MADRID, 63",DA5,
ANTENA DE TELEFONIA MOBIL,ORANGE,AV CASTELLBISBAL,DA1,
OPERADOR TELEFONIA MÒBIL (ANTENA),ORANGE,"C VIVALDI, 35",PI. CAN JARDI,
OPERADOR DE TELEFONIA MÒBIL (ANTENA),ORANGE,"C SANT JORDI, 28",DA5,
OPERADOR DE TELEFONIA MÒBIL (ANTENA),ORANGE,"C MILA I FONTANALS, 21",DA6,
OFICINA IMMOBILIÀRIA,ORBIS FINQUES,"C MAXIMI FORNES, 50",DA4,
FABRICACIÓ DE PECES METÀL·LIQUES,ORDEGRE,"CTRA SABADELL, 247 NV 82 B",PI. LA BASTIDA,
TALLER DE REPARACIÓ DE VEHICLES,ORIENT CARS,"C DANT, 38-40",DA6,
BASAR,ORIENTA'T,"C CERVANTES, 106",DA6,
COMPRA-VENDA D'ARTICLES D'OR,ORO CASH,"C DOCTOR ROBERT, 21-27 LOC 01",DA4,
Venda de flors i plantes,ORQUÍDEA 3 FLORISTERIA,"C CALDERON DE LA BARCA, 12",DA6,
APARCAMENT PRIVAT DE VEHICLES,"ORTEGA SASTRE,MAXIMILIANO","C SORIA, 2",DA5,
BAR,,"CAMI CA N'ORIOL, 12 01",DA6,
MAGATZEM DE PRODUCTES FARMACÈUTICS,"ORTEVE, SA","C PARIS, 2",PI. COVA SOLERA,
PARAFARMÀCIA,ORTOPEDIA,"AV COMAS I SOLA, 28-30 PB 03",DA6,
MAGATZEM LOGÍSTIC,OT LOGISTIC VALLES,"C ATLETISME, 15-17",PI. CAN ROSES,
VENDA AL DETALL DE MATALASSOS I COMPLEMENTS,OUTLET DEL DESCANS,"AV ESTATUT, 9 PB 01",DA6,
FUSTERIA,P&R DECORACIO,"C PONTEVEDRA, 5",DA5,
MUNTATGE I ENVASAMENT DE PRODUCTES PROMOCIONALS,P3 MANIPULATS,"C TENNIS, 1 PB 05",PI. CAN ROSES,
MANIPULACIÓ DE PA PER LA INDUSTRIA ALIMENTÀRIA ANIMAL,PA DUR,"AV CAN SUCARRATS, 96 NV 3A",PI. COVA SOLERA,
IMPRESSIÓ DE PAPER CONTINU,PACOIMSA,"C LISBOA, 6 NV 07",PI. COVA SOLERA,
PISTES COBERTES DE PADEL,PADEL INDOOR RUBI,"AV LLANA, 109",PI. LA LLANA,
MAFGATZEM DE PINTURES I VERNISSOS,PAIGUM,"AV COVA SOLERA, 12 NV 03",PI. COVA SOLERA,
FABRICACIÓ DE PINTURES,PAIGUM SAU,"AV COVA SOLERA, 16",PI. COVA SOLERA,
BAR,PALOMA BLANCA/SHAWARMA,"PL NOVA ESTACIO, 10",DA3,
MAGATZEM LOGÍSTIC,PAMOLE LOGISTIC,"C TORRENT TALLAFIGUERES, 8-14",PI. CAN JARDI,
VENDA AL DETALL DE PA I PASTISSERIA,PANADERIA,"URBAT PINAR, 12A",DA5,
VENDA AL DETALL DE PA I PASTISSERIA,PANADERIA UNIVERSO,"C MONTURIOL, 17",DA6,
FORN DE PA INDUSTRIAL,PANADERIA-PASTELERIA EL PEQUEÑO HORNO,"C RAVEL, 9 NV 03",PI. CAN JARDI,
VENDA AL DETALL DE JOIERIA I BIJUTERIA,PANDO,"C ABAT ESCARRE, 24",DA4,
COMERÇ AL DETALL DE PA I BOLLERIA AMB DEGUSTACIÓ,PANNUS,"PG FRANCESC MACIA, 2",DA4,
COMERÇ AL DETALL DE DIARIS I ARTICLES DE PAPEREIA,PAPELERIA CAN XERCAVINS,"C FRANCESC ROVIRA, 10-12 Esc 3 PB F",DA1,
"COMERÇ AL DETALL DE LLIBRES, DIARIS",PAPELERÍA ANTORCHA,"AV CAN CABANYES, 2",DA3,
COMERÇ AL DETALL D'ARTICLES DE PAPERERIA,PAPERERIA EL BORINOT,"C CAL GERRER, 2 Esc 1 PB 05",DA6,
COMERÇ AL DETALL D'ARTICLES DE PAPERERIA,PAPERERIA SAFIR,"C SAFIR, 28 LOC DE",DA1,
SERVEIS DE JARDINERIA,PARCS I JARDINS CATALUNYA,. CAN XERCAVINS,DA2,
RESTAURANT,PARK SEDO,"C DOCTOR FERRAN, 11",DA3,
COMERÇ AL DETALL DE PARQUETS I EXPOSICIÓ,PARQUETS SOTELO,"CTRA SANT CUGAT, 1-3 PB 02",DA6,
LOCAL D'ACTIVITATS D'ORGANITZACIONS POLÍTIQUES,PARTIT DELS SOCIALISTES DE CATALUNYA,"C CAL PRINCEP, 27",DA4,
"GUARDERIA, ENSENYAMENT INFANTIL",PARVULARI L'IXENT,"PG TORRES, 14",DA3,
COMERÇ AL DETALL DE BICICLETES I ACCESSORIS I REPARACIÓ MANUAL,PASSION BIKE,"AV ESTATUT, 28-38",DA6,
VENDA AL DETALL DE PA I PASTISSERIA,PASTISSERIA CATERING,"AV BARCELONA, 62",DA4,
PASTISSERIA AMB DEGUSTACIÓ,PASTISSERIA LA LYONESA,"C PERE ESMENDIA, 5",DA4,
COMERÇ AL DETALL DE PRODUCTES DE PASTISSERIA AMB OBRADOR,PASTISSERIA MARUIS,"AV BARCELONA, 62",DA4,
PASTISSERIA AMB OBRADOR I DEGUSTACIÓ,PASTISSERIA SANT JORDI,"AV BARCELONA, 20",DA4,
DESPATX D'ADVOCATS,PAU CALSINA ROCA,"PL CATALUNYA, 7 01 03",DA4,
TALLER DE CONSTRUCCIONS METÀL·LIQUES,PB METALURGICA CAN JARDI,"C BACH, 9 PB E",PI. CAN JARDI,
FABRICACIÓ DE COLES I ADHESIUS,"PC PRODUCTES COLCAR, SL","C BEETHOVEN, 16-20",PI. CAN JARDI,
FUSTERIA,"PE&FI, SL","C GIRONA, 29",DA5,www.peyfi-mesas.com
RESTAURANT,RESTAURANT LA DIADA,"C PINTOR COELLO, 6",DA4,
COMERÇ AL DETALL DE PEIX I MARISC,PEIXATERIA PACO I PAQUITA,"C PRAT DE LA RIBA, 28",DA4,
COMERÇ AL DETALL DE PEIX,PEIXETERIA PEDRO JOSE MELERO,"C FRANCESC ROVIRA, 10-12 Esc 3 PB E",DA1,
PERRUQUERIA,PELUQUERIA AMANA,"AV CAN CABANYES, 15",DA3,
PERRUQUERIA D'HOMES,PELUQUERIA DE CABALLEROS RIFE,"C JOAN MARAGALL, 24",DA6,
PERRUQUERIA D'HOMES,PELUQUERIA HNOS. GIMENEZ,"C PINTOR COELLO, 2 PB 01",DA4,
PERRUQUERIA,PELUQUERIA LEPANTO,"C LEPANT, 24",DA5,
PERRUQUERIA,PELUQUERIA LICINIA,"C MONTURIOL, 8",DA6,
PERRUQUERIA,PELUQUERIA MORENO,"C MONTURIOL, 52",DA3,
PERRUQUERIA,PELUQUERIA SOL I LUNA,"PL PROGRES, 2",DA6,
perruqueria,PELUQUERIA T. GRANADO,"PTGE CIRCUMVAL.LACIO, 25",DA6,
PERRUQUERIA,PELUQUERIA UNISEX MANEL,"C CAVITE, 10-12",DA5,
SALÓ DE PERRUQUERIA I ESTÈTICA,PELUQUERÍA UNISEX ESTÉTICA VILCHEZ,"C SANT SALVADOR, 12-14",DA5,
COMERÇ AL DETALL DE PRODUCTES ESPORTIUS,PEOPLE AND FITNESS,"CTRA SANT CUGAT, 63 LOC 05",DA6,
PERRUQUERIA,PEPI GONZALEZ,"AV OLIMPIADES, 25",DA5,
COMERÇ AL DETALL DE PRODUCTES COSMÈTICS I DE PERFUMERIA,PERFUMERIA,"PG FRANCESC MACIA, 19",DA4,
PERRUQUERIA,PERRUQUERIA,"C MILA I FONTANALS, 11 PB 04",DA6,
PERRUQUERIA,PERRUQUERIA,"C RENE CASSIN, 4",DA2,
PERRUQUERIA,PERRUQUERIA,"PTGE LLOBATERAS, 12 LOC 01",DA6,
PERRUQUERIA D'HOMES,PERRUQUERIA ADNAN,"C CAL PRINCEP, 38",DA4,
PERRUQUERIA,PERRUQUERIA AM&MA,"C LUMIERE, 6",DA6,
PERRUQUERIA,PERRUQUERIA BLANC I NEGRE,"C PLATI, 7",DA1,
PERRUQUERIA,PERRUQUERIA EDMON,"PL CONSTITUCIO, 2 LOC 02",DA3,
PERRUQUERIA,PERRUQUERIA FARIQ,"C SANTA LLUCIA, 25 LOC 01",DA4,
PERRUQUERIA,PERRUQUERIA GLADY'S,"AV CATALUNYA, 2 PB 01",DA3,
perruqueria,PERRUQUERIA KRISTALL ESTILISTA,"C SANT JOAN, 16",DA4,
PERRUQUERIA,PERRUQUERIA MARIBEL,"PG FERROCARRIL, 1 Esc 1 ES 02",DA4,
PERRUQUERIA,PERRUQUERIA MILKIM,"C EDUARD FONTSERE, 20",DA6,
PERRUQUERIA I CENTRE D'ESTÈTICA,PERRUQUERIA MONCASS,"C MADRID, 18",DA5,
PERRUQUERIA I CENTRE D'ESTÈTICA,PERRUQUERIA Mª DEL MAR HOME DONA,"C CAL GERRER, 10-12 Esc 1 PB 03",DA6,
PERRUQUERIA,PERRUQUERIA NATURA,"C NURIA, 41",DA2,
PERRUQUERIA,PERRUQUERIA PUMUKI,"C DANT, 11 LOC B",DA6,
perruqueria per homes,PERRUQUERIA RAMALLAH,"C PRAT DE LA RIBA, 27",DA4,
PERRUQUERIA,PERRUQUERIA UNISEX ANABEL,"C BURGOS, 3",DA5,
PERRUQUERIA,PERRUQUERIA UNISEX SENSE NOM,"C NARCIS MENARD, 3-5",DA4,
PERRUQUERIA,PERRUQUERIA VERONICA,"C BALMES, 12",,
PERRUQUERIA,PERRUQUERIA YANG GUANG,"C MONTURIOL, 2-4 PB 02",DA6,
