CARRER_CODI,CARRER_TIPUS,CARRER_NOM
857,C,ANTIC CAMI DE XIMELIS
890,C,COLLITA
891,C,PAGESIA
892,AV,GENERALITAT
893,C,ANDORRA
894,C,SUISSA
895,C,PRAGA
966,C,TURO
967,PTGE,TURO
971,C,XAVIER CUGAT
103,C,SANT ISIDRE
1030,PARC,MASIA DE CAN FATJO
1031,PARC,CA N'ORIOL
104,C,SANT JAUME
105,C,SANT JORDI
107,C,SANT JOSEP
108,C,SANT JOAN
109,BDA,SANT JOAN
11,C,BRUC
110,C,SANT MAGI
112,C,SANT MIQUEL
113,C,SANT MUÇ
115,C,SANT PERE
116,C,SANT SEBASTIA
117,C,SABADELL
118,CTRA,SABADELL
119,PG,FRANCESC MACIA
12,C,CADMO
120,C,SANTA LLUCIA
121,C,SANTA MARIA
122,C,SANTA TERESA
123,C,TERRASSA
727,C,TAGORE
728,PL,AGRICULTURA
729,POLIG,LA BASTIDA
732,AV,CAN ROSES
733,C,CANAL
734,PTGE,FORTEA
735,C,MARESME
736,PL,DEMOCRACIA
737,PL,SINDICATS
739,POLIG,SECTOR Q2
74,C,PARELLADA
740,POLIG,SECTOR Q3
743,PTGE,CARITAT
744,C,LONDRES
745,C,PARIS
746,C,ATENES
747,C,LUXEMBURG
748,C,LISBOA
749,C,DUBLIN
75,C,PONENT
750,C,AMSTERDAM
751,C,BRUSSEL.LES
752,C,ROMA
753,VIA,INTERPOLAR
754,AV,COVA SOLERA
896,PL,REPUBLICA
897,PL,JOSEP TARRADELLAS
898,PTGE,VALLADOLID
899,C,MARIA AURELIA CAPMANY
90,PG,RIERA
900,C,ROSSEND BATLLO
90010,POLIG,CENTRO URBANO
90260,POLIG,SECTOR P INDUSTRIAL
909,C,CEPS
910,C,BOSC
922,C,FARIGOLA
923,C,AVELLANERS
924,C,FIGUERES
925,C,NOGUERES
926,PTGE,NOGUERES
927,AV,ROURES
928,C,ALZINES
929,PTGE,ALZINES
93,PTGE,SANT AGUSTI
930,PTGE,GINESTA
931,C,ESPIGOL
84,C,PONT
90120,POLIG,CAN FATJO
90130,POLIG,EL CASTELL
90140,POLIG,CASAS BARATAS
90150,POLIG,MOLI DE BASTIDA
90160,POLIG,CAN ROSES
90170,POLIG,CAN ORIOL
90180,POLIG,CASTELLNOU
90190,POLIG,CAN SEDO
902,PL,MIQUEL CASAS BELL
90200,POLIG,EL PUNXET
90210,POLIG,COVA SOLERA
90220,POLIG,CAN XIMELIS II
90230,POLIG,SECTOR A RESIDENCIAL
90240,POLIG,VALLS DE SANT MUÇ
90250,POLIG,CAN SERRALLACH
90270,POLIG,SECTOR E SUP
90280,POLIG,COVA SOLERA AMPLIACIO
90290,POLIG,CAN SANT PERE AMPLIACIO
903,CP,TRES CAMINS - CASETA POSTAL
904,C,ACACIES
905,PTGE,ACACIES
906,C,ERMITA
907,PTGE,ERMITA
908,C,AIGUES
9095,.,MASIA CAN FELIU
90990,POLIG,DISEMINADOS
91,C,PAU ROCA
492,C,FAR
884,PL,SALVADOR ALLENDE
885,C,COPERNIC
886,C,CAN BARCELO
887,PL,RAFAEL ALBERTI
888,PL,ONZE DE SETEMBRE
889,PL,MONTSERRAT ROIG
89,C,RIERA
90020,POLIG,SECTOR Z
90030,POLIG,GRUPO 25 DE SEPTIEMBRE
90040,POLIG,CAN CABANYES
90050,POLIG,CAN ALZAMORA
90060,POLIG,CAN VALLHONRAT
90070,POLIG,CAN JARDI
90080,POLIG,CAMPAMENTO
90090,POLIG,CAN SERRAFOSA
901,C,CATI CURET
90100,POLIG,CAN XIMELIS
90110,POLIG,ELS AVETS
958,PTGE,BLAT
959,C,SEGADORS
612,C,ALCANAR
613,C,ALELLA
614,C,AGUILAR
615,C,AGRAMUNT
616,C,AMPOSTA
617,PTGE,ARBOÇ
618,C,ABRERA
619,C,AIGUAFREDA
62,C,MILA I FONTANALS
620,C,ALBIOL
621,C,AMER
622,C,ALAMUS
623,C,ALCANO
624,C,ANGLES
625,CAMI,RACO
626,C,ARBUCIES
524,PTGE,WAGNER
525,CAMI,XIMELIS
526,PTGE,XIPRERS
527,PL,NENS
528,URBAT,CAN SOLA
637,C,BERGA
638,C,BANYOLES
651,C,CANOVES
652,C,CERVERA
653,PTGE,CUBELLES
654,C,CARDONA
655,C,CALDES
656,C,CLARIANA
657,C,CADAQUES
658,C,CORÇA
659,C,COLERA
66,C,MOSSEN CINTO
660,C,CASTELLVELL
661,C,CORBINS
662,C,COGUL
125,C,MONTSERRAT
126,PG,TORRES
128,C,TORRES ORIOL
129,C,TORRIJOS
13,C,CALDERON DE LA BARCA
130,C,JOAN FIVELLER
131,C,ULLOA
132,C,UNIO
133,C,VAPOR
134,C,PAU CASALS
135,C,ANGEL GUIMERA
136,C,MARE DE DEU DE FATIMA
137,C,MARE DE DEU DEL PILAR
138,C,VIRGILI
639,C,BESALU
64,C,MARGARIDA XIRGU
640,PTGE,BAGA
641,C,BORREDA
642,C,BELLPUIG
643,C,CANEJAN
644,C,CENTELLES
645,C,CABRERA
646,PTGE,CALELLA
647,C,CORBERA
648,C,CUBELLES
649,C,CARDEDEU
65,C,CARRASCO I FORMIGUERA
650,C,COLLBATO
680,PTGE,VIELLA
681,C,TURO DE L'HOME
683,C,TIBIDABO
684,C,NURIA
685,C,SANT LLORENÇ
686,C,MONTJUIC
687,C,PICA D'ESTATS
688,C,MONT BLANC
689,C,SERRA DE SANT MIQUEL
690,C,PORT DE L'ORDAL
691,C,CARMEL
692,C,SERRA DEL MONTSEC
911,C,CAMELIES
912,C,VALLS
913,C,CAN BOSC
914,C,CAN ROIG
915,PTGE,CAN TAPIS
916,PTGE,CANYES
917,PTGE,VI
918,C,BLAT
919,C,FLEMING
92,C,SANT AGUSTI
920,PTGE,FLEMING
921,C,COMI
682,C,CADI
755,POLIG,SECTOR D1
756,POLIG,SECTOR D2
757,POLIG,SECTOR D3
758,POLIG,SECTOR D4
864,C,EINSTEIN
865,C,NEWTON
866,C,HALLEY
