CODI,PRODUCTE,CARRER,NÚMERO,LOCALITZACIÓ
1166,NO ESPECIFICAT,PL MALUQUER I SALVADOR,8,"(41.608868, 2.28847)"
1235,ROBA INTERIOR,C SANT JAUME,1,"(41.608358, 2.285854)"
1277,ROBA DONA,PL PORXADA,2,"(41.607908, 2.287196)"
1360,RETALLS,PL ESGLESIA,5,"(41.607767, 2.286036)"
1395,OUS,C SANT JOSEP,16,"(41.607604, 2.284066)"
1001,MARROQUINERIA,C ANSELM CLAVE,2,"(41.6083, 2.28894)"
,FORMATGES,PL MALUQUER I SALVADOR,4,"(41.608774, 2.288689)"
1342,ROBA DONA,PL PORXADA,37,"(41.607852, 2.286942)"
1386,FRUITA I VERDURA,C SANT JOSEP,7,"(41.60753, 2.284123)"
1388,FRUITA I VERDURA,C PRINCESA,2,"(41.607412, 2.283993)"
1416,ROBA DONA,C SANT JAUME,20,"(41.608339, 2.285741)"
1427,ROBA DONA,C REC,3,"(41.608892, 2.285834)"
1433,PERFUMERIA I COSMÈTICA,C REC,7,"(41.609067, 2.285447)"
1004,JOGUINES I VIDEOJOCS,C ANSELM CLAVE,6,"(41.608136, 2.288904)"
1017,ROBA HOME/DONA,C ANSELM CLAVE,38,"(41.607153, 2.288681)"
1023,BATES,C ANSELM CLAVE,48,"(41.606656, 2.288573)"
1031,ROBA DONA,C ANSELM CLAVE,70,"(41.606211, 2.288476)"
1059,PERFUMERIA I COSMÈTICA,C ANSELM CLAVE,73,"(41.606185, 2.288507)"
1067,ROBA INTERIOR,C ANSELM CLAVE,57,"(41.606652, 2.288609)"
1421,HERBORISTERIA,C SANT JAUME,8,"(41.608641, 2.28583)"
1428,ROBA DE LA LLAR,C REC,3,"(41.608913, 2.285788)"
1011,BIJUTERIA,C ANSELM CLAVE,22,"(41.607652, 2.288796)"
1024,ROBA INTERIOR,C ANSELM CLAVE,52,"(41.606558, 2.288552)"
1027,BIJUTERIA,C ANSELM CLAVE,60,"(41.606403, 2.288518)"
1041,ROBA DONA,PL CORONA,5,"(41.605582, 2.288306)"
1162,PLANTER,PL MALUQUER I SALVADOR,10,"(41.608894, 2.288695)"
1188,ROBA DONA,C SANT ROC,1,"(41.608492, 2.288015)"
1200,BASAR,PL OLLES,11,"(41.608655, 2.287123)"
1243,NO ESPECIFICAT,PL J. M. FOLCH I TORRES,12,"(41.608189, 2.286599)"
1254,ROBA DONA,C SANT JAUME,3,"(41.608066, 2.285702)"
1255,ROBA INTERIOR,C SANT JAUME,3,"(41.608013, 2.285702)"
1202,ROBA DONA,PL OLLES,17,"(41.608514, 2.287329)"
1210,ROBA DONA,C SANTA ANNA,1,"(41.608628, 2.287015)"
1211,ROBA DONA,C SANTA ANNA,3,"(41.60864, 2.286951)"
1217,CORSETERIA,C SANTA ANNA,15,"(41.608712, 2.286553)"
1232,MARROQUINERIA,C SANT JAUME,1,"(41.60853, 2.28589)"
1233,ROBA ESPORTIVA,C SANT JAUME,1,"(41.60848, 2.285882)"
1241,ROBA INFANTIL,PL J. M. FOLCH I TORRES,12,"(41.608258, 2.286659)"
1340,CALÇATS,C SANTA ESPERANÇA,20,"(41.607574, 2.288649)"
1199,ROBA DONA,PL OLLES,13,"(41.608621, 2.287242)"
1204,MARROQUINERIA,PL OLLES,17,"(41.60844, 2.287339)"
1205,ROBA DONA,PL OLLES,1,"(41.608386, 2.287239)"
1206,NO ESPECIFICAT,PL OLLES,5,"(41.608449, 2.28718)"
1267,ROBA DONA,PL ESGLESIA,1,"(41.607719, 2.286396)"
1310,NO ESPECIFICAT,PL PORXADA,13,"(41.608231, 2.287699)"
1105,NO ESPECIFICAT,PL LLUIS PERPINYA,30,"(41.609254, 2.289358)"
1159,OUS I LACTICS,PL MALUQUER I SALVADOR,10,"(41.608876, 2.288825)"
1055,BASAR,PL CORONA,14,"(41.605885, 2.288492)"
1065,ROBA ESPORTIVA,C ANSELM CLAVE,63,"(41.6065, 2.288576)"
1083,ROBA DONA,C ANSELM CLAVE,21,"(41.607843, 2.288875)"
1085,ROBA INFANTIL,C ANSELM CLAVE,11,"(41.607981, 2.288905)"
1094,CALÇATS,PL MALUQUER I SALVADOR,24,"(41.608668, 2.289049)"
1099,CALÇATS,PL MALUQUER I SALVADOR,19,"(41.60899, 2.289118)"
1110,ROSTISSERIA,PL LLUIS PERPINYA,19,"(41.609371, 2.289534)"
1140,ROBA HOME/DONA,PL LLUIS PERPINYA,2,"(41.609241, 2.289131)"
1144,ROBA DONA,PL MALUQUER I SALVADOR,12,"(41.608985, 2.28908)"
1148,ROBA HOME,PL MALUQUER I SALVADOR,24,"(41.608721, 2.289023)"
1165,ANIMALS,PL MALUQUER I SALVADOR,8,"(41.608937, 2.288496)"
1172,BASAR,PL MALUQUER I SALVADOR,3,"(41.608605, 2.288823)"
1048,ROBA HOME,PL CORONA,21,"(41.605462, 2.288402)"
1049,ROBA INTERIOR,PL CORONA,20,"(41.605547, 2.28842)"
1061,ROBA INTERIOR,C ANSELM CLAVE,69,"(41.606252, 2.288522)"
1142,ROBA INTERIOR,PL MALUQUER I SALVADOR,14,"(41.609097, 2.289101)"
1222,ROBA HOME,C SANTA ANNA,27,"(41.608788, 2.28615)"
1231,ROBA HOME,C SANT JAUME,1,"(41.608579, 2.285897)"
1247,ROBA INTERIOR,PL J. M. FOLCH I TORRES,16,"(41.608224, 2.286282)"
1248,ROBA DONA,PL J. M. FOLCH I TORRES,16,"(41.608215, 2.286205)"
1268,ROBA DONA,PL ESGLESIA,1,"(41.607719, 2.286498)"
1294,FRUITA I VERDURA,PL PORXADA,0,"(41.608077, 2.287712)"
1303,FRUITA I VERDURA,PL PORXADA,0,"(41.608155, 2.287681)"
1308,ROBA HOME/DONA,PL PORXADA,15,"(41.608212, 2.287847)"
1311,NO ESPECIFICAT,PL PORXADA,11,"(41.608239, 2.287633)"
1078,MITJONS/MITGES,C ANSELM CLAVE,31,"(41.607425, 2.288782)"
1100,ROBA DONA,PL MALUQUER I SALVADOR,18,"(41.609048, 2.289129)"
1125,PARAMENT DE LA LLAR,C JOAN PRIM,8,"(41.610045, 2.289367)"
1135,PERFUMERIA I COSMÈTICA,PL LLUIS PERPINYA,8,"(41.609499, 2.289194)"
1143,ROBA HOME,PL MALUQUER I SALVADOR,13,"(41.609039, 2.28909)"
1151,ROBA HOME/DONA,PL MALUQUER I SALVADOR,27,"(41.608495, 2.288979)"
1164,ANIMALS,PL MALUQUER I SALVADOR,9,"(41.60891, 2.288583)"
