DATA DE RECOLLIDA,SO2 (µg/m³),NO (µg/m³),NO2 (µg/m³),O3 (µg/m³),CO (mg/m³),PM10 (µg/m³)
21/10/2010,5,62,59,19,0.3,
22/10/2010,5,68,65,18,0.5,
23/10/2010,4,65,60,26,0.4,
24/10/2010,2,25,38,34,0.3,
25/10/2010,3,30,31,50,0.3,
26/10/2010,4,31,57,32,0.3,
27/10/2010,9,106,82,10,0.4,
28/10/2010,9,112,86,9,0.5,
29/10/2010,8,127,96,15,0.9,
30/10/2010,2,28,57,17,0.6,
31/10/2010,1,11,35,39,0.3,
01/11/2010,2,29,43,11,0.5,
02/11/2010,6,65,57,13,0.7,
03/11/2010,6,91,67,8,1,
04/11/2010,6,108,66,6,0.7,
05/11/2010,5,101,59,4,0.5,
06/11/2010,4,60,45,12,0.4,
08/11/2010,1,12,37,35,,
09/11/2010,2,21,37,40,0.2,
10/11/2010,1,11,30,38,0.2,
11/11/2010,3,36,47,20,0.5,
12/11/2010,5,58,55,16,0.5,
13/11/2010,5,60,55,14,0.5,
14/11/2010,1,16,43,16,0.4,
15/11/2010,4,34,44,18,0.5,
16/11/2010,1,18,36,36,0.3,
17/11/2010,6,58,60,6,0.4,
18/11/2010,3,31,48,12,0.4,
19/11/2010,13,181,98,3,0.7,
20/11/2010,7,115,87,3,0.8,
21/11/2010,3,55,68,16,0.5,
22/11/2010,5,75,72,12,0.8,
23/11/2010,6,97,79,12,0.4,
24/11/2010,8,102,79,6,0.7,
25/11/2010,7,115,81,10,0.8,
26/11/2010,5,74,79,11,0.4,
27/11/2010,2,27,61,19,0.4,
28/11/2010,2,20,59,23,0.4,
29/11/2010,8,111,82,10,0.7,
30/11/2010,3,26,67,17,0.5,
01/12/2010,3,47,71,16,0.4,
02/12/2010,4,67,71,14,0.3,
03/12/2010,6,62,70,15,0.2,
04/12/2010,5,75,74,11,0.2,
05/12/2010,6,58,80,12,0.2,
06/12/2010,7,79,85,7,0.2,
07/12/2010,11,114,94,5,0.2,
08/12/2010,4,49,72,17,0.2,
09/12/2010,6,85,77,2,0.2,
10/12/2010,5,69,68,4,0.2,
11/12/2010,8,110,81,6,0.2,
12/12/2010,6,119,91,6,0.2,
13/12/2010,7,102,96,3,0.2,
14/12/2010,1,9,55,23,0.2,
15/12/2010,3,30,68,19,0.2,
16/12/2010,6,66,82,17,0.2,
17/12/2010,5,47,61,20,0.2,
18/12/2010,7,79,66,9,0.2,
19/12/2010,4,51,62,4,0.2,
20/12/2010,10,141,79,7,0.2,
21/12/2010,27,398,133,1,0.2,
22/12/2010,10,169,86,2,0.2,
23/12/2010,3,22,47,11,0.2,
24/12/2010,1,9,22,21,0.2,
25/12/2010,2,20,39,15,0.2,
26/12/2010,3,29,41,19,0.2,
27/12/2010,8,145,90,3,0.2,
28/12/2010,11,153,87,2,0.2,
29/12/2010,8,117,73,3,0.2,
30/12/2010,1,11,39,15,0.2,
31/12/2010,2,20,39,5,0.2,
01/01/2011,2,42,34,2,0.2,
02/01/2011,1,21,26,10,0.2,
03/01/2011,4,37,35,10,0.2,
04/01/2011,7,80,54,6,0.2,
05/01/2011,5,78,59,1,0.2,
06/01/2011,6,82,55,3,0.2,
07/01/2011,8,114,58,2,0.2,
08/01/2011,3,45,42,16,0.2,
09/01/2011,2,22,33,15,0.2,
10/01/2011,4,33,38,14,0.2,
11/01/2011,8,83,51,9,0.2,
12/01/2011,9,108,63,1,0.2,
13/01/2011,11,157,75,1,0.2,
14/01/2011,13,207,87,1,0.2,
15/01/2011,7,91,52,8,0.2,
16/01/2011,5,50,48,7,0.2,
17/01/2011,2,24,43,2,0.2,
18/01/2011,9,105,67,3,0.2,
19/01/2011,8,131,70,2,0.2,
20/01/2011,2,17,32,10,0.2,
21/01/2011,4,48,36,30,0.2,
22/01/2011,4,25,30,18,0.3,
23/01/2011,3,20,25,16,0.4,
24/01/2011,13,135,70,7,0.7,
25/01/2011,12,174,82,8,0.6,
26/01/2011,12,123,72,10,0.5,
27/01/2011,4,15,45,29,0.2,
28/01/2011,2,7,34,43,0.3,
29/01/2011,3,17,37,35,0.4,
30/01/2011,2,20,31,28,0.3,
31/01/2011,4,27,36,25,0.3,
01/02/2011,5,70,49,15,0.6,
02/02/2011,7,68,54,20,0.4,
03/02/2011,11,130,72,9,0.6,
04/02/2011,11,156,73,8,0.7,
05/02/2011,7,119,65,13,0.8,
06/02/2011,6,128,64,17,0.6,
07/02/2011,9,99,81,17,0.5,
08/02/2011,5,45,56,11,0.5,
09/02/2011,5,45,65,19,0.4,
10/02/2011,7,69,68,14,0.5,
11/02/2011,6,43,63,19,0.4,
12/02/2011,4,28,50,22,0.5,
13/02/2011,,34,48,24,0.4,
14/02/2011,,61,52,8,0.5,
15/02/2011,3,98,64,4,0.5,
16/02/2011,3,54,51,23,0.3,
17/02/2011,5,54,62,10,0.4,
18/02/2011,5,52,55,20,0.5,
19/02/2011,5,66,65,16,0.5,
20/02/2011,3,27,45,14,0.4,
21/02/2011,4,54,43,30,0.4,
22/02/2011,2,24,43,34,0.4,
23/02/2011,5,55,50,25,0.4,
24/02/2011,4,53,54,17,0.4,
25/02/2011,8,93,79,12,0.6,
26/02/2011,2,29,45,35,0.4,
27/02/2011,1,6,24,54,0.3,
28/02/2011,4,33,55,28,0.3,
01/03/2011,6,48,55,22,0.4,
02/03/2011,4,35,50,34,0.4,
03/03/2011,2,6,24,40,0.3,
04/03/2011,2,4,19,62,0.3,
05/03/2011,2,23,38,45,0.4,
06/03/2011,4,42,49,36,0.5,
07/03/2011,4,55,53,50,0.5,
08/03/2011,1,3,21,76,0.3,
09/03/2011,3,26,41,43,0.3,
10/03/2011,4,53,66,23,0.5,
11/03/2011,5,62,49,45,0.5,
12/03/2011,1,3,14,69,0.3,
13/03/2011,1,5,21,41,0.3,
14/03/2011,2,3,16,56,0.4,
15/03/2011,1,3,16,62,0.3,
16/03/2011,3,22,38,21,0.4,
17/03/2011,2,30,37,25,0.3,
18/03/2011,4,46,43,25,0.4,
21/03/2011,1,,,78,0.2,
22/03/2011,2,,,64,0.2,
23/03/2011,1,2,32,71,0.2,
24/03/2011,2,4,36,72,0.3,
25/03/2011,4,23,59,46,0.3,
26/03/2011,2,21,48,37,0.4,
27/03/2011,1,2,27,60,0.3,
28/03/2011,3,25,44,44,0.3,
29/03/2011,2,43,47,28,0.4,
30/03/2011,3,44,47,30,0.4,
31/03/2011,4,47,41,28,0.4,
01/04/2011,5,57,50,26,0.4,
02/04/2011,3,10,16,39,0.2,
03/04/2011,2,5,11,41,0.3,
04/04/2011,3,24,24,31,0.4,
05/04/2011,2,25,27,33,0.4,
06/04/2011,3,41,28,48,0.3,
07/04/2011,3,23,52,40,0.3,
08/04/2011,6,54,66,38,0.4,
09/04/2011,2,22,32,47,0.3,
10/04/2011,2,9,22,61,0.4,
11/04/2011,2,15,31,39,0.3,
12/04/2011,3,19,26,44,0.3,
13/04/2011,1,4,,57,0.3,
14/04/2011,3,11,,60,0.2,
15/04/2011,2,13,,68,0.2,
16/04/2011,1,6,,69,0.2,
17/04/2011,2,1,,69,0.3,
18/04/2011,6,25,,65,0.3,
19/04/2011,1,4,,73,0.2,
20/04/2011,2,2,20,78,0.2,
21/04/2011,1,1,10,105,0.2,
22/04/2011,2,1,8,99,0.2,
23/04/2011,1,2,18,71,0.2,
24/04/2011,1,1,5,88,0.2,
25/04/2011,1,4,21,63,0.3,
26/04/2011,3,36,52,26,0.3,
27/04/2011,4,42,44,58,0.3,
28/04/2011,2,7,33,77,0.3,
29/04/2011,1,3,23,73,0.2,
30/04/2011,1,1,15,96,0.2,
01/05/2011,1,5,27,57,0.4,
02/05/2011,1,1,19,73,0.3,
03/05/2011,3,30,48,34,0.3,
04/05/2011,3,21,35,51,0.4,
05/05/2011,2,16,38,56,0.3,
06/05/2011,1,3,23,81,0.2,
07/05/2011,1,1,9,91,0.2,
08/05/2011,1,1,11,76,0.2,
09/05/2011,3,25,25,45,0.3,
10/05/2011,2,2,25,72,0.2,
11/05/2011,3,23,49,41,0.3,
12/05/2011,3,18,40,60,0.4,
13/05/2011,1,4,31,67,0.2,
14/05/2011,3,7,28,63,0.2,
15/05/2011,1,1,13,67,0.2,
16/05/2011,2,10,33,43,0.2,
17/05/2011,4,22,44,39,0.3,
18/05/2011,3,16,30,58,0.2,
19/05/2011,1,1,17,80,0.2,
20/05/2011,3,16,31,68,0.3,
21/05/2011,1,8,37,65,0.3,
22/05/2011,1,7,36,64,0.3,
23/05/2011,2,15,45,57,0.2,
24/05/2011,3,23,57,58,0.3,
25/05/2011,2,15,43,75,0.3,
26/05/2011,5,17,37,71,0.2,
27/05/2011,1,3,27,66,0.3,
28/05/2011,1,2,20,68,0.2,
29/05/2011,1,3,22,57,0.2,
30/05/2011,4,7,24,64,0.2,
31/05/2011,1,11,28,48,0.4,
01/06/2011,1,3,19,68,0.2,
02/06/2011,1,6,25,57,0.2,
03/06/2011,2,18,32,42,0.2,
04/06/2011,1,5,22,56,0.3,
05/06/2011,1,1,16,75,0.2,
06/06/2011,2,7,29,59,0.2,
07/06/2011,2,7,30,46,0.2,
08/06/2011,1,8,24,48,0.3,
09/06/2011,1,3,19,60,0.2,
10/06/2011,1,5,21,45,0.2,
11/06/2011,1,3,16,52,0.2,
12/06/2011,1,1,12,68,0.3,
13/06/2011,1,1,12,57,0.2,
14/06/2011,2,12,26,43,0.2,
15/06/2011,2,21,33,44,0.3,
16/06/2011,5,21,32,47,0.3,
17/06/2011,3,7,31,54,0.4,
18/06/2011,1,2,16,63,0.2,
19/06/2011,1,1,9,67,0.3,
20/06/2011,2,9,29,42,0.4,
21/06/2011,3,13,37,39,0.3,
22/06/2011,3,13,29,47,0.3,
23/06/2011,3,9,20,49,0.2,
24/06/2011,2,1,12,67,0.2,
25/06/2011,2,4,18,68,0.3,
26/06/2011,1,7,24,67,0.3,
27/06/2011,3,13,38,55,0.3,
28/06/2011,3,20,53,60,0.2,
29/06/2011,3,9,39,69,0.2,
30/06/2011,1,4,25,70,0.2,
01/07/2011,3,11,39,65,0.2,
02/07/2011,1,3,25,65,0.3,
03/07/2011,1,1,19,74,0.2,
04/07/2011,2,4,40,60,0.3,
05/07/2011,2,18,47,56,0.3,
06/07/2011,2,15,34,61,0.3,
07/07/2011,1,3,21,87,0.2,
08/07/2011,2,2,28,70,0.2,
09/07/2011,1,4,27,74,0.2,
10/07/2011,2,1,17,83,0.2,
11/07/2011,1,12,39,57,0.2,
12/07/2011,1,13,38,38,0.3,
13/07/2011,1,2,20,71,0.2,
14/07/2011,1,5,29,60,0.4,
15/07/2011,2,5,29,65,0.3,
16/07/2011,1,6,27,59,0.3,
17/07/2011,1,2,18,49,0.2,
18/07/2011,3,10,23,35,0.2,
19/07/2011,1,2,19,52,0.3,
20/07/2011,1,6,24,50,0.2,
21/07/2011,1,4,23,54,0.2,
22/07/2011,1,4,28,39,0.2,
23/07/2011,2,1,17,68,0.2,
24/07/2011,1,1,13,67,0.2,
25/07/2011,2,6,23,42,0.4,
26/07/2011,1,11,20,38,0.3,
27/07/2011,1,8,20,29,0.3,
28/07/2011,2,8,25,60,0.4,
29/07/2011,3,8,30,53,0.3,
30/07/2011,1,8,29,44,0.2,
31/07/2011,1,12,21,56,0.2,
01/08/2011,2,12,26,55,0.2,
02/08/2011,1,5,18,67,0.2,
03/08/2011,1,2,17,77,0.4,
04/08/2011,2,10,31,52,0.2,
05/08/2011,1,9,26,44,0.3,
06/08/2011,1,2,18,45,0.5,
07/08/2011,1,1,8,59,0.3,
08/08/2011,1,8,21,43,0.2,
09/08/2011,3,4,23,45,0.2,
10/08/2011,1,5,26,54,0.3,
11/08/2011,2,17,35,47,0.3,
12/08/2011,2,24,38,38,0.3,
13/08/2011,3,8,32,58,0.2,
14/08/2011,2,3,22,68,0.2,
15/08/2011,1,3,24,64,0.2,
16/08/2011,1,13,35,47,0.2,
17/08/2011,2,13,35,48,0.3,
18/08/2011,1,7,25,53,0.2,
19/08/2011,1,15,31,44,0.4,
20/08/2011,2,23,42,45,0.3,
21/08/2011,1,18,44,49,0.2,
22/08/2011,4,25,47,48,0.3,
23/08/2011,2,15,32,61,0.3,
24/08/2011,1,2,17,70,0.2,
25/08/2011,1,3,20,58,0.4,
26/08/2011,2,9,22,50,0.3,
27/08/2011,2,9,22,47,0.3,
28/08/2011,2,3,21,55,0.2,
29/08/2011,1,14,28,42,0.3,
30/08/2011,3,6,28,47,0.3,
31/08/2011,4,9,29,46,0.3,
01/09/2011,1,4,24,52,0.3,
02/09/2011,1,6,30,49,0.3,
03/09/2011,1,4,19,49,0.2,
04/09/2011,1,3,19,71,0.2,
05/09/2011,1,4,21,52,0.2,
06/09/2011,3,24,35,30,0.3,
07/09/2011,2,23,34,50,0.3,
08/09/2011,2,5,32,56,0.2,
09/09/2011,3,16,36,42,0.3,
10/09/2011,1,6,27,56,0.2,
11/09/2011,1,3,23,51,0.2,
12/09/2011,1,12,32,39,0.2,
13/09/2011,4,10,32,47,0.3,
14/09/2011,1,22,43,39,0.3,
15/09/2011,2,31,47,39,0.3,
16/09/2011,2,22,47,34,0.3,
17/09/2011,1,10,32,41,0.3,
18/09/2011,1,1,17,45,0.2,
19/09/2011,2,18,30,37,0.2,
20/09/2011,1,13,38,41,0.2,
21/09/2011,2,22,43,31,0.3,
22/09/2011,4,38,47,35,0.3,
23/09/2011,2,30,45,35,0.3,
24/09/2011,1,11,35,33,0.3,
25/09/2011,1,2,23,47,0.2,
26/09/2011,2,35,42,40,0.4,
27/09/2011,2,34,48,44,0.4,
28/09/2011,3,18,45,63,0.3,
29/09/2011,2,14,38,73,0.3,
30/09/2011,2,11,36,73,0.4,
01/10/2011,2,2,24,76,0.4,
02/10/2011,1,11,43,50,0.3,
03/10/2011,5,59,67,33,0.4,
04/10/2011,2,41,65,47,0.3,
05/10/2011,4,41,62,48,0.3,
06/10/2011,2,23,54,57,0.4,
07/10/2011,2,36,46,28,0.3,
08/10/2011,1,8,28,47,0.2,
09/10/2011,1,7,35,40,0.4,
10/10/2011,4,61,65,15,0.4,
11/10/2011,5,68,75,20,0.4,
12/10/2011,3,47,65,35,0.4,
13/10/2011,5,62,63,33,0.5,
14/10/2011,2,15,33,51,0.2,
15/10/2011,1,1,22,62,0.2,
16/10/2011,1,5,40,41,0.2,
17/10/2011,3,35,47,34,0.5,
18/10/2011,5,50,61,24,0.3,
19/10/2011,5,36,47,42,0.4,
20/10/2011,1,4,27,40,0.2,
21/10/2011,2,39,38,33,0.3,
22/10/2011,1,4,25,51,0.3,
23/10/2011,1,13,41,23,0.3,
24/10/2011,2,16,43,30,0.3,
25/10/2011,3,24,41,30,0.4,
26/10/2011,3,51,61,16,0.4,
27/10/2011,1,32,51,23,0.4,
28/10/2011,1,8,30,30,0.3,
29/10/2011,1,1,14,49,0.3,
30/10/2011,3,18,28,27,0.3,
31/10/2011,3,64,51,12,0.4,
01/11/2011,2,29,49,22,0.4,
02/11/2011,1,33,46,19,0.3,
03/11/2011,1,20,42,27,0.3,
04/11/2011,2,16,45,19,0.2,
05/11/2011,2,8,35,24,0.2,
06/11/2011,1,5,24,43,0.2,
07/11/2011,2,48,55,21,0.4,
08/11/2011,3,62,49,13,0.5,
09/11/2011,4,67,51,9,0.5,
10/11/2011,7,88,59,9,0.4,
11/11/2011,3,89,64,13,0.6,
12/11/2011,2,29,45,28,0.4,
13/11/2011,1,2,27,34,0.2,
14/11/2011,1,2,29,43,0.3,
15/11/2011,1,1,22,54,0.2,
16/11/2011,1,8,31,49,0.3,
17/11/2011,2,26,43,18,0.3,
18/11/2011,4,57,46,8,0.3,
19/11/2011,1,20,34,25,0.2,
20/11/2011,1,1,19,50,0.2,
21/11/2011,2,2,22,49,0.3,
22/11/2011,1,2,15,61,0.2,
23/11/2011,4,81,57,11,0.4,
24/11/2011,8,135,62,5,0.7,
25/11/2011,7,138,65,6,0.5,
26/11/2011,4,99,54,6,0.5,
27/11/2011,3,70,44,12,0.6,
28/11/2011,2,44,38,19,0.3,
29/11/2011,8,105,64,8,0.6,
30/11/2011,8,123,67,5,0.4,
01/12/2011,7,84,63,6,0.5,
02/12/2011,4,59,58,10,0.4,
03/12/2011,1,21,37,14,0.3,
04/12/2011,1,5,21,30,0.2,
05/12/2011,2,20,33,22,0.3,
06/12/2011,4,40,41,13,0.4,
07/12/2011,5,81,47,13,0.5,
08/12/2011,4,69,45,8,0.5,
09/12/2011,9,162,61,2,0.8,
10/12/2011,5,123,53,6,0.7,
11/12/2011,5,72,47,7,0.8,
12/12/2011,4,59,44,5,0.5,
13/12/2011,4,66,46,16,0.5,
14/12/2011,3,29,47,18,0.3,
15/12/2011,5,74,59,12,0.6,
16/12/2011,1,9,32,31,0.2,
17/12/2011,3,22,40,28,0.3,
18/12/2011,1,8,24,37,0.5,
19/12/2011,9,89,61,11,0.9,
20/12/2011,9,105,57,10,0.6,
21/12/2011,18,203,83,2,0.8,
22/12/2011,2,49,44,20,0.3,
23/12/2011,9,164,69,4,0.7,
24/12/2011,3,54,43,9,0.5,
25/12/2011,4,38,41,10,0.7,
26/12/2011,4,55,46,13,0.6,
27/12/2011,8,126,62,15,0.7,
28/12/2011,9,133,72,5,1,
29/12/2011,8,116,69,7,0.7,
30/12/2011,5,49,53,18,0.5,
31/12/2011,1,21,44,25,0.3,
01/01/2012,3,80,57,10,0.5,
02/01/2012,1,42,52,11,0.5,
03/01/2012,9,127,70,8,0.5,
04/01/2012,3,56,57,10,0.6,
05/01/2012,6,58,59,12,0.5,
06/01/2012,1,21,47,21,0.4,
07/01/2012,3,52,52,10,0.6,
08/01/2012,3,71,51,12,0.6,
09/01/2012,11,139,69,5,0.6,
10/01/2012,13,206,86,5,1,
11/01/2012,11,152,76,5,0.6,
12/01/2012,13,134,71,6,0.7,
13/01/2012,8,137,65,3,0.7,
14/01/2012,7,110,66,4,0.7,
15/01/2012,3,42,49,9,0.6,
16/01/2012,2,17,37,30,0.6,
17/01/2012,2,19,40,37,0.5,
18/01/2012,9,157,73,7,0.8,
19/01/2012,10,151,75,5,0.8,
20/01/2012,10,169,87,4,0.7,
21/01/2012,5,95,63,10,0.6,
22/01/2012,4,56,51,14,0.5,
23/01/2012,10,166,74,5,0.7,
24/01/2012,5,79,57,9,0.4,
25/01/2012,10,131,73,6,0.5,
26/01/2012,10,129,78,7,0.9,
27/01/2012,6,84,67,8,0.4,
28/01/2012,1,22,50,16,0.4,
29/01/2012,2,13,34,19,0.7,
30/01/2012,6,79,62,8,0.5,
31/01/2012,8,98,70,11,0.7,
01/02/2012,5,55,57,12,0.6,
02/02/2012,1,9,33,25,0.5,
03/02/2012,2,17,42,27,0.3,
04/02/2012,5,24,47,35,0.3,
05/02/2012,3,42,64,15,0.4,
06/02/2012,6,63,48,29,0.4,
07/02/2012,4,15,41,47,0.4,
08/02/2012,8,50,64,23,0.5,
09/02/2012,6,19,46,25,0.4,
10/02/2012,5,53,66,21,0.6,
11/02/2012,4,21,43,35,0.5,
12/02/2012,2,7,25,51,0.4,
13/02/2012,11,58,67,23,0.6,
14/02/2012,11,79,74,13,0.6,
15/02/2012,7,82,62,19,0.4,
16/02/2012,7,69,64,20,0.6,
17/02/2012,4,24,48,29,0.4,
18/02/2012,6,56,58,18,0.6,
19/02/2012,3,25,48,23,0.5,
20/02/2012,4,26,43,27,0.3,
21/02/2012,5,48,51,35,0.5,
22/02/2012,11,147,92,14,0.8,
23/02/2012,11,146,103,14,0.7,
24/02/2012,14,136,96,19,0.7,
25/02/2012,9,93,85,15,0.8,
26/02/2012,5,38,69,28,0.6,
27/02/2012,7,62,67,19,0.5,
28/02/2012,5,52,49,24,0.4,
29/02/2012,10,101,83,19,0.6,
01/03/2012,8,106,85,24,0.6,
02/03/2012,6,45,66,27,0.5,
03/03/2012,2,19,45,30,0.4,
04/03/2012,3,36,40,26,0.5,
05/03/2012,3,12,33,38,0.3,
06/03/2012,4,34,46,35,0.3,
07/03/2012,4,34,51,32,0.3,
08/03/2012,4,41,57,28,0.3,
09/03/2012,4,39,46,35,0.4,
10/03/2012,4,34,57,34,0.4,
11/03/2012,4,26,49,34,0.4,
12/03/2012,5,42,64,20,0.4,
13/03/2012,7,77,68,27,0.5,
14/03/2012,5,67,75,33,0.5,
15/03/2012,5,54,83,29,0.5,
16/03/2012,5,63,69,36,0.4,
17/03/2012,3,12,48,40,0.4,
18/03/2012,3,5,19,52,0.3,
19/03/2012,1,15,28,45,0.3,
20/03/2012,1,4,10,57,0.2,
21/03/2012,1,1,7,67,0.2,
22/03/2012,1,6,31,53,0.3,
23/03/2012,1,10,35,40,0.3,
24/03/2012,4,28,43,34,0.3,
25/03/2012,4,30,46,35,0.3,
26/03/2012,3,37,48,49,0.3,
27/03/2012,4,45,58,49,0.4,
28/03/2012,7,57,66,41,0.4,
29/03/2012,5,28,59,43,0.4,
30/03/2012,6,63,76,41,0.5,
31/03/2012,5,27,56,44,0.4,
01/04/2012,2,11,32,55,0.4,
02/04/2012,2,26,39,54,0.4,
03/04/2012,3,16,34,31,0.3,
04/04/2012,1,2,20,49,0.3,
05/04/2012,6,5,32,31,0.3,
06/04/2012,2,8,23,43,0.3,
07/04/2012,2,4,23,65,0.2,
08/04/2012,2,2,18,67,0.2,
09/04/2012,2,5,30,44,0.2,
10/04/2012,5,34,52,34,0.3,
11/04/2012,5,9,24,60,0.2,
12/04/2012,3,31,47,32,0.3,
13/04/2012,3,13,33,39,0.3,
14/04/2012,3,17,25,46,0.3,
15/04/2012,3,5,28,43,0.3,
16/04/2012,2,8,37,58,0.2,
17/04/2012,5,26,57,42,0.3,
18/04/2012,2,6,36,54,0.3,
19/04/2012,1,4,16,75,0.2,
20/04/2012,2,7,25,59,0.3,
21/04/2012,2,5,24,59,0.3,
22/04/2012,3,2,12,71,0.3,
23/04/2012,2,6,32,65,0.4,
24/04/2012,4,6,31,59,0.2,
25/04/2012,4,36,42,49,0.3,
26/04/2012,4,10,35,70,0.3,
27/04/2012,3,3,22,66,0.3,
28/04/2012,2,1,11,82,0.2,
29/04/2012,4,2,15,76,0.2,
30/04/2012,2,4,20,76,0.2,
01/05/2012,3,4,20,63,0.2,
02/05/2012,2,11,39,47,0.3,
03/05/2012,5,25,46,46,0.3,
04/05/2012,7,14,52,36,0.3,
05/05/2012,6,16,28,50,0.2,
06/05/2012,3,2,17,67,0.2,
07/05/2012,3,25,40,46,0.3,
08/05/2012,3,20,48,43,0.3,
09/05/2012,4,5,27,66,0.2,
10/05/2012,3,27,61,43,0.3,
11/05/2012,7,47,77,32,0.3,
12/05/2012,3,8,38,54,0.2,
13/05/2012,2,2,15,63,0.2,
14/05/2012,2,3,29,77,0.3,
15/05/2012,2,7,30,66,0.2,
16/05/2012,3,4,23,64,0.2,
17/05/2012,3,14,49,42,0.6,
18/05/2012,3,3,22,67,0.5,
19/05/2012,1,,,80,0.2,
20/05/2012,2,,,57,0.3,
21/05/2012,3,,,44,0.5,
22/05/2012,2,,,53,0.3,
23/05/2012,1,7,47,67,0.2,
24/05/2012,5,25,58,43,0.3,
25/05/2012,6,34,62,50,0.4,
26/05/2012,4,5,34,58,0.3,
27/05/2012,2,3,19,66,0.2,
28/05/2012,5,14,37,45,0.3,
29/05/2012,4,19,37,45,0.3,
30/05/2012,2,27,46,51,0.3,
31/05/2012,8,21,50,51,0.5,
01/06/2012,4,33,68,49,0.4,
02/06/2012,3,7,53,58,0.3,
03/06/2012,2,2,32,59,0.3,
04/06/2012,2,9,26,44,0.3,
05/06/2012,2,11,35,49,0.3,
06/06/2012,3,9,26,64,0.3,
07/06/2012,2,14,37,58,0.3,
08/06/2012,2,5,27,64,0.2,
09/06/2012,3,3,23,59,0.2,
10/06/2012,1,1,17,65,0.2,
11/06/2012,2,10,16,48,0.5,
12/06/2012,3,5,16,59,0.2,
13/06/2012,3,9,16,49,0.2,
14/06/2012,3,13,26,43,0.4,
15/06/2012,5,17,40,47,0.3,
16/06/2012,6,17,41,50,0.2,
17/06/2012,4,5,26,62,0.2,
18/06/2012,5,11,31,59,0.2,
19/06/2012,3,6,27,67,0.2,
20/06/2012,4,9,28,80,0.2,
21/06/2012,5,13,36,66,0.3,
22/06/2012,7,4,25,76,0.2,
23/06/2012,7,5,27,71,0.2,
24/06/2012,7,5,32,68,0.3,
25/06/2012,7,12,42,66,0.2,
26/06/2012,7,9,44,58,0.2,
27/06/2012,8,21,51,53,0.3,
28/06/2012,8,11,35,63,0.4,
29/06/2012,9,10,37,71,0.3,
30/06/2012,5,5,20,74,0.3,
01/07/2012,1,5,23,42,0.3,
02/07/2012,1,6,24,52,0.2,
03/07/2012,1,12,40,49,0.2,
04/07/2012,1,7,36,52,0.3,
05/07/2012,1,4,15,65,0.2,
06/07/2012,1,11,27,56,0.2,
07/07/2012,1,6,22,51,0.2,
08/07/2012,1,3,17,55,0.2,
09/07/2012,2,13,32,47,0.2,
10/07/2012,1,14,29,50,0.3,
11/07/2012,1,8,19,64,0.3,
12/07/2012,3,6,27,53,0.2,
13/07/2012,4,5,31,54,0.2,
14/07/2012,4,2,19,51,0.2,
15/07/2012,6,2,15,55,0.2,
16/07/2012,6,7,21,53,0.3,
17/07/2012,7,16,41,48,0.2,
18/07/2012,8,21,53,48,0.2,
19/07/2012,6,19,35,61,0.2,
20/07/2012,5,5,24,68,0.3,
21/07/2012,6,3,17,66,0.2,
22/07/2012,6,2,11,75,0.2,
23/07/2012,6,2,18,79,0.2,
24/07/2012,7,17,47,56,0.2,
25/07/2012,7,11,43,66,0.3,
26/07/2012,6,10,47,51,0.3,
27/07/2012,5,2,19,96,0.2,
28/07/2012,5,3,21,86,0.3,
29/07/2012,5,2,23,69,0.2,
30/07/2012,5,3,22,60,0.2,
31/07/2012,5,7,23,62,0.2,
01/08/2012,5,6,25,68,0.2,
02/08/2012,6,7,26,67,0.5,
03/08/2012,7,11,39,59,0.2,
04/08/2012,7,6,30,64,0.2,
05/08/2012,6,1,14,80,0.2,
06/08/2012,5,3,17,60,0.2,
07/08/2012,5,7,25,53,0.2,
08/08/2012,6,17,41,50,0.2,
09/08/2012,7,15,43,51,0.2,
10/08/2012,8,12,46,59,0.3,
11/08/2012,8,8,32,73,0.2,
12/08/2012,7,2,19,69,0.2,
13/08/2012,8,11,28,55,0.3,
14/08/2012,6,7,22,59,0.3,
15/08/2012,4,2,13,67,0.3,
16/08/2012,4,2,13,71,0.2,
17/08/2012,5,7,25,57,0.2,
18/08/2012,4,8,29,52,0.2,
19/08/2012,3,4,31,53,0.2,
20/08/2012,4,8,38,52,0.3,
21/08/2012,1,21,53,49,0.2,
22/08/2012,1,18,45,57,0.2,
23/08/2012,1,12,38,57,0.2,
24/08/2012,1,15,36,62,0.3,
25/08/2012,1,1,14,77,0.3,
26/08/2012,1,1,7,67,0.2,
27/08/2012,1,9,21,54,0.3,
28/08/2012,1,5,24,54,0.3,
29/08/2012,1,3,18,57,0.3,
30/08/2012,1,5,16,46,0.2,
31/08/2012,1,8,21,49,0.2,
01/09/2012,1,5,18,61,0.2,
02/09/2012,1,5,27,54,0.2,
03/09/2012,2,26,36,56,0.3,
04/09/2012,1,6,19,81,0.3,
05/09/2012,2,3,26,60,0.3,
06/09/2012,4,5,32,69,0.3,
07/09/2012,4,14,57,63,0.4,
08/09/2012,1,15,47,61,0.3,
09/09/2012,1,2,25,83,0.3,
10/09/2012,1,4,27,64,0.3,
11/09/2012,1,4,24,57,0.2,
12/09/2012,1,24,36,46,0.3,
13/09/2012,1,6,28,52,0.2,
14/09/2012,2,20,45,44,0.2,
15/09/2012,2,14,36,53,0.3,
16/09/2012,1,2,16,70,0.3,
17/09/2012,1,7,37,37,0.3,
18/09/2012,1,5,26,45,0.3,
19/09/2012,1,9,30,40,0.2,
