CODI,NOM DEL CENTRE,ADREÇA,TIPUS SUBMINISTRAMENT,ANY,MES,CONSUM,COST
EDI015,CENTRE CIVIC CAN BASSA CULTURA,PL JOAN OLIVER 1,Gas,2014,Setembre,0,€112.74
EDI015,CENTRE CIVIC CAN BASSA CULTURA,PL JOAN OLIVER 1,Gas,2013,Febrer,26583,€1892.84
EDI124,MAGATZEM MUSEU GRANOLLERS,"Av. Sant Julià 206, Nau 24",Aigua,2013,Juliol,0,€24.59
EDI132,CENTRE OBERT PASSEIG DE LA MUNTANYA,PG / MUNTANYA 0143 BJ - LOCAL,Aigua,2015,Gener,7,€26.97
ESC010,COL.LEGI GRANULARIUS,C/ MARESME 4,Electricitat,2011,Març,9950,€1685.85
FLO014,ALCALDIA,ALCALDIA,Gasoil,2012,Gener,1594,€226.46
EDI012,EDIFICI AJUNTAMENT,PL FOLCH I TORRES S/N,Electricitat,2011,Juliol,18175,€2704.29
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Gas,2016,Gener,35288,€2231.40
EDI008,ANTIGUES ESCOLES DE PALOU,CAMI RAL CANT PSEG FÀBREGAS,Electricitat,2016,Juliol,1563,€394.61
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Electricitat,2016,Març,5400,€1072.03
ESC024,ESCOLA BRESSOL EL TELER,C/ JAUME CORBERA CANTONADA C/ CORRO,Gas,2016,Juny,4279,€296.78
EDI124,MAGATZEM MUSEU GRANOLLERS,"Av. Sant Julià 206, Nau 24",Aigua,2015,Març,0,€25.82
EDI128,Can Muntanyola,Can Muntanyola,Electricitat,2013,Novembre,8984,€1759.76
REG190,FONT ORNAMENTAL PL SERRAT I BONASTRE,PL SERRAT I BONASTRE s/n,Electricitat,2011,Juliol,642,€155.45
ESC003,COL·LEGI FERRER I GUÀRDIA,C/ ROGER DE FLOR 179,Aigua,2011,Gener,194,€177.48
ESC004,ESCOLA MUNICIPAL SALVADOR LLOBET,C/ ROGER DE FLOR 64,Gas,2015,Desembre,19088,€1216.47
ESC006,CENTRE VALLES (ESCOLA VALLES),VENEÇUELA S/N DAVANT CEMENTIRI,Electricitat,2012,Octubre,10283,€2055.43
EDI089,CENTRE PER LA NORMALITZACIO LINGUISTICA,PRAT DE LA RIBA 82,Aigua,2012,Juliol,62,€66.52
ESP012,CAMP DE FUTBOL C/ GIRONA,C/ GIRONA S/N,Gas,2011,Gener,9393,€523.60
EDI082,CAN JONCH CENTRE CIVIC PER LA PAU,REC 19,Electricitat,2011,Setembre,1139,€234.18
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Electricitat,2015,Desembre,3619,€836.45
EDI083,EDIFICI El GRA,PLAÇA DE L´ESGLESIA S/N,Electricitat,2015,Gener,17715,€3435.58
EDI019,ANTENA EMISSORA RADIO GUARDIA RUBANA,CAMI CEMENTIRI 1,Electricitat,2015,Febrer,4442,€811.46
EDI103,SIRIUS (CENTRE AUTONOMIA PERSONAL),C/ ALMOGAVARS. 24 A,Electricitat,2015,Gener,1568,€325.83
ESP006,CAMP DE FUTBOL PONENT,C/ RAFAEL DE CASANOVA S/N,Electricitat,2016,Maig,1457,€505.32
ESC009,COL.LEGI JOAN SOLANS,PLAÇA SANT MIQUEL 20,Electricitat,2012,Octubre,2536,€537.73
ESC001,COL.LEGI SALVADOR ESPRIU,C/ JOAN CAMPS 6 - 8,Electricitat,2012,Març,8326,€1502.03
FLO008,SALUT PUBLICA I CONSUM,SALUT PUBLICA I CONSUM,Gasoil,2016,Gener,678,€91.88
EDI121,TEATRE AUDITORI,C/ GREGORI RESINA,Electricitat,2013,Juny,23424,€4837.39
EDI030,EDIFICI PORTALET,PORTALET 4,Electricitat,2014,Març,17806,€3195.84
EDI013,AAVV PONENT,C/RAFAEL CASANOVA. 52,Electricitat,2014,Octubre,649,€170.65
EDI122,CENTRE EDUCACIÓ ESPECIAL MONTSERRAT MONTERO,"CAMÍ CAN BASSA , S/N",Gasoil,2015,Gener,49192,€3235.04
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Electricitat,2013,Gener,685,€151.72
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Electricitat,2014,Març,28267,€10554.98
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Gas,2014,Gener,22873,€1532.92
ESC021,ESCOLA BRESSOL MUNICIPAL TORTUGA,C/ GARROTXA 8,Gas,2015,Agost,57,€74.80
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Electricitat,2014,Març,2846,€777.11
ESP013,PAVELLO EL CONGOST,MARIA PALAU S/N CTDA A GAUDI,Gas,2013,Gener,9661,€716.44
EDI042,EDIFICI ADMINISTRATIU CAN PUNTES,SANTA ELISABET 16,Gas,2013,Abril,9333,€827.31
ESC013,ESCOLA MUNICIPAL DEL TREBALL,C/ ROGER DE FLOR 66,Gas,2016,Abril,2617,€333.80
EDI006,CENTRE CIVIC  CAN GILI,CTRA DE CALDES BXS,Electricitat,2015,Maig,0,€152.10
ESP010,CAMP DE FUTBOL PRIMER DE MAIG,C/ PIUS XII S/N,Electricitat,2015,Setembre,5374,€1080.66
EDI011,MASIA TRES TORRES,DE LES TRES TORRES 18 - 20,Electricitat,2011,Novembre,2760,€458.72
ESC012,COL.LEGI PEREANTON,C/ ESPI I GRAU 3,Aigua,2015,Octubre,24,€70.47
EDI030,EDIFICI PORTALET,PORTALET 4,Electricitat,2015,Desembre,13252,€1915.90
ESC004,ESCOLA MUNICIPAL SALVADOR LLOBET,C/ ROGER DE FLOR 64,Electricitat,2016,Gener,3824,€772.38
ESP008,PAVELLÓ CLUB BÀSQUET GRANOLLERS,C/ GIRONA S/N,Electricitat,2013,Gener,11157,€2408.26
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Electricitat,2015,Desembre,34669,€8934.41
ESP017,CASAL DE L'ESPORT,C/ GIRONA 52 - 54,Electricitat,2014,Agost,453,€190.91
EDI048,MAGATZEM INFORMÀTICA,C/ TORRAS I BAGES 15 2n,Electricitat,2014,Gener,3279,€629.92
ESC012,COL.LEGI PEREANTON,C/ ESPI I GRAU 3,Electricitat,2016,Febrer,5545,€781.58
ESC021,ESCOLA BRESSOL MUNICIPAL TORTUGA,C/ GARROTXA 8,Aigua,2011,Gener,1,€90.12
EDI058,EDIFICI ST JOSEP,SANT JOSEP 7,Gasoil,2013,Desembre,151,€20.00
ESC024,ESCOLA BRESSOL EL TELER,C/ JAUME CORBERA CANTONADA C/ CORRO,Aigua,2011,Juliol,104,€110.72
ESP012,CAMP DE FUTBOL C/ GIRONA,C/ GIRONA S/N,Electricitat,2014,Setembre,4661,€1030.96
EDI058,EDIFICI ST JOSEP,SANT JOSEP 7,Electricitat,2013,Febrer,40916,€3575.29
ESC010,COL.LEGI GRANULARIUS,C/ MARESME 4,Electricitat,2016,Setembre,4575,€776.31
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Electricitat,2012,Setembre,544,€139.32
ESC008,COL.LEGI MESTRES MONTAÑA,CAMI CAN BASSA 1,Gas,2012,Abril,26108,€1666.98
ESC016,ESCOLA LLEDONER,C/ ROSELLÓ 95,Gas,2014,Desembre,25734,€1757.37
EDI023,MUSEU CIÈNCIES NATURALS LA TELA,FRANCESC MACIÀ 51,Electricitat,2016,Juny,1348,€393.83
EDI058,EDIFICI ST JOSEP,SANT JOSEP 7,Electricitat,2014,Setembre,16140,€2959.07
ESC016,ESCOLA LLEDONER,C/ ROSELLÓ 95,Electricitat,2011,Maig,8823,€1540.73
EDI091,UOS - UNITAT OPERATIVA SERVEIS (Edifici Nou),CAMI CAN MANY N 8,Aigua,2013,Juliol,119,€204.31
ESP005,CAMP DE FUTBOL CAN GILI,CTRA DE CALDES S/N,Aigua,2014,Març,0,€47.66
ESP012,CAMP DE FUTBOL C/ GIRONA,C/ GIRONA S/N,Electricitat,2013,Febrer,5727,€1346.66
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Gas,2012,Febrer,46802,€2824.24
EDI012,EDIFICI AJUNTAMENT,PL FOLCH I TORRES S/N,Aigua,2014,Octubre,499,€602.47
EDI087,CENTRE OBERT SUD,JULIA CENTELLES 14,Gas,2013,Octubre,288,€43.15
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Gas,2011,Febrer,12101,€631.31
EDI078,CENTRE ASSISTENCIA INTEGRAL FAMILIA - CAIF,1ª MARQUES DE LES FRANQUESES 123,Electricitat,2014,Març,780,€301.14
EDI091,UOS - UNITAT OPERATIVA SERVEIS (Edifici Nou),CAMI CAN MANY N 8,Aigua,2015,Març,81,€188.81
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Electricitat,2011,Setembre,10057,€1936.71
ESP009,PAVELLO MUNICIPAL D'ESPORTS (PARQUET),C/ LLUIS COMPANYS 1,Aigua,2015,Octubre,242,€298.33
FLO018,URBANISME,URBANISME,Gasoil,2013,Agost,804,€128.95
EDI126,CENTRE D'ACOLLIDA D'ANIMALS DOMÈSTICS,"C/SEVERO OCHOA, 103 (FONT DEL RÀDIUM)",Electricitat,2013,Juny,544,€167.98
ESC016,ESCOLA LLEDONER,C/ ROSELLÓ 95,Gas,2015,Març,37892,€2230.15
ESP008,PAVELLÓ CLUB BÀSQUET GRANOLLERS,C/ GIRONA S/N,Electricitat,2012,Setembre,8864,€2028.69
EDI122,CENTRE EDUCACIÓ ESPECIAL MONTSERRAT MONTERO,"CAMÍ CAN BASSA , S/N",Electricitat,2012,Març,7228,€1269.05
ESC003,COL·LEGI FERRER I GUÀRDIA,C/ ROGER DE FLOR 179,Electricitat,2016,Abril,5010,€872.87
EDI048,MAGATZEM INFORMÀTICA,C/ TORRAS I BAGES 15 2n,Electricitat,2012,Febrer,5082,€836.43
EDI079,BIBLIOTECA ROCA UMBERT,"MARE DE DÉU DE MONTSERRAT, 36",Aigua,2016,Març,207,€267.94
ESP013,PAVELLO EL CONGOST,MARIA PALAU S/N CTDA A GAUDI,Electricitat,2011,Febrer,4646,€554.68
ESP003,PAVELLO EL TUB,C/ CAMP DE LES MORERES S/N,Electricitat,2014,Novembre,5146,€986.19
ESP009,PAVELLO MUNICIPAL D'ESPORTS (PARQUET),C/ LLUIS COMPANYS 1,Electricitat,2016,Febrer,2428,€440.63
EDI089,CENTRE PER LA NORMALITZACIO LINGUISTICA,PRAT DE LA RIBA 82,Electricitat,2015,Abril,2755,€749.53
EDI017,ROCA UMBERT - IMPREMTA,LLUIS COMPANYS Nº 1,Electricitat,2015,Agost,1020,€379.81
EDI123,CENTRE CULTURAL MUNICIPAL,"C/Joan Camps, 1, baixos",Aigua,2014,Octubre,19,€47.11
ESP002,PISTES MUNICIPALS D' ATLETISME,C/ CAMP DE LES MORERES S/N,Electricitat,2016,Setembre,1698,€590.60
ESP019,PAVELLO D' ESPORT CAN BASSA,C/ ESTEVE TERRADES S/N,Gas,2016,Abril,12583,€652.77
ESC011,COL.LEGI FÀTIMA,C/ MARIA PALAU,Gas,2013,Octubre,0,€105.40
ESC016,ESCOLA LLEDONER,C/ ROSELLÓ 95,Gas,2013,Juliol,921,€189.50
ESP006,CAMP DE FUTBOL PONENT,C/ RAFAEL DE CASANOVA S/N,Electricitat,2013,Novembre,463,€333.98
ESP013,PAVELLO EL CONGOST,MARIA PALAU S/N CTDA A GAUDI,Gas,2012,Setembre,4298,€377.75
EDI075,ROCA UMBERT OFICINA FABRICA DE LES ARTS,MONTSERRAT,Aigua,2015,Març,22,€34.03
EDI081,CENTRE CIVIC NORD,ROSSELLO 79,Electricitat,2012,Març,7869,€1779.09
FLO011,ESPAIS VERDS,ESPAIS VERDS,Gasoil,2014,Gener,11315,€1583.63
EDI101,CENTRE OBERT DE PONENT,C/RAFAEL DE CASANOVA.70,Electricitat,2013,Juliol,329,€175.68
ESC005,COL.LEGI PONENT,C/ RAFAEL DE CASANOVA,Gas,2012,Maig,4061,€420.31
EDI001,PIS AJUDA POBLE SAHARAUI (7è),1ª MARQUES DE LES FRANQUESES 146 7- 4,Electricitat,2011,Agost,685,€80.25
EDI128,Can Muntanyola,Can Muntanyola,Electricitat,2016,Maig,0,€133.39
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Electricitat,2012,Setembre,310,€144.07
EDI101,CENTRE OBERT DE PONENT,C/RAFAEL DE CASANOVA.70,Electricitat,2015,Març,582,€245.24
EDI009,CENTRE CIVIC DE PALOU,PSG DR FABREGAS 38 LOCAL,Aigua,2015,Octubre,23,€18.67
EDI003,CENTRE D'ATENCIÓ I SEGUIMENT A LES DROGODEPENDÈNCIES,ROGER DE FLOR 68,Electricitat,2013,Febrer,4964,€982.37
EDI075,ROCA UMBERT OFICINA FABRICA DE LES ARTS,MONTSERRAT,Aigua,2013,Juliol,11,€27.09
FLO001,SERVEIS UOS,SERVEIS UOS,Gasoil,2015,Juny,9421,€1184.31
BOM007,BOMBA BOMBEIG intermig,GUGLIELMO MARCONI CANT AV SANT JULIA,Electricitat,2012,Juny,831,€191.43
ESC013,ESCOLA MUNICIPAL DEL TREBALL,C/ ROGER DE FLOR 66,Electricitat,2015,Agost,3083,€1859.72
EDI076,ROCA UMBERT LA TROCA,ENRIC PRAT DE LA RIBA 77,Aigua,2011,Gener,35,€57.03
ESC005,COL.LEGI PONENT,C/ RAFAEL DE CASANOVA,Gas,2013,Desembre,22737,€1641.88
BOM011,SISTEMA DE REG DE LA PLAÇA DE LA PAU,MARIA PALAU C/JOAN VIDAL JUMBERT,Electricitat,2013,Agost,75,€36.93
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Gas,2011,Febrer,4799,€259.80
FLO012,PAT.MUN.MUSEO,PAT.MUN.MUSEO,Gasoil,2013,Octubre,1674,€228.44
EDI073,ESCOLA DE MUSICA JOSEP Ma RUERA,GREGORI RESINA,Aigua,2013,Gener,51,€78.37
FLO014,ALCALDIA,ALCALDIA,Gasoil,2014,Febrer,1123,€150.73
EDI015,CENTRE CIVIC CAN BASSA CULTURA,PL JOAN OLIVER 1,Electricitat,2011,Gener,3708,€1012.43
EDI094,ROCA UMBERT VIVENDA,ENRIC PRAT DE LA RIBA 75,Aigua,2011,Juliol,98,€172.08
EDI099,BAR CAMP DE FUTBOL 1R. MAIG CONGOST,PIUS XII,Aigua,2016,Gener,28,€57.11
EDI083,EDIFICI El GRA,PLAÇA DE L´ESGLESIA S/N,Gas,2012,Novembre,12329,€882.77
BOM003,BOMBA AIGUA PASSEIG FLUVIAL CASETA REG,PS FLUVIAL MARGE ESQUERRE CASETA BOMBA,Electricitat,2011,Febrer,580,€122.81
EDI082,CAN JONCH CENTRE CIVIC PER LA PAU,REC 19,Electricitat,2016,Març,4509,€898.64
ESC025,ESCOLA BRESSOL GIRAVOLTES,"CRTA. CALDES, 52",Aigua,2014,Gener,47,€58.05
EDI024,SALA CULTURA SANT FRANCESC,ESPI I GRAU 1,Electricitat,2011,Gener,951,€276.59
EDI100,AAVV CAN MONIC,PUIG I PERUCHO 2,Electricitat,2013,Febrer,1507,€364.51
ESC005,COL.LEGI PONENT,C/ RAFAEL DE CASANOVA,Gas,2014,Juliol,1958,€352.11
ESP010,CAMP DE FUTBOL PRIMER DE MAIG,C/ PIUS XII S/N,Gas,2016,Maig,2700,€222.19
FLO014,ALCALDIA,ALCALDIA,Gasoil,2013,Setembre,1026,€144.42
EDI052,MUSEU MUNICIPAL,ANSELM CLAVÉ 40 - 42,Electricitat,2016,Novembre,3358,€762.29
ESC021,ESCOLA BRESSOL MUNICIPAL TORTUGA,C/ GARROTXA 8,Electricitat,2016,Abril,2591,€466.55
EDI012,EDIFICI AJUNTAMENT,PL FOLCH I TORRES S/N,Gas,2016,Novembre,13779,€727.37
ESC011,COL.LEGI FÀTIMA,C/ MARIA PALAU,Electricitat,2015,Abril,2099,€433.58
FLO013,ACTIVITATS,ACTIVITATS,Gasoil,2013,Gener,337,€49.65
EDI088,ESTACIO DE CONTROL DE CONTAMINACIO,FRANCESC MACIÀ 145,Electricitat,2014,Abril,1240,€237.31
FLO017,OBRES I PROJECTES,OBRES I PROJECTES,Gasoil,2016,Juliol,219,€30.94
EDI095,ROCA UMBERT EL BAR,ENRIC PRAT DE LA RIBA 77,Gas,2011,Octubre,844,€132.53
FLO016,MEDI AMBIENT,MEDI AMBIENT,Gasoil,2014,Agost,741,€103.46
EDI041,CENTRE DE DIA,DOCTOR FLEMING 33,Aigua,2011,Juliol,27,€43.73
EDI126,CENTRE D'ACOLLIDA D'ANIMALS DOMÈSTICS,"C/SEVERO OCHOA, 103 (FONT DEL RÀDIUM)",Electricitat,2015,Agost,1465,€386.69
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Gas,2014,Desembre,39057,€2591.86
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Electricitat,2011,Maig,5385,€1064.30
EDI083,EDIFICI El GRA,PLAÇA DE L´ESGLESIA S/N,Gas,2014,Gener,15868,€1115.12
EDI128,Can Muntanyola,Can Muntanyola,Electricitat,2014,Setembre,11239,€2089.37
EDI132,CENTRE OBERT PASSEIG DE LA MUNTANYA,PG / MUNTANYA 0143 BJ - LOCAL,Aigua,2016,Març,3,€26.48
EDI088,ESTACIO DE CONTROL DE CONTAMINACIO,FRANCESC MACIÀ 145,Electricitat,2016,Agost,1566,€225.88
EDI089,CENTRE PER LA NORMALITZACIO LINGUISTICA,PRAT DE LA RIBA 82,Aigua,2011,Març,123,€113.70
EDI095,ROCA UMBERT EL BAR,ENRIC PRAT DE LA RIBA 77,Aigua,2013,Març,138,€149.53
EDI008,ANTIGUES ESCOLES DE PALOU,CAMI RAL CANT PSEG FÀBREGAS,Electricitat,2013,Gener,3278,€410.39
EDI026,CEMENTIRI,CAMI CEMENTIRI S/N,Electricitat,2013,Febrer,2023,€497.49
EDI128,Can Muntanyola,Can Muntanyola,Electricitat,2013,Febrer,11991,€2420.11
ESC025,ESCOLA BRESSOL GIRAVOLTES,"CRTA. CALDES, 52",Aigua,2012,Novembre,21,€23.58
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Gas,2013,Juliol,0,€158.29
REG176,FONT ORNAMENTAL CAN GILI,CAN GILI S/N,Electricitat,2011,Juny,310,€70.62
FLO016,MEDI AMBIENT,MEDI AMBIENT,Gasoil,2016,Abril,800,€92.49
FLO018,URBANISME,URBANISME,Gasoil,2015,Juny,925,€140.94
EDI017,ROCA UMBERT - IMPREMTA,LLUIS COMPANYS Nº 1,Electricitat,2013,Juny,439,€226.40
EDI124,MAGATZEM MUSEU GRANOLLERS,"Av. Sant Julià 206, Nau 24",Aigua,2016,Gener,1,€26.07
EDI015,CENTRE CIVIC CAN BASSA CULTURA,PL JOAN OLIVER 1,Gas,2013,Novembre,18438,€1233.41
ESC001,COL.LEGI SALVADOR ESPRIU,C/ JOAN CAMPS 6 - 8,Electricitat,2011,Juliol,3168,€619.45
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Gas,2015,Març,35792,€2112.25
ESP017,CASAL DE L'ESPORT,C/ GIRONA 52 - 54,Aigua,2011,Gener,12,€22.27
EDI009,CENTRE CIVIC DE PALOU,PSG DR FABREGAS 38 LOCAL,Electricitat,2012,Desembre,943,€290.63
EDI095,ROCA UMBERT EL BAR,ENRIC PRAT DE LA RIBA 77,Aigua,2015,Juliol,30,€42.41
EDI020,SALA FRANCESC TARAFA,CORRO 47,Electricitat,2012,Abril,0,€103.50
EDI066,CTUG CENTRE TECNOLÒGIC I UNIVERSITARI DE GRANOLLERS,MONTSERRAT Nº 36,Electricitat,2015,Gener,7432,€1469.41
ESC021,ESCOLA BRESSOL MUNICIPAL TORTUGA,C/ GARROTXA 8,Electricitat,2014,Agost,534,€143.75
BOM009,FONT ARGENTINA/COSTA RICA,FONT ARGENTINA/COSTA RICA,Electricitat,2011,Febrer,0,€99.62
EDI070,GUARDIA URBANA,ISABEL DE VILLENA S/N,Electricitat,2015,Juliol,12883,€1991.49
EDI091,UOS - UNITAT OPERATIVA SERVEIS (Edifici Nou),CAMI CAN MANY N 8,Electricitat,2011,Abril,12699,€2808.81
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Gas,2015,Març,38832,€2282.92
FLO011,ESPAIS VERDS,ESPAIS VERDS,Gasoil,2012,Novembre,4012,€591.66
EDI006,CENTRE CIVIC  CAN GILI,CTRA DE CALDES BXS,Electricitat,2011,Desembre,4907,€802.71
EDI081,CENTRE CIVIC NORD,ROSSELLO 79,Aigua,2014,Octubre,58,€97.56
EDI100,AAVV CAN MONIC,PUIG I PERUCHO 2,Electricitat,2016,Maig,124,€82.55
ESP010,CAMP DE FUTBOL PRIMER DE MAIG,C/ PIUS XII S/N,Gas,2013,Febrer,9752,€651.75
ESC001,COL.LEGI SALVADOR ESPRIU,C/ JOAN CAMPS 6 - 8,Gas,2013,Maig,2268,€252.71
ESC006,CENTRE VALLES (ESCOLA VALLES),VENEÇUELA S/N DAVANT CEMENTIRI,Gas,2011,Abril,4619,€325.24
ESP018,CAMP FUTBOL FONT VERDA,C/ JOSEP CARNER S/N,Electricitat,2016,Juliol,633,€236.94
ESC024,ESCOLA BRESSOL EL TELER,C/ JAUME CORBERA CANTONADA C/ CORRO,Electricitat,2013,Abril,3160,€682.36
ESC001,COL.LEGI SALVADOR ESPRIU,C/ JOAN CAMPS 6 - 8,Gas,2012,Desembre,32247,€2221.51
EDI030,EDIFICI PORTALET,PORTALET 4,Gas,2014,Desembre,918,€79.61
EDI070,GUARDIA URBANA,ISABEL DE VILLENA S/N,Electricitat,2013,Març,15725,€2595.44
ESC002,ESCOLA GRANOLLERS,CTRA DE CALDES,Gas,2013,Juliol,0,€130.74
ESC008,COL.LEGI MESTRES MONTAÑA,CAMI CAN BASSA 1,Aigua,2014,Juliol,327,€417.87
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Electricitat,2011,Maig,23092,€5306.55
ESP001,PALAU D'ESPORTS,AV FRANCESC MACIA S/N,Gas,2014,Desembre,99526,€6667.71
EDI058,EDIFICI ST JOSEP,SANT JOSEP 7,Electricitat,2016,Maig,11674,€2195.75
EDI002,PIS AJUDA POBLE SAHARAUI (8è),1ª MARQUES DE LES FRANQUESES 146 8 - 3,Electricitat,2011,Octubre,109,€30.10
EDI122,CENTRE EDUCACIÓ ESPECIAL MONTSERRAT MONTERO,"CAMÍ CAN BASSA , S/N",Aigua,2014,Octubre,237,€312.05
ESC004,ESCOLA MUNICIPAL SALVADOR LLOBET,C/ ROGER DE FLOR 64,Electricitat,2013,Juliol,3059,€712.68
ESP008,PAVELLÓ CLUB BÀSQUET GRANOLLERS,C/ GIRONA S/N,Electricitat,2016,Juliol,6396,€1168.73
ESP019,PAVELLO D' ESPORT CAN BASSA,C/ ESTEVE TERRADES S/N,Gas,2014,Agost,3433,€304.96
ESC011,COL.LEGI FÀTIMA,C/ MARIA PALAU,Aigua,2011,Març,183,€177.83
ESP012,CAMP DE FUTBOL C/ GIRONA,C/ GIRONA S/N,Electricitat,2016,Maig,7568,€1402.05
ESC010,COL.LEGI GRANULARIUS,C/ MARESME 4,Electricitat,2014,Maig,8578,€1635.12
ESC012,COL.LEGI PEREANTON,C/ ESPI I GRAU 3,Electricitat,2016,Novembre,4627,€695.64
ESC010,COL.LEGI GRANULARIUS,C/ MARESME 4,Gas,2011,Desembre,26118,€1564.88
EDI123,CENTRE CULTURAL MUNICIPAL,"C/Joan Camps, 1, baixos",Electricitat,2012,Març,6941,€1158.15
ESP003,PAVELLO EL TUB,C/ CAMP DE LES MORERES S/N,Electricitat,2012,Gener,6695,€1232.55
EDI013,AAVV PONENT,C/RAFAEL CASANOVA. 52,Electricitat,2013,Abril,656,€158.82
ESP004,CAMP DE FUTBOL PALOU,PS DOCTOR FABREGAS S/N,Electricitat,2012,Juny,352,€214.32
ESP020,PISTES DE PETANCA GRANOLLERS,CAMP DE LES MORERES,Electricitat,2011,Octubre,1250,€245.76
FLO008,SALUT PUBLICA I CONSUM,SALUT PUBLICA I CONSUM,Gasoil,2014,Desembre,3170,€466.57
ESC003,COL·LEGI FERRER I GUÀRDIA,C/ ROGER DE FLOR 179,Electricitat,2014,Agost,701,€483.44
ESC004,ESCOLA MUNICIPAL SALVADOR LLOBET,C/ ROGER DE FLOR 64,Electricitat,2015,Març,4538,€897.20
ESP013,PAVELLO EL CONGOST,MARIA PALAU S/N CTDA A GAUDI,Gas,2016,Juliol,2825,€227.61
EDI011,MASIA TRES TORRES,DE LES TRES TORRES 18 - 20,Electricitat,2011,Febrer,5229,€1220.79
ESC009,COL.LEGI JOAN SOLANS,PLAÇA SANT MIQUEL 20,Gas,2011,Abril,6325,€447.15
ESC024,ESCOLA BRESSOL EL TELER,C/ JAUME CORBERA CANTONADA C/ CORRO,Gas,2015,Octubre,12568,€923.87
EDI103,SIRIUS (CENTRE AUTONOMIA PERSONAL),C/ ALMOGAVARS. 24 A,Electricitat,2016,Març,1321,€273.93
EDI010,CENTRE CIVIC JAUME OLLER,MARE DE DÉU DE MONTSERRAT 47,Electricitat,2016,Juliol,218,€46.08
EDI015,CENTRE CIVIC CAN BASSA CULTURA,PL JOAN OLIVER 1,Electricitat,2015,Setembre,6112,€822.53
ESP005,CAMP DE FUTBOL CAN GILI,CTRA DE CALDES S/N,Electricitat,2012,Octubre,2903,€656.21
EDI033,EDIFICI ANNEX AL CAIF (ANTIC AAVV LLEDONER),1ª MARQUES DE LES FRANQUESES 125,Electricitat,2011,Maig,72,€90.91
EDI042,EDIFICI ADMINISTRATIU CAN PUNTES,SANTA ELISABET 16,Gas,2014,Octubre,1870,€268.02
EDI071,CENTRE D'EDUCACIÓ AMBIENTAL CAN CABANYES,CAN GORDI - CAN CATALÀ,Aigua,2011,Gener,1,€20.62
ESP009,PAVELLO MUNICIPAL D'ESPORTS (PARQUET),C/ LLUIS COMPANYS 1,Electricitat,2012,Desembre,3001,€654.20
EDI024,SALA CULTURA SANT FRANCESC,ESPI I GRAU 1,Electricitat,2015,Setembre,1199,€693.63
EDI083,EDIFICI El GRA,PLAÇA DE L´ESGLESIA S/N,Electricitat,2016,Març,5489,€971.56
FLO008,SALUT PUBLICA I CONSUM,SALUT PUBLICA I CONSUM,Gasoil,2013,Juliol,1578,€253.75
ESP002,PISTES MUNICIPALS D' ATLETISME,C/ CAMP DE LES MORERES S/N,Electricitat,2014,Maig,1270,€483.36
ESP002,PISTES MUNICIPALS D' ATLETISME,C/ CAMP DE LES MORERES S/N,Gas,2011,Desembre,13190,€896.68
BOM011,SISTEMA DE REG DE LA PLAÇA DE LA PAU,MARIA PALAU C/JOAN VIDAL JUMBERT,Electricitat,2015,Juny,44,€38.65
ESP009,PAVELLO MUNICIPAL D'ESPORTS (PARQUET),C/ LLUIS COMPANYS 1,Electricitat,2013,Maig,2265,€479.06
EDI012,EDIFICI AJUNTAMENT,PL FOLCH I TORRES S/N,Electricitat,2012,Març,23432,€3978.42
EDI034,OFICINA MUNICIPAL ACOLLIDA (ANTIC GRA),CORRO 49,Aigua,2014,Juliol,54,€67.70
EDI042,EDIFICI ADMINISTRATIU CAN PUNTES,SANTA ELISABET 16,Electricitat,2016,Juny,2097,€497.35
EDI078,CENTRE ASSISTENCIA INTEGRAL FAMILIA - CAIF,1ª MARQUES DE LES FRANQUESES 123,Aigua,2012,Octubre,6,€37.40
