URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;ESPEDIENTE MOTA;DESKRIBAPENA;ITXITAKO ESPEDIENTE KOPURUA;ITXI GABEKO ESPEDIENTE KOPURUA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;1807;MASTI-LOIDI KALEA;HIGO;IGOGAILUAK;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1808;TXIRRITA-MALEO KALEA;ACGV;Eusko Jaurlaritzako Sailkatutatako Jarduera;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;1808;TXIRRITA-MALEO KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;1808;TXIRRITA-MALEO KALEA;LPAR;Partzelazio Lizentzia;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;1901;ALFONSO XI.AREN KALEA;BAEX;Salbuespen Jardueraren Baja;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;1901;ALFONSO XI.AREN KALEA;EXEN;Salbuetsitako Jarduera;0;7;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1901;ALFONSO XI.AREN KALEA;HIGO;IGOGAILUAK;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;1901;ALFONSO XI.AREN KALEA;MINP;Sailkatutako Jardueren Lizentzia;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;1901;ALFONSO XI.AREN KALEA;OKAL;Kalteak Udal Lokalean;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;1901;ALFONSO XI.AREN KALEA;OMEN;Obra Txikiak;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;1903;FRANCISCO GAZKUE KALEA;MINP;Sailkatutako Jardueren Lizentzia;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;1904;JOSE ERBITI KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;1904;JOSE ERBITI KALEA;OMEN;Obra Txikiak;0;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;1906;SEGUNDO ISPIZUA KALEA;BAEX;Salbuespen Jardueraren Baja;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;1906;SEGUNDO ISPIZUA KALEA;EXEN;Salbuetsitako Jarduera;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1906;SEGUNDO ISPIZUA KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;1907;VICENTE ELIZEGI KALEA;BAEX;Salbuespen Jardueraren Baja;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;1907;VICENTE ELIZEGI KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;1907;VICENTE ELIZEGI KALEA;OMEN;Obra Txikiak;0;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;2001;BARRIO ALABERGA/ALABERGA AUZOA;HIGO;IGOGAILUAK;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;2001;BARRIO ALABERGA/ALABERGA AUZOA;LOMA;Obra Handietarako Lizentzia;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;2001;BARRIO ALABERGA/ALABERGA AUZOA;OMEN;Obra Txikiak;1;22;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;2001;BARRIO ALABERGA/ALABERGA AUZOA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;2002;JUAN OLAZABAL KALEA;EXSA;Espediente Zigortzailea;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;2002;JUAN OLAZABAL KALEA;MINP;Sailkatutako Jardueren Lizentzia;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
2015;067;ERRENTERIA;2002;JUAN OLAZABAL KALEA;OMEN;Obra Txikiak;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;2002;JUAN OLAZABAL KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;2002;JUAN OLAZABAL KALEA;VELA;Beilariak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;2010;GURUTZE ALDE,GR;OLOK;LOKALEN UZTEA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;2201;DONOSTIA KALEA/CALLE SAN SEBAS;BAEX;Salbuespen Jardueraren Baja;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;2201;DONOSTIA KALEA/CALLE SAN SEBAS;EXEN;Salbuetsitako Jarduera;0;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;2201;DONOSTIA KALEA/CALLE SAN SEBAS;OMEN;Obra Txikiak;0;8;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;2202;IZTIETA PASEALEKUA/PASEO IZTIE;OMEN;Obra Txikiak;1;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;2205;PASAIA KALEA;BAEX;Salbuespen Jardueraren Baja;3;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;2205;PASAIA KALEA;EXEN;Salbuetsitako Jarduera;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;2205;PASAIA KALEA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;2205;PASAIA KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;2301;DIPUTAZIO PLAZA;OVIA;Lurzoru Publikoaren Okupazioa;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;2303;HONDARRIBIA KALEA;BAEX;Salbuespen Jardueraren Baja;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;2303;HONDARRIBIA KALEA;OMEN;Obra Txikiak;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;2304;IRUN KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2015;067;ERRENTERIA;2304;IRUN KALEA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;2307;OIARTZUN KALEA;OMEN;Obra Txikiak;1;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;2401;AMASA KALEA;HAIS;Aisialdi alternatiborako lokalak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;2401;AMASA KALEA;OMEN;Obra Txikiak;1;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;2406;ASTIGARRAGA KALEA;OMEN;Obra Txikiak;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;2502;JAIZKIBEL KALEA;BIFN;Familia ugaria dela eta OHZ hobaria;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;2502;JAIZKIBEL KALEA;OMEN;Obra Txikiak;0;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;2504;URDABURU KALEA;OLOK;LOKALEN UZTEA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;2504;URDABURU KALEA;OMEN;Obra Txikiak;1;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;2504;URDABURU KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;2504;URDABURU KALEA;VELA;Beilariak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;2601;ERNIO KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;2601;ERNIO KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;2601;ERNIO KALEA;VELA;Beilariak;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;2603;LARRUNARRI KALEA;OMEN;Obra Txikiak;1;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2015;067;ERRENTERIA;2603;LARRUNARRI KALEA;OVIA;Lurzoru Publikoaren Okupazioa;2;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;2604;MANDOEGI KALEA;BAEX;Salbuespen Jardueraren Baja;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2015;067;ERRENTERIA;2604;MANDOEGI KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;2604;MANDOEGI KALEA;OMEN;Obra Txikiak;0;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;2604;MANDOEGI KALEA;OVIA;Lurzoru Publikoaren Okupazioa;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;2605;MURUMENDI KALEA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2015;067;ERRENTERIA;2605;MURUMENDI KALEA;OUGA;Garaje-plaza aldi baterako erabiltzeko baimena;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2015;067;ERRENTERIA;2701;ARALAR PLAZA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2015;067;ERRENTERIA;2901;MOJA AGUSTINDARREN E./AGUSTINA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;2903;ELIAS SALABERRIA KALEA;HAIS;Aisialdi alternatiborako lokalak;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
2015;067;ERRENTERIA;2903;ELIAS SALABERRIA KALEA;OMEN;Obra Txikiak;0;2;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2015;067;ERRENTERIA;2904;HOMBRADOS OÑATIBIA KALEA;OLOK;LOKALEN UZTEA;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;2904;HOMBRADOS OÑATIBIA KALEA;OMEN;Obra Txikiak;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;2905;MARKOLA ETORBIDEA/AVENIDA MARK;BVAN;Ibilgailu historikoa dela eta TMIZ zergan hobaria;1;0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2015;067;ERRENTERIA;2905;MARKOLA ETORBIDEA/AVENIDA MARK;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2015;067;ERRENTERIA;2905;MARKOLA ETORBIDEA/AVENIDA MARK;HAIS;Aisialdi alternatiborako lokalak;0;3;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
2015;067;ERRENTERIA;2905;MARKOLA ETORBIDEA/AVENIDA MARK;OMEN;Obra Txikiak;0;6;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
2015;067;ERRENTERIA;2907;RESURRECCION Mª AZKUE KALEA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
2015;067;ERRENTERIA;2907;RESURRECCION Mª AZKUE KALEA;HIGO;IGOGAILUAK;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
2015;067;ERRENTERIA;2907;RESURRECCION Mª AZKUE KALEA;OMEN;Obra Txikiak;0;5;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2015;067;ERRENTERIA;3001;BARRIO OLIBET/OLIBET AUZOA;EXEN;Salbuetsitako Jarduera;0;1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
