URTEA;UDAL KODEA;UDALAREN IZENA;KALE KODEA;KALEAREN IZENA;KALIFIKAZIOA;ISUNEN KOPURUA;ORDAINDUTAKO ZENBATEKOA;EXEKUTIBOAN KOBRATZEKE ZENBATEKOA;.                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;3204;PONTIKA KALEA;LARRIA;3;100,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;3204;PONTIKA KALEA;ARINA;44;635,25;1.197,05;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;3402;JESUS GURIDI KALEA;LARRIA;4;434,95;234,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;3402;JESUS GURIDI KALEA;ARINA;5;145,00;96,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;3403;JUAN CRISOSTOMO ARRIAGA KALEA;LARRIA;4;679,90;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2016;067;ERRENTERIA;3403;JUAN CRISOSTOMO ARRIAGA KALEA;ARINA;7;176,95;161,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2016;067;ERRENTERIA;3403;JUAN CRISOSTOMO ARRIAGA KALEA;OSO LARRIA;1;0,00;604,95;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;3404;JULIAN LAVILLA KALEA;LARRIA;3;300,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
2016;067;ERRENTERIA;3405;NORBERTO ALMANDOZ KALEA;LARRIA;8;600,00;469,90;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2016;067;ERRENTERIA;3501;BERAUN KALEA;LARRIA;13;784,55;1.080,20;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2016;067;ERRENTERIA;3501;BERAUN KALEA;ARINA;71;1.207,25;1.167,70;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
2016;067;ERRENTERIA;3601;AITA DONOSTIA KALEA;LARRIA;6;700,00;0,00;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
